SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AARON,EQ,33,33,30.3,32.7,32.95,27.5,58838,1895125.9,06-NOV-2020,532,INE721Z01010,
AARON,EQ,33.7,33.7,31.5,32.3,32.85,32.7,18445,599226.8,09-NOV-2020,237,INE721Z01010,
AARON,EQ,33.45,33.45,30.25,31.75,31.3,32.3,3622,115740.6,10-NOV-2020,69,INE721Z01010,
AARON,EQ,31.25,32.35,31.25,31.35,31.25,31.75,3211,100963,11-NOV-2020,48,INE721Z01010,
AARON,EQ,31.35,32.15,28,30.5,30.75,31.35,12063,361304.05,12-NOV-2020,130,INE721Z01010,
AARON,EQ,30.5,32.15,30.25,32.1,32.1,30.5,5043,160157.65,13-NOV-2020,59,INE721Z01010,
AARON,EQ,31.9,32.25,31.35,31.9,32.25,31.9,4650,148423.45,17-NOV-2020,31,INE721Z01010,
AARON,EQ,30.05,33.4,28.1,32.25,32.5,31.9,2091,67323.9,18-NOV-2020,37,INE721Z01010,
AARON,EQ,32.5,38.7,30.1,38.7,38.7,32.25,33724,1259611.8,19-NOV-2020,263,INE721Z01010,
AARON,EQ,45.45,46.4,45,46.4,46.4,38.7,38480,1769813.8,20-NOV-2020,162,INE721Z01010,
AARON,EQ,51,51,47.35,51,51,46.4,37268,1883906.65,23-NOV-2020,407,INE721Z01010,
AARON,EQ,56.1,56.1,54.15,56.1,56.1,51,84409,4723264.5,24-NOV-2020,709,INE721Z01010,
AARON,EQ,61.45,61.7,61.4,61.7,61.7,56.1,38559,2377645.2,25-NOV-2020,279,INE721Z01010,
AARON,EQ,64.75,64.75,64.75,64.75,64.75,61.7,20249,1311122.75,26-NOV-2020,63,INE721Z01010,
AARON,EQ,67.95,67.95,61.55,61.55,61.55,64.75,89970,5866533.35,27-NOV-2020,732,INE721Z01010,
AARON,EQ,58.5,58.5,58.5,58.5,58.5,61.55,7297,426874.5,01-DEC-2020,123,INE721Z01010,
AARON,EQ,55.6,55.6,55.6,55.6,55.6,58.5,3544,197046.4,02-DEC-2020,60,INE721Z01010,
AARON,EQ,52.85,58.35,52.85,57,57.5,55.6,66462,3637045.35,03-DEC-2020,651,INE721Z01010,
AARON,EQ,57.5,57.5,54.15,54.15,54.15,57,13353,731096.35,04-DEC-2020,228,INE721Z01010,
AARON,EQ,53,56,51.45,51.8,51.45,54.15,28886,1508103.5,07-DEC-2020,298,INE721Z01010,
AARON,EQ,49.25,51.95,49.25,49.55,49.25,51.8,34863,1755123.45,08-DEC-2020,341,INE721Z01010,
AARON,EQ,49,51,47.1,49.7,49.6,49.55,8768,427891.25,09-DEC-2020,180,INE721Z01010,
AARON,EQ,49.7,51,48.05,49.85,50.2,49.7,5390,266479.25,10-DEC-2020,128,INE721Z01010,
AARON,EQ,49.85,50,47.45,49.75,50,49.85,4684,232127.85,11-DEC-2020,110,INE721Z01010,
AARON,EQ,51,52.2,47.45,51,51,49.75,12218,623621.3,14-DEC-2020,143,INE721Z01010,
AARON,EQ,53.55,53.55,48.45,50.35,50.05,51,14731,733018.6,15-DEC-2020,243,INE721Z01010,
AARON,EQ,50.35,52.85,49,50.7,50.35,50.35,23191,1177686.45,16-DEC-2020,154,INE721Z01010,
AARON,EQ,50.7,53.2,49.4,51.8,52.75,50.7,6778,354689.7,17-DEC-2020,101,INE721Z01010,
AARON,EQ,52.75,52.75,50.05,51.15,51.1,51.8,4971,252906.6,18-DEC-2020,85,INE721Z01010,
AARON,EQ,49.6,51.15,49.1,50.15,51.1,51.15,4298,214927.45,21-DEC-2020,105,INE721Z01010,
AARON,EQ,48.35,49.85,47.65,48.95,49.75,50.15,19520,941961.65,22-DEC-2020,95,INE721Z01010,
AARON,EQ,48,50.8,48,49.7,49.9,48.95,6135,300254.35,23-DEC-2020,76,INE721Z01010,
AARON,EQ,50,51.4,48,49.2,48.5,49.7,12766,631750.1,24-DEC-2020,70,INE721Z01010,
AARON,EQ,49.8,51.65,49.75,51.55,51.05,49.2,12232,629195.5,28-DEC-2020,79,INE721Z01010,
AARON,EQ,52.6,53.5,49.6,53.05,53,51.55,7547,398001.2,29-DEC-2020,60,INE721Z01010,
AARON,EQ,53.05,53.05,50.8,52,51.95,53.05,2054,105583.4,30-DEC-2020,33,INE721Z01010,
AARON,EQ,52.75,52.75,50.05,50.6,50.4,52,7291,372117.7,31-DEC-2020,70,INE721Z01010,
AARON,EQ,52.9,52.9,50.4,51.85,52.8,50.6,10752,565152.25,01-JAN-2021,70,INE721Z01010,
AARON,EQ,50.45,54.4,50.45,54.1,54,51.85,10634,571292.35,04-JAN-2021,97,INE721Z01010,
AARON,EQ,55.9,55.9,51.65,53.4,53.95,54.1,3134,168681.35,05-JAN-2021,46,INE721Z01010,
AARON,EQ,54.95,54.95,52.8,53.65,53.95,53.4,8400,450212,06-JAN-2021,45,INE721Z01010,
AARON,EQ,53.95,53.95,52.6,53.4,53.4,53.65,991,52865.05,07-JAN-2021,27,INE721Z01010,
