SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ABMINTLLTD,BE,129.05,129.05,122.6,122.6,122.6,103.35,652,81752,13-SEP-2021,31,INE251C01025,
ABMINTLLTD,BE,116.5,116.5,116.5,116.5,116.5,122.6,567,66055.5,14-SEP-2021,17,INE251C01025,
ABMINTLLTD,BE,110.7,110.7,110.7,110.7,110.7,116.5,593,65645.1,15-SEP-2021,26,INE251C01025,
ABMINTLLTD,BE,105.2,105.2,105.2,105.2,105.2,110.7,763,80267.6,16-SEP-2021,21,INE251C01025,
ABMINTLLTD,BE,99.95,99.95,99.95,99.95,99.95,105.2,544,54372.8,17-SEP-2021,18,INE251C01025,
ABMINTLLTD,BE,95,95,95,95,95,99.95,331,31445,20-SEP-2021,25,INE251C01025,
ABMINTLLTD,BE,90.25,90.25,90.25,90.25,90.25,95,504,45486,21-SEP-2021,20,INE251C01025,
ABMINTLLTD,BE,85.75,85.75,85.75,85.75,85.75,90.25,1606,137714.5,22-SEP-2021,57,INE251C01025,
ABMINTLLTD,BE,81.5,81.5,81.5,81.5,81.5,85.75,441,35941.5,23-SEP-2021,36,INE251C01025,
ABMINTLLTD,BE,79.9,85.55,77.45,85.55,85.55,81.5,2870,231710.7,24-SEP-2021,65,INE251C01025,
ABMINTLLTD,EQ,85.55,94.1,85.55,94.1,94.1,85.55,2911,273168.9,27-SEP-2021,67,INE251C01025,
ABMINTLLTD,EQ,103,103.5,103,103.5,103.5,94.1,2107,217759.5,28-SEP-2021,56,INE251C01025,
ABMINTLLTD,EQ,113.85,113.85,113.85,113.85,113.85,103.5,2604,296465.4,29-SEP-2021,48,INE251C01025,
ABMINTLLTD,EQ,119.5,119.5,119.5,119.5,119.5,113.85,2708,323606,30-SEP-2021,14,INE251C01025,
ABMINTLLTD,EQ,125.45,125.45,125.45,125.45,125.45,119.5,3825,479846.25,01-OCT-2021,68,INE251C01025,
ABMINTLLTD,EQ,131.7,131.7,131.7,131.7,131.7,125.45,1063,139997.1,04-OCT-2021,26,INE251C01025,
ABMINTLLTD,EQ,138.25,138.25,138.25,138.25,138.25,131.7,1947,269172.75,05-OCT-2021,38,INE251C01025,
