SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AHLEAST,EQ,160,167,155,166,166,163,357,59125.2,01-JAN-2016,25,INE926K01017,
AHLEAST,EQ,167,169,163.15,167.5,168,166,2164,357511.5,04-JAN-2016,25,INE926K01017,
AHLEAST,EQ,165,170,162.25,169.35,169.9,167.5,3046,508708.3,05-JAN-2016,46,INE926K01017,
AHLEAST,EQ,174.75,179.75,170.1,174.1,176.8,169.35,3469,604175.2,06-JAN-2016,44,INE926K01017,
AHLEAST,EQ,171.1,171.1,163,166.9,167,174.1,293,48791.7,07-JAN-2016,44,INE926K01017,
AHLEAST,EQ,165,166,161.25,166,166,166.9,145,23879.6,08-JAN-2016,12,INE926K01017,
AHLEAST,EQ,162.3,166,162.3,165.25,166,166,41,6701.5,11-JAN-2016,3,INE926K01017,
AHLEAST,EQ,167,167,162.5,163,163,165.25,1616,269809.8,12-JAN-2016,18,INE926K01017,
AHLEAST,EQ,163,163,151.05,152.85,152,163,7334,1179313.8,13-JAN-2016,81,INE926K01017,
AHLEAST,EQ,161,161,151.1,152,151.5,152.85,347,53390.75,14-JAN-2016,28,INE926K01017,
AHLEAST,EQ,151.5,151.5,151.25,151.3,151.25,152,50,7565,15-JAN-2016,3,INE926K01017,
AHLEAST,EQ,145,150,140.05,145.1,145.1,151.3,144,20841.65,18-JAN-2016,26,INE926K01017,
AHLEAST,EQ,146,149.95,145,149.95,149.95,145.1,123,17961.85,19-JAN-2016,7,INE926K01017,
AHLEAST,EQ,144.95,147,140.3,143.2,140.3,149.95,44,6309.9,20-JAN-2016,13,INE926K01017,
AHLEAST,EQ,142,145,142,145,145,143.2,200,28878.75,21-JAN-2016,7,INE926K01017,
AHLEAST,EQ,145,153,142.55,147.6,142.6,145,34,5067.4,22-JAN-2016,13,INE926K01017,
AHLEAST,EQ,145,150,142.1,145,145,147.6,204,30577.1,25-JAN-2016,6,INE926K01017,
AHLEAST,EQ,143.1,158.8,142,144.25,145.45,145,5008,725586.6,27-JAN-2016,106,INE926K01017,
AHLEAST,EQ,143.5,145,142,142.2,145,144.25,743,106972.55,28-JAN-2016,56,INE926K01017,
AHLEAST,EQ,140,150.95,130.1,147.7,147.1,142.2,894,131595.05,29-JAN-2016,60,INE926K01017,
AHLEAST,EQ,148,153.9,147,153.4,153.9,147.7,378,55625.6,01-FEB-2016,12,INE926K01017,
AHLEAST,EQ,155,155,145.05,151.35,150,153.4,501,74228.1,02-FEB-2016,54,INE926K01017,
AHLEAST,EQ,149,154.9,136.1,142.25,143,151.35,500,72478.05,03-FEB-2016,53,INE926K01017,
AHLEAST,EQ,148,152.7,137.2,137.25,137.2,142.25,420,58550.85,04-FEB-2016,30,INE926K01017,
AHLEAST,EQ,144.5,146.5,140,146,146,137.25,167,23910.5,05-FEB-2016,9,INE926K01017,
AHLEAST,EQ,149.9,149.9,144.1,144.1,144.1,146,276,39778.65,08-FEB-2016,8,INE926K01017,
AHLEAST,EQ,145,152,138.8,140.1,140.1,144.1,162,22868.5,09-FEB-2016,26,INE926K01017,
AHLEAST,EQ,140.25,148.9,135.1,135.15,135.1,140.1,2575,349716.6,10-FEB-2016,58,INE926K01017,
AHLEAST,EQ,134,140,130.2,132.8,140,135.15,384,51576.2,11-FEB-2016,22,INE926K01017,
AHLEAST,EQ,135,135,131,131,131,132.8,42,5543.8,12-FEB-2016,7,INE926K01017,
AHLEAST,EQ,137,137,137,137,137,131,30,4110,15-FEB-2016,2,INE926K01017,
AHLEAST,EQ,136,136,124.05,131.55,132,137,648,84918.1,16-FEB-2016,55,INE926K01017,
AHLEAST,EQ,137,145,131.3,133.2,135,131.55,186,24943.6,17-FEB-2016,12,INE926K01017,
AHLEAST,EQ,133.5,138,128.55,136.25,138,133.2,70,9310.55,18-FEB-2016,10,INE926K01017,
AHLEAST,EQ,133.5,138,133.5,134,134,136.25,129,17411.7,22-FEB-2016,5,INE926K01017,
AHLEAST,EQ,132,135.5,130,133.7,131.9,134,151,20172.7,23-FEB-2016,21,INE926K01017,
AHLEAST,EQ,131.3,138,131.3,135,135,133.7,455,61512.25,24-FEB-2016,9,INE926K01017,
AHLEAST,EQ,131,135,125,128.9,125,135,95,12537.45,25-FEB-2016,24,INE926K01017,
AHLEAST,EQ,129,137,125.55,127.55,129,128.9,167,21258.1,26-FEB-2016,21,INE926K01017,
AHLEAST,EQ,130,137.9,127,134.05,137.9,127.55,216,27689.15,29-FEB-2016,18,INE926K01017,
AHLEAST,EQ,125,139,121,132.05,134,134.05,1109,151057.5,02-MAR-2016,22,INE926K01017,
AHLEAST,EQ,132,138,131.05,133,132.5,132.05,1489,198910.95,03-MAR-2016,43,INE926K01017,
AHLEAST,EQ,132,135,128.05,131.85,131,133,2368,313713.7,04-MAR-2016,73,INE926K01017,
AHLEAST,EQ,133,135,131.15,131.7,131.65,131.85,2872,380596.1,08-MAR-2016,47,INE926K01017,
AHLEAST,EQ,138.9,138.9,132,137.2,135.8,131.7,1514,205612.8,09-MAR-2016,30,INE926K01017,
AHLEAST,EQ,141.45,141.45,130.2,131.9,131.3,137.2,2123,280222.1,10-MAR-2016,68,INE926K01017,
AHLEAST,EQ,137.9,137.9,131.1,135.85,131.6,131.9,274,37112.15,11-MAR-2016,15,INE926K01017,
AHLEAST,EQ,132.15,135,130,131.15,135,135.85,308,40569.15,14-MAR-2016,18,INE926K01017,
AHLEAST,EQ,131,135,131,135,135,131.15,5,662.95,15-MAR-2016,5,INE926K01017,
AHLEAST,EQ,130,137.5,129.15,134.7,132.7,135,653,87099.25,16-MAR-2016,22,INE926K01017,
AHLEAST,EQ,132.8,132.95,130.1,132.95,132.95,134.7,205,27064.35,17-MAR-2016,19,INE926K01017,
AHLEAST,EQ,121.1,133.95,121.1,130.9,130,132.95,1041,135246.2,18-MAR-2016,57,INE926K01017,
AHLEAST,EQ,130,135.95,130,133.95,132,130.9,134,17732.65,21-MAR-2016,10,INE926K01017,
AHLEAST,EQ,138.95,138.95,132,134.9,137.9,133.95,6952,946708.45,22-MAR-2016,24,INE926K01017,
AHLEAST,EQ,132.1,139.9,132.1,138.95,139.9,134.9,147,19432.4,23-MAR-2016,6,INE926K01017,
AHLEAST,EQ,139.9,139.9,132.1,133.1,133.1,138.95,499,67630.9,28-MAR-2016,41,INE926K01017,
AHLEAST,EQ,132,137,132,135.5,137,133.1,110,14756,29-MAR-2016,5,INE926K01017,
