SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AIL,EQ,686,700,685.95,695.2,698.85,690.85,25418,17633064.8,01-JAN-2016,905,INE878A01011,
AIL,EQ,695.2,703.2,686.4,689.8,692,695.2,27279,18869580.3,04-JAN-2016,899,INE878A01011,
AIL,EQ,690,697,684,684.2,684.85,689.8,19486,13358109.75,05-JAN-2016,415,INE878A01011,
AIL,EQ,680.05,686.9,675.05,681.9,683,684.2,17984,12261966.75,06-JAN-2016,864,INE878A01011,
AIL,EQ,680,684.9,671,680,682,681.9,20231,13712882.85,07-JAN-2016,943,INE878A01011,
AIL,EQ,682,688.5,680,683.3,684.8,680,5986,4099275.95,08-JAN-2016,462,INE878A01011,
AIL,EQ,680.05,683.25,665.1,674.05,670.5,683.3,6166,4164427.9,11-JAN-2016,607,INE878A01011,
AIL,EQ,670,674.05,651,654,655,674.05,7175,4755596.85,12-JAN-2016,567,INE878A01011,
AIL,EQ,660,673.85,614.4,641,640,654,36360,23276375.25,13-JAN-2016,1087,INE878A01011,
AIL,EQ,635,645.85,621.1,627.5,623,641,8981,5701397.5,14-JAN-2016,622,INE878A01011,
AIL,EQ,625,646.8,621.1,627.5,632.45,627.5,29073,18504224.45,15-JAN-2016,1478,INE878A01011,
AIL,EQ,620.05,631,560.05,615.9,613,627.5,55785,33447019.7,18-JAN-2016,3727,INE878A01011,
AIL,EQ,613.85,614.6,601,609.05,606,615.9,14500,8792867.85,19-JAN-2016,787,INE878A01011,
AIL,EQ,605,610.8,592.1,604,600.8,609.05,20328,12201411.35,20-JAN-2016,838,INE878A01011,
AIL,EQ,610.05,620.8,610,616.15,620,604,8688,5356393.95,21-JAN-2016,649,INE878A01011,
AIL,EQ,622,644.4,622,641.7,641.85,616.15,245249,155775914.05,22-JAN-2016,978,INE878A01011,
AIL,EQ,647.95,671,647.95,654.7,656,641.7,12513,8211621.6,25-JAN-2016,1065,INE878A01011,
AIL,EQ,657,674,641,645.55,642.75,654.7,8883,5858322.55,27-JAN-2016,700,INE878A01011,
AIL,EQ,646.6,653,628.15,635.45,635,645.55,14844,9410927.15,28-JAN-2016,455,INE878A01011,
AIL,EQ,632.15,645,625.1,640.4,634.95,635.45,6158,3923246.7,29-JAN-2016,413,INE878A01011,
AIL,EQ,645,653,633.4,640.4,640,640.4,4581,2953289.6,01-FEB-2016,535,INE878A01011,
AIL,EQ,641,660,625.1,642.45,639.95,640.4,13620,8835200.35,02-FEB-2016,2001,INE878A01011,
AIL,EQ,635.05,649,630,637.6,647,642.45,11211,7141366.25,03-FEB-2016,879,INE878A01011,
AIL,EQ,625.5,645,625.5,641.2,644.05,637.6,11916,7559830.95,04-FEB-2016,616,INE878A01011,
AIL,EQ,649.85,649.95,605.1,632.1,632.2,641.2,102830,64635953.1,05-FEB-2016,5030,INE878A01011,
AIL,EQ,622.55,632.05,615.1,630.3,631.9,632.1,182255,113917475.4,08-FEB-2016,909,INE878A01011,
AIL,EQ,615.5,629.6,615,620.25,620,630.3,3986,2470684.2,09-FEB-2016,386,INE878A01011,
AIL,EQ,615.6,646,607,643.8,640,620.25,52634,33584942.3,10-FEB-2016,1723,INE878A01011,
AIL,EQ,635,640.05,601.3,610.55,621,643.8,12149,7522796.7,11-FEB-2016,839,INE878A01011,
AIL,EQ,601,619,581.5,599.85,599,610.55,10219,6110883,12-FEB-2016,761,INE878A01011,
AIL,EQ,605,629,603.5,615.3,615,599.85,54442,33471663.05,15-FEB-2016,730,INE878A01011,
AIL,EQ,609,615,561,588.3,590,615.3,20252,11930476.55,16-FEB-2016,1647,INE878A01011,
AIL,EQ,590.05,600.95,581.1,597.2,595.2,588.3,8132,4815522.85,17-FEB-2016,1093,INE878A01011,
AIL,EQ,597,612,590,596.75,593.5,597.2,5760,3455794.35,18-FEB-2016,852,INE878A01011,
AIL,EQ,594,599,583,592.15,599,596.75,6183,3648520.6,19-FEB-2016,1108,INE878A01011,
AIL,EQ,610.05,615,591,594.8,591.25,592.15,10752,6442619.75,22-FEB-2016,976,INE878A01011,
AIL,EQ,593.9,601.3,575.1,576.85,577.95,594.8,8654,5035776.3,23-FEB-2016,1472,INE878A01011,
AIL,EQ,581.05,589.85,559.15,560.85,560,576.85,19109,11056758.8,24-FEB-2016,778,INE878A01011,
AIL,EQ,563.65,582.55,558.1,569.2,568.7,560.85,10909,6242645.5,25-FEB-2016,1080,INE878A01011,
AIL,EQ,574,580,561.1,563.5,563,569.2,3592,2038191.05,26-FEB-2016,645,INE878A01011,
AIL,EQ,566,577.9,545.05,562,562,563.5,17315,9667037.9,29-FEB-2016,1202,INE878A01011,
AIL,EQ,556.05,585,556,578.4,580,562,8881,5134275.95,01-MAR-2016,1913,INE878A01011,
AIL,EQ,580.05,592,571.05,579.15,585,578.4,10166,5924000.55,02-MAR-2016,735,INE878A01011,
AIL,EQ,580.2,584.95,574.15,576.25,575,579.15,5013,2899951.55,03-MAR-2016,467,INE878A01011,
AIL,EQ,588.5,588.5,568.2,577.85,579.95,576.25,42080,24123862.85,04-MAR-2016,581,INE878A01011,
AIL,EQ,577.85,590.2,568.45,587.7,589,577.85,10596,6201359.1,08-MAR-2016,1056,INE878A01011,
AIL,EQ,586.05,587.05,574.15,580.05,580,587.7,26523,15361946.65,09-MAR-2016,930,INE878A01011,
AIL,EQ,578.8,584.7,547.4,567.75,562.2,580.05,30489,17347178.55,10-MAR-2016,1864,INE878A01011,
