SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ALCHEM,EQ,31,33.05,29.85,33.05,33.05,30.05,83202,2729065.7,01-JAN-2016,473,INE964B01033,
ALCHEM,EQ,33.8,33.8,31,31.85,32.4,33.05,57271,1815059.75,04-JAN-2016,385,INE964B01033,
ALCHEM,EQ,32.1,32.75,31.3,32.45,32.65,31.85,16551,534756.65,05-JAN-2016,116,INE964B01033,
ALCHEM,EQ,32.6,33,31,32.3,33,32.45,15208,487548.6,06-JAN-2016,109,INE964B01033,
ALCHEM,EQ,30.15,32,29.2,29.85,29.95,32.3,30638,921124.05,07-JAN-2016,200,INE964B01033,
ALCHEM,EQ,30.7,30.7,28.05,29.85,30,29.85,12522,371712.25,08-JAN-2016,147,INE964B01033,
ALCHEM,EQ,28.8,30.3,28.35,28.7,28.5,29.85,16209,467666.55,11-JAN-2016,145,INE964B01033,
ALCHEM,EQ,28.65,29.5,28.1,28.7,28.6,28.7,11665,336728.3,12-JAN-2016,89,INE964B01033,
ALCHEM,EQ,29.8,29.95,26.15,28.45,27.85,28.7,28987,819032.75,13-JAN-2016,206,INE964B01033,
ALCHEM,EQ,26.5,29.2,25.65,27.75,27.8,28.45,16290,444718.7,14-JAN-2016,144,INE964B01033,
ALCHEM,EQ,28.4,28.4,25.8,26,25.8,27.75,11440,309908.85,15-JAN-2016,95,INE964B01033,
ALCHEM,EQ,25,26.45,23.4,23.95,23.85,26,19202,461768.45,18-JAN-2016,129,INE964B01033,
ALCHEM,EQ,23.95,25.6,23.6,24.2,24,23.95,10396,253721.65,19-JAN-2016,111,INE964B01033,
ALCHEM,EQ,23.2,24.4,22.3,24.15,23.5,24.2,7082,166352.8,20-JAN-2016,47,INE964B01033,
ALCHEM,EQ,24.75,24.75,22.9,24.05,23.6,24.15,9347,221525.35,21-JAN-2016,64,INE964B01033,
ALCHEM,EQ,24.4,25.4,24,24.95,25.3,24.05,14348,352947.6,22-JAN-2016,70,INE964B01033,
ALCHEM,EQ,24.7,25.7,24.3,24.75,25,24.95,5738,142578,25-JAN-2016,54,INE964B01033,
ALCHEM,EQ,24.75,26.2,24.5,25.2,25.2,24.75,11368,287971.25,27-JAN-2016,85,INE964B01033,
ALCHEM,EQ,25.15,25.9,25.1,25.85,25.9,25.2,10264,260433.6,28-JAN-2016,32,INE964B01033,
ALCHEM,EQ,26.3,28.3,25.45,27,27,25.85,12495,332012.45,29-JAN-2016,105,INE964B01033,
ALCHEM,EQ,27,27,26.1,26.1,26.1,27,4635,122768.3,01-FEB-2016,48,INE964B01033,
ALCHEM,EQ,26.05,26.85,25.55,25.8,25.65,26.1,3436,89275.65,02-FEB-2016,45,INE964B01033,
ALCHEM,EQ,25.05,25.8,24.5,24.85,24.5,25.8,4608,114880.25,03-FEB-2016,38,INE964B01033,
ALCHEM,EQ,24.3,25.75,24.3,24.55,25,24.85,3262,81043.85,04-FEB-2016,17,INE964B01033,
ALCHEM,EQ,26.5,26.8,24.3,25.25,24.8,24.55,1703,43246.9,05-FEB-2016,35,INE964B01033,
ALCHEM,EQ,26.6,26.8,24.35,24.7,24.5,25.25,5385,133352.1,08-FEB-2016,51,INE964B01033,
ALCHEM,EQ,24,25.2,23.8,24.3,24.2,24.7,817,20096.6,09-FEB-2016,28,INE964B01033,
ALCHEM,EQ,24.1,24.5,23.15,23.3,23.3,24.3,3455,82419.25,10-FEB-2016,24,INE964B01033,
ALCHEM,EQ,23.05,23.2,20.4,20.75,20.6,23.3,16704,360835.7,11-FEB-2016,179,INE964B01033,
ALCHEM,EQ,20.75,21.9,20.4,21.2,21.6,20.75,5746,121078.5,12-FEB-2016,59,INE964B01033,
ALCHEM,EQ,22.5,22.5,20.6,21.45,21.1,21.2,4628,99132.7,15-FEB-2016,64,INE964B01033,
ALCHEM,EQ,22.75,22.9,21,21.3,21,21.45,3334,72777.7,16-FEB-2016,36,INE964B01033,
ALCHEM,EQ,20.35,21.6,20.3,20.65,20.5,21.3,7034,144813.85,17-FEB-2016,111,INE964B01033,
ALCHEM,EQ,20.2,22.25,20.2,21.15,21,20.65,6955,148252.65,18-FEB-2016,53,INE964B01033,
ALCHEM,EQ,21,21.5,20.6,21.25,21.25,21.15,1401,29636.3,19-FEB-2016,21,INE964B01033,
ALCHEM,EQ,21.3,21.5,20.5,20.85,20.9,21.25,2727,56626.35,22-FEB-2016,29,INE964B01033,
ALCHEM,EQ,20.85,21,20.1,20.35,20.15,20.85,3450,70987,23-FEB-2016,55,INE964B01033,
ALCHEM,EQ,20,21,20,20.2,20.1,20.35,4057,81956.05,24-FEB-2016,57,INE964B01033,
ALCHEM,EQ,20,21.25,20,20.5,20.5,20.2,5500,113806.5,25-FEB-2016,36,INE964B01033,
ALCHEM,EQ,20.2,20.8,20.1,20.1,20.2,20.5,1610,32809.55,26-FEB-2016,19,INE964B01033,
ALCHEM,EQ,20.95,21.9,20.05,21,21.3,20.1,4851,101970.75,29-FEB-2016,42,INE964B01033,
ALCHEM,EQ,21,21.2,20.35,20.75,20.45,21,2231,46288.25,01-MAR-2016,28,INE964B01033,
