SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AMBUJACEM,EQ,203.5,206.4,203,205.65,205.95,203.05,553703,113550514.65,01-JAN-2016,5682,INE079A01024,
AMBUJACEM,EQ,204.05,205.6,200.25,202.15,202.5,205.65,1079102,218226363.4,04-JAN-2016,10297,INE079A01024,
AMBUJACEM,EQ,203,204.7,201.8,204,203.65,202.15,1097743,223305405.65,05-JAN-2016,21722,INE079A01024,
AMBUJACEM,EQ,204.95,204.95,200.5,203.05,203.05,204,1593489,323068016.4,06-JAN-2016,27499,INE079A01024,
AMBUJACEM,EQ,202,202.5,195.75,197.6,197.6,203.05,2114333,417677932.5,07-JAN-2016,11063,INE079A01024,
AMBUJACEM,EQ,199,199.65,194.1,198.35,197.7,197.6,1860881,366812164.6,08-JAN-2016,37513,INE079A01024,
AMBUJACEM,EQ,196,198.8,194.55,197.95,197.6,198.35,1818961,359381604.15,11-JAN-2016,29013,INE079A01024,
AMBUJACEM,EQ,198.4,199.2,194.2,195.2,196.05,197.95,1601848,313234981.9,12-JAN-2016,13978,INE079A01024,
AMBUJACEM,EQ,196.95,198.85,194.05,197.95,198.5,195.2,1692489,332836547.85,13-JAN-2016,12802,INE079A01024,
AMBUJACEM,EQ,194.1,199.5,192.5,197.95,198.4,197.95,1391517,274965499.85,14-JAN-2016,15637,INE079A01024,
AMBUJACEM,EQ,196.55,198.95,192.6,193.9,196,197.95,1561732,304026200.8,15-JAN-2016,14466,INE079A01024,
AMBUJACEM,EQ,194.4,194.8,189.05,191.1,191.5,193.9,2315714,442266433.15,18-JAN-2016,26758,INE079A01024,
AMBUJACEM,EQ,190,192.6,189,191.35,191.75,191.1,2220899,423201595.45,19-JAN-2016,37864,INE079A01024,
AMBUJACEM,EQ,189,196,185.2,186.95,187.05,191.35,1976025,369116433.55,20-JAN-2016,16106,INE079A01024,
AMBUJACEM,EQ,189,194.4,187.3,192.1,192.45,186.95,1546722,296820291,21-JAN-2016,19383,INE079A01024,
AMBUJACEM,EQ,193.8,196.65,191.65,193,193.5,192.1,1064284,206864467.15,22-JAN-2016,11779,INE079A01024,
AMBUJACEM,EQ,194.2,199.35,193.55,196.95,196.5,193,1102255,217871698.95,25-JAN-2016,21220,INE079A01024,
AMBUJACEM,EQ,196.95,197.4,190.9,191.9,191.6,196.95,1409030,272718607.3,27-JAN-2016,21494,INE079A01024,
AMBUJACEM,EQ,191.9,195,191,193.2,192.65,191.9,2728142,525903776.15,28-JAN-2016,14501,INE079A01024,
AMBUJACEM,EQ,193.95,196.5,193,195.35,195.8,193.2,1857531,362081346.1,29-JAN-2016,13335,INE079A01024,
AMBUJACEM,EQ,196.5,200.8,195.35,199.95,200.2,195.35,1699676,339157430.05,01-FEB-2016,20996,INE079A01024,
AMBUJACEM,EQ,200.8,201.95,195.6,196.6,196.2,199.95,1122874,223453648.25,02-FEB-2016,27028,INE079A01024,
AMBUJACEM,EQ,195.8,197.55,191.1,191.9,191.8,196.6,954604,185611626.55,03-FEB-2016,20170,INE079A01024,
AMBUJACEM,EQ,192.75,197,192.75,195.65,195.8,191.9,802383,157180816.7,04-FEB-2016,17673,INE079A01024,
AMBUJACEM,EQ,194.1,199.4,194.1,195.5,195.5,195.65,1742979,342778326.85,05-FEB-2016,18627,INE079A01024,
AMBUJACEM,EQ,195.5,201,195.4,197.15,196.5,195.5,924357,183874181.1,08-FEB-2016,10663,INE079A01024,
AMBUJACEM,EQ,196.5,198.3,195,197.65,197.85,197.15,962190,190091482,09-FEB-2016,16736,INE079A01024,
AMBUJACEM,EQ,197,197,191,195.6,193.8,197.65,2357622,458099397.55,10-FEB-2016,23888,INE079A01024,
AMBUJACEM,EQ,188.5,195.75,188.1,193.35,193.55,195.6,3151319,609807784.05,11-FEB-2016,32684,INE079A01024,
AMBUJACEM,EQ,195,196.35,190.4,194.65,195,193.35,1650757,320051274.15,12-FEB-2016,41906,INE079A01024,
AMBUJACEM,EQ,196,199.35,195.3,198,197.55,194.65,1061877,210553017.95,15-FEB-2016,15618,INE079A01024,
AMBUJACEM,EQ,198.9,199.2,192.4,194,193.3,198,704409,138494636.5,16-FEB-2016,8237,INE079A01024,
AMBUJACEM,EQ,194,194.6,188.5,193.4,193.3,194,986654,188728936.95,17-FEB-2016,9906,INE079A01024,
AMBUJACEM,EQ,195,196.4,192.7,195.35,194.65,193.4,1106473,215825659.3,18-FEB-2016,15986,INE079A01024,
AMBUJACEM,EQ,194.7,195.65,194,194.95,194.75,195.35,1086947,211836061.65,19-FEB-2016,16627,INE079A01024,
AMBUJACEM,EQ,195.75,197,195,196,196.2,194.95,1609745,315661081.05,22-FEB-2016,24053,INE079A01024,
AMBUJACEM,EQ,195.8,196.35,192.7,193.6,193.1,196,1271281,248235368.75,23-FEB-2016,22982,INE079A01024,
AMBUJACEM,EQ,193,194.3,190.75,191.4,191.05,193.6,905452,174007742.35,24-FEB-2016,30093,INE079A01024,
AMBUJACEM,EQ,190.85,192.65,187.9,188.8,189.95,191.4,2832446,537983080.3,25-FEB-2016,44668,INE079A01024,
AMBUJACEM,EQ,190.9,192.35,186.4,189,189,188.8,1864015,352279988.05,26-FEB-2016,28295,INE079A01024,
AMBUJACEM,EQ,190,192,185,187.95,187.6,189,2396243,452894353.5,29-FEB-2016,23881,INE079A01024,
AMBUJACEM,EQ,189.25,191.45,188.2,190.4,190.9,187.95,1759654,333774088.4,01-MAR-2016,17102,INE079A01024,
AMBUJACEM,EQ,193,197,191.65,195.65,196.7,190.4,1346291,261324938.45,02-MAR-2016,27541,INE079A01024,
AMBUJACEM,EQ,197.9,200.7,195.8,199.65,199.4,195.65,2223554,440323734.1,03-MAR-2016,32266,INE079A01024,
AMBUJACEM,EQ,201.8,203.2,199.55,202.4,202.35,199.65,1767133,356542189.3,04-MAR-2016,22108,INE079A01024,
AMBUJACEM,EQ,202,204.45,199.75,201.65,202,202.4,3088272,624345044.05,08-MAR-2016,32735,INE079A01024,
AMBUJACEM,EQ,201.8,205.35,201.5,204.35,203.75,201.65,4723889,958691976.1,09-MAR-2016,17107,INE079A01024,
AMBUJACEM,EQ,204.4,204.6,200.75,201.5,200.8,204.35,5056909,1021848132.05,10-MAR-2016,16464,INE079A01024,
AMBUJACEM,EQ,200,202.65,199.65,200.7,200.4,201.5,3751968,754265362.9,11-MAR-2016,14704,INE079A01024,
AMBUJACEM,EQ,201.9,206,201.9,203.7,203.1,200.7,2540418,517771890.05,14-MAR-2016,27656,INE079A01024,
AMBUJACEM,EQ,204.05,206.4,202.55,204.9,204.75,203.7,2283229,466992609.95,15-MAR-2016,15811,INE079A01024,
AMBUJACEM,EQ,205,207.7,203.15,206.2,206.4,204.9,2060089,423384488.05,16-MAR-2016,14060,INE079A01024,
AMBUJACEM,EQ,207.5,219.9,207.5,218.15,217.7,206.2,4253989,920432768.4,17-MAR-2016,62708,INE079A01024,
AMBUJACEM,EQ,219,223.15,216.65,222.05,223,218.15,2980833,656399587.45,18-MAR-2016,27285,INE079A01024,
AMBUJACEM,EQ,222.3,233.95,221.5,231.95,231.7,222.05,5598530,1285688043.7,21-MAR-2016,78705,INE079A01024,
AMBUJACEM,EQ,231.25,231.9,224.4,229.85,229.35,231.95,4129162,940914315.75,22-MAR-2016,39420,INE079A01024,
AMBUJACEM,EQ,229.8,232.9,226.25,228.25,227.9,229.85,2525210,577077833.3,23-MAR-2016,28994,INE079A01024,
AMBUJACEM,EQ,228,235.65,225.15,229.7,230.25,228.25,4176299,964641368.35,28-MAR-2016,45474,INE079A01024,
AMBUJACEM,EQ,231,233.5,226.3,230.9,230.75,229.7,2206647,507773951.5,29-MAR-2016,31825,INE079A01024,
AMBUJACEM,EQ,231.75,234.6,230.1,231.4,231.3,230.9,2195098,510707880.9,30-MAR-2016,29181,INE079A01024,
AMBUJACEM,EQ,231.7,234,229.7,232.55,233,231.4,3951966,917625534.5,31-MAR-2016,35495,INE079A01024,
AMBUJACEM,EQ,231.9,236.4,229.15,235.35,236,232.55,1438907,335099680.55,01-APR-2016,25361,INE079A01024,
AMBUJACEM,EQ,236.35,236.9,230.55,231.2,231.5,235.35,1587549,369203296.1,04-APR-2016,18561,INE079A01024,
AMBUJACEM,EQ,230,231.1,225.25,226.1,226.85,231.2,2201058,502358203.05,05-APR-2016,21828,INE079A01024,
AMBUJACEM,EQ,226.85,231,225.75,229.05,229.2,226.1,1630990,373490570.95,06-APR-2016,30545,INE079A01024,
AMBUJACEM,EQ,229.05,230.3,225.1,226.45,225.55,229.05,1036460,236010592.15,07-APR-2016,12076,INE079A01024,
AMBUJACEM,EQ,225.7,231.35,223.05,225.75,225.95,226.45,2292188,521687650.6,08-APR-2016,25972,INE079A01024,
AMBUJACEM,EQ,226.95,227.65,221.5,224.55,223.9,225.75,1953589,437550266.55,11-APR-2016,21471,INE079A01024,
AMBUJACEM,EQ,224.55,226.35,221.5,223.75,224,224.55,1992521,445969492.05,12-APR-2016,38007,INE079A01024,
AMBUJACEM,EQ,227,232.5,226.05,231.1,231.6,223.75,4045604,930041072.45,13-APR-2016,31415,INE079A01024,
