SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ANANDRATHI,EQ,600,615,565.55,583.55,585,550,13930950,8232465801.65,14-DEC-2021,319364,INE463V01026,
ANANDRATHI,EQ,585,598.8,578,584.95,583.5,583.55,1337812,788198410.65,15-DEC-2021,37584,INE463V01026,
ANANDRATHI,EQ,586,594.5,566.1,570.9,571.5,584.95,664868,385745769.15,16-DEC-2021,15551,INE463V01026,
ANANDRATHI,EQ,570.8,578.95,564.95,568.75,568.1,570.9,664213,377778903.65,17-DEC-2021,11469,INE463V01026,
ANANDRATHI,EQ,555,560.65,542.6,551.55,552,568.75,790254,435847172,20-DEC-2021,10998,INE463V01026,
ANANDRATHI,EQ,552,578.4,552,574.65,571.95,551.55,571786,325559709.3,21-DEC-2021,9561,INE463V01026,
ANANDRATHI,EQ,570,588.95,570,580.5,576,574.65,302623,175488211.8,22-DEC-2021,7393,INE463V01026,
ANANDRATHI,EQ,580.5,587,570.05,576.1,575,580.5,205315,118988959.2,23-DEC-2021,6376,INE463V01026,
ANANDRATHI,EQ,574.1,577.3,565.6,571.4,571,576.1,148467,84635480.5,24-DEC-2021,4229,INE463V01026,
ANANDRATHI,EQ,563.1,572.95,563.1,571.45,570.1,571.4,218861,124678631.35,27-DEC-2021,3483,INE463V01026,
ANANDRATHI,EQ,572,578,567,572.05,575,571.45,235878,135000118.75,28-DEC-2021,5050,INE463V01026,
ANANDRATHI,EQ,570.1,602.05,568.2,583.15,583.3,572.05,373429,218513923.1,29-DEC-2021,11440,INE463V01026,
ANANDRATHI,EQ,580.15,605,580.15,585.75,584,583.15,637277,379212554.15,30-DEC-2021,16879,INE463V01026,
ANANDRATHI,EQ,587.95,606,585,588.5,593,585.75,383891,228593133.25,31-DEC-2021,12529,INE463V01026,
ANANDRATHI,EQ,595,642.5,592.05,632.75,626.7,588.5,1123074,697656275.7,03-JAN-2022,33224,INE463V01026,
ANANDRATHI,EQ,629.7,654,618.35,639.8,634.9,632.75,943975,603868060.55,04-JAN-2022,29073,INE463V01026,
ANANDRATHI,EQ,635.9,648.5,631.4,637.1,635.6,639.8,345322,220788553.5,05-JAN-2022,12939,INE463V01026,
ANANDRATHI,EQ,634.9,642,624,634.7,630.3,637.1,300674,190736727.55,06-JAN-2022,9114,INE463V01026,
