SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ARE&M,EQ,609.05,623.5,609.05,621,620.5,604.15,191571,118702168.4,27-OCT-2023,12506,INE885A01032,
ARE&M,EQ,621,644,617.4,631.25,628.95,621,503388,318343141.2,30-OCT-2023,18053,INE885A01032,
ARE&M,EQ,631.95,633.95,609,613.2,611,631.25,428617,265244542.9,31-OCT-2023,25158,INE885A01032,
ARE&M,EQ,628,635.5,616,617.9,618.4,613.2,676585,422018018.3,01-NOV-2023,25540,INE885A01032,
ARE&M,EQ,621,625.1,617.1,618,617.8,617.9,229449,142045695.2,02-NOV-2023,13422,INE885A01032,
ARE&M,EQ,621.35,622.95,618.55,621.05,621.5,618,192600,119589989.75,03-NOV-2023,12147,INE885A01032,
ARE&M,EQ,624.95,632.9,622,629,629,621.05,278018,174000230.4,06-NOV-2023,12400,INE885A01032,
ARE&M,EQ,629.95,634.8,628,632.15,631.5,629,344096,217388844.9,07-NOV-2023,12864,INE885A01032,
ARE&M,EQ,633.95,641,630.8,635.35,635.15,632.15,300572,191596172.2,08-NOV-2023,12426,INE885A01032,
ARE&M,EQ,636.95,638.4,626.1,631.15,631.05,635.35,308887,195144065.75,09-NOV-2023,12302,INE885A01032,
ARE&M,EQ,629.1,630.5,625.55,628.15,628.6,631.15,136433,85619988.7,10-NOV-2023,10173,INE885A01032,
ARE&M,EQ,639.95,642.2,634.05,639.45,639,638.7,267377,170698084.05,13-NOV-2023,10635,INE885A01032,
ARE&M,EQ,641.95,652.2,636.1,642.45,641.05,639.45,408571,262472890.3,15-NOV-2023,15872,INE885A01032,
ARE&M,EQ,644.85,648.6,640.55,642.4,642.95,642.45,279419,180161891.5,16-NOV-2023,9699,INE885A01032,
ARE&M,EQ,642.4,648,636.7,639.2,639.6,642.4,336206,216263356.25,17-NOV-2023,12807,INE885A01032,
