SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ATAM,EQ,240,240,211,220.95,223.8,209,39399,8588343.7,10-MAY-2023,472,INE09KD01013,
ATAM,EQ,239,259.95,232,256.75,255.1,220.95,187342,46856194.85,11-MAY-2023,6355,INE09KD01013,
ATAM,EQ,266,270,227,240,240.8,256.75,230608,57119718.5,12-MAY-2023,7894,INE09KD01013,
ATAM,EQ,239.95,252,223.6,236.8,239.4,240,78641,18618590.3,15-MAY-2023,4113,INE09KD01013,
ATAM,EQ,238.7,246,231.6,235.35,233.5,236.8,57035,13759998.2,16-MAY-2023,4003,INE09KD01013,
ATAM,EQ,235.5,250,235.5,239.95,240,235.35,88043,21439537.8,17-MAY-2023,3105,INE09KD01013,
ATAM,EQ,249.8,249.8,235.25,240.45,238.5,239.95,59693,14556091,18-MAY-2023,2766,INE09KD01013,
ATAM,EQ,247,247,236.1,238.4,239.95,240.45,33996,8102264.2,19-MAY-2023,1010,INE09KD01013,
ATAM,EQ,241,241,225.6,229.5,227,238.4,62007,14469591.4,22-MAY-2023,4502,INE09KD01013,
ATAM,BE,239,239,218.05,233.8,231,229.5,21242,4899883.45,23-MAY-2023,231,INE09KD01013,
ATAM,BE,238.95,240,226,231.25,239,233.8,24519,5764913.85,24-MAY-2023,376,INE09KD01013,
ATAM,BE,233.9,238.9,223.55,232.15,237,231.25,19057,4457775.8,25-MAY-2023,512,INE09KD01013,
ATAM,BE,237.5,238.75,228,229.7,230,232.15,12559,2938713.25,26-MAY-2023,398,INE09KD01013,
ATAM,BE,234.9,240,218.25,229.65,231.65,229.7,25540,5832229.5,29-MAY-2023,577,INE09KD01013,
ATAM,BE,228.95,229.65,225,228.45,229,229.65,2464,559045.9,30-MAY-2023,173,INE09KD01013,
ATAM,BE,234.5,234.5,221,225.1,225.3,228.45,8388,1899615.9,31-MAY-2023,318,INE09KD01013,
ATAM,BE,232.95,232.95,218.55,220.5,225,225.1,6171,1385976.75,01-JUN-2023,276,INE09KD01013,
ATAM,BE,223,229,222,225.25,226,220.5,7637,1719395.2,02-JUN-2023,242,INE09KD01013,
ATAM,BE,230,236.5,227,230.9,231,225.25,25934,6055894.15,05-JUN-2023,524,INE09KD01013,
