SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ATL,BE,47.95,47.95,45.55,45.55,45.55,345.85,209145,9600824.95,10-AUG-2023,755,INE0NN701020,
ATL,BE,43.3,43.3,43.3,43.3,43.3,45.55,81137,3513232.1,11-AUG-2023,384,INE0NN701020,
ATL,BE,41.15,41.15,41.15,41.15,41.15,43.3,31863,1311162.45,14-AUG-2023,286,INE0NN701020,
ATL,BE,39.1,39.1,39.1,39.1,39.1,41.15,27590,1078769,16-AUG-2023,247,INE0NN701020,
ATL,BE,37.15,39.1,37.15,37.85,37.8,39.1,3125213,116872244.3,17-AUG-2023,6293,INE0NN701020,
ATL,BE,35.95,38,35.95,36.6,36.15,37.85,1125456,41088760.15,18-AUG-2023,5460,INE0NN701020,
ATL,BE,37.7,38,36.55,36.85,37.7,36.6,509059,19006435.2,21-AUG-2023,2432,INE0NN701020,
ATL,BE,35.3,36,35,35,35,36.85,529244,18585454.45,22-AUG-2023,1418,INE0NN701020,
ATL,BE,33.6,35.25,33.25,34.75,34.75,35,399218,13702891,23-AUG-2023,1822,INE0NN701020,
ATL,BE,34.95,36.45,34.75,36.3,36.3,34.75,568813,20499458.4,24-AUG-2023,1906,INE0NN701020,
ATL,EQ,36.55,41.6,36.55,37.2,36.85,36.3,1922876,74207847.75,25-AUG-2023,10844,INE0NN701020,
ATL,EQ,37.75,38.3,34.5,35.65,35.95,37.2,1190438,43597052.3,28-AUG-2023,6965,INE0NN701020,
ATL,EQ,36.1,37.7,36.1,36.75,37,35.65,483888,17866458.15,29-AUG-2023,5284,INE0NN701020,
ATL,EQ,36.75,37.25,35.05,35.75,35.8,36.75,367703,13176975.7,30-AUG-2023,4036,INE0NN701020,
ATL,EQ,35.2,36.4,33.1,33.8,33.7,35.75,828051,28321419.9,31-AUG-2023,6662,INE0NN701020,
ATL,EQ,33.95,34.5,32.85,33.35,33.6,33.8,707495,23841941.65,01-SEP-2023,6628,INE0NN701020,
ATL,EQ,33.95,34.45,32.1,32.75,32.8,33.35,1019564,33638394.15,04-SEP-2023,7641,INE0NN701020,
ATL,EQ,32.8,33.55,31.3,31.5,31.6,32.75,1228571,39346514.7,05-SEP-2023,9315,INE0NN701020,
ATL,EQ,31.7,35.8,31.65,35.5,35.7,31.5,2515626,86578287.3,06-SEP-2023,10403,INE0NN701020,
ATL,EQ,35.9,36,34.85,35.25,35.5,35.5,1689100,59822799.05,07-SEP-2023,6467,INE0NN701020,
ATL,EQ,35.1,36.3,32.65,33.8,33.75,35.25,1878093,65231413.75,08-SEP-2023,9117,INE0NN701020,
ATL,EQ,34.3,35.3,33.65,34.05,34,33.8,1318216,45237945.75,11-SEP-2023,4974,INE0NN701020,
ATL,EQ,34.9,34.9,32.75,33.2,33,34.05,1039630,34715026.2,12-SEP-2023,5226,INE0NN701020,
