SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AUTOAXLES,EQ,732.85,732.85,706,715.45,711.65,725.2,691,495974.5,01-JAN-2016,83,INE449A01011,
AUTOAXLES,EQ,720.45,720.45,695.3,701.2,697,715.45,979,693181.3,04-JAN-2016,83,INE449A01011,
AUTOAXLES,EQ,697,712.55,695.3,702.3,709.9,701.2,237,166416.3,05-JAN-2016,35,INE449A01011,
AUTOAXLES,EQ,718.75,723,700,701.45,702,702.3,2597,1842322.15,06-JAN-2016,231,INE449A01011,
AUTOAXLES,EQ,696.45,708.3,680,690.4,700,701.45,1756,1211025.2,07-JAN-2016,206,INE449A01011,
AUTOAXLES,EQ,686.55,715,686.55,693.45,694,690.4,1016,711123.95,08-JAN-2016,119,INE449A01011,
AUTOAXLES,EQ,690.2,723.9,681,686.55,681.05,693.45,1332,917415.5,11-JAN-2016,99,INE449A01011,
AUTOAXLES,EQ,686.5,699.95,680,680.05,680,686.55,482,331480.05,12-JAN-2016,64,INE449A01011,
AUTOAXLES,EQ,681.25,704.95,655,694.75,704.9,680.05,1687,1163052.1,13-JAN-2016,201,INE449A01011,
AUTOAXLES,EQ,689.8,689.8,672.25,679,679.95,694.75,829,564027.95,14-JAN-2016,44,INE449A01011,
AUTOAXLES,EQ,672,680,635.4,650.9,655,679,2953,1956135.1,15-JAN-2016,209,INE449A01011,
AUTOAXLES,EQ,635.05,654.75,615,626.75,630,650.9,8130,5107197.6,18-JAN-2016,625,INE449A01011,
AUTOAXLES,EQ,637,640,631,638.95,631,626.75,182,116115.95,19-JAN-2016,22,INE449A01011,
AUTOAXLES,EQ,638.95,638.95,608,613.45,608.6,638.95,937,576969.05,20-JAN-2016,86,INE449A01011,
AUTOAXLES,EQ,623,641.3,580,589.3,580,613.45,2790,1653761.65,21-JAN-2016,274,INE449A01011,
AUTOAXLES,EQ,603,603,575.4,584.6,580,589.3,850,498401,22-JAN-2016,168,INE449A01011,
AUTOAXLES,EQ,595,599.9,580,584.2,582.05,584.6,50814,30130372.4,25-JAN-2016,50,INE449A01011,
AUTOAXLES,EQ,595,597,581.2,587.05,589,584.2,694,408252,27-JAN-2016,62,INE449A01011,
AUTOAXLES,EQ,592,599.95,580,580.7,580,587.05,624,365440.75,28-JAN-2016,48,INE449A01011,
AUTOAXLES,EQ,581.05,589,576,585.45,582.5,580.7,1817,1059357,29-JAN-2016,107,INE449A01011,
AUTOAXLES,EQ,589,597.9,588,596.5,595.05,585.45,740,438192.4,01-FEB-2016,49,INE449A01011,
AUTOAXLES,EQ,586,600,586,595.1,595.1,596.5,226,134552.8,02-FEB-2016,28,INE449A01011,
AUTOAXLES,EQ,576.25,596.35,576.1,587,587,595.1,667,390137.5,03-FEB-2016,48,INE449A01011,
AUTOAXLES,EQ,598.7,604.95,590.6,595.7,602.45,587,253,151401.8,04-FEB-2016,41,INE449A01011,
AUTOAXLES,EQ,595,608,588,606.65,606,595.7,263,157793.4,05-FEB-2016,41,INE449A01011,
AUTOAXLES,EQ,602.85,620.9,591.05,611.25,613.95,606.65,1209,728771.7,08-FEB-2016,153,INE449A01011,
AUTOAXLES,EQ,600,614.95,600,608,608,611.25,272,163960.95,09-FEB-2016,17,INE449A01011,
AUTOAXLES,EQ,606,606,575,576.75,575,608,1427,829754.6,10-FEB-2016,213,INE449A01011,
AUTOAXLES,EQ,584.95,616,505.25,579.4,571,576.75,7340,4172769.1,11-FEB-2016,357,INE449A01011,
AUTOAXLES,EQ,597.5,619.9,512.05,598,615.95,579.4,5193,2942791.65,12-FEB-2016,536,INE449A01011,
AUTOAXLES,EQ,585,616,585,603.1,598,598,168,101359.1,15-FEB-2016,48,INE449A01011,
AUTOAXLES,EQ,589.1,601.95,562.2,577.25,588,603.1,408,238255.75,16-FEB-2016,99,INE449A01011,
AUTOAXLES,EQ,571.2,586,565,573.25,565,577.25,532,305779.85,17-FEB-2016,76,INE449A01011,
AUTOAXLES,EQ,586,605,583.3,586.25,585.05,573.25,294,174371.35,18-FEB-2016,32,INE449A01011,
AUTOAXLES,EQ,596,596,576,590.15,590,586.25,808,476778.15,19-FEB-2016,66,INE449A01011,
AUTOAXLES,EQ,591,597,575.5,587.25,589.9,590.15,9048,5322160.3,22-FEB-2016,413,INE449A01011,
AUTOAXLES,EQ,581,589.95,570,580.1,589,587.25,1975,1141596.2,23-FEB-2016,365,INE449A01011,
AUTOAXLES,EQ,579,585.85,558,570.75,558,580.1,1863,1061849.8,24-FEB-2016,571,INE449A01011,
AUTOAXLES,EQ,576,576,565,565.15,565,570.75,320,181556.9,25-FEB-2016,29,INE449A01011,
AUTOAXLES,EQ,552.2,575,549.2,560.7,551,565.15,1502,838970,26-FEB-2016,379,INE449A01011,
AUTOAXLES,EQ,542.15,559.9,542.15,553.15,548,560.7,414,228671.95,29-FEB-2016,41,INE449A01011,
AUTOAXLES,EQ,565,595,563,589.4,595,553.15,2425,1407767.45,01-MAR-2016,218,INE449A01011,
AUTOAXLES,EQ,590,606,573.5,587.6,580,589.4,1927,1142806.95,02-MAR-2016,124,INE449A01011,
AUTOAXLES,EQ,595,595,579,589.7,590,587.6,2996,1766597,03-MAR-2016,323,INE449A01011,
AUTOAXLES,EQ,581,585.1,577,577.9,577,589.7,308,178167.4,04-MAR-2016,27,INE449A01011,
AUTOAXLES,EQ,577.9,590,571,589.65,585.25,577.9,2174,1279631.45,08-MAR-2016,330,INE449A01011,
AUTOAXLES,EQ,566.6,590,563,589.75,590,589.65,2849,1655350.4,09-MAR-2016,393,INE449A01011,
AUTOAXLES,EQ,570.1,587,566,576.15,570,589.75,1530,882381.75,10-MAR-2016,102,INE449A01011,
AUTOAXLES,EQ,584,585,576,576.45,582.9,576.15,149,86370.4,11-MAR-2016,15,INE449A01011,
AUTOAXLES,EQ,575,588,565.15,577.35,570.05,576.45,2377,1369119.95,14-MAR-2016,233,INE449A01011,
AUTOAXLES,EQ,570,572.85,553.05,560.5,560,577.35,1302,731825.75,15-MAR-2016,129,INE449A01011,
AUTOAXLES,EQ,562,578.5,545.15,554.35,554.5,560.5,1302,722298.75,16-MAR-2016,156,INE449A01011,
AUTOAXLES,EQ,555,559.95,546,549.7,546,554.35,516,285287.3,17-MAR-2016,47,INE449A01011,
AUTOAXLES,EQ,559,560,542.1,549.85,542.5,549.7,1599,882120.9,18-MAR-2016,95,INE449A01011,
AUTOAXLES,EQ,557,557,546,551.1,551,549.85,915,507461.75,21-MAR-2016,35,INE449A01011,
AUTOAXLES,EQ,555,569.9,555,563.7,565,551.1,459,258206.5,22-MAR-2016,51,INE449A01011,
AUTOAXLES,EQ,565,608,565,589.7,590,563.7,3579,2107627.8,23-MAR-2016,263,INE449A01011,
AUTOAXLES,EQ,590,590,566.3,572.85,567.25,589.7,5961,3486135.8,28-MAR-2016,194,INE449A01011,
AUTOAXLES,EQ,583.75,583.8,527.5,540.65,555,572.85,9112,5016368.25,29-MAR-2016,392,INE449A01011,
AUTOAXLES,EQ,556,573.95,546,561.9,558,540.65,3469,1953727.35,30-MAR-2016,197,INE449A01011,
AUTOAXLES,EQ,558,590,558,588.95,587,561.9,36373,20980628.15,31-MAR-2016,304,INE449A01011,
AUTOAXLES,EQ,590,590,561.6,577.5,581.75,588.95,3501,2012139.8,01-APR-2016,604,INE449A01011,
AUTOAXLES,EQ,595.5,600,577.3,586.3,590,577.5,4898,2880020.1,04-APR-2016,263,INE449A01011,
AUTOAXLES,EQ,590,590,565.1,571.9,579.85,586.3,829,475264.15,05-APR-2016,72,INE449A01011,
AUTOAXLES,EQ,573.5,586.4,573,578.45,574,571.9,157,90265.15,06-APR-2016,23,INE449A01011,
AUTOAXLES,EQ,587.25,587.25,571.5,573.95,572,578.45,88,50717.95,07-APR-2016,18,INE449A01011,
AUTOAXLES,EQ,596.85,600,580.05,595.6,590,573.95,981,578039.9,08-APR-2016,88,INE449A01011,
AUTOAXLES,EQ,590.05,605,582,589.35,585.1,595.6,3067,1814235.7,11-APR-2016,111,INE449A01011,
AUTOAXLES,EQ,609.5,609.5,577,579.6,577,589.35,1705,993891.85,12-APR-2016,144,INE449A01011,
AUTOAXLES,EQ,580,603,580,591.35,591,579.6,3684,2175451.15,13-APR-2016,137,INE449A01011,
AUTOAXLES,EQ,586.5,607,585,600.9,600,591.35,5724,3389230.35,18-APR-2016,167,INE449A01011,
AUTOAXLES,EQ,605.95,623,602,614.95,619.8,600.9,1164,716125.3,20-APR-2016,156,INE449A01011,
AUTOAXLES,EQ,590.05,626,590.05,621,619,614.95,1950,1205231.5,21-APR-2016,157,INE449A01011,
AUTOAXLES,EQ,612.25,620,612.2,614,614,621,1120,688922.85,22-APR-2016,48,INE449A01011,
AUTOAXLES,EQ,614,641.8,614,636.85,640,614,2605,1641193.6,25-APR-2016,172,INE449A01011,
AUTOAXLES,EQ,630.25,633.9,620.05,631.6,632,636.85,281,176048.25,26-APR-2016,31,INE449A01011,
AUTOAXLES,EQ,627,627,620,620.95,621,631.6,205,127537.6,27-APR-2016,21,INE449A01011,
AUTOAXLES,EQ,620,621,596.6,605.7,609.9,620.95,1355,819691.15,28-APR-2016,134,INE449A01011,
AUTOAXLES,EQ,616,627,609.85,609.9,610,605.7,1540,954549,29-APR-2016,135,INE449A01011,
AUTOAXLES,EQ,623,640,605.05,631.75,640,609.9,3269,2032311.85,02-MAY-2016,176,INE449A01011,
AUTOAXLES,EQ,611.4,640,611.4,630.45,631,631.75,820,521868.4,03-MAY-2016,53,INE449A01011,
AUTOAXLES,EQ,620,622,614.8,617.65,618,630.45,1436,888894,04-MAY-2016,60,INE449A01011,
AUTOAXLES,EQ,615.65,618,605,607.6,605.25,617.65,848,518703,05-MAY-2016,86,INE449A01011,
AUTOAXLES,EQ,605.25,614.5,599,609.1,603,607.6,616,371899.1,06-MAY-2016,65,INE449A01011,
AUTOAXLES,EQ,616,635,612,625.3,635,609.1,13675,8545082,09-MAY-2016,214,INE449A01011,
AUTOAXLES,EQ,636,650,611,618.3,622,625.3,4690,2956218.75,10-MAY-2016,391,INE449A01011,
AUTOAXLES,EQ,677,677,622,626.65,627.9,618.3,44259,28548007.6,11-MAY-2016,2382,INE449A01011,
AUTOAXLES,EQ,632,640,616.3,634.85,632,626.65,19073,12000642.9,12-MAY-2016,650,INE449A01011,
AUTOAXLES,EQ,639,650,621,629.4,630,634.85,5655,3621777.1,13-MAY-2016,329,INE449A01011,
AUTOAXLES,EQ,639.3,639.3,616,618.5,616,629.4,10227,6355141.5,16-MAY-2016,292,INE449A01011,
