SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AUTOLITIND,EQ,69.95,75.55,65.5,74.45,74,68.9,295668,21629248.5,01-JAN-2016,3052,INE448A01013,
AUTOLITIND,EQ,77.7,78.2,70,70.95,70.05,74.45,236711,17597424.7,04-JAN-2016,2399,INE448A01013,
AUTOLITIND,EQ,69.05,73.1,69.05,70.15,70.45,70.95,48425,3448539.6,05-JAN-2016,575,INE448A01013,
AUTOLITIND,EQ,70.55,71.8,68.5,68.6,68.6,70.15,33202,2303948.35,06-JAN-2016,474,INE448A01013,
AUTOLITIND,EQ,67.9,67.9,60.7,61.9,62.25,68.6,30047,1934953.1,07-JAN-2016,526,INE448A01013,
AUTOLITIND,EQ,64,64.9,61.15,63.4,63,61.9,56679,3540496.05,08-JAN-2016,645,INE448A01013,
AUTOLITIND,EQ,62.65,64.5,62,63.9,64,63.4,21034,1341654.7,11-JAN-2016,341,INE448A01013,
AUTOLITIND,EQ,62.05,69.9,62.05,65.85,66.35,63.9,45481,3021088.9,12-JAN-2016,563,INE448A01013,
AUTOLITIND,EQ,66,68,55.05,61.4,61.4,65.85,61915,3786776.75,13-JAN-2016,527,INE448A01013,
AUTOLITIND,EQ,61,61.55,57,60.25,61.55,61.4,12435,741043.2,14-JAN-2016,203,INE448A01013,
AUTOLITIND,EQ,60,62.1,55.05,56.35,57.2,60.25,23574,1371155,15-JAN-2016,338,INE448A01013,
AUTOLITIND,EQ,55,57.9,47.7,48.6,48.2,56.35,23041,1188383.7,18-JAN-2016,359,INE448A01013,
AUTOLITIND,EQ,48.6,52.95,48.6,49.8,49.8,48.6,20018,1004843.3,19-JAN-2016,349,INE448A01013,
AUTOLITIND,EQ,48.4,51.9,42.15,44.45,45.5,49.8,59460,2793955.2,20-JAN-2016,879,INE448A01013,
AUTOLITIND,EQ,47.1,49,44.1,46.6,46.3,44.45,16491,772283.25,21-JAN-2016,411,INE448A01013,
AUTOLITIND,EQ,46.3,48.95,46.3,47.8,47.3,46.6,10911,520261.75,22-JAN-2016,240,INE448A01013,
AUTOLITIND,EQ,47.95,51.9,47.95,49.95,50.4,47.8,36423,1828145.25,25-JAN-2016,433,INE448A01013,
AUTOLITIND,EQ,51,58.15,48.15,54.7,54.6,49.95,44095,2368769.25,27-JAN-2016,1053,INE448A01013,
AUTOLITIND,EQ,55.55,59,53.1,55.9,56.05,54.7,34754,1949058.95,28-JAN-2016,513,INE448A01013,
AUTOLITIND,EQ,55.2,61,53.7,60.35,61,55.9,127323,7553646.1,29-JAN-2016,1194,INE448A01013,
