SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AVONMORE,EQ,80.5,84.4,72.3,73.45,72.7,78.15,55355,4262435.6,04-JAN-2023,1187,INE323B01016,
AVONMORE,EQ,77.4,77.4,70.85,74.7,74.7,73.45,22526,1680337.1,05-JAN-2023,631,INE323B01016,
AVONMORE,EQ,76.5,76.5,72,72.55,72.35,74.7,10600,785871.4,06-JAN-2023,310,INE323B01016,
AVONMORE,EQ,73.3,74.2,71.15,72.25,71.35,72.55,8716,632934,09-JAN-2023,323,INE323B01016,
AVONMORE,EQ,71.05,73.05,70.25,70.7,70.3,72.25,18023,1282029.55,10-JAN-2023,376,INE323B01016,
AVONMORE,EQ,70.3,72.75,70.3,71.75,72.6,70.7,9160,657144.6,11-JAN-2023,212,INE323B01016,
AVONMORE,EQ,73.65,73.65,69.95,70.45,70,71.75,6311,448264.8,12-JAN-2023,339,INE323B01016,
AVONMORE,EQ,70.5,70.95,67,68,68,70.45,15480,1069160.55,13-JAN-2023,321,INE323B01016,
AVONMORE,EQ,69.4,77.9,68.9,73.25,72.95,68,39468,2926782.75,16-JAN-2023,1183,INE323B01016,
AVONMORE,EQ,75.9,75.9,72.6,73.6,73.35,73.25,18873,1403235.8,17-JAN-2023,828,INE323B01016,
AVONMORE,EQ,73.5,76.9,71.25,72.05,73.25,73.6,24963,1843811.9,18-JAN-2023,1125,INE323B01016,
AVONMORE,EQ,72.85,74.1,71.05,73.1,72.3,72.05,12618,920200.9,19-JAN-2023,608,INE323B01016,
AVONMORE,EQ,73.25,75.7,73.15,73.75,73.55,73.1,17872,1329449.95,20-JAN-2023,595,INE323B01016,
AVONMORE,EQ,73.85,74.85,72.4,72.9,72.95,73.75,6666,490616.75,23-JAN-2023,386,INE323B01016,
AVONMORE,EQ,72.05,73.8,69.5,70.9,71.25,72.9,14167,1009807.1,24-JAN-2023,404,INE323B01016,
AVONMORE,EQ,70.95,71.75,68.85,69.2,69.25,70.9,16134,1127138.15,25-JAN-2023,325,INE323B01016,
AVONMORE,EQ,71.15,71.3,67.05,70.75,70.75,69.2,12349,843812.4,27-JAN-2023,519,INE323B01016,
AVONMORE,EQ,73.25,73.25,67,68.1,68.2,70.75,17348,1193913.6,30-JAN-2023,573,INE323B01016,
AVONMORE,EQ,68.25,70.85,66.35,70.1,70.85,68.1,15825,1079160.05,31-JAN-2023,507,INE323B01016,
AVONMORE,EQ,71.25,71.55,68,69.65,70,70.1,21179,1460645.3,01-FEB-2023,651,INE323B01016,
AVONMORE,EQ,69.6,69.6,67.3,67.75,67.3,69.65,18485,1254496.2,02-FEB-2023,232,INE323B01016,
AVONMORE,EQ,69.3,69.9,67.15,67.5,68,67.75,14183,970682.4,03-FEB-2023,295,INE323B01016,
AVONMORE,EQ,71.6,71.6,67.3,68.05,69.25,67.5,12454,849714.65,06-FEB-2023,400,INE323B01016,
AVONMORE,EQ,69.25,69.25,67,67.8,68.1,68.05,7988,543560.4,07-FEB-2023,225,INE323B01016,
AVONMORE,EQ,68.2,69.9,68,68.85,69,67.8,11150,768248.1,08-FEB-2023,459,INE323B01016,
AVONMORE,EQ,68.35,68.35,67.3,67.8,67.45,68.85,8763,594588.25,09-FEB-2023,189,INE323B01016,
AVONMORE,EQ,68.05,80.8,67.7,71.1,71.85,67.8,161307,12263956.7,10-FEB-2023,2550,INE323B01016,
AVONMORE,EQ,72,72,68.65,69,69.9,71.1,13475,947421.3,13-FEB-2023,463,INE323B01016,
AVONMORE,EQ,68.2,73.75,65.85,68.8,67.95,69,15075,1052233.15,14-FEB-2023,338,INE323B01016,
AVONMORE,EQ,70,70,65.9,66.85,67.4,68.8,10716,719093.05,15-FEB-2023,365,INE323B01016,
AVONMORE,EQ,68.95,69.75,67.1,67.8,68.65,66.85,6353,431271.9,16-FEB-2023,184,INE323B01016,
AVONMORE,EQ,68.65,68.65,65.5,65.75,65.5,67.8,15584,1040778.95,17-FEB-2023,218,INE323B01016,
AVONMORE,EQ,65.1,67.3,64.15,64.5,64.25,65.75,35219,2302961.4,20-FEB-2023,286,INE323B01016,
AVONMORE,EQ,65.75,65.75,62.95,63.95,62.95,64.5,26833,1730136.15,21-FEB-2023,236,INE323B01016,
AVONMORE,EQ,62.95,66.15,62.95,64,64.95,63.95,35421,2282440.5,22-FEB-2023,863,INE323B01016,
AVONMORE,EQ,65,65.9,61.45,63.3,63.75,64,40898,2609694.8,23-FEB-2023,1147,INE323B01016,
AVONMORE,EQ,63.3,64.8,61.55,62.5,61.55,63.3,11601,734597.45,24-FEB-2023,342,INE323B01016,
AVONMORE,EQ,62.75,64.5,61.2,62.65,63.95,62.5,10898,687208.95,27-FEB-2023,333,INE323B01016,
AVONMORE,EQ,64.25,65.05,63.5,64.05,64,62.65,17800,1144481.25,28-FEB-2023,474,INE323B01016,
AVONMORE,EQ,64.8,65.25,62.1,64.1,64.65,64.05,11454,732790.7,01-MAR-2023,557,INE323B01016,
AVONMORE,EQ,64.9,66.5,63.1,63.35,63.25,64.1,46676,3027193.95,02-MAR-2023,1005,INE323B01016,
AVONMORE,EQ,63.5,64.9,63,64.6,64.9,63.35,22522,1447452.3,03-MAR-2023,562,INE323B01016,
AVONMORE,EQ,65.75,65.75,64.1,64.65,64.3,64.6,44352,2883251.15,06-MAR-2023,542,INE323B01016,
AVONMORE,EQ,64.65,66.25,62.85,64.75,65.1,64.65,39371,2568922.95,08-MAR-2023,621,INE323B01016,
AVONMORE,EQ,66.4,66.9,63.7,64.65,64.7,64.75,72072,4722078.85,09-MAR-2023,730,INE323B01016,
AVONMORE,EQ,64.4,65.4,63.65,64.3,64.85,64.65,16869,1086460.2,10-MAR-2023,373,INE323B01016,
AVONMORE,EQ,65.95,65.95,61.9,64.15,64,64.3,26846,1690487.3,13-MAR-2023,609,INE323B01016,
AVONMORE,EQ,64.45,64.8,62.45,63.35,63.25,64.15,22476,1422634.8,14-MAR-2023,357,INE323B01016,
AVONMORE,EQ,65.65,65.65,60.35,61.35,61,63.35,19525,1221633,15-MAR-2023,441,INE323B01016,
AVONMORE,EQ,63.95,63.95,60.8,62.6,62,61.35,12154,751706.3,16-MAR-2023,416,INE323B01016,
AVONMORE,EQ,63.4,64.2,62.1,62.7,62.95,62.6,20771,1306909.05,17-MAR-2023,323,INE323B01016,
AVONMORE,EQ,62.5,64.7,61.35,63.3,63,62.7,7827,493799.15,20-MAR-2023,223,INE323B01016,
AVONMORE,EQ,63.9,67.75,61.8,63.85,62,63.3,83207,5297725.55,21-MAR-2023,943,INE323B01016,
AVONMORE,EQ,63.5,64,60.75,61.65,61.9,63.85,44420,2791835.2,22-MAR-2023,1054,INE323B01016,
AVONMORE,EQ,62.3,64.25,61.5,62.85,62.35,61.65,20854,1308430.45,23-MAR-2023,664,INE323B01016,
AVONMORE,EQ,62.85,63.5,62.3,62.35,62.3,62.85,15319,961747.3,24-MAR-2023,206,INE323B01016,
AVONMORE,EQ,62.3,62.8,60.05,61.25,61.85,62.35,10776,661286.05,27-MAR-2023,219,INE323B01016,
AVONMORE,EQ,60.9,62,59.15,60.55,59.15,61.25,26108,1589868.55,28-MAR-2023,400,INE323B01016,
AVONMORE,EQ,61,61.55,58.5,59.75,60.15,60.55,30343,1824845.6,29-MAR-2023,291,INE323B01016,
AVONMORE,EQ,60.15,61.75,60,60.9,60.85,59.75,15656,950561.1,31-MAR-2023,197,INE323B01016,
AVONMORE,EQ,60.9,63.45,60.9,61.45,61.9,60.9,16765,1042090.75,03-APR-2023,420,INE323B01016,
AVONMORE,EQ,62.95,65.7,60.85,65.2,65.5,61.45,19814,1267340.15,05-APR-2023,396,INE323B01016,
AVONMORE,EQ,65.6,66.6,65,65.15,65.3,65.2,6822,448424.7,06-APR-2023,224,INE323B01016,
AVONMORE,EQ,67,67.1,62.15,66.65,66.85,65.15,10158,665145.05,10-APR-2023,437,INE323B01016,
AVONMORE,EQ,66.7,66.8,64.3,64.45,64.95,66.65,5032,329587.4,11-APR-2023,171,INE323B01016,
AVONMORE,EQ,63.2,66.85,63.15,65.65,65.05,64.45,17143,1111952.65,12-APR-2023,439,INE323B01016,
AVONMORE,EQ,68.45,68.45,65.5,65.75,65.5,65.65,8339,551989.75,13-APR-2023,178,INE323B01016,
AVONMORE,EQ,67.65,67.65,65.2,65.95,66.4,65.75,13943,921873.1,17-APR-2023,399,INE323B01016,
AVONMORE,EQ,66.8,69.75,65.5,66.9,66.2,65.95,23568,1584638.15,18-APR-2023,448,INE323B01016,
AVONMORE,EQ,68.65,68.65,64.45,64.85,64.8,66.9,18492,1213225.9,19-APR-2023,302,INE323B01016,
AVONMORE,EQ,64.15,65.05,63.75,64.25,64,64.85,16594,1064774.45,20-APR-2023,246,INE323B01016,
AVONMORE,EQ,65.15,67.9,64.5,67.3,67,64.25,17440,1159226.2,21-APR-2023,247,INE323B01016,
