SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AXISTECETF,EQ,269.96,275,261,274.91,270.1,257.51,676,181417.66,31-MAR-2021,45,INF846K01Y96,
AXISTECETF,EQ,271,280,266.25,278.98,278.99,274.91,713,198415.25,01-APR-2021,32,INF846K01Y96,
AXISTECETF,EQ,278.98,280,260,278,279,278.98,802,218326.69,05-APR-2021,55,INF846K01Y96,
AXISTECETF,EQ,311,311,279.5,290.12,289.75,278,2859,823558.95,06-APR-2021,79,INF846K01Y96,
AXISTECETF,EQ,298.82,317.7,262.95,270.18,272,290.12,17589,4789867.22,07-APR-2021,234,INF846K01Y96,
AXISTECETF,EQ,270.18,288,270.18,272.83,281,270.18,3736,1048169.87,08-APR-2021,97,INF846K01Y96,
AXISTECETF,EQ,280,290,272,272.99,273,272.83,17046,4657695.23,09-APR-2021,149,INF846K01Y96,
AXISTECETF,EQ,260.6,279.99,260.6,271.14,272,272.99,2132,576654.1,12-APR-2021,120,INF846K01Y96,
AXISTECETF,EQ,268,270,260.95,266.27,265.5,271.14,2225,589685.55,13-APR-2021,126,INF846K01Y96,
AXISTECETF,EQ,274.99,274.99,260,265.1,262.2,266.27,1438,377448.84,15-APR-2021,94,INF846K01Y96,
AXISTECETF,EQ,270,270,260,261.81,261,265.1,1472,386468.08,16-APR-2021,50,INF846K01Y96,
AXISTECETF,EQ,268,268,255,258.81,259.88,261.81,2834,735992.88,19-APR-2021,106,INF846K01Y96,
AXISTECETF,EQ,258.81,262.94,257,257.64,259.5,258.81,539,139193.61,20-APR-2021,30,INF846K01Y96,
AXISTECETF,EQ,258,261.86,257,260.33,257,257.64,370,96084.89,22-APR-2021,20,INF846K01Y96,
AXISTECETF,EQ,262.99,262.99,251.95,256.06,260,260.33,623,161114.29,23-APR-2021,38,INF846K01Y96,
AXISTECETF,EQ,260,263,254.1,259.95,259.95,256.06,1521,396802.28,26-APR-2021,67,INF846K01Y96,
AXISTECETF,EQ,262.99,262.99,256,259,259,259.95,1368,352447.32,27-APR-2021,60,INF846K01Y96,
AXISTECETF,EQ,262.99,262.99,256.01,257.33,257,259,193,49843.08,28-APR-2021,21,INF846K01Y96,
AXISTECETF,EQ,262.99,262.99,252.01,256.02,254.05,257.33,1033,266684.88,29-APR-2021,63,INF846K01Y96,
AXISTECETF,EQ,262.4,262.4,256.02,258.87,258.95,256.02,279,71859.2,30-APR-2021,18,INF846K01Y96,
AXISTECETF,EQ,259,261.98,250.95,257,257,258.87,266,68369.96,03-MAY-2021,33,INF846K01Y96,
AXISTECETF,EQ,262.49,262.49,256,258.99,258.99,257,683,177255.91,04-MAY-2021,43,INF846K01Y96,
AXISTECETF,EQ,258,258,253.5,257.37,257,258.99,721,184702.76,05-MAY-2021,48,INF846K01Y96,
AXISTECETF,EQ,260,260,254.16,256.9,258.53,257.37,491,126395.98,06-MAY-2021,41,INF846K01Y96,
AXISTECETF,EQ,260.99,260.99,255,256.28,257.99,256.9,316,81648.2,07-MAY-2021,32,INF846K01Y96,
AXISTECETF,EQ,256.28,260.96,256.28,257.09,258.89,256.28,490,126318.79,10-MAY-2021,31,INF846K01Y96,
AXISTECETF,EQ,255,258,251.95,256.17,253,257.09,2043,522595.09,11-MAY-2021,49,INF846K01Y96,
AXISTECETF,EQ,259.99,259.99,255,256.89,258.98,256.17,895,230172.38,12-MAY-2021,53,INF846K01Y96,
AXISTECETF,EQ,264.99,264.99,254,258.28,258,256.89,1595,413251.37,14-MAY-2021,66,INF846K01Y96,
AXISTECETF,EQ,253.3,267.9,253.3,255.46,256,258.28,1239,318560.16,17-MAY-2021,52,INF846K01Y96,
AXISTECETF,EQ,256,259.99,253.7,255.84,258,255.46,832,213540.94,18-MAY-2021,76,INF846K01Y96,
AXISTECETF,EQ,261.99,261.99,254.95,259,259,255.84,827,213261.6,19-MAY-2021,38,INF846K01Y96,
AXISTECETF,EQ,254,265,253.3,263.75,263.75,259,1525,399886.39,20-MAY-2021,57,INF846K01Y96,
