SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AZAD,EQ,720,727,670,677.5,673.25,524,15106934,10687455422.75,28-DEC-2023,403324,INE02IJ01035,
AZAD,EQ,685.5,714.4,684.05,692.05,691.6,677.5,3447128,2414888406.25,29-DEC-2023,95520,INE02IJ01035,
AZAD,EQ,696.75,702,680,683.35,680.95,692.05,762525,528234681.85,01-JAN-2024,27905,INE02IJ01035,
AZAD,EQ,683.5,693.65,675,676.1,676.8,683.35,787783,537107178.65,02-JAN-2024,28344,INE02IJ01035,
AZAD,EQ,676.95,682,665.2,666.8,666.2,676.1,558334,374977834.3,03-JAN-2024,22314,INE02IJ01035,
AZAD,EQ,665,673.6,660,661.1,662,666.8,436763,290667450.85,04-JAN-2024,22266,INE02IJ01035,
AZAD,EQ,664.65,674.85,657.25,661.7,660,661.1,542662,362211467.55,05-JAN-2024,22664,INE02IJ01035,
AZAD,EQ,662,669,648.4,659.45,660.9,661.7,541995,356964188.95,08-JAN-2024,25364,INE02IJ01035,
AZAD,EQ,664,672,658.3,667.2,666,659.45,581493,388562517.95,09-JAN-2024,25346,INE02IJ01035,
AZAD,EQ,667.2,675.9,663.4,673.6,670.9,667.2,399548,268125766.6,10-JAN-2024,17342,INE02IJ01035,
AZAD,EQ,675,677.4,666.2,669.8,670,673.6,275412,184749007.45,11-JAN-2024,12667,INE02IJ01035,
AZAD,EQ,689.75,706.05,684.7,689.8,690,669.8,1071933,742657560.05,12-JAN-2024,35089,INE02IJ01035,
AZAD,EQ,695,696.2,680.2,685.2,686,689.8,293051,201066257.6,15-JAN-2024,16794,INE02IJ01035,
AZAD,EQ,686,686,664.65,669.6,669.95,685.2,249283,167933382.55,16-JAN-2024,13361,INE02IJ01035,
AZAD,EQ,667,674.05,642.4,659.15,660,669.6,269257,178572902.5,17-JAN-2024,12467,INE02IJ01035,
AZAD,EQ,657.15,668.65,643.35,665.3,665,659.15,286285,188265172.8,18-JAN-2024,14534,INE02IJ01035,
AZAD,EQ,670,678.1,666.65,670.05,670.5,665.3,148856,99942772.55,19-JAN-2024,8417,INE02IJ01035,
AZAD,EQ,680,687.75,665,670.55,671.95,678.1,327607,221589665.2,23-JAN-2024,19803,INE02IJ01035,
AZAD,EQ,679.5,683,669,670.85,673.3,670.55,245282,165753390.1,24-JAN-2024,20316,INE02IJ01035,
AZAD,EQ,677,682,672,676.15,675.05,670.85,140295,95003352.4,25-JAN-2024,9000,INE02IJ01035,
AZAD,EQ,683.65,745.9,681.05,711.95,714.85,676.15,3152212,2274194110.05,29-JAN-2024,88830,INE02IJ01035,
AZAD,EQ,723.3,854.3,717.65,854.3,854.3,711.95,5226821,4191373108.15,30-JAN-2024,113137,INE02IJ01035,
AZAD,EQ,919,1013.4,892.3,961.25,958,854.3,8395202,8033757808.25,31-JAN-2024,243446,INE02IJ01035,
AZAD,EQ,955,981.55,925,943.4,940,961.25,1303874,1237970612.55,01-FEB-2024,43040,INE02IJ01035,
AZAD,EQ,952,969,936.55,945.4,940,943.4,476628,453879536.15,02-FEB-2024,13950,INE02IJ01035,
AZAD,EQ,945.7,953.45,900,932.2,930,945.4,536826,497174105.95,05-FEB-2024,22643,INE02IJ01035,
AZAD,EQ,932,936.45,892,898.4,894,932.2,426753,388583125,06-FEB-2024,15403,INE02IJ01035,
AZAD,EQ,955,988.2,940,988.2,988.2,898.4,1099485,1068037531.9,07-FEB-2024,24438,INE02IJ01035,
AZAD,EQ,1010,1045,970.05,991.5,990,988.2,1111615,1121391029.55,08-FEB-2024,38069,INE02IJ01035,
