SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BALAJITELE,EQ,140.45,144.4,138.35,140.4,139.95,140.25,176318,24917145.1,01-JAN-2016,3542,INE794B01026,
BALAJITELE,EQ,140.95,140.95,133.1,135.15,134.4,140.4,307641,41833734.95,04-JAN-2016,3524,INE794B01026,
BALAJITELE,EQ,136,138.35,136,136.3,136.2,135.15,215109,29455363.3,05-JAN-2016,2547,INE794B01026,
BALAJITELE,EQ,135.7,138.9,131.8,134,134.7,136.3,157562,21489601.15,06-JAN-2016,2006,INE794B01026,
BALAJITELE,EQ,132.8,132.8,128,128.8,128,134,155447,20152465.45,07-JAN-2016,1398,INE794B01026,
BALAJITELE,EQ,127.55,137.5,127,134.45,134.2,128.8,713331,95723823.05,08-JAN-2016,9030,INE794B01026,
BALAJITELE,EQ,132.85,134,130,131.2,131.65,134.45,161905,21320982.3,11-JAN-2016,2443,INE794B01026,
BALAJITELE,EQ,132.25,134.9,129.5,130.7,130.1,131.2,161693,21360856.45,12-JAN-2016,2631,INE794B01026,
BALAJITELE,EQ,131.9,133.3,120.55,127.65,128.3,130.7,462214,58230069.45,13-JAN-2016,4234,INE794B01026,
BALAJITELE,EQ,126.25,131.4,123.5,128.15,127.8,127.65,200859,25620466.85,14-JAN-2016,2384,INE794B01026,
BALAJITELE,EQ,130,131.4,120.8,123.4,123.25,128.15,326279,41310761.4,15-JAN-2016,2792,INE794B01026,
BALAJITELE,EQ,125,125.35,111.5,113.45,114.05,123.4,618526,72019551.3,18-JAN-2016,3798,INE794B01026,
BALAJITELE,EQ,114,120.7,113,119.35,120,113.45,195418,23090048.6,19-JAN-2016,2618,INE794B01026,
BALAJITELE,EQ,117.7,117.7,110.05,114.85,115.5,119.35,290381,33069187.75,20-JAN-2016,2642,INE794B01026,
BALAJITELE,EQ,116.5,119.75,110.7,113.25,112.65,114.85,256407,29192753.2,21-JAN-2016,3229,INE794B01026,
BALAJITELE,EQ,115.55,119.75,115.2,117.95,116.8,113.25,149268,17530136.5,22-JAN-2016,2570,INE794B01026,
BALAJITELE,EQ,119.5,126.9,116.55,120.4,120.85,117.95,383892,47318140.7,25-JAN-2016,6252,INE794B01026,
BALAJITELE,EQ,121.6,122,114.7,116.1,116.9,120.4,210854,24793161.15,27-JAN-2016,2218,INE794B01026,
BALAJITELE,EQ,117,117.9,114.25,114.95,114.5,116.1,337456,38956667.3,28-JAN-2016,1392,INE794B01026,
BALAJITELE,EQ,115,117.7,114.4,115.65,116.5,114.95,372827,43269014,29-JAN-2016,1794,INE794B01026,
BALAJITELE,EQ,116.8,125.05,115.7,123.95,123.8,115.65,444445,53963294.5,01-FEB-2016,4750,INE794B01026,
BALAJITELE,EQ,124.95,124.95,118.7,119.8,119,123.95,374433,45660144.55,02-FEB-2016,3189,INE794B01026,
BALAJITELE,EQ,118.15,124.5,113.05,115.1,115.75,119.8,789674,93420339.05,03-FEB-2016,5746,INE794B01026,
BALAJITELE,EQ,116.85,117.5,105.55,111.7,113.5,115.1,870210,98171936.2,04-FEB-2016,7318,INE794B01026,
BALAJITELE,EQ,114.5,115,104.2,111.7,111.5,111.7,841073,92346099.8,05-FEB-2016,7255,INE794B01026,
BALAJITELE,EQ,111.7,115,108.85,110.85,111,111.7,384015,43203580.4,08-FEB-2016,2587,INE794B01026,
BALAJITELE,EQ,109.65,112.65,107.95,111.1,111.65,110.85,262648,29264797.1,09-FEB-2016,1764,INE794B01026,
BALAJITELE,EQ,111,112.2,103.35,104.9,104.6,111.1,203164,21724165,10-FEB-2016,1855,INE794B01026,
BALAJITELE,EQ,104.05,105.55,87.3,89.55,89.6,104.9,637552,61201551.35,11-FEB-2016,3804,INE794B01026,
BALAJITELE,EQ,88.75,96.6,83.3,94.9,95.5,89.55,811163,72852857.05,12-FEB-2016,4118,INE794B01026,
BALAJITELE,EQ,97.5,104.35,97.5,102.75,103,94.9,386888,38976089.75,15-FEB-2016,2796,INE794B01026,
BALAJITELE,EQ,103,104.35,95.1,95.5,96.4,102.75,223623,22135070.65,16-FEB-2016,3278,INE794B01026,
BALAJITELE,EQ,95.05,98.35,91.1,96.3,95.5,95.5,283072,27195178.75,17-FEB-2016,2034,INE794B01026,
BALAJITELE,EQ,96.95,100,92.5,93.8,93.3,96.3,209654,20045193.2,18-FEB-2016,2735,INE794B01026,
BALAJITELE,EQ,93,94.5,92,92.2,92.15,93.8,143975,13340246.3,19-FEB-2016,2688,INE794B01026,
BALAJITELE,EQ,93.3,97.8,93.05,96.7,97,92.2,129197,12375825.3,22-FEB-2016,1660,INE794B01026,
BALAJITELE,EQ,96.95,97,91.4,91.65,91.95,96.7,204585,18960374.15,23-FEB-2016,1626,INE794B01026,
BALAJITELE,EQ,92.15,93.3,88.4,89.55,90.7,91.65,139603,12717454.15,24-FEB-2016,2098,INE794B01026,
BALAJITELE,EQ,90.6,93.9,88,91.9,92.15,89.55,137051,12489692.55,25-FEB-2016,2780,INE794B01026,
BALAJITELE,EQ,93.9,93.95,85.55,87.25,87.25,91.9,257034,22630664.75,26-FEB-2016,4702,INE794B01026,
BALAJITELE,EQ,87,91.95,85,91.35,91.75,87.25,253440,22740278.4,29-FEB-2016,2578,INE794B01026,
BALAJITELE,EQ,91.35,98.5,91,97.05,97.5,91.35,270375,25792798,01-MAR-2016,2837,INE794B01026,
BALAJITELE,EQ,100,104.4,99.2,103.15,103.15,97.05,343640,35020759.9,02-MAR-2016,3100,INE794B01026,
BALAJITELE,EQ,104,107.9,102.7,106.8,106,103.15,593396,63112032.85,03-MAR-2016,4023,INE794B01026,
BALAJITELE,EQ,107.25,108.9,102.45,106.5,106.05,106.8,211188,22398764.3,04-MAR-2016,1958,INE794B01026,
BALAJITELE,EQ,104.55,107.65,104.5,106.45,106,106.5,156565,16549635.9,08-MAR-2016,1913,INE794B01026,
BALAJITELE,EQ,106.4,108.3,104.7,107.75,107.3,106.45,115934,12353125,09-MAR-2016,1328,INE794B01026,
BALAJITELE,EQ,108.45,110.45,104.1,107.5,107,107.75,233521,25179054.65,10-MAR-2016,2382,INE794B01026,
BALAJITELE,EQ,105.8,108.8,103.5,104.95,105.15,107.5,126030,13360981.3,11-MAR-2016,1488,INE794B01026,
BALAJITELE,EQ,105.25,107.05,102.05,102.65,102.25,104.95,97995,10183881.4,14-MAR-2016,1567,INE794B01026,
BALAJITELE,EQ,104.5,110,100.7,104.9,105.7,102.65,236418,24727145.65,15-MAR-2016,3273,INE794B01026,
BALAJITELE,EQ,105,108,104.1,104.85,104.1,104.9,236730,25157292.75,16-MAR-2016,1981,INE794B01026,
BALAJITELE,EQ,105.8,107.7,103.05,103.6,103.05,104.85,119150,12513249.55,17-MAR-2016,1411,INE794B01026,
BALAJITELE,EQ,104.35,105.5,103.25,104.55,104,103.6,90233,9420545.65,18-MAR-2016,879,INE794B01026,
BALAJITELE,EQ,104.85,106.9,104,106.15,106.3,104.55,178410,18910752.85,21-MAR-2016,1620,INE794B01026,
BALAJITELE,EQ,106.85,112.3,105.9,109.8,109,106.15,646112,71001289.2,22-MAR-2016,6132,INE794B01026,
BALAJITELE,EQ,109.7,110.75,107.3,109.55,109.1,109.8,177329,19346450.95,23-MAR-2016,1772,INE794B01026,
BALAJITELE,EQ,109.95,110.7,106.3,107.6,108.95,109.55,238173,25877995.45,28-MAR-2016,1479,INE794B01026,
BALAJITELE,EQ,108.85,108.95,105.3,108.8,108.8,107.6,194659,20976956.75,29-MAR-2016,1598,INE794B01026,
BALAJITELE,EQ,109.6,111.8,108.65,109.9,110,108.8,180302,19874576.85,30-MAR-2016,1619,INE794B01026,
BALAJITELE,EQ,110.75,113.25,109,109.65,109,109.9,133899,14932542.95,31-MAR-2016,1087,INE794B01026,
BALAJITELE,EQ,110,111.9,108.8,110.65,110.2,109.65,64073,7087372.5,01-APR-2016,677,INE794B01026,
BALAJITELE,EQ,110,116,110,113.45,113.7,110.65,244008,27825562.35,04-APR-2016,2356,INE794B01026,
BALAJITELE,EQ,113.25,113.6,109.35,110.3,110.6,113.45,130534,14442600.95,05-APR-2016,1643,INE794B01026,
BALAJITELE,EQ,110.25,112.5,108.6,109.9,110.6,110.3,96007,10552639.45,06-APR-2016,1117,INE794B01026,
BALAJITELE,EQ,110.75,122.85,108.7,115.1,115.1,109.9,831661,97680900.6,07-APR-2016,8925,INE794B01026,
BALAJITELE,EQ,115.25,120.7,114.35,116.2,116.75,115.1,374613,44000583.1,08-APR-2016,4219,INE794B01026,
BALAJITELE,EQ,117,118.3,114.55,116.95,117,116.2,183354,21342427,11-APR-2016,2688,INE794B01026,
BALAJITELE,EQ,117.3,119.9,116,117.3,116.5,116.95,110586,13045857.2,12-APR-2016,1233,INE794B01026,
BALAJITELE,EQ,117.95,118,115,115.65,115.8,117.3,104552,12177503.9,13-APR-2016,1168,INE794B01026,
BALAJITELE,EQ,115.65,117.25,113.7,115.15,115.05,115.65,100519,11593678.55,18-APR-2016,1038,INE794B01026,
BALAJITELE,EQ,115.95,118.25,113.65,115.2,115,115.15,150769,17479739.8,20-APR-2016,1398,INE794B01026,
BALAJITELE,EQ,115.6,117,110.55,111.85,112.3,115.2,101994,11609309.3,21-APR-2016,1253,INE794B01026,
BALAJITELE,EQ,111.85,113.75,110.15,111.85,111.45,111.85,67938,7614468.95,22-APR-2016,902,INE794B01026,
BALAJITELE,EQ,112.35,112.9,107.8,108.7,108.05,111.85,150907,16572097.6,25-APR-2016,1151,INE794B01026,
BALAJITELE,EQ,108.7,111.6,107.35,110.95,111,108.7,89991,9890715.35,26-APR-2016,1089,INE794B01026,
BALAJITELE,EQ,110.6,112.3,110,111.8,111.6,110.95,149723,16687854.4,27-APR-2016,951,INE794B01026,
BALAJITELE,EQ,112.8,112.8,107.05,107.3,107.7,111.8,92754,10123692.25,28-APR-2016,747,INE794B01026,
BALAJITELE,EQ,108.9,110.8,107.6,109.7,109.75,107.3,145590,15905905.75,29-APR-2016,1099,INE794B01026,
BALAJITELE,EQ,110.25,114.1,107.3,112.55,112,109.7,283788,31384627.35,02-MAY-2016,2192,INE794B01026,
BALAJITELE,EQ,111.8,113.45,109,109.95,109.7,112.55,79796,8925656.1,03-MAY-2016,1196,INE794B01026,
BALAJITELE,EQ,110.25,110.65,107.1,107.85,107.9,109.95,73034,7920553.95,04-MAY-2016,871,INE794B01026,
BALAJITELE,EQ,106.1,109.9,106.1,109.4,109.9,107.85,52208,5681023.95,05-MAY-2016,538,INE794B01026,
BALAJITELE,EQ,109.95,110,108,109.35,109.75,109.4,73503,8017909.8,06-MAY-2016,472,INE794B01026,
BALAJITELE,EQ,108.45,111.9,108.45,110.9,110.5,109.35,101312,11224893.3,09-MAY-2016,750,INE794B01026,
BALAJITELE,EQ,111.3,111.6,110.1,110.8,110.3,110.9,51529,5717158.05,10-MAY-2016,319,INE794B01026,
BALAJITELE,EQ,109,110.6,108,108.35,108.15,110.8,102703,11196676.15,11-MAY-2016,1309,INE794B01026,
BALAJITELE,EQ,109.6,112.35,108.55,112.05,112,108.35,107374,11945160.25,12-MAY-2016,1096,INE794B01026,
BALAJITELE,EQ,111.5,115.9,109,114.15,115.2,112.05,123123,13928787.7,13-MAY-2016,1389,INE794B01026,
BALAJITELE,EQ,117,117.95,111,115.55,115.5,114.15,499219,57178125.65,16-MAY-2016,5091,INE794B01026,
BALAJITELE,EQ,116,116.5,110.25,112.2,112.15,115.55,214186,24261958.1,17-MAY-2016,2380,INE794B01026,
BALAJITELE,EQ,105,109.7,102,108.9,108.4,112.2,503680,53781322,18-MAY-2016,4785,INE794B01026,
BALAJITELE,EQ,108.5,110.7,107,107.7,107.65,108.9,81105,8798435.4,19-MAY-2016,1288,INE794B01026,
BALAJITELE,EQ,108,109.15,105.2,107.1,107.1,107.7,127606,13658373.45,20-MAY-2016,716,INE794B01026,
BALAJITELE,EQ,107.1,109.35,107,107.25,107.3,107.1,31937,3443100.15,23-MAY-2016,366,INE794B01026,
BALAJITELE,EQ,107.35,108.05,106.6,107.1,107.4,107.25,65518,7016075.9,24-MAY-2016,304,INE794B01026,
BALAJITELE,EQ,108.35,110.7,103.9,108.15,107.9,107.1,86143,9317320.7,25-MAY-2016,757,INE794B01026,
BALAJITELE,EQ,108.2,110.5,107.05,109.85,109.95,108.15,70715,7709522.75,26-MAY-2016,853,INE794B01026,
BALAJITELE,EQ,111.15,111.4,108.1,108.7,109,109.85,45927,5036651.5,27-MAY-2016,475,INE794B01026,
BALAJITELE,EQ,108,109.9,107.5,108.3,108.15,108.7,42129,4566117.9,30-MAY-2016,342,INE794B01026,
BALAJITELE,EQ,109.85,109.85,107.05,107.9,107.9,108.3,47945,5195795.55,31-MAY-2016,655,INE794B01026,
BALAJITELE,EQ,108.45,109.9,107.1,108.15,108.25,107.9,18021,1958536.45,01-JUN-2016,289,INE794B01026,
BALAJITELE,EQ,109.45,109.5,107.3,108.3,108.6,108.15,38624,4177187.8,02-JUN-2016,360,INE794B01026,
BALAJITELE,EQ,109.75,110.4,108.1,109.25,109.5,108.3,32317,3528857.9,03-JUN-2016,428,INE794B01026,
BALAJITELE,EQ,109.25,110.3,109,109.5,109.6,109.25,49056,5356568.55,06-JUN-2016,329,INE794B01026,
BALAJITELE,EQ,110.85,112.4,109.1,111.3,111.6,109.5,57596,6402768.65,07-JUN-2016,572,INE794B01026,
BALAJITELE,EQ,112,112.45,108.3,109.05,108.55,111.3,79859,8737689.05,08-JUN-2016,824,INE794B01026,
BALAJITELE,EQ,110.05,111,108.05,109,109.4,109.05,105315,11520791,09-JUN-2016,902,INE794B01026,
BALAJITELE,EQ,109.4,109.9,108.6,109,109,109,72809,7941937.15,10-JUN-2016,345,INE794B01026,
BALAJITELE,EQ,108.2,111.95,108.2,109.2,110.6,109,110736,12165028.95,13-JUN-2016,832,INE794B01026,
BALAJITELE,EQ,116,120,112,112.9,113,109.2,788103,90544161.2,14-JUN-2016,8755,INE794B01026,
BALAJITELE,EQ,114,114.5,111,113.75,114.05,112.9,223082,25179624.45,15-JUN-2016,3284,INE794B01026,
BALAJITELE,EQ,112.7,119.8,110.5,116.25,115.9,113.75,669275,78462881,16-JUN-2016,5887,INE794B01026,
BALAJITELE,EQ,119.95,119.95,112.3,115.2,114.5,116.25,802394,93994796.35,17-JUN-2016,7901,INE794B01026,
BALAJITELE,EQ,113,113.95,110,110.9,110.1,115.2,157231,17592772.35,20-JUN-2016,2355,INE794B01026,
BALAJITELE,EQ,111.5,113.5,108.5,109.3,109.35,110.9,298850,33128300.75,21-JUN-2016,3156,INE794B01026,
BALAJITELE,EQ,111.15,111.15,108,109.1,109.25,109.3,155036,16933556.15,22-JUN-2016,1104,INE794B01026,
BALAJITELE,EQ,110.5,110.5,105,107.1,106,109.1,498751,54241495.45,23-JUN-2016,2016,INE794B01026,
BALAJITELE,EQ,105,109.4,95.35,108.15,108.85,107.1,306394,32318221.15,24-JUN-2016,5481,INE794B01026,
BALAJITELE,EQ,107.5,112.6,106.8,107.85,108.1,108.15,709090,77795676.5,27-JUN-2016,2388,INE794B01026,
BALAJITELE,EQ,108.05,110.8,105.35,107.85,107.25,107.85,112642,12151691.55,28-JUN-2016,3023,INE794B01026,
BALAJITELE,EQ,108.5,109,107,107.15,107.25,107.85,65128,7033324.85,29-JUN-2016,749,INE794B01026,
BALAJITELE,EQ,108.7,108.7,106,106.45,106,107.15,80063,8576732.45,30-JUN-2016,938,INE794B01026,
BALAJITELE,EQ,107,107.5,105.8,106.55,106.35,106.45,68153,7275893.35,01-JUL-2016,512,INE794B01026,
BALAJITELE,EQ,107.2,107.85,105,105.3,105.2,106.55,117196,12474769.9,04-JUL-2016,939,INE794B01026,
BALAJITELE,EQ,105.85,106.35,103.7,103.85,103.7,105.3,97314,10167988.55,05-JUL-2016,812,INE794B01026,
BALAJITELE,EQ,102.4,103.95,101.3,101.85,101.8,103.85,127080,12979956.6,07-JUL-2016,885,INE794B01026,
BALAJITELE,EQ,102.3,102.3,100.3,100.75,100.7,101.85,78002,7873284.55,08-JUL-2016,567,INE794B01026,
BALAJITELE,EQ,101.05,102.1,100,100.35,100.1,100.75,157585,15852985.6,11-JUL-2016,687,INE794B01026,
BALAJITELE,EQ,101.75,101.8,99.55,100.85,101,100.35,70604,7104021.75,12-JUL-2016,449,INE794B01026,
BALAJITELE,EQ,100.85,101.85,99,99.15,99.25,100.85,161712,16231444.65,13-JUL-2016,913,INE794B01026,
BALAJITELE,EQ,99.85,100.05,98.15,98.55,98.6,99.15,86829,8609609.5,14-JUL-2016,885,INE794B01026,
BALAJITELE,EQ,99.25,99.25,95.5,96.35,96.15,98.55,117862,11441061.95,15-JUL-2016,925,INE794B01026,
BALAJITELE,EQ,96.85,99.9,96.15,97.7,97.2,96.35,119715,11717627.05,18-JUL-2016,1446,INE794B01026,
BALAJITELE,EQ,97.8,97.8,94.35,94.6,94.7,97.7,45478,4339878.1,19-JUL-2016,634,INE794B01026,
BALAJITELE,EQ,94.5,98,93.3,93.85,94.1,94.6,291177,27461463.3,20-JUL-2016,1253,INE794B01026,
BALAJITELE,EQ,94.85,95.7,92.5,93.9,93.4,93.85,142163,13362154.05,21-JUL-2016,1669,INE794B01026,
BALAJITELE,EQ,93.8,94,91.35,91.6,91.8,93.9,131216,12148867.3,22-JUL-2016,1266,INE794B01026,
BALAJITELE,EQ,92.15,94.35,90,91.75,91.8,91.6,149796,13777922.05,25-JUL-2016,1581,INE794B01026,
BALAJITELE,EQ,92.45,93.05,91.2,92.05,92,91.75,89224,8211849.05,26-JUL-2016,511,INE794B01026,
BALAJITELE,EQ,93.35,97.3,90.65,95.3,95.3,92.05,479842,44627667.35,27-JUL-2016,1795,INE794B01026,
BALAJITELE,EQ,96.15,99.95,95,96.3,96.5,95.3,822212,79697228.65,28-JUL-2016,3846,INE794B01026,
BALAJITELE,EQ,96.6,101,95.55,99.45,99,96.3,617929,61415153.4,29-JUL-2016,3273,INE794B01026,
BALAJITELE,EQ,99.95,100.1,95.65,96.8,97,99.45,122495,11931027.3,01-AUG-2016,1531,INE794B01026,
BALAJITELE,EQ,96.8,97.5,93.2,94.15,94.85,96.8,81792,7824440.5,02-AUG-2016,846,INE794B01026,
BALAJITELE,EQ,94.95,95.5,92.55,94.6,95.1,94.15,52751,4979722.4,03-AUG-2016,674,INE794B01026,
BALAJITELE,EQ,96.1,96.85,92,94.1,95,94.6,34859,3289669.05,04-AUG-2016,1001,INE794B01026,
BALAJITELE,EQ,94.7,98.4,93.3,96.65,97,94.1,83570,8055325,05-AUG-2016,1004,INE794B01026,
BALAJITELE,EQ,98.05,98.2,96,96.45,96.15,96.65,26501,2571170.55,08-AUG-2016,526,INE794B01026,
BALAJITELE,EQ,96.05,96.05,94.05,94.55,94.9,96.45,32477,3087021.9,09-AUG-2016,490,INE794B01026,
BALAJITELE,EQ,95,96.35,89.45,90.5,90.5,94.55,127205,11661974.3,10-AUG-2016,2033,INE794B01026,
BALAJITELE,EQ,86.55,94.35,85.2,92.25,93,90.5,180012,16422183,11-AUG-2016,1983,INE794B01026,
BALAJITELE,EQ,92.7,94.45,90.45,93.6,93.15,92.25,67650,6257728.75,12-AUG-2016,910,INE794B01026,
BALAJITELE,EQ,93.25,94.4,90,90.45,90.7,93.6,83903,7635524.45,16-AUG-2016,818,INE794B01026,
BALAJITELE,EQ,90.05,93.1,89.1,90,89.55,90.45,396790,36004411.85,17-AUG-2016,1159,INE794B01026,
BALAJITELE,EQ,90.7,92.65,89.15,89.45,89.3,90,390432,35416996.9,18-AUG-2016,1232,INE794B01026,
BALAJITELE,EQ,90.35,90.95,88.5,89.05,88.75,89.45,65111,5833532.4,19-AUG-2016,616,INE794B01026,
BALAJITELE,EQ,89.95,92,88.95,89.4,89.25,89.05,408930,37427358.6,22-AUG-2016,794,INE794B01026,
BALAJITELE,EQ,89.8,91.85,88,89.45,89.35,89.4,126196,11345858.9,23-AUG-2016,1326,INE794B01026,
BALAJITELE,EQ,89.95,90.2,88.8,89.3,89.15,89.45,86483,7719723.3,24-AUG-2016,483,INE794B01026,
