SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BANKINDIA,EQ,114.9,117.75,114.6,117.35,117.45,114.95,1729723,201321125.45,01-JAN-2016,11172,INE084A01016,
BANKINDIA,EQ,116.6,117.35,113.8,114.7,115.25,117.35,1961521,225894744.25,04-JAN-2016,15607,INE084A01016,
BANKINDIA,EQ,115.2,115.35,112.8,113.9,113.8,114.7,1589405,181129082.45,05-JAN-2016,12055,INE084A01016,
BANKINDIA,EQ,114.1,117.3,113,114.25,114.4,113.9,2785428,320644043.85,06-JAN-2016,18660,INE084A01016,
BANKINDIA,EQ,113.05,113.1,108.65,109.05,109.6,114.25,3050214,336230772.8,07-JAN-2016,20922,INE084A01016,
BANKINDIA,EQ,109.9,110.85,109.1,109.9,110.1,109.05,1808771,198817370.35,08-JAN-2016,14504,INE084A01016,
BANKINDIA,EQ,109,109.85,107.05,107.5,107.1,109.9,2375792,256915767.85,11-JAN-2016,12802,INE084A01016,
BANKINDIA,EQ,107.6,108.5,103.25,104.4,104.75,107.5,2849905,299519168.15,12-JAN-2016,16618,INE084A01016,
BANKINDIA,EQ,105.6,105.6,99.1,100.2,100.5,104.4,4661852,472108787.9,13-JAN-2016,23780,INE084A01016,
BANKINDIA,EQ,97.7,99,95.5,98,97.9,100.2,3494658,340283997.65,14-JAN-2016,19149,INE084A01016,
BANKINDIA,EQ,98.9,99.05,92.65,94.55,92.95,98,3578252,344347407.85,15-JAN-2016,20222,INE084A01016,
BANKINDIA,EQ,95,96,90.35,92.4,92.35,94.55,4523474,423301434.4,18-JAN-2016,23728,INE084A01016,
BANKINDIA,EQ,93,94.75,92.15,93.75,93.9,92.4,2771182,259574158.9,19-JAN-2016,14998,INE084A01016,
BANKINDIA,EQ,91.7,92.2,90,91.25,91.3,93.75,3067084,279595985.8,20-JAN-2016,20114,INE084A01016,
BANKINDIA,EQ,92.8,96.5,91.5,95.35,95.25,91.25,5044834,475178857.5,21-JAN-2016,23526,INE084A01016,
BANKINDIA,EQ,96.8,101.65,96.45,100.75,100.95,95.35,5184051,517640474.75,22-JAN-2016,25053,INE084A01016,
BANKINDIA,EQ,101.6,102.9,98.9,99.6,100.2,100.75,2320163,234112966,25-JAN-2016,13335,INE084A01016,
BANKINDIA,EQ,100.45,102.45,97.6,99.7,99.5,99.6,4469600,447774392.9,27-JAN-2016,23952,INE084A01016,
BANKINDIA,EQ,99.3,100.7,98.4,98.95,98.75,99.7,2942482,292298414.95,28-JAN-2016,13838,INE084A01016,
BANKINDIA,EQ,98.3,100.95,95.6,100.3,100.2,98.95,3753307,368659812.6,29-JAN-2016,17991,INE084A01016,
BANKINDIA,EQ,101.45,101.5,97.1,97.75,97.75,100.3,2644126,260608178.75,01-FEB-2016,16029,INE084A01016,
BANKINDIA,EQ,98,100.35,96.15,96.45,96.6,97.75,3624157,355038775.85,02-FEB-2016,20613,INE084A01016,
BANKINDIA,EQ,94.5,95.3,92,93,93.3,96.45,2815253,262801375.2,03-FEB-2016,15927,INE084A01016,
BANKINDIA,EQ,93.7,95.7,91.8,93.1,93.8,93,2322006,218136903,04-FEB-2016,13426,INE084A01016,
BANKINDIA,EQ,93.55,98.45,93.4,97.75,98,93.1,2581617,247802664.5,05-FEB-2016,14973,INE084A01016,
BANKINDIA,EQ,97.9,105.4,97.1,102.1,101.5,97.75,6294005,647389232.15,08-FEB-2016,30539,INE084A01016,
BANKINDIA,EQ,100,102.2,95.5,95.75,95.6,102.1,5171167,512498713.55,09-FEB-2016,26592,INE084A01016,
BANKINDIA,EQ,94,95.05,89.2,90.4,90.7,95.75,5612142,510651996.05,10-FEB-2016,28247,INE084A01016,
BANKINDIA,EQ,90,90.1,83.2,85.2,84.4,90.4,10724568,921338893.5,11-FEB-2016,51936,INE084A01016,
BANKINDIA,EQ,83.25,87.9,80.1,84.6,84.4,85.2,6641524,550730405.85,12-FEB-2016,30492,INE084A01016,
BANKINDIA,EQ,87,92.55,86.7,89.4,89,84.6,5002032,450301187.85,15-FEB-2016,30500,INE084A01016,
BANKINDIA,EQ,91.7,91.7,84.75,85.5,86,89.4,4192892,369976340.3,16-FEB-2016,23179,INE084A01016,
BANKINDIA,EQ,81.7,87.65,80.4,86.05,86.35,85.5,7620821,632724284.1,17-FEB-2016,37834,INE084A01016,
BANKINDIA,EQ,87.15,89.75,84.2,85.65,85.55,86.05,3507899,303457063.95,18-FEB-2016,17888,INE084A01016,
BANKINDIA,EQ,84,88.5,82.2,87.4,87.2,85.65,3873367,335400209.85,19-FEB-2016,20011,INE084A01016,
