SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BARBEQUE,EQ,489.85,587.8,481.85,587.8,587.8,500,5427365,2949269530.35,07-APR-2021,140345,INE382M01027,
BARBEQUE,EQ,661,705.35,645,705.35,705.35,587.8,1934876,1344861236.9,08-APR-2021,33318,INE382M01027,
BARBEQUE,EQ,748.75,833.7,666,722.6,715,705.35,4120915,2988187025.65,09-APR-2021,182215,INE382M01027,
BARBEQUE,EQ,670,721.8,645,688.35,684,722.6,1205691,820701072.2,12-APR-2021,47970,INE382M01027,
BARBEQUE,EQ,691,706.25,674,687.65,685,688.35,290357,200328389.8,13-APR-2021,11485,INE382M01027,
BARBEQUE,EQ,668.8,703,656.85,693.3,686.35,687.65,309883,210005548.75,15-APR-2021,15011,INE382M01027,
BARBEQUE,EQ,686,695.75,661.15,669.65,662.4,693.3,136359,92701722.3,16-APR-2021,9517,INE382M01027,
BARBEQUE,EQ,638,654.85,626.75,648.7,650,669.65,146563,93725365.5,19-APR-2021,12761,INE382M01027,
BARBEQUE,EQ,650,658.7,628.8,642,640,648.7,98595,63178503.6,20-APR-2021,6282,INE382M01027,
BARBEQUE,EQ,633,648.65,626,634.55,631,642,96633,61431118,22-APR-2021,5482,INE382M01027,
BARBEQUE,EQ,634.4,657.65,628.4,640.9,639,634.55,147515,94776819.35,23-APR-2021,12793,INE382M01027,
BARBEQUE,EQ,640.9,649.95,631.1,635.9,635,640.9,50993,32579068.9,26-APR-2021,4666,INE382M01027,
BARBEQUE,EQ,630.1,652.8,628.55,642.9,628.55,635.9,209234,134177592.15,27-APR-2021,9081,INE382M01027,
BARBEQUE,EQ,641.4,644,629.05,635.25,631.5,642.9,178821,113519222.75,28-APR-2021,8355,INE382M01027,
BARBEQUE,EQ,634,641.15,629.05,630.9,629.8,635.25,62237,39468250.55,29-APR-2021,5779,INE382M01027,
BARBEQUE,EQ,626.05,638.8,620,622.9,620.5,630.9,99837,62910904.15,30-APR-2021,6281,INE382M01027,
BARBEQUE,EQ,618,631,609.7,611.6,610.2,622.9,120156,74618481.75,03-MAY-2021,6984,INE382M01027,
BARBEQUE,EQ,614,624,603.45,608.3,609.85,611.6,137022,83782940.8,04-MAY-2021,9527,INE382M01027,
BARBEQUE,EQ,608,614.85,593.65,607.75,605,608.3,195015,117913152.8,05-MAY-2021,12514,INE382M01027,
BARBEQUE,EQ,619,619,590.65,593.85,591.95,607.75,152506,91028500.7,06-MAY-2021,14628,INE382M01027,
BARBEQUE,EQ,590,594.9,570.2,579.6,576.7,593.85,162064,93737649.75,07-MAY-2021,12253,INE382M01027,
BARBEQUE,EQ,579.6,585,565,576.55,575,579.6,213179,122486230.8,10-MAY-2021,13357,INE382M01027,
BARBEQUE,EQ,571.5,589,562.5,565.5,564.85,576.55,87206,49616818.75,11-MAY-2021,7758,INE382M01027,
BARBEQUE,EQ,560.05,570.6,560.05,564,564.6,565.5,84568,47823984.1,12-MAY-2021,7186,INE382M01027,
BARBEQUE,EQ,565,573.95,553,565.05,562.3,564,117014,66154865.6,14-MAY-2021,14478,INE382M01027,
BARBEQUE,EQ,573.9,573.9,552.35,560.9,555,565.05,124027,69698133.2,17-MAY-2021,7197,INE382M01027,
BARBEQUE,EQ,563.5,625.25,555.95,608.95,605,560.9,368949,216066624.9,18-MAY-2021,18453,INE382M01027,
BARBEQUE,EQ,614,614,587,595.45,597,608.95,212506,126681636.85,19-MAY-2021,13797,INE382M01027,
BARBEQUE,EQ,599,618,585.8,595.2,595.95,595.45,282810,170224030.55,20-MAY-2021,26219,INE382M01027,
BARBEQUE,EQ,603,628,596.45,623.4,621.9,595.2,257572,158305868.65,21-MAY-2021,15862,INE382M01027,
BARBEQUE,EQ,631,651.95,620.75,637.8,639.8,623.4,249597,158626195.05,24-MAY-2021,12610,INE382M01027,
BARBEQUE,EQ,657,765.35,650,750.2,733,637.8,2044826,1491239049.9,25-MAY-2021,89708,INE382M01027,
BARBEQUE,EQ,737.5,900.2,707.3,892.15,885.2,750.2,2908650,2386589373.3,26-MAY-2021,125156,INE382M01027,
BARBEQUE,EQ,870,953.35,845,877.55,874,892.15,1802294,1627715164.6,27-MAY-2021,99609,INE382M01027,
BARBEQUE,EQ,885,895,815,849.5,842.85,877.55,574861,491163077.35,28-MAY-2021,28382,INE382M01027,
BARBEQUE,EQ,870,886.45,845,850.35,847.35,849.5,208176,179148343.65,31-MAY-2021,15065,INE382M01027,
BARBEQUE,EQ,854.9,857.05,822,826.65,827.1,850.35,120549,100230964.85,01-JUN-2021,12638,INE382M01027,
BARBEQUE,EQ,829,829,773,804.7,809,826.65,258125,207520378.25,02-JUN-2021,16703,INE382M01027,
BARBEQUE,EQ,802.7,846,802.2,822.1,821,804.7,108364,89429782.5,03-JUN-2021,5906,INE382M01027,
BARBEQUE,EQ,834.9,878,820,850.35,850.15,822.1,248984,212849621.85,04-JUN-2021,11342,INE382M01027,
BARBEQUE,EQ,867.85,874.4,850.1,856.9,855,850.35,110995,95494581.75,07-JUN-2021,6075,INE382M01027,
BARBEQUE,EQ,859.5,861.85,835.25,849.5,848.75,856.9,64139,54637108.2,08-JUN-2021,4559,INE382M01027,
BARBEQUE,EQ,854.4,873.75,830.75,837.65,835.1,849.5,254668,215567581.95,09-JUN-2021,10923,INE382M01027,
BARBEQUE,EQ,843.25,853.95,835,837.7,836.4,837.65,50264,42226237.05,10-JUN-2021,2798,INE382M01027,
BARBEQUE,EQ,843,847.7,822.35,825.5,825,837.7,90006,74729109.9,11-JUN-2021,5382,INE382M01027,
BARBEQUE,EQ,834,839.75,808.5,818.45,815.8,825.5,143946,117767364,14-JUN-2021,8248,INE382M01027,
BARBEQUE,EQ,831.7,865,814,825.6,828.55,818.45,104536,87930508.35,15-JUN-2021,5421,INE382M01027,
BARBEQUE,EQ,828,833.65,816,827.45,827.95,825.6,56661,46656878.2,16-JUN-2021,3580,INE382M01027,
BARBEQUE,EQ,825,909.7,812,874.3,881,827.45,461847,404416244.15,17-JUN-2021,23813,INE382M01027,
BARBEQUE,EQ,884,943.75,822.8,920.6,925,874.3,620902,564929007.65,18-JUN-2021,36962,INE382M01027,
BARBEQUE,EQ,919.7,980,905,946.6,948.8,920.6,339706,325750247.45,21-JUN-2021,21364,INE382M01027,
BARBEQUE,EQ,972,972,905,914.5,909,946.6,130049,121458561.9,22-JUN-2021,9269,INE382M01027,
BARBEQUE,EQ,919.1,924,879.9,882.7,881,914.5,122861,109970841.55,23-JUN-2021,8223,INE382M01027,
BARBEQUE,EQ,886,928,860,891.6,892.05,882.7,190525,171122201.2,24-JUN-2021,12636,INE382M01027,
BARBEQUE,EQ,908,915,888.05,892.2,889,891.6,112040,101036400.5,25-JUN-2021,8084,INE382M01027,
BARBEQUE,EQ,900,916.95,875.7,885.1,883,892.2,112389,100829423,28-JUN-2021,7812,INE382M01027,
BARBEQUE,EQ,890,905,875.05,879.25,882.95,885.1,44287,39209051.75,29-JUN-2021,3459,INE382M01027,
BARBEQUE,EQ,880,917,880,888.95,884,879.25,90932,81754411.75,30-JUN-2021,5734,INE382M01027,
BARBEQUE,EQ,894.6,914,886.25,897.3,897.7,888.95,72078,65052773.1,01-JUL-2021,4322,INE382M01027,
BARBEQUE,EQ,912.2,912.2,877.25,882.2,881.5,897.3,53938,48168539.35,02-JUL-2021,3447,INE382M01027,
BARBEQUE,EQ,896.95,898.05,876.65,884.85,884.1,882.2,36932,32812790.6,05-JUL-2021,3005,INE382M01027,
BARBEQUE,EQ,893.6,950,882.05,907.1,905,884.85,251504,232989707.55,06-JUL-2021,14316,INE382M01027,
BARBEQUE,EQ,914.5,924.8,894,903.15,905.05,907.1,43720,39644816.7,07-JUL-2021,2954,INE382M01027,
BARBEQUE,EQ,905.05,948,905.05,912.7,914.85,903.15,157543,145396000.15,08-JUL-2021,8146,INE382M01027,
BARBEQUE,EQ,913,927.4,891.65,906.6,910,912.7,55338,50266596.15,09-JUL-2021,3247,INE382M01027,
BARBEQUE,EQ,907,919,892,900.9,900,906.6,45425,41239202.95,12-JUL-2021,2681,INE382M01027,
BARBEQUE,EQ,914.8,928.7,876.8,899.7,898.85,900.9,195413,175376501.3,13-JUL-2021,11235,INE382M01027,
BARBEQUE,EQ,899,921,899,908.85,911,899.7,88665,80919124.8,14-JUL-2021,5933,INE382M01027,
BARBEQUE,EQ,913,928,900,901.45,902.25,908.85,54528,49747303.1,15-JUL-2021,3623,INE382M01027,
BARBEQUE,EQ,909.8,935,895.7,908.7,905.45,901.45,102425,93707743.1,16-JUL-2021,6760,INE382M01027,
BARBEQUE,EQ,891.7,918.25,865.25,880.7,892,908.7,64421,57592707.6,19-JUL-2021,4306,INE382M01027,
BARBEQUE,EQ,898.9,898.9,867.6,873.25,873.95,880.7,44608,39217657.1,20-JUL-2021,3611,INE382M01027,
BARBEQUE,EQ,880.7,911.8,870.05,881.85,878,873.25,174120,154872908.95,22-JUL-2021,8917,INE382M01027,
BARBEQUE,EQ,887.45,895.5,873,886.9,890,881.85,85784,75770745.65,23-JUL-2021,4043,INE382M01027,
