SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BEPL,EQ,25.8,26.2,25.45,25.6,25.5,25.5,369875,9551138.75,01-JAN-2016,984,INE922A01025,
BEPL,EQ,25.7,25.95,24.15,25,25.1,25.6,466808,11651528.25,04-JAN-2016,1369,INE922A01025,
BEPL,EQ,25.35,25.35,24.3,24.6,24.65,25,456262,11299067.85,05-JAN-2016,1332,INE922A01025,
BEPL,EQ,24.85,25.75,24.15,24.6,24.6,24.6,552038,13781974.5,06-JAN-2016,1457,INE922A01025,
BEPL,EQ,24.05,24.2,22.8,23.2,23.25,24.6,475340,11102470.15,07-JAN-2016,1344,INE922A01025,
BEPL,EQ,23.75,25,23.5,24.4,24.7,23.2,317736,7715717.75,08-JAN-2016,921,INE922A01025,
BEPL,EQ,24,25,24,24.6,24.7,24.4,238120,5862637.8,11-JAN-2016,829,INE922A01025,
BEPL,EQ,24.65,24.9,22.8,23.15,23.35,24.6,471042,11250234.15,12-JAN-2016,1298,INE922A01025,
BEPL,EQ,23.7,23.85,20.4,22.2,22.2,23.15,558956,12425818.5,13-JAN-2016,2239,INE922A01025,
BEPL,EQ,21.85,22.8,20.65,21.9,21.85,22.2,112519,2447196.5,14-JAN-2016,556,INE922A01025,
BEPL,EQ,21.9,22.45,20.3,20.75,20.7,21.9,163993,3491913.1,15-JAN-2016,911,INE922A01025,
BEPL,EQ,21,21,19.3,19.55,19.65,20.75,270555,5391565.45,18-JAN-2016,795,INE922A01025,
BEPL,EQ,19.3,20.7,19.3,20.35,20.25,19.55,95093,1912701.45,19-JAN-2016,480,INE922A01025,
BEPL,EQ,19.8,19.9,18.55,19.15,18.9,20.35,114776,2206089.4,20-JAN-2016,791,INE922A01025,
BEPL,EQ,19.45,20,18.6,18.9,18.95,19.15,93409,1799773.6,21-JAN-2016,430,INE922A01025,
BEPL,EQ,19.15,20.7,19.05,20.15,20.3,18.9,117139,2361397.95,22-JAN-2016,506,INE922A01025,
BEPL,EQ,20.25,21.7,20.25,20.95,20.95,20.15,144415,3047483.3,25-JAN-2016,646,INE922A01025,
BEPL,EQ,21,21.5,20.15,20.4,20.45,20.95,74300,1539806.3,27-JAN-2016,610,INE922A01025,
BEPL,EQ,20.45,20.6,19.8,20.25,20.25,20.4,61589,1244894.75,28-JAN-2016,374,INE922A01025,
BEPL,EQ,20.25,20.7,20,20.2,20.15,20.25,47958,971376.9,29-JAN-2016,235,INE922A01025,
BEPL,EQ,20.45,22.9,20.1,21.45,21.7,20.2,285643,6188993.75,01-FEB-2016,847,INE922A01025,
BEPL,EQ,21.7,21.95,20.1,20.3,20.2,21.45,79243,1643593.55,02-FEB-2016,503,INE922A01025,
BEPL,EQ,20.45,20.45,18.85,19.65,19.75,20.3,156844,3045888.05,03-FEB-2016,750,INE922A01025,
BEPL,EQ,19.9,20.3,19,19.1,19.1,19.65,133792,2616519.55,04-FEB-2016,467,INE922A01025,
BEPL,EQ,19.5,19.8,18.5,19.35,19.25,19.1,127325,2441522.65,05-FEB-2016,537,INE922A01025,
BEPL,EQ,19.3,19.6,18.75,18.85,19.1,19.35,247711,4709538.65,08-FEB-2016,492,INE922A01025,
BEPL,EQ,18.75,19.1,17.8,17.95,17.8,18.85,254636,4618669.25,09-FEB-2016,756,INE922A01025,
BEPL,EQ,17.8,17.95,17.1,17.65,17.6,17.95,163317,2850998.3,10-FEB-2016,590,INE922A01025,
BEPL,EQ,18.05,18.05,15.9,16.15,16.5,17.65,143298,2397398.25,11-FEB-2016,534,INE922A01025,
BEPL,EQ,16.45,16.8,14.95,16.2,15.6,16.15,106072,1682701.4,12-FEB-2016,489,INE922A01025,
BEPL,EQ,16.2,17.45,16.2,16.75,17,16.2,92531,1564955.1,15-FEB-2016,293,INE922A01025,
BEPL,EQ,17.1,17.3,16.55,16.7,16.7,16.75,47188,786992.65,16-FEB-2016,132,INE922A01025,
BEPL,EQ,16.35,17.85,15.95,17.15,17.4,16.7,152549,2572345.55,17-FEB-2016,747,INE922A01025,
BEPL,EQ,17.45,17.8,17.25,17.3,17.25,17.15,33212,576394.65,18-FEB-2016,137,INE922A01025,
BEPL,EQ,17.35,17.7,17.1,17.25,17.15,17.3,51746,897527.3,19-FEB-2016,102,INE922A01025,
BEPL,EQ,17.4,17.7,17,17.1,17.1,17.25,25568,441341.95,22-FEB-2016,103,INE922A01025,
BEPL,EQ,17.45,17.45,16.95,16.95,16.95,17.1,21901,373808.05,23-FEB-2016,58,INE922A01025,
BEPL,EQ,17.25,17.25,16.25,16.3,16.25,16.95,42495,698132.55,24-FEB-2016,148,INE922A01025,
BEPL,EQ,16.15,16.55,16.15,16.25,16.15,16.3,11823,192285,25-FEB-2016,68,INE922A01025,
