SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BOMDYEING,EQ,64.3,65.2,64.15,64.4,64.4,64.15,524967,33918330.55,01-JAN-2016,2846,INE032A01023,
BOMDYEING,EQ,64.85,66.2,64.25,64.7,64.8,64.4,1308357,85288140.5,04-JAN-2016,7462,INE032A01023,
BOMDYEING,EQ,64.7,66.45,64.6,65.45,65.4,64.7,1586707,104229656.2,05-JAN-2016,5954,INE032A01023,
BOMDYEING,EQ,65.85,67.2,64.65,64.9,64.75,65.45,1599280,105741830.45,06-JAN-2016,7325,INE032A01023,
BOMDYEING,EQ,64,64.45,61.15,61.6,61.55,64.9,842490,52827277.95,07-JAN-2016,4389,INE032A01023,
BOMDYEING,EQ,62,63.15,61.8,62.25,62.05,61.6,658517,41078026.4,08-JAN-2016,3132,INE032A01023,
BOMDYEING,EQ,61.45,62.6,60.8,62.3,62.3,62.25,458961,28414356.85,11-JAN-2016,2727,INE032A01023,
BOMDYEING,EQ,62.35,63.35,61.5,61.95,61.8,62.3,521409,32524318.45,12-JAN-2016,2713,INE032A01023,
BOMDYEING,EQ,62.55,63.05,58.1,60.05,60.1,61.95,822800,49729059.15,13-JAN-2016,4725,INE032A01023,
BOMDYEING,EQ,59.65,59.75,57.7,58.45,58.45,60.05,573971,33703309.3,14-JAN-2016,3502,INE032A01023,
BOMDYEING,EQ,59.2,59.4,56.25,56.55,56.3,58.45,490349,28361376.25,15-JAN-2016,3194,INE032A01023,
BOMDYEING,EQ,57,57,54.05,54.3,54.2,56.55,455703,25036015.65,18-JAN-2016,3546,INE032A01023,
BOMDYEING,EQ,54.55,55.45,53.8,54.65,54.55,54.3,500388,27401128.25,19-JAN-2016,3035,INE032A01023,
BOMDYEING,EQ,54.25,54.25,51.5,51.8,51.6,54.65,570686,29976948,20-JAN-2016,3404,INE032A01023,
BOMDYEING,EQ,52.2,52.75,50.6,51.2,51,51.8,453098,23423760.6,21-JAN-2016,3871,INE032A01023,
BOMDYEING,EQ,51.65,52.75,51.55,52.25,52.2,51.2,451350,23551608.85,22-JAN-2016,3504,INE032A01023,
BOMDYEING,EQ,52.8,53.45,52.4,52.6,52.7,52.25,281315,14898741.1,25-JAN-2016,1841,INE032A01023,
BOMDYEING,EQ,52.55,53.3,52.5,52.8,52.75,52.6,161758,8554643.7,27-JAN-2016,1299,INE032A01023,
BOMDYEING,EQ,52.8,53.8,52.55,53.05,52.8,52.8,226696,12060660.95,28-JAN-2016,1675,INE032A01023,
BOMDYEING,EQ,53.05,54.1,52.5,53.4,53.25,53.05,459089,24462223.15,29-JAN-2016,2744,INE032A01023,
BOMDYEING,EQ,53.6,54.25,53.1,53.4,53.35,53.4,300509,16115750.35,01-FEB-2016,1934,INE032A01023,
BOMDYEING,EQ,53.7,54.4,51.5,51.95,51.8,53.4,337503,17918643.45,02-FEB-2016,2154,INE032A01023,
BOMDYEING,EQ,51.75,51.75,46.4,47.8,47.55,51.95,1149524,55210265.75,03-FEB-2016,6780,INE032A01023,
BOMDYEING,EQ,48.9,49.6,47.1,47.85,48.25,47.8,472384,22949740.3,04-FEB-2016,3519,INE032A01023,
BOMDYEING,EQ,48.7,49.35,48,48.9,48.85,47.85,259501,12669752.15,05-FEB-2016,1932,INE032A01023,
BOMDYEING,EQ,49.4,50.5,48.65,49.2,49.3,48.9,446923,22231067.2,08-FEB-2016,3025,INE032A01023,
BOMDYEING,EQ,47.9,48,46.55,47.65,47.75,49.2,410576,19489025,09-FEB-2016,2812,INE032A01023,
BOMDYEING,EQ,47.5,47.7,46,46.4,46.5,47.65,267393,12465761.6,10-FEB-2016,2046,INE032A01023,
BOMDYEING,EQ,46.5,46.5,41.45,42.15,42,46.4,612497,26625332.6,11-FEB-2016,4129,INE032A01023,
BOMDYEING,EQ,42.15,42.9,40,40.85,40.65,42.15,448905,18406354.05,12-FEB-2016,2956,INE032A01023,
BOMDYEING,EQ,41.6,43.5,41.6,42.25,42.15,40.85,383039,16349776.1,15-FEB-2016,2480,INE032A01023,
BOMDYEING,EQ,42.85,42.9,40.35,40.5,40.55,42.25,326467,13539895.4,16-FEB-2016,2482,INE032A01023,
BOMDYEING,EQ,41.1,41.1,39,40.3,40.4,40.5,335344,13377041,17-FEB-2016,5233,INE032A01023,
BOMDYEING,EQ,40.9,41.5,40.3,40.8,41.2,40.3,268343,10986961.85,18-FEB-2016,2037,INE032A01023,
BOMDYEING,EQ,41.05,42.1,40.9,41.4,41.4,40.8,288454,11969934.05,19-FEB-2016,2002,INE032A01023,
BOMDYEING,EQ,41.4,43.2,41.4,42.6,42.6,41.4,536598,22799721.4,22-FEB-2016,3021,INE032A01023,
BOMDYEING,EQ,43.5,43.5,41.55,41.9,42.1,42.6,248238,10469623.3,23-FEB-2016,1862,INE032A01023,
BOMDYEING,EQ,41.9,41.95,40.9,41.5,41.45,41.9,246426,10217183.45,24-FEB-2016,1631,INE032A01023,
BOMDYEING,EQ,41.55,41.8,40.1,40.4,40.5,41.5,195839,8011648.9,25-FEB-2016,1221,INE032A01023,
BOMDYEING,EQ,41.2,41.3,40.05,40.35,40.4,40.4,497996,20292346.35,26-FEB-2016,1419,INE032A01023,
BOMDYEING,EQ,40.65,41.2,39.6,40,40.15,40.35,285927,11535063.7,29-FEB-2016,2050,INE032A01023,
BOMDYEING,EQ,40.95,42,40.15,41.5,41.6,40,294430,12169566.05,01-MAR-2016,1982,INE032A01023,
BOMDYEING,EQ,42.35,43.95,42.2,43.35,43.3,41.5,471077,20355005.15,02-MAR-2016,2449,INE032A01023,
BOMDYEING,EQ,43.9,45.2,43.25,44.5,44.5,43.35,637147,28256024.8,03-MAR-2016,3204,INE032A01023,
BOMDYEING,EQ,44.8,45.5,43.7,44.45,44.4,44.5,444777,19876723.9,04-MAR-2016,2576,INE032A01023,
BOMDYEING,EQ,44.45,45.8,44.15,44.6,44.65,44.45,301328,13559668.45,08-MAR-2016,1883,INE032A01023,
BOMDYEING,EQ,44.85,46.45,44,45.8,45.6,44.6,597716,27207559.95,09-MAR-2016,3209,INE032A01023,
BOMDYEING,EQ,46.35,46.65,45,45.1,45.15,45.8,336577,15399009.95,10-MAR-2016,2025,INE032A01023,
BOMDYEING,EQ,45.1,46.8,44.8,46.5,46.5,45.1,428945,19750467.8,11-MAR-2016,3064,INE032A01023,
BOMDYEING,EQ,47.9,48.5,47,47.35,47.4,46.5,902309,43011705.7,14-MAR-2016,6524,INE032A01023,
BOMDYEING,EQ,47.1,47.45,45.1,45.3,45.5,47.35,414674,19002573.2,15-MAR-2016,4067,INE032A01023,
BOMDYEING,EQ,45.7,46.55,44.5,46.2,46.5,45.3,350253,15995215.75,16-MAR-2016,3134,INE032A01023,
BOMDYEING,EQ,46.5,46.9,46,46.1,46,46.2,329863,15318080.05,17-MAR-2016,2411,INE032A01023,
BOMDYEING,EQ,46.15,46.75,45.55,45.8,45.65,46.1,252989,11645376.05,18-MAR-2016,1587,INE032A01023,
BOMDYEING,EQ,45.35,46.75,45.35,46.2,46,45.8,372955,17219643.8,21-MAR-2016,1835,INE032A01023,
BOMDYEING,EQ,46.25,47.15,45.65,45.85,45.85,46.2,407569,18843634.9,22-MAR-2016,2549,INE032A01023,
BOMDYEING,EQ,45.85,46.8,45.8,46.45,46.05,45.85,328616,15202789.25,23-MAR-2016,1734,INE032A01023,
BOMDYEING,EQ,46.65,46.65,44.15,44.55,44.7,46.45,308237,13995684.9,28-MAR-2016,1657,INE032A01023,
BOMDYEING,EQ,44.5,46.25,44.2,45.65,45.5,44.55,496540,22510936.9,29-MAR-2016,2886,INE032A01023,
BOMDYEING,EQ,45.9,47.6,45.8,47.25,47.5,45.65,415205,19396049.2,30-MAR-2016,2111,INE032A01023,
BOMDYEING,EQ,47.75,47.8,47.05,47.6,47.4,47.25,387271,18396427.2,31-MAR-2016,2000,INE032A01023,
BOMDYEING,EQ,47.6,48.95,47,48.55,48.9,47.6,470112,22695645,01-APR-2016,2504,INE032A01023,
BOMDYEING,EQ,49.05,49.9,48.4,48.7,48.6,48.55,815359,40057071.35,04-APR-2016,4673,INE032A01023,
BOMDYEING,EQ,48.2,48.25,46.35,46.8,46.8,48.7,292842,13844178.9,05-APR-2016,2054,INE032A01023,
BOMDYEING,EQ,46.85,49.15,46.55,48.55,48.3,46.8,611968,29278135.3,06-APR-2016,3590,INE032A01023,
BOMDYEING,EQ,48.55,48.9,47.1,47.5,47.4,48.55,313684,15060781,07-APR-2016,1910,INE032A01023,
BOMDYEING,EQ,47.6,48.05,47.1,47.25,47.2,47.5,223154,10605440.4,08-APR-2016,1662,INE032A01023,
BOMDYEING,EQ,47.05,48.3,47.05,47.45,47.3,47.25,255085,12121288.7,11-APR-2016,1335,INE032A01023,
BOMDYEING,EQ,47.7,49.1,47.5,47.7,47.75,47.45,461983,22297290.05,12-APR-2016,2303,INE032A01023,
BOMDYEING,EQ,48.3,49,47.8,48,47.85,47.7,452669,21918699.45,13-APR-2016,2445,INE032A01023,
BOMDYEING,EQ,47.85,49.4,47.7,48.85,48.8,48,519595,25214582.6,18-APR-2016,2454,INE032A01023,
BOMDYEING,EQ,49.4,50.4,49,49.4,49.3,48.85,834573,41500943.3,20-APR-2016,4816,INE032A01023,
BOMDYEING,EQ,49.6,52,48.85,50.35,50.35,49.4,1226579,62130572.65,21-APR-2016,6227,INE032A01023,
BOMDYEING,EQ,50.2,50.7,49.5,49.85,49.75,50.35,416698,20894033.85,22-APR-2016,2083,INE032A01023,
BOMDYEING,EQ,49.95,51.7,49.75,50.1,49.9,49.85,577600,29322547.65,25-APR-2016,3002,INE032A01023,
BOMDYEING,EQ,49.6,51,49.25,50.2,50.15,50.1,337969,17030873.7,26-APR-2016,2445,INE032A01023,
BOMDYEING,EQ,50.55,51.4,50.2,50.35,50.45,50.2,435596,22084066.8,27-APR-2016,2547,INE032A01023,
BOMDYEING,EQ,50.4,51.5,49.6,49.9,49.85,50.35,614655,31213966.8,28-APR-2016,3054,INE032A01023,
BOMDYEING,EQ,49.6,50.4,49,49.2,49.1,49.9,341887,16953211.55,29-APR-2016,1958,INE032A01023,
BOMDYEING,EQ,49,50.7,48.6,49.8,49.6,49.2,610298,30382020.15,02-MAY-2016,4027,INE032A01023,
BOMDYEING,EQ,49.9,51.5,49.7,50.05,49.95,49.8,812996,41196055.45,03-MAY-2016,4422,INE032A01023,
BOMDYEING,EQ,49.7,50.55,48.7,49,48.9,50.05,387539,19261034.85,04-MAY-2016,2217,INE032A01023,
BOMDYEING,EQ,49,50.1,48.8,49.05,48.9,49,264850,13067268.15,05-MAY-2016,1827,INE032A01023,
BOMDYEING,EQ,48.85,49.15,47.95,48.2,48.05,49.05,200292,9719390.25,06-MAY-2016,1485,INE032A01023,
BOMDYEING,EQ,48.6,49.3,48.3,48.9,48.95,48.2,319964,15616411.55,09-MAY-2016,2204,INE032A01023,
BOMDYEING,EQ,48.9,49.2,48,48.15,48.25,48.9,200358,9719987.75,10-MAY-2016,1327,INE032A01023,
BOMDYEING,EQ,47.65,48.7,47.1,47.5,47.4,48.15,362638,17348735.45,11-MAY-2016,2847,INE032A01023,
BOMDYEING,EQ,47.5,48.95,47.5,48.05,48,47.5,306818,14790874.6,12-MAY-2016,2144,INE032A01023,
BOMDYEING,EQ,47.7,48.05,47.15,47.25,47.2,48.05,188544,8963630.85,13-MAY-2016,1427,INE032A01023,
BOMDYEING,EQ,47.2,48,46.4,46.9,46.9,47.25,215500,10130804.85,16-MAY-2016,3662,INE032A01023,
BOMDYEING,EQ,47,47.8,46.9,47.1,46.9,46.9,173198,8209880.15,17-MAY-2016,2645,INE032A01023,
BOMDYEING,EQ,46.8,48.45,45.7,47.4,47.35,47.1,513979,24312467,18-MAY-2016,2977,INE032A01023,
BOMDYEING,EQ,47.75,48.4,46.5,46.7,46.9,47.4,307622,14601175.75,19-MAY-2016,2082,INE032A01023,
BOMDYEING,EQ,46.55,47.25,46.2,46.5,46.6,46.7,207260,9660996.95,20-MAY-2016,1306,INE032A01023,
BOMDYEING,EQ,46.6,47,45.55,45.7,45.65,46.5,184078,8482157.65,23-MAY-2016,1458,INE032A01023,
BOMDYEING,EQ,46.35,46.35,43.4,43.8,43.65,45.7,331208,14642890.75,24-MAY-2016,3664,INE032A01023,
BOMDYEING,EQ,44,45.5,43.8,44.35,44.35,43.8,331827,14733767.35,25-MAY-2016,2598,INE032A01023,
BOMDYEING,EQ,44.7,45.65,44.5,45.2,45.3,44.35,253150,11423090.55,26-MAY-2016,1874,INE032A01023,
BOMDYEING,EQ,45.4,45.8,44.8,45.25,45.1,45.2,357593,16237050.95,27-MAY-2016,2101,INE032A01023,
BOMDYEING,EQ,46.3,48.2,45.6,45.85,45.7,45.25,1174833,54709184.7,30-MAY-2016,8608,INE032A01023,
BOMDYEING,EQ,46.1,46.25,42.7,43.4,43,45.85,990757,43797311,31-MAY-2016,6810,INE032A01023,
