SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BURNPUR,EQ,9.4,9.5,9.2,9.4,9.4,9.3,88792,837533.8,01-JAN-2016,159,INE817H01014,
BURNPUR,EQ,9.4,10.15,9.1,10,10.05,9.4,645978,6317363.2,04-JAN-2016,889,INE817H01014,
BURNPUR,EQ,9.9,10.7,9.6,10.5,10.35,10,794085,8104707.3,05-JAN-2016,1435,INE817H01014,
BURNPUR,EQ,10.5,11.35,10.35,10.7,10.65,10.5,1195293,13137187.4,06-JAN-2016,2366,INE817H01014,
BURNPUR,EQ,10.5,10.85,10.25,10.35,10.45,10.7,204858,2136566.95,07-JAN-2016,696,INE817H01014,
BURNPUR,EQ,10.25,10.8,10.05,10.15,10.25,10.35,148951,1536459.5,08-JAN-2016,418,INE817H01014,
BURNPUR,EQ,10.25,10.5,10,10.1,10.1,10.15,74983,761641.55,11-JAN-2016,265,INE817H01014,
BURNPUR,EQ,10.45,10.45,9.8,9.9,9.85,10.1,81341,818448.4,12-JAN-2016,260,INE817H01014,
BURNPUR,EQ,10,10.1,9.2,9.55,9.55,9.9,198108,1884126.9,13-JAN-2016,362,INE817H01014,
BURNPUR,EQ,9.4,10.35,9.25,9.95,10.05,9.55,186902,1858090.6,14-JAN-2016,307,INE817H01014,
BURNPUR,EQ,10.35,10.9,9.55,10.45,10.5,9.95,1090479,11619975.55,15-JAN-2016,1500,INE817H01014,
BURNPUR,EQ,10.9,10.9,9.45,9.7,9.7,10.45,209624,2100563.15,18-JAN-2016,771,INE817H01014,
BURNPUR,EQ,9.7,10.1,9.4,9.95,10.1,9.7,99893,982324.25,19-JAN-2016,326,INE817H01014,
BURNPUR,EQ,9.8,9.8,8.8,9.35,9.3,9.95,84755,795651.15,20-JAN-2016,254,INE817H01014,
BURNPUR,EQ,9.5,9.85,9.3,9.65,9.7,9.35,66296,638776.2,21-JAN-2016,367,INE817H01014,
BURNPUR,EQ,9.5,10.15,9.3,9.75,9.85,9.65,375553,3744592.65,22-JAN-2016,640,INE817H01014,
