SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CENTENKA,EQ,203.55,205.7,202.15,204.05,204.1,202.45,27219,5558388,01-JAN-2016,560,INE485A01015,
CENTENKA,EQ,205.65,209.9,195.65,197.1,195.85,204.05,88400,17870146.35,04-JAN-2016,1848,INE485A01015,
CENTENKA,EQ,196,203,196,199.3,199.1,197.1,38084,7601911.3,05-JAN-2016,1090,INE485A01015,
CENTENKA,EQ,196.05,203,196.05,198.55,198.4,199.3,31195,6254664,06-JAN-2016,881,INE485A01015,
CENTENKA,EQ,195.65,196.55,189.5,190.6,190.45,198.55,43571,8343231.1,07-JAN-2016,1068,INE485A01015,
CENTENKA,EQ,192.4,201.5,190.55,196.35,196.7,190.6,65281,12856352.75,08-JAN-2016,1556,INE485A01015,
CENTENKA,EQ,195,195.15,191.6,192.4,192.7,196.35,14734,2850543.65,11-JAN-2016,532,INE485A01015,
CENTENKA,EQ,192.35,195.15,189.5,190.1,190,192.4,29811,5706779.4,12-JAN-2016,514,INE485A01015,
CENTENKA,EQ,192.65,195,178.15,186.05,185.6,190.1,47096,8762312.8,13-JAN-2016,1005,INE485A01015,
CENTENKA,EQ,184.8,187.85,182,184.4,184.95,186.05,19275,3565335.75,14-JAN-2016,702,INE485A01015,
CENTENKA,EQ,184.05,187.7,175,177.8,177.3,184.4,36933,6675896.45,15-JAN-2016,1204,INE485A01015,
CENTENKA,EQ,177.8,178.1,167.2,169.2,168,177.8,46173,7905616.15,18-JAN-2016,1356,INE485A01015,
CENTENKA,EQ,171.05,172.9,167.5,171.05,171.25,169.2,27898,4750190,19-JAN-2016,655,INE485A01015,
CENTENKA,EQ,169,173,163.65,166.3,167.5,171.05,20500,3427131.3,20-JAN-2016,734,INE485A01015,
CENTENKA,EQ,168.05,173.95,166.25,167.7,168,166.3,13209,2231538.6,21-JAN-2016,501,INE485A01015,
CENTENKA,EQ,168.05,173.15,168.05,171.5,171.7,167.7,17416,2982476.55,22-JAN-2016,404,INE485A01015,
CENTENKA,EQ,172.55,174.35,170.1,170.45,170.4,171.5,10224,1755164.25,25-JAN-2016,410,INE485A01015,
CENTENKA,EQ,172.3,173.9,169.5,170.2,169.5,170.45,12315,2115396.45,27-JAN-2016,451,INE485A01015,
CENTENKA,EQ,171.2,173.5,168.2,170.9,170.55,170.2,10301,1760506.95,28-JAN-2016,544,INE485A01015,
CENTENKA,EQ,169.1,174,168.4,172.85,172,170.9,17116,2941241.55,29-JAN-2016,543,INE485A01015,
CENTENKA,EQ,174.1,178,172,174.35,174.3,172.85,18261,3196326.2,01-FEB-2016,631,INE485A01015,
CENTENKA,EQ,175.9,183.8,174.95,179.9,178.85,174.35,220292,39484753.15,02-FEB-2016,4099,INE485A01015,
CENTENKA,EQ,175,177.9,172.05,173.6,173.25,179.9,33836,5913881.4,03-FEB-2016,833,INE485A01015,
CENTENKA,EQ,174,176.1,170.65,171.85,172.1,173.6,16861,2912960.65,04-FEB-2016,515,INE485A01015,
CENTENKA,EQ,171.35,173.9,170.95,172.6,173.9,171.85,15536,2667594.9,05-FEB-2016,439,INE485A01015,
CENTENKA,EQ,173.95,175.4,170.15,171.65,171.1,172.6,12179,2100246.9,08-FEB-2016,445,INE485A01015,
CENTENKA,EQ,171.05,171.05,167.75,168.75,169,171.65,14597,2460759,09-FEB-2016,444,INE485A01015,
CENTENKA,EQ,168.75,168.75,159.8,161.55,161.7,168.75,20935,3428321.75,10-FEB-2016,564,INE485A01015,
CENTENKA,EQ,159.6,163,142.65,148.7,148,161.55,66801,10185751.8,11-FEB-2016,1682,INE485A01015,
CENTENKA,EQ,150,152.95,145.5,150.9,150.9,148.7,37606,5622192,12-FEB-2016,1111,INE485A01015,
CENTENKA,EQ,153,161,152.5,160.05,160.6,150.9,22111,3490209.1,15-FEB-2016,647,INE485A01015,
CENTENKA,EQ,160.05,163.45,153.05,154.55,154.5,160.05,8064,1261721.7,16-FEB-2016,337,INE485A01015,
