SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CENTRALBK,EQ,71.4,71.95,70.65,71.8,71.9,71.1,165871,11856237.15,01-JAN-2016,800,INE483A01010,
CENTRALBK,EQ,71.1,71.25,69.65,70,70.2,71.8,79168,5568091.65,04-JAN-2016,700,INE483A01010,
CENTRALBK,EQ,70,70.85,69,69.45,69.05,70,206179,14347366.45,05-JAN-2016,916,INE483A01010,
CENTRALBK,EQ,69.2,69.8,68.5,69.1,68.8,69.45,248630,17218446.6,06-JAN-2016,806,INE483A01010,
CENTRALBK,EQ,68.9,68.9,67.3,67.85,67.4,69.1,209068,14165862.5,07-JAN-2016,954,INE483A01010,
CENTRALBK,EQ,68,68.8,67.2,67.65,67.65,67.85,116860,7949792.35,08-JAN-2016,697,INE483A01010,
CENTRALBK,EQ,67.5,67.95,66.3,67.55,67.1,67.65,366613,24556114.85,11-JAN-2016,1313,INE483A01010,
CENTRALBK,EQ,67,67.3,66.3,66.35,66.7,67.55,222203,14807403.45,12-JAN-2016,738,INE483A01010,
CENTRALBK,EQ,67,67.25,63.5,64.9,64.8,66.35,185030,12059922.95,13-JAN-2016,1065,INE483A01010,
CENTRALBK,EQ,63.75,64.85,63.5,64.1,64,64.9,141368,9071642.35,14-JAN-2016,1042,INE483A01010,
CENTRALBK,EQ,64.4,64.5,62.15,63.35,63.75,64.1,160142,10164587.7,15-JAN-2016,867,INE483A01010,
CENTRALBK,EQ,63,63.8,60.15,61.25,60.9,63.35,141700,8793910.7,18-JAN-2016,1736,INE483A01010,
CENTRALBK,EQ,61.25,64.5,61.1,62.4,62.85,61.25,120403,7586060.45,19-JAN-2016,1749,INE483A01010,
CENTRALBK,EQ,62.4,62.5,60.6,61.65,61.85,62.4,255626,15870838.7,20-JAN-2016,1294,INE483A01010,
CENTRALBK,EQ,61.9,63.4,60.8,62.45,62.95,61.65,121973,7589791.55,21-JAN-2016,1146,INE483A01010,
CENTRALBK,EQ,63,64.85,62.2,63.55,63.5,62.45,132505,8459055.55,22-JAN-2016,1074,INE483A01010,
CENTRALBK,EQ,63.85,65.4,63.6,64.4,64.6,63.55,93002,6014836.3,25-JAN-2016,946,INE483A01010,
CENTRALBK,EQ,64.5,64.9,63.4,63.55,63.5,64.4,128433,8208288.7,27-JAN-2016,1386,INE483A01010,
CENTRALBK,EQ,63.1,64.4,62.6,63.15,63.2,63.55,65109,4131364.55,28-JAN-2016,689,INE483A01010,
CENTRALBK,EQ,63.2,63.4,62,62.4,62.35,63.15,66990,4184780.45,29-JAN-2016,1362,INE483A01010,
CENTRALBK,EQ,62.5,62.5,61.6,62.35,62,62.4,74926,4656039.25,01-FEB-2016,875,INE483A01010,
CENTRALBK,EQ,62.35,62.5,61.1,61.65,61.7,62.35,112842,6987838.7,02-FEB-2016,914,INE483A01010,
CENTRALBK,EQ,61.35,61.75,59.15,59.7,59.9,61.65,172554,10382030.1,03-FEB-2016,771,INE483A01010,
CENTRALBK,EQ,59.35,60.5,59.05,60.3,60.5,59.7,164186,9807313.35,04-FEB-2016,947,INE483A01010,
CENTRALBK,EQ,60.4,61.35,60,60.9,61,60.3,81325,4937885.55,05-FEB-2016,675,INE483A01010,
CENTRALBK,EQ,60.9,62.5,60.9,61.45,61.3,60.9,379665,23594069.05,08-FEB-2016,1242,INE483A01010,
CENTRALBK,EQ,60.2,61.95,60.1,61.7,61.65,61.45,227450,13936189.15,09-FEB-2016,1070,INE483A01010,
CENTRALBK,EQ,57.75,57.75,52,53.95,53.65,61.7,1733974,95301288.4,10-FEB-2016,10120,INE483A01010,
CENTRALBK,EQ,52.55,53.9,50.15,51.95,51.75,53.95,357887,18725188.5,11-FEB-2016,2624,INE483A01010,
CENTRALBK,EQ,52.25,52.75,49.65,51.7,51.85,51.95,190149,9679622.2,12-FEB-2016,1732,INE483A01010,
CENTRALBK,EQ,51.9,54.95,51.9,53.05,53.1,51.7,150863,8116859.25,15-FEB-2016,1532,INE483A01010,
CENTRALBK,EQ,53.1,53.9,50.7,51.15,51.1,53.05,251266,12949421.05,16-FEB-2016,3422,INE483A01010,
CENTRALBK,EQ,51.15,51.15,47.9,48.85,48.75,51.15,441112,21583614.95,17-FEB-2016,4758,INE483A01010,
CENTRALBK,EQ,49.4,50.3,49.1,49.6,49.25,48.85,279950,13950799.8,18-FEB-2016,2736,INE483A01010,
