SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CHEMCON,EQ,731,731.25,584.8,584.8,584.8,340,15779162,9977062698.9,01-OCT-2020,588829,INE03YM01018,
CHEMCON,EQ,551.1,566.7,516.6,524,521.25,584.8,6106225,3288113037.3,05-OCT-2020,217019,INE03YM01018,
CHEMCON,EQ,525,550,522.65,524.95,525,524,2427474,1298231371.8,06-OCT-2020,78530,INE03YM01018,
CHEMCON,EQ,527.5,534.5,503.2,517.05,519.9,524.95,2097097,1083892103.4,07-OCT-2020,68158,INE03YM01018,
CHEMCON,EQ,522.85,526.75,503,507.05,503.6,517.05,1268918,651883704.6,08-OCT-2020,39008,INE03YM01018,
CHEMCON,EQ,506,508.75,481.75,486.25,482,507.05,1595506,787811047.3,09-OCT-2020,47556,INE03YM01018,
CHEMCON,EQ,482.75,482.75,432,435.4,434.5,486.25,2003739,912957732.9,12-OCT-2020,57432,INE03YM01018,
CHEMCON,EQ,428,469,415.5,455.2,457,435.4,3039642,1380055271.75,13-OCT-2020,95903,INE03YM01018,
CHEMCON,EQ,457.05,458.7,437,440.85,443,455.2,759728,337092137.05,14-OCT-2020,21397,INE03YM01018,
CHEMCON,EQ,443.9,445,417.05,418.9,418.9,440.85,572018,245521409.45,15-OCT-2020,23524,INE03YM01018,
CHEMCON,EQ,420.25,429.6,398.05,404.8,406.2,418.9,1015056,413922476.75,16-OCT-2020,51240,INE03YM01018,
CHEMCON,EQ,410.75,425,408,411.1,414,404.8,525563,217469712.45,19-OCT-2020,17963,INE03YM01018,
CHEMCON,EQ,413.9,416.9,404.05,407.65,411.5,411.1,469310,191830451.55,20-OCT-2020,14864,INE03YM01018,
CHEMCON,EQ,411,442.85,407.5,431.65,433,407.65,1908099,821669668.55,21-OCT-2020,53388,INE03YM01018,
CHEMCON,EQ,431.9,440,427.1,434.85,437,431.65,605260,262568435.85,22-OCT-2020,19361,INE03YM01018,
CHEMCON,EQ,437.45,438.45,427,430.2,430,434.85,327446,141088280.65,23-OCT-2020,10172,INE03YM01018,
CHEMCON,EQ,432,432.5,415,417.85,419.95,430.2,302308,127152199.55,26-OCT-2020,11450,INE03YM01018,
CHEMCON,EQ,416.3,418.8,407.05,411.9,410.3,417.85,267206,110183121.85,27-OCT-2020,10089,INE03YM01018,
CHEMCON,EQ,411,426.8,411,418.75,418,411.9,373310,156911370.6,28-OCT-2020,13006,INE03YM01018,
CHEMCON,EQ,412.1,415,398,399.15,399.1,418.75,657919,265744212.2,29-OCT-2020,23737,INE03YM01018,
CHEMCON,EQ,400,427.65,400,411.6,413.5,399.15,909478,377983820.8,30-OCT-2020,25473,INE03YM01018,
CHEMCON,EQ,418.1,431,413.15,425.8,428.1,411.6,630946,266754404.25,02-NOV-2020,20307,INE03YM01018,
CHEMCON,EQ,429.5,437.5,421,424,421,425.8,421713,181423663.75,03-NOV-2020,13403,INE03YM01018,
CHEMCON,EQ,422.9,436,416.5,430.7,430.4,424,389432,165665257.4,04-NOV-2020,11693,INE03YM01018,
CHEMCON,EQ,434.95,439.9,430,434.15,433,430.7,303240,131711080.5,05-NOV-2020,10981,INE03YM01018,
CHEMCON,EQ,435.1,456,434.15,444.4,443.15,434.15,743919,332915266.6,06-NOV-2020,25758,INE03YM01018,
CHEMCON,EQ,433.8,434,416.5,421.25,420.6,444.4,617657,261855730.1,09-NOV-2020,23194,INE03YM01018,
CHEMCON,EQ,422,425.95,414,414.9,414.5,421.25,442656,184544133,10-NOV-2020,12565,INE03YM01018,
CHEMCON,EQ,416.9,419.85,412.15,413.75,413.95,414.9,185957,77263189.9,11-NOV-2020,11212,INE03YM01018,
CHEMCON,EQ,414,421.45,413.75,415.75,416.95,413.75,186211,77790343.1,12-NOV-2020,7983,INE03YM01018,
CHEMCON,EQ,416.95,425.9,415.85,418.55,418.95,415.75,284246,119758573.8,13-NOV-2020,10867,INE03YM01018,
CHEMCON,EQ,424.4,424.4,415,415.25,415.4,421.85,247578,103293951.3,17-NOV-2020,13375,INE03YM01018,
CHEMCON,EQ,415.75,418.95,412.5,416,416.5,415.25,263475,109375964.75,18-NOV-2020,8535,INE03YM01018,
CHEMCON,EQ,414.95,424.4,413,414.4,415,416,296620,124335282.25,19-NOV-2020,11006,INE03YM01018,
CHEMCON,EQ,417.7,421.05,413.1,418.65,417.5,414.4,304779,126809057.6,20-NOV-2020,6445,INE03YM01018,
CHEMCON,EQ,418.65,421.65,416,416.55,416.25,418.65,177145,74047036.2,23-NOV-2020,6341,INE03YM01018,
CHEMCON,EQ,419.35,434,414.75,423.7,422.5,416.55,458285,195041334.8,24-NOV-2020,15830,INE03YM01018,
CHEMCON,EQ,424.45,428.3,415,416.75,416.5,423.7,224691,94494068.65,25-NOV-2020,8024,INE03YM01018,
CHEMCON,EQ,418,422.7,415.4,418.3,418.6,416.75,119786,50136410.85,26-NOV-2020,5091,INE03YM01018,
CHEMCON,EQ,421,423,416.8,418.3,417,418.3,156651,65789490.8,27-NOV-2020,5648,INE03YM01018,
CHEMCON,EQ,421.75,421.75,417.2,418.35,418,418.3,129453,54264742.95,01-DEC-2020,6151,INE03YM01018,
CHEMCON,EQ,418.95,425.9,416.15,420.25,419.45,418.35,251934,106016167.9,02-DEC-2020,7966,INE03YM01018,
CHEMCON,EQ,421.95,428,420.05,422.9,423,420.25,231081,97986992.55,03-DEC-2020,10050,INE03YM01018,
CHEMCON,EQ,425.9,460.85,424.05,445.45,445.05,422.9,1480268,659861080.9,04-DEC-2020,47059,INE03YM01018,
CHEMCON,EQ,447.9,466,445.05,453.35,453.1,445.45,690652,315422834.75,07-DEC-2020,22374,INE03YM01018,
CHEMCON,EQ,456.55,459.85,441.3,446,446.4,453.35,305777,137413345.5,08-DEC-2020,10413,INE03YM01018,
CHEMCON,EQ,449.3,449.85,438.15,440.3,441.9,446,170482,75639592.05,09-DEC-2020,7308,INE03YM01018,
CHEMCON,EQ,438,445.1,431.05,436.2,435.9,440.3,141156,61523184.4,10-DEC-2020,5657,INE03YM01018,
CHEMCON,EQ,436.6,444.9,428.95,431.15,431.2,436.2,202943,88444120.1,11-DEC-2020,7169,INE03YM01018,
CHEMCON,EQ,432.6,434.05,424,425.75,426.4,431.15,196683,84191350.2,14-DEC-2020,8956,INE03YM01018,
CHEMCON,EQ,425.95,435.9,424.15,429.15,429,425.75,182628,78725830.3,15-DEC-2020,6568,INE03YM01018,
CHEMCON,EQ,432.95,441.65,429.05,431.75,429.9,429.15,237265,102971630.65,16-DEC-2020,8613,INE03YM01018,
CHEMCON,EQ,433,439,428.25,429.7,429.45,431.75,226051,97930713.65,17-DEC-2020,9296,INE03YM01018,
CHEMCON,EQ,435,435,424.5,426.45,425.35,429.7,223254,95661657.5,18-DEC-2020,11191,INE03YM01018,
CHEMCON,EQ,428.3,428.3,403,407.85,406.5,426.45,437985,182518663.95,21-DEC-2020,25735,INE03YM01018,
CHEMCON,EQ,411,416.8,400.05,408.3,407,407.85,375210,152815218.4,22-DEC-2020,18146,INE03YM01018,
CHEMCON,EQ,412.95,416.75,407.1,409.1,408.95,408.3,479380,197050399.05,23-DEC-2020,17972,INE03YM01018,
CHEMCON,EQ,412,417.4,410.1,411.05,410.55,409.1,269205,111060878.4,24-DEC-2020,10227,INE03YM01018,
CHEMCON,EQ,414.9,419,412.15,414.55,414.9,411.05,342149,141722217.35,28-DEC-2020,9506,INE03YM01018,
CHEMCON,EQ,416.85,427.5,414.05,416.9,416,414.55,381045,159906863.4,29-DEC-2020,12073,INE03YM01018,
CHEMCON,EQ,418.95,442.75,413.35,435.9,434.6,416.9,2402565,1036545491.7,30-DEC-2020,37814,INE03YM01018,
CHEMCON,EQ,454.9,511.9,448.2,499.15,498.9,435.9,7416688,3552800799.1,31-DEC-2020,177516,INE03YM01018,
CHEMCON,EQ,497,535.9,488.7,500.3,494.2,499.15,8921524,4604032985.7,01-JAN-2021,189544,INE03YM01018,
CHEMCON,EQ,504.95,507,485.1,489.2,487,500.3,1353228,670439496.9,04-JAN-2021,36987,INE03YM01018,
CHEMCON,EQ,480,492.9,480,481.7,481.7,489.2,565541,274630542.25,05-JAN-2021,14999,INE03YM01018,
CHEMCON,EQ,483,488.9,466.75,471.4,470.5,481.7,521311,249504778.65,06-JAN-2021,15309,INE03YM01018,
CHEMCON,EQ,474.4,481.5,472,473,474,471.4,327805,156015612.7,07-JAN-2021,8790,INE03YM01018,
CHEMCON,EQ,473.9,488,472.15,474.4,474,473,375619,180350650.7,08-JAN-2021,12193,INE03YM01018,
CHEMCON,EQ,476.75,480,465.2,467.45,466.5,474.4,339344,159898207.5,11-JAN-2021,10923,INE03YM01018,
CHEMCON,EQ,467,471.7,460.75,463.5,462.35,467.45,334891,155844916.85,12-JAN-2021,11390,INE03YM01018,
CHEMCON,EQ,465,474.4,450.15,453.35,451.95,463.5,452968,209666309.55,13-JAN-2021,15434,INE03YM01018,
CHEMCON,EQ,453.95,462,450.4,456.25,455.5,453.35,253267,115468621.45,14-JAN-2021,8533,INE03YM01018,
CHEMCON,EQ,459,459.55,446,447.75,447.05,456.25,195224,88303930.15,15-JAN-2021,7505,INE03YM01018,
CHEMCON,EQ,449.9,456.8,435.05,440.5,438.6,447.75,220352,98510868.6,18-JAN-2021,9281,INE03YM01018,
CHEMCON,EQ,448,462.85,442.6,456.3,455.9,440.5,479879,218159896.45,19-JAN-2021,16039,INE03YM01018,
CHEMCON,EQ,457,466.85,453.5,455.5,455.65,456.3,262912,121051256.45,20-JAN-2021,8896,INE03YM01018,
CHEMCON,EQ,457.8,458.8,441.35,443.2,444.8,455.5,214629,96647345.35,21-JAN-2021,7591,INE03YM01018,
CHEMCON,EQ,444.55,449.8,437.2,438.7,439,443.2,181545,80378723.9,22-JAN-2021,7619,INE03YM01018,
CHEMCON,EQ,440.9,444.4,425.05,426.65,426.7,438.7,164301,70937289.95,25-JAN-2021,8943,INE03YM01018,
CHEMCON,EQ,426.65,439,420,427.6,426.85,426.65,269514,116118857.7,27-JAN-2021,11590,INE03YM01018,
CHEMCON,EQ,426.5,436.75,423.6,426.15,426.5,427.6,150384,64586468.05,28-JAN-2021,6542,INE03YM01018,
CHEMCON,EQ,431.5,434,421.1,423,423.8,426.15,125394,53561858.95,29-JAN-2021,4969,INE03YM01018,
CHEMCON,EQ,425,432.5,420.85,428.85,428.2,423,142873,61012547.7,01-FEB-2021,4567,INE03YM01018,
CHEMCON,EQ,433.65,439.3,430.55,431.8,432.45,428.85,109130,47315061.7,02-FEB-2021,3952,INE03YM01018,
CHEMCON,EQ,434.65,450,428,437.75,439.2,431.8,344059,151900642.6,03-FEB-2021,9560,INE03YM01018,
CHEMCON,EQ,440.8,453.9,438.15,445.6,445.95,437.75,283832,127130150.25,04-FEB-2021,7716,INE03YM01018,
CHEMCON,EQ,449.45,450.35,438.05,439.35,439,445.6,110068,48806191.4,05-FEB-2021,3546,INE03YM01018,
CHEMCON,EQ,441,445,438.2,439.45,439.95,439.35,97901,43143307.55,08-FEB-2021,3101,INE03YM01018,
CHEMCON,EQ,439.35,444.9,435,435.9,436,439.45,106159,46563192.1,09-FEB-2021,3911,INE03YM01018,
CHEMCON,EQ,435,439.2,431.4,433.3,433.5,435.9,77714,33746783.15,10-FEB-2021,3103,INE03YM01018,
CHEMCON,EQ,430.2,444.45,430.2,441.35,440.85,433.3,185952,81937549.15,11-FEB-2021,5595,INE03YM01018,
CHEMCON,EQ,444.2,459,442.5,450.2,449,441.35,408130,184531827.95,12-FEB-2021,11719,INE03YM01018,
CHEMCON,EQ,458,460,426.05,437.9,438.65,450.2,309344,138788091.3,15-FEB-2021,9271,INE03YM01018,
CHEMCON,EQ,440.85,444,433.05,435.75,434,437.9,171184,74875630.95,16-FEB-2021,5174,INE03YM01018,
