SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CIEINDIA,EQ,508.8,531.9,505,526.4,524,507.7,1177733,613414095.75,19-JUN-2023,31133,INE536H01010,
CIEINDIA,EQ,529,534.4,493.2,511.25,511.3,526.4,541164,278737291.45,20-JUN-2023,15597,INE536H01010,
CIEINDIA,EQ,502.2,516.5,502,513.2,514.7,511.25,484748,247272933.75,21-JUN-2023,28780,INE536H01010,
CIEINDIA,EQ,513.2,525,508,520.25,522,513.2,589900,306449687.3,22-JUN-2023,15886,INE536H01010,
CIEINDIA,EQ,522.9,523.8,507,513.25,511,520.25,540533,280106642.85,23-JUN-2023,28730,INE536H01010,
CIEINDIA,EQ,513,521,505.5,518.45,518,513.25,475318,243133283.5,26-JUN-2023,21150,INE536H01010,
CIEINDIA,EQ,518.45,530,514,518.05,517.3,518.45,380345,197922265.1,27-JUN-2023,11239,INE536H01010,
CIEINDIA,EQ,518.95,521.3,512.85,519.05,519,518.05,222020,114934969.35,28-JUN-2023,7175,INE536H01010,
CIEINDIA,EQ,520,521,513.1,515.5,514.5,519.05,246402,127434232.5,30-JUN-2023,11869,INE536H01010,
CIEINDIA,EQ,515.5,521.55,512.1,516.2,519,515.5,481345,248653391.05,03-JUL-2023,17166,INE536H01010,
CIEINDIA,EQ,517,535.5,516.4,525.9,524.9,516.2,896568,474216205.4,04-JUL-2023,37887,INE536H01010,
CIEINDIA,EQ,525,535.4,524,531.35,531.4,525.9,589108,312115361.55,05-JUL-2023,29859,INE536H01010,
CIEINDIA,EQ,531.3,542.3,526.1,529.3,528.9,531.35,640490,343392942.1,06-JUL-2023,24583,INE536H01010,
CIEINDIA,EQ,528.9,537.65,526.2,532.9,533,529.3,267625,142393313.7,07-JUL-2023,20402,INE536H01010,
CIEINDIA,EQ,533,540.6,525.4,530.25,528.2,532.9,331787,177664002.8,10-JUL-2023,15355,INE536H01010,
CIEINDIA,EQ,529.85,548.95,529.85,546.1,543,530.25,636118,344978890.4,11-JUL-2023,22157,INE536H01010,
CIEINDIA,EQ,548,559.7,544,549.45,548.95,546.1,612210,338378220.95,12-JUL-2023,20067,INE536H01010,
CIEINDIA,EQ,551.9,557.5,541,544.45,543,549.45,334985,184190700.75,13-JUL-2023,16355,INE536H01010,
CIEINDIA,EQ,545.9,549.4,537.2,542.6,542,544.45,291920,158705241.95,14-JUL-2023,16002,INE536H01010,
CIEINDIA,EQ,545,546.85,538,541.05,540.8,542.6,358405,193907127.4,17-JUL-2023,15888,INE536H01010,
CIEINDIA,EQ,543.45,546.4,522.15,530.35,531.5,541.05,438800,233008983.25,18-JUL-2023,21642,INE536H01010,
CIEINDIA,EQ,546,579.75,508.75,517.85,520.25,530.35,4468666,2412218274.5,19-JUL-2023,104369,INE536H01010,
CIEINDIA,EQ,520,537.8,519.25,524.1,525.45,517.85,1364467,723990595.7,20-JUL-2023,37252,INE536H01010,
CIEINDIA,EQ,525.45,525.5,487,492.1,492,524.1,1367695,689864514.75,21-JUL-2023,41812,INE536H01010,
CIEINDIA,EQ,491,503.95,486,491.7,490.35,492.1,1037418,514792570.65,24-JUL-2023,42308,INE536H01010,
CIEINDIA,EQ,490,492.95,473.05,478.1,479.45,491.7,1584324,760676413.55,25-JUL-2023,37016,INE536H01010,
CIEINDIA,EQ,481.8,487.85,476,477.65,477.7,478.1,678469,326466707.3,26-JUL-2023,27457,INE536H01010,
CIEINDIA,EQ,479.2,484.45,473.05,475.55,475,477.65,635580,304670958.7,27-JUL-2023,18149,INE536H01010,
CIEINDIA,EQ,470.15,475.5,458.8,473.5,473.65,475.55,1091182,508775591.6,28-JUL-2023,44607,INE536H01010,
CIEINDIA,EQ,473.7,515.75,473.7,509.85,508,473.5,2211633,1118491668.75,31-JUL-2023,55190,INE536H01010,
CIEINDIA,EQ,508.95,510,485.35,497.85,505.05,509.85,1250824,619787886.65,01-AUG-2023,41581,INE536H01010,
CIEINDIA,EQ,500.7,509.25,489.6,497.2,499.5,497.85,771511,386387744.6,02-AUG-2023,29498,INE536H01010,
CIEINDIA,EQ,497.95,504.95,488.95,502.2,503,497.2,460147,228994413.95,03-AUG-2023,21728,INE536H01010,
CIEINDIA,EQ,502.25,505.4,494.75,495.85,496,502.2,333744,166425985.05,04-AUG-2023,14428,INE536H01010,
CIEINDIA,EQ,501.5,501.5,483,485.4,485.9,495.85,425724,207580316.25,07-AUG-2023,23952,INE536H01010,
CIEINDIA,EQ,486,494,473.2,476.35,475,485.4,421831,202890128,08-AUG-2023,18077,INE536H01010,
CIEINDIA,EQ,474.05,481.6,467.8,470.75,468,476.35,401243,190084309.9,09-AUG-2023,19730,INE536H01010,
CIEINDIA,EQ,470,476,464.4,467.35,470,470.75,609359,285835308.95,10-AUG-2023,18055,INE536H01010,
CIEINDIA,EQ,471.95,492.9,471.95,490.35,490.2,467.35,991641,482836638.35,11-AUG-2023,33491,INE536H01010,
CIEINDIA,EQ,490.35,492,477.75,485.25,485.55,490.35,445368,216041851.05,14-AUG-2023,27486,INE536H01010,
CIEINDIA,EQ,484,490.6,473.75,480.4,479.6,485.25,379849,182216301.2,16-AUG-2023,19627,INE536H01010,
CIEINDIA,EQ,480.5,482.45,472.05,480.2,479.5,480.4,447023,212991397.7,17-AUG-2023,20116,INE536H01010,
CIEINDIA,EQ,480,485.1,479.75,483.25,481.7,480.2,277223,133859753.8,18-AUG-2023,21023,INE536H01010,
CIEINDIA,EQ,484.4,505,478.1,500.5,499.25,483.25,986605,490628612.35,21-AUG-2023,29949,INE536H01010,
CIEINDIA,EQ,498.65,503.65,493.5,496.25,495.2,500.5,275525,136976905.2,22-AUG-2023,13689,INE536H01010,
CIEINDIA,EQ,506,520.95,504.45,513.45,514.5,496.25,1211705,623905593.9,23-AUG-2023,33515,INE536H01010,
CIEINDIA,EQ,519.45,524.5,512,517.1,520,513.45,704275,365288994.2,24-AUG-2023,19671,INE536H01010,
CIEINDIA,EQ,519,519.15,504.5,505.5,505.15,517.1,412132,209747381.85,25-AUG-2023,16875,INE536H01010,
CIEINDIA,EQ,508.95,514.2,507,508.2,508.7,505.5,266165,135795874.7,28-AUG-2023,22302,INE536H01010,
CIEINDIA,EQ,511.9,512,502.05,506.75,506.05,508.2,243890,123498189.9,29-AUG-2023,11400,INE536H01010,
CIEINDIA,EQ,508.8,517.1,502,514.95,513,506.75,669842,342429353.45,30-AUG-2023,18337,INE536H01010,
CIEINDIA,EQ,518,525.95,509.5,522.7,524,514.95,946430,493084826.65,31-AUG-2023,18841,INE536H01010,
CIEINDIA,EQ,528,531.1,515.05,519.45,520,522.7,478728,249329552.6,01-SEP-2023,17864,INE536H01010,
CIEINDIA,EQ,522,525.1,512.5,513.75,513.6,519.45,579991,299241751.35,04-SEP-2023,15568,INE536H01010,
CIEINDIA,EQ,514.6,516.9,506,510.75,511.6,513.75,309686,158488132.15,05-SEP-2023,13549,INE536H01010,
CIEINDIA,EQ,511.85,515.65,502.3,507.7,507.5,510.75,585476,296753491,06-SEP-2023,22246,INE536H01010,
CIEINDIA,EQ,508.1,509.5,493.5,498.6,498.5,507.7,921219,458880880.75,07-SEP-2023,22984,INE536H01010,
CIEINDIA,EQ,498,512.6,496.7,503.35,503.95,498.6,519179,262185618.3,08-SEP-2023,17189,INE536H01010,
CIEINDIA,EQ,503.25,508,495,500.3,500.3,503.35,510570,254862194,11-SEP-2023,19984,INE536H01010,
CIEINDIA,EQ,503.3,503.3,483,495.55,496,500.3,564550,278818096.05,12-SEP-2023,23405,INE536H01010,
CIEINDIA,EQ,496.25,496.95,486,494.05,494,495.55,237189,116619496.7,13-SEP-2023,14571,INE536H01010,
CIEINDIA,EQ,499.9,506,489.1,493.8,494.5,494.05,491554,243429840.7,14-SEP-2023,19507,INE536H01010,
CIEINDIA,EQ,495.2,512,489.8,508.25,507.65,493.8,840424,421548194.95,15-SEP-2023,30954,INE536H01010,
CIEINDIA,EQ,512,513.75,492.5,495.1,495.5,508.25,421542,212235393.7,18-SEP-2023,17528,INE536H01010,
CIEINDIA,EQ,497,497,489.05,491.3,492.45,495.1,335041,164482520.15,20-SEP-2023,16951,INE536H01010,
CIEINDIA,EQ,491.95,491.95,477.55,482.55,483.8,491.3,298404,144729600.3,21-SEP-2023,13682,INE536H01010,
CIEINDIA,EQ,483.05,486.2,469,473.6,474.5,482.55,312483,148754991.2,22-SEP-2023,19287,INE536H01010,
CIEINDIA,EQ,473,483,468.8,480.35,481,473.6,238319,114101842.05,25-SEP-2023,10569,INE536H01010,
CIEINDIA,EQ,486,486.05,473.8,482.6,481.6,480.35,277091,132803585.25,26-SEP-2023,16730,INE536H01010,
CIEINDIA,EQ,479.95,481,472.5,474.75,474.9,482.6,297770,141502823.95,27-SEP-2023,22909,INE536H01010,
CIEINDIA,EQ,479.4,488.8,467.25,483.95,481.25,474.75,868533,411409506.1,28-SEP-2023,29167,INE536H01010,
CIEINDIA,EQ,488,488.25,476.5,480.75,480.4,483.95,393741,189387043.25,29-SEP-2023,16360,INE536H01010,
CIEINDIA,EQ,485,487.95,473.5,475.85,475.8,480.75,311522,148676621.1,03-OCT-2023,12563,INE536H01010,
CIEINDIA,EQ,477.05,479.4,458.2,465.15,465.6,475.85,646509,300362200.85,04-OCT-2023,27261,INE536H01010,
CIEINDIA,EQ,468.9,478.1,466.3,474.85,471.9,465.15,567481,268015050.6,05-OCT-2023,21749,INE536H01010,
CIEINDIA,EQ,476,480.45,468.2,470.1,473.45,474.85,540423,255127265.55,06-OCT-2023,13106,INE536H01010,
CIEINDIA,EQ,469.5,469.5,459,460.95,459.2,470.1,321123,148973533.55,09-OCT-2023,13735,INE536H01010,
CIEINDIA,EQ,460.6,466,459.55,460.8,461.35,460.95,643812,297526177.35,10-OCT-2023,29950,INE536H01010,
CIEINDIA,EQ,464.8,466.7,457.15,461.8,462,460.8,714805,330487530.2,11-OCT-2023,32206,INE536H01010,
CIEINDIA,EQ,463.1,469.3,459.65,466.05,469,461.8,758096,351491176.9,12-OCT-2023,27300,INE536H01010,
CIEINDIA,EQ,466.2,469.3,462.2,463.25,463,466.05,328511,152619636.45,13-OCT-2023,13303,INE536H01010,
CIEINDIA,EQ,461.5,477.95,460.25,476.3,475.95,463.25,443878,208853474.75,16-OCT-2023,15185,INE536H01010,
CIEINDIA,EQ,479.9,495.95,478.2,493.85,493.6,476.3,991745,485655767.6,17-OCT-2023,24610,INE536H01010,
CIEINDIA,EQ,500,500,480,483.75,483,493.85,1478607,722158900.3,18-OCT-2023,37838,INE536H01010,
CIEINDIA,EQ,483.75,484,463.75,466.2,465.45,483.75,1307268,613546043.4,19-OCT-2023,27846,INE536H01010,
CIEINDIA,EQ,466,466,440.4,454.45,455.4,466.2,2114285,946514187.05,20-OCT-2023,43471,INE536H01010,
CIEINDIA,EQ,454.95,457.55,446.45,449.3,449.65,454.45,631593,283548709.8,23-OCT-2023,38106,INE536H01010,
