SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CONFIPET,EQ,41.4,41.4,38.65,39.4,39.9,40.7,101635,4051658.2,13-JUN-2019,547,INE552D01024,
CONFIPET,EQ,40,40,38.75,38.9,38.8,39.4,68377,2685899.75,14-JUN-2019,220,INE552D01024,
CONFIPET,EQ,38.5,39.65,37.85,38,38.4,38.9,62689,2406034.3,17-JUN-2019,304,INE552D01024,
CONFIPET,EQ,38.8,38.8,37.35,37.75,37.7,38,103909,3933271.6,18-JUN-2019,443,INE552D01024,
CONFIPET,EQ,37.55,39.4,36.55,36.8,36.9,37.75,100566,3747992.75,19-JUN-2019,528,INE552D01024,
CONFIPET,EQ,36.4,37.7,35.75,37.15,37.65,36.8,113010,4154182.7,20-JUN-2019,476,INE552D01024,
CONFIPET,EQ,37.35,37.5,36.4,36.9,37.05,37.15,22557,834488.65,21-JUN-2019,190,INE552D01024,
CONFIPET,EQ,37.2,37.25,36.4,36.55,36.5,36.9,68986,2534793.35,24-JUN-2019,383,INE552D01024,
CONFIPET,EQ,36.15,36.45,33.3,35,35.1,36.55,213650,7516941.7,25-JUN-2019,878,INE552D01024,
CONFIPET,EQ,35,36.25,34.8,35.3,35.1,35,60938,2155761.55,26-JUN-2019,349,INE552D01024,
CONFIPET,EQ,35.7,36.95,35.55,36.3,36.4,35.3,119669,4321220.65,27-JUN-2019,338,INE552D01024,
CONFIPET,EQ,37.3,37.3,35.5,36.05,36.2,36.3,69536,2533485.5,28-JUN-2019,464,INE552D01024,
CONFIPET,EQ,36.65,36.65,35,35.4,35.35,36.05,62513,2233426.15,01-JUL-2019,426,INE552D01024,
CONFIPET,EQ,35.1,35.7,33.1,33.7,33.7,35.4,131591,4480752.1,02-JUL-2019,853,INE552D01024,
CONFIPET,EQ,33.7,34.4,32.8,32.95,33,33.7,189484,6276213.7,03-JUL-2019,814,INE552D01024,
CONFIPET,EQ,33.25,33.25,32.6,32.9,33,32.95,109762,3610710.7,04-JUL-2019,670,INE552D01024,
CONFIPET,EQ,32.55,35.8,32.55,34.75,34.95,32.9,222643,7745728.1,05-JUL-2019,1582,INE552D01024,
CONFIPET,EQ,35.4,35.4,32.8,33.3,34,34.75,125321,4159814.8,08-JUL-2019,797,INE552D01024,
CONFIPET,EQ,33.05,34.9,33.05,34.45,34.9,33.3,72339,2471535.9,09-JUL-2019,526,INE552D01024,
CONFIPET,EQ,35,35.45,34.35,35.15,35.45,34.45,89806,3149463.6,10-JUL-2019,607,INE552D01024,
CONFIPET,EQ,33.6,35.95,33.6,34.75,35,35.15,41502,1441698.3,11-JUL-2019,510,INE552D01024,
CONFIPET,EQ,34.3,35.4,34,34.35,34.4,34.75,46482,1601726.6,12-JUL-2019,347,INE552D01024,
CONFIPET,EQ,35,35.4,32.75,33.15,33.05,34.35,75963,2535337.65,15-JUL-2019,493,INE552D01024,
CONFIPET,EQ,32.9,34,32.4,32.85,32.6,33.15,72478,2381876.7,16-JUL-2019,502,INE552D01024,
CONFIPET,EQ,33.5,33.5,32.15,32.25,32.3,32.85,56625,1839350.25,17-JUL-2019,393,INE552D01024,
CONFIPET,EQ,32.05,32.4,31.5,31.7,31.95,32.25,73061,2328042.15,18-JUL-2019,482,INE552D01024,
CONFIPET,EQ,33,33,30.5,31.15,31.45,31.7,102365,3166762.5,19-JUL-2019,770,INE552D01024,
CONFIPET,EQ,30.5,31.5,29.65,29.85,29.75,31.15,101735,3067399.75,22-JUL-2019,625,INE552D01024,
CONFIPET,EQ,30.25,30.55,29.35,30,29.85,29.85,63832,1925769.1,23-JUL-2019,422,INE552D01024,
CONFIPET,EQ,30.2,30.2,28.95,29.95,30.1,30,250882,7475478.85,24-JUL-2019,577,INE552D01024,
CONFIPET,EQ,29.95,30.3,29.45,29.9,29.8,29.95,86109,2578332.75,25-JUL-2019,462,INE552D01024,
CONFIPET,EQ,29.6,30.3,29.5,29.85,29.95,29.9,62564,1865719.2,26-JUL-2019,311,INE552D01024,
