SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CREDITACC,EQ,390,426.9,385,422.05,418.35,422,11600387,4784287942.2,23-AUG-2018,180015,INE741K01010,
CREDITACC,EQ,418,420,401.75,406.8,407.7,422.05,785983,321571562.85,24-AUG-2018,17414,INE741K01010,
CREDITACC,EQ,406,406,395,400.25,400.5,406.8,411202,164276767.65,27-AUG-2018,13072,INE741K01010,
CREDITACC,EQ,397.1,408,395,395.8,395.65,400.25,370390,148552387.9,28-AUG-2018,22228,INE741K01010,
CREDITACC,EQ,395.8,400,389,392.75,390.6,395.8,212493,84361720.15,29-AUG-2018,14034,INE741K01010,
CREDITACC,EQ,388,392,373.1,380.35,380.2,392.75,296385,113684052.35,30-AUG-2018,10080,INE741K01010,
CREDITACC,EQ,380.1,389,375.95,384.95,385,380.35,256303,97775258.4,31-AUG-2018,29129,INE741K01010,
CREDITACC,EQ,386.5,387.85,380.3,381.1,381.4,384.95,80770,30839611.75,03-SEP-2018,2634,INE741K01010,
CREDITACC,EQ,378.05,382,375.05,380.3,380.05,381.1,162888,61722816.9,04-SEP-2018,7007,INE741K01010,
CREDITACC,EQ,378,380,373.4,376.1,379.95,380.3,183808,68987049.1,05-SEP-2018,2602,INE741K01010,
CREDITACC,EQ,375,395,375,382.65,382.05,376.1,106322,41121309.05,06-SEP-2018,4806,INE741K01010,
CREDITACC,EQ,385,388.65,384,385.25,385.1,382.65,144584,55708163.2,07-SEP-2018,5950,INE741K01010,
CREDITACC,EQ,383,383,375.3,376.1,376.05,385.25,83141,31378914.2,10-SEP-2018,4354,INE741K01010,
CREDITACC,EQ,376.15,380.9,376,378.1,376.25,376.1,79912,30225378.1,11-SEP-2018,6261,INE741K01010,
CREDITACC,EQ,378,378.2,360.45,371.65,373,378.1,135269,50230945.65,12-SEP-2018,7203,INE741K01010,
CREDITACC,EQ,369.1,373.55,366,367.65,366.05,371.65,53753,19800742.6,14-SEP-2018,4796,INE741K01010,
CREDITACC,EQ,367.65,367.65,358.45,360.15,359,367.65,293017,106602564.4,17-SEP-2018,7176,INE741K01010,
CREDITACC,EQ,359.15,362,356,357.45,358,360.15,64000,22953543.55,18-SEP-2018,1917,INE741K01010,
CREDITACC,EQ,358,359.75,342,351.45,351.05,357.45,152301,54284225.65,19-SEP-2018,3819,INE741K01010,
CREDITACC,EQ,348,355.95,294.85,332.7,338.2,351.45,159380,53479008.35,21-SEP-2018,5292,INE741K01010,
CREDITACC,EQ,325,331,271.05,292.45,292.75,332.7,615181,185643485.85,24-SEP-2018,14649,INE741K01010,
CREDITACC,EQ,281.75,297.6,258.65,276.55,280,292.45,254102,70103164.7,25-SEP-2018,9689,INE741K01010,
CREDITACC,EQ,279.6,331.85,279.6,326.1,331.85,276.55,447494,139708349.35,26-SEP-2018,20498,INE741K01010,
CREDITACC,EQ,324.7,327.9,295,301.2,299,326.1,204139,62023875.75,27-SEP-2018,10337,INE741K01010,
CREDITACC,EQ,302.1,307.95,285.65,293.4,290.9,301.2,289156,85479533.6,28-SEP-2018,14275,INE741K01010,
CREDITACC,EQ,286,300,275,295.35,294.1,293.4,72722,20712201.85,01-OCT-2018,6832,INE741K01010,
CREDITACC,EQ,293,295.95,285,289.95,286,295.35,156998,45672492.1,03-OCT-2018,8773,INE741K01010,
CREDITACC,EQ,285,292,280.1,287.15,287.45,289.95,54270,15405677.2,04-OCT-2018,3844,INE741K01010,
CREDITACC,EQ,287,289.85,276.05,280.85,277,287.15,310535,88471311.7,05-OCT-2018,13661,INE741K01010,
CREDITACC,EQ,276,278.85,263.75,269.15,268,280.85,110920,29673535.35,08-OCT-2018,3205,INE741K01010,
CREDITACC,EQ,265.5,271.05,262.4,265.65,266,269.15,61062,16218255.95,09-OCT-2018,3704,INE741K01010,
CREDITACC,EQ,265.05,283,263.4,279.95,281.4,265.65,48015,13217338.55,10-OCT-2018,4639,INE741K01010,
CREDITACC,EQ,270,295,264.3,277.3,275.65,279.95,51990,14556573.3,11-OCT-2018,3568,INE741K01010,
CREDITACC,EQ,277.5,286.9,277,281.75,283,277.3,138597,38864031.6,12-OCT-2018,3799,INE741K01010,
CREDITACC,EQ,286.5,288.35,279.5,283.4,285.05,281.75,57091,16153578.9,15-OCT-2018,2686,INE741K01010,
CREDITACC,EQ,285,289,280.35,281.2,281,283.4,36611,10401395.65,16-OCT-2018,2808,INE741K01010,
CREDITACC,EQ,282.55,286.4,276,280.35,279.35,281.2,64947,18227872.25,17-OCT-2018,4111,INE741K01010,
CREDITACC,EQ,280,282,274.9,277.3,280,280.35,64508,17987318.9,19-OCT-2018,2172,INE741K01010,
CREDITACC,EQ,275,279.95,265.1,270.6,269.9,277.3,41446,11392739.25,22-OCT-2018,3755,INE741K01010,
