SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DHANVARSHA,EQ,93.4,96.9,77.45,89.9,88.8,88,1797621,161732949.7,10-MAY-2022,17283,INE615R01029,
DHANVARSHA,EQ,90,92.5,83,87.85,85.65,89.9,931995,82446059.9,11-MAY-2022,6861,INE615R01029,
DHANVARSHA,EQ,87.85,88.9,81.8,82.85,82.55,87.85,272284,23000727.85,12-MAY-2022,1821,INE615R01029,
DHANVARSHA,EQ,82.85,89.1,80,81.45,80.9,82.85,273194,23184489.65,13-MAY-2022,4996,INE615R01029,
DHANVARSHA,EQ,81.75,84.9,76.65,78.75,81.95,81.45,239924,19429504.95,16-MAY-2022,3106,INE615R01029,
DHANVARSHA,EQ,81.85,84.65,78.6,82.7,82.5,78.75,150069,12094678.95,17-MAY-2022,5200,INE615R01029,
DHANVARSHA,EQ,81.1,83.9,81,81.05,81.15,82.7,132976,10878411.3,18-MAY-2022,1343,INE615R01029,
DHANVARSHA,EQ,78.8,80.55,73,75.6,75,81.05,67082,5180557.6,19-MAY-2022,1592,INE615R01029,
DHANVARSHA,EQ,75,79.5,75,77.55,76.5,75.6,108473,8448748.3,20-MAY-2022,4895,INE615R01029,
DHANVARSHA,EQ,76.05,79,73.65,74.7,73.8,77.55,49452,3790543.35,23-MAY-2022,1321,INE615R01029,
DHANVARSHA,EQ,73.25,89.6,71.9,88.55,89.6,74.7,1073309,93159382.85,24-MAY-2022,18317,INE615R01029,
DHANVARSHA,EQ,93.9,93.9,82.35,83.95,84,88.55,430436,38085976.35,25-MAY-2022,6537,INE615R01029,
DHANVARSHA,EQ,86,86,79.5,81.45,80,83.95,77184,6424973.65,26-MAY-2022,1635,INE615R01029,
DHANVARSHA,EQ,82.3,83.3,79.05,80.2,80.3,81.45,178480,14401289.9,27-MAY-2022,3380,INE615R01029,
DHANVARSHA,EQ,81.25,83,78.35,80.5,81.2,80.2,1017997,81628865.55,30-MAY-2022,3999,INE615R01029,
DHANVARSHA,EQ,81.7,83.2,78,79.55,78.2,80.5,833119,66614027.55,31-MAY-2022,24842,INE615R01029,
DHANVARSHA,EQ,79.95,81.7,77.1,78.3,78.35,79.55,839285,66144705.5,01-JUN-2022,7487,INE615R01029,
DHANVARSHA,EQ,78.9,79.5,74.85,77.9,78,78.3,912855,70825930.35,02-JUN-2022,2298,INE615R01029,
DHANVARSHA,EQ,78.85,81.5,76.75,80.05,79,77.9,1001243,78241414.7,03-JUN-2022,2966,INE615R01029,
DHANVARSHA,EQ,79.75,83.5,78,78.9,78.5,80.05,287113,22901788,06-JUN-2022,14458,INE615R01029,
DHANVARSHA,EQ,78,79.65,76.75,77.15,77.3,78.9,126435,9905585.75,07-JUN-2022,2313,INE615R01029,
