SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DOLATALGO,EQ,85,85.05,81,81.7,82,85,144087,11777089.65,20-DEC-2021,1410,INE966A01022,
DOLATALGO,EQ,83,84.5,82.15,82.8,83.25,81.7,66642,5562026.15,21-DEC-2021,855,INE966A01022,
DOLATALGO,EQ,85.3,85.3,82.1,84.1,84.9,82.8,89257,7499953.45,22-DEC-2021,1428,INE966A01022,
DOLATALGO,EQ,84.9,86.05,84.25,85.35,85.25,84.1,57117,4876677.5,23-DEC-2021,976,INE966A01022,
DOLATALGO,EQ,85.65,85.65,83.75,84.35,84.45,85.35,79457,6723986.1,24-DEC-2021,992,INE966A01022,
DOLATALGO,EQ,84.45,84.9,81,83.95,83.8,84.35,65289,5473307.9,27-DEC-2021,1108,INE966A01022,
DOLATALGO,EQ,84,85.4,83,84.2,84,83.95,88323,7438624.1,28-DEC-2021,1114,INE966A01022,
DOLATALGO,EQ,84.8,84.8,83.5,83.95,83.7,84.2,76065,6406070.4,29-DEC-2021,1051,INE966A01022,
DOLATALGO,EQ,84.8,90.05,84.05,87.65,87.5,83.95,285113,24860654,30-DEC-2021,3317,INE966A01022,
DOLATALGO,EQ,89,95.55,87.9,90.3,89.8,87.65,926506,85190538.9,31-DEC-2021,7908,INE966A01022,
DOLATALGO,EQ,90.3,90.3,87.3,87.65,87.45,90.3,406401,35886840.6,03-JAN-2022,3685,INE966A01022,
DOLATALGO,EQ,88.7,88.7,85.8,86.5,86.2,87.65,181350,15733020.2,04-JAN-2022,2190,INE966A01022,
DOLATALGO,EQ,86.7,92,85.75,88.5,88.25,86.5,514754,46128934.85,05-JAN-2022,5422,INE966A01022,
DOLATALGO,EQ,88,90.2,88,88.65,88.55,88.5,158165,14058868,06-JAN-2022,2346,INE966A01022,
DOLATALGO,EQ,89,90.5,87.8,88.65,88.05,88.65,190141,17000936.3,07-JAN-2022,2295,INE966A01022,
DOLATALGO,EQ,89.7,89.7,87.55,87.85,87.8,88.65,150780,13366727.35,10-JAN-2022,2309,INE966A01022,
DOLATALGO,EQ,88.7,89.4,87.15,87.75,87.9,87.85,168992,14900750.35,11-JAN-2022,1721,INE966A01022,
DOLATALGO,EQ,87.25,88.95,86.5,87.5,87.4,87.75,126764,11130141.5,12-JAN-2022,1905,INE966A01022,
DOLATALGO,EQ,88,88.35,86.2,86.65,86.6,87.5,106514,9277196.2,13-JAN-2022,1617,INE966A01022,
DOLATALGO,EQ,86,87.8,85,86.55,86.75,86.65,134195,11600243.85,14-JAN-2022,1763,INE966A01022,
DOLATALGO,EQ,87.75,87.8,86.4,86.85,87,86.55,172586,15037315.85,17-JAN-2022,1816,INE966A01022,
DOLATALGO,EQ,87.75,87.75,85.15,85.55,85.5,86.85,145840,12583736.3,18-JAN-2022,2131,INE966A01022,
DOLATALGO,EQ,85.3,86.25,84.35,84.7,84.85,85.55,120922,10280656.15,19-JAN-2022,2142,INE966A01022,
