SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DSPBANKETF,EQ,44,51,42.2,42.7,42.75,43.43,14781,634887.59,06-JAN-2023,177,INF740KA1RX3,
DSPBANKETF,EQ,42.71,43.2,42.2,42.65,43.2,42.7,6829,290236.59,09-JAN-2023,71,INF740KA1RX3,
DSPBANKETF,EQ,43.2,43.2,41.75,41.97,42.1,42.65,6049,254633.08,10-JAN-2023,127,INF740KA1RX3,
DSPBANKETF,EQ,41.91,42.19,41.81,42.17,42.19,41.97,663,27875.35,11-JAN-2023,27,INF740KA1RX3,
DSPBANKETF,EQ,42.2,42.3,41.81,42.22,42.3,42.17,870,36611.86,12-JAN-2023,48,INF740KA1RX3,
DSPBANKETF,EQ,41.9,42.29,41.74,42.2,42.2,42.22,1585,66524.42,13-JAN-2023,62,INF740KA1RX3,
DSPBANKETF,EQ,42.2,42.5,42.15,42.2,42.15,42.2,441,18651.75,16-JAN-2023,47,INF740KA1RX3,
DSPBANKETF,EQ,42.35,42.4,41.82,42.31,42.31,42.2,2598,108707.5,17-JAN-2023,21,INF740KA1RX3,
DSPBANKETF,EQ,42.31,42.45,42.31,42.36,42.35,42.31,29,1228.74,18-JAN-2023,12,INF740KA1RX3,
DSPBANKETF,EQ,42.35,42.5,42.1,42.32,42.25,42.36,1056,44678.33,19-JAN-2023,47,INF740KA1RX3,
DSPBANKETF,EQ,42.4,42.55,42.4,42.43,42.4,42.32,159,6747.55,20-JAN-2023,19,INF740KA1RX3,
DSPBANKETF,EQ,42.6,42.9,42.6,42.9,42.9,42.43,827,35471,23-JAN-2023,45,INF740KA1RX3,
DSPBANKETF,EQ,44.18,44.18,42.45,42.64,42.65,42.9,437,18690.7,24-JAN-2023,28,INF740KA1RX3,
DSPBANKETF,EQ,42.6,42.6,41.5,41.74,41.78,42.64,4037,168824.88,25-JAN-2023,89,INF740KA1RX3,
DSPBANKETF,EQ,41.5,41.5,40.25,40.55,40.5,41.74,8976,365016.51,27-JAN-2023,191,INF740KA1RX3,
