SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DSPSILVETF,EQ,56.1,56.25,55.11,55.75,55.75,55.86,1413,78752.15,25-AUG-2022,25,INF740KA1RE3,
DSPSILVETF,EQ,56.1,56.1,55.2,55.2,55.2,55.75,4078,225807.51,26-AUG-2022,31,INF740KA1RE3,
DSPSILVETF,EQ,56.85,56.85,53.7,54,54,55.2,3033,164383.97,29-AUG-2022,26,INF740KA1RE3,
DSPSILVETF,EQ,53.8,54.3,53.8,54.02,54,54,3445,186033.91,30-AUG-2022,16,INF740KA1RE3,
DSPSILVETF,EQ,54.3,55,51.54,53.42,55,54.02,10161,532428.69,01-SEP-2022,85,INF740KA1RE3,
DSPSILVETF,EQ,52.2,53.4,52.2,52.39,52.4,53.42,2390,124973.39,02-SEP-2022,40,INF740KA1RE3,
DSPSILVETF,EQ,52.5,53.4,52.5,53,53,52.39,1204,63669.1,05-SEP-2022,21,INF740KA1RE3,
DSPSILVETF,EQ,53.01,53.65,53,53.45,53.45,53,2668,142291.34,06-SEP-2022,33,INF740KA1RE3,
DSPSILVETF,EQ,53.21,53.21,52.61,53,53,53.45,2296,121247.92,07-SEP-2022,46,INF740KA1RE3,
DSPSILVETF,EQ,53,53.95,53,53.95,53.95,53,1309,69915.33,08-SEP-2022,17,INF740KA1RE3,
DSPSILVETF,EQ,54,54.5,53.95,54.5,54.5,53.95,6349,344315.13,09-SEP-2022,22,INF740KA1RE3,
DSPSILVETF,EQ,54.59,55.45,54.47,55.15,55.15,54.5,1962,107417.55,12-SEP-2022,40,INF740KA1RE3,
DSPSILVETF,EQ,55.2,57,55.2,56.49,56.49,55.15,5219,293685.22,13-SEP-2022,45,INF740KA1RE3,
DSPSILVETF,EQ,56.21,56.5,55.81,56.08,56.5,56.49,1738,97381.71,14-SEP-2022,28,INF740KA1RE3,
DSPSILVETF,EQ,57.2,57.2,55.9,56.13,55.9,56.08,3072,172386.41,15-SEP-2022,26,INF740KA1RE3,
DSPSILVETF,EQ,56.4,56.4,54.4,54.51,54.4,56.13,2421,133945.31,16-SEP-2022,61,INF740KA1RE3,
DSPSILVETF,EQ,54.9,56,54.9,55.57,55.95,54.51,1300,71820.71,19-SEP-2022,33,INF740KA1RE3,
DSPSILVETF,EQ,55.8,56.05,55.55,55.56,55.8,55.57,1445,80549.79,20-SEP-2022,22,INF740KA1RE3,
DSPSILVETF,EQ,55.7,56.4,55.7,55.75,55.75,55.56,681,38130.95,21-SEP-2022,21,INF740KA1RE3,
DSPSILVETF,EQ,55.8,57,55.8,56.97,57,55.75,2773,157587.09,22-SEP-2022,36,INF740KA1RE3,
DSPSILVETF,EQ,57,58,56.25,56.81,56.81,56.97,11780,670549.83,23-SEP-2022,58,INF740KA1RE3,
DSPSILVETF,EQ,56,56,54.5,55,55.25,56.81,18592,1019590.89,26-SEP-2022,78,INF740KA1RE3,
DSPSILVETF,EQ,55.01,55.5,54.51,54.72,54.6,55,5875,323543.57,27-SEP-2022,53,INF740KA1RE3,
DSPSILVETF,EQ,54.61,54.61,53,53.65,53.01,54.72,3180,171757.47,28-SEP-2022,58,INF740KA1RE3,
DSPSILVETF,EQ,54,55.65,54,55.35,55.35,53.65,548,30299.73,29-SEP-2022,26,INF740KA1RE3,
DSPSILVETF,EQ,55.5,56.25,55.5,56,56,55.35,1995,111681.75,30-SEP-2022,17,INF740KA1RE3,
DSPSILVETF,EQ,56.1,57.4,56.1,56.98,57,56,892,50757.39,03-OCT-2022,38,INF740KA1RE3,
DSPSILVETF,EQ,59.1,61.2,58.9,60.36,60.8,56.98,17862,1064275.09,04-OCT-2022,75,INF740KA1RE3,
DSPSILVETF,EQ,61.01,61.01,59.6,59.66,59.7,60.36,10223,619651.91,06-OCT-2022,66,INF740KA1RE3,
DSPSILVETF,EQ,59.99,60.85,59.99,60.7,60.7,59.66,3627,219809.28,07-OCT-2022,40,INF740KA1RE3,
DSPSILVETF,EQ,59.98,60.73,58.25,58.52,58.25,60.7,4785,284394.2,10-OCT-2022,96,INF740KA1RE3,
DSPSILVETF,EQ,59.93,59.93,57.25,57.44,57.5,58.52,10043,586316.75,11-OCT-2022,98,INF740KA1RE3,
DSPSILVETF,EQ,57.41,57.41,56.81,57.19,57.2,57.44,1538,87986.63,12-OCT-2022,20,INF740KA1RE3,
DSPSILVETF,EQ,57.21,57.21,56.35,56.38,56.35,57.19,1859,105395.83,13-OCT-2022,28,INF740KA1RE3,
DSPSILVETF,EQ,58.07,58.07,55.81,55.99,55.81,56.38,2253,126224.36,14-OCT-2022,18,INF740KA1RE3,
DSPSILVETF,EQ,55.8,56,54.81,55.67,56,55.99,4323,238403.78,17-OCT-2022,30,INF740KA1RE3,
DSPSILVETF,EQ,55.8,56.7,55.51,55.89,55.9,55.67,8070,453836.83,18-OCT-2022,53,INF740KA1RE3,
DSPSILVETF,EQ,55.94,55.94,55,55.42,55.5,55.89,2078,115288.17,19-OCT-2022,43,INF740KA1RE3,
DSPSILVETF,EQ,55.39,57.6,55.01,55.99,56,55.42,70595,3969380.26,20-OCT-2022,143,INF740KA1RE3,
DSPSILVETF,EQ,55.81,55.81,55.01,55.01,55.01,55.99,4705,261340.61,21-OCT-2022,35,INF740KA1RE3,
DSPSILVETF,EQ,57.19,57.19,56.2,56.47,56.2,57.46,2285,129914.25,25-OCT-2022,38,INF740KA1RE3,
DSPSILVETF,EQ,56.9,57.5,56.63,57.46,57.5,56.47,1957,111899.14,27-OCT-2022,37,INF740KA1RE3,
DSPSILVETF,EQ,57.49,57.8,57.02,57.02,57.02,57.46,7518,433849.85,28-OCT-2022,29,INF740KA1RE3,
DSPSILVETF,EQ,59.3,59.3,56.75,56.98,56.84,57.02,1194,67936.65,31-OCT-2022,22,INF740KA1RE3,
DSPSILVETF,EQ,56.71,59.55,56.69,58.48,59.55,56.98,4425,255438.79,01-NOV-2022,52,INF740KA1RE3,
DSPSILVETF,EQ,58.59,58.75,58.4,58.59,58.5,58.48,7792,456654.07,02-NOV-2022,32,INF740KA1RE3,
DSPSILVETF,EQ,58.79,58.79,56.95,56.99,56.95,58.59,13123,757000.63,03-NOV-2022,66,INF740KA1RE3,
DSPSILVETF,EQ,57.51,58.5,57.51,58.5,58.5,56.99,2200,128309.76,04-NOV-2022,26,INF740KA1RE3,
DSPSILVETF,EQ,58.6,60.5,58.6,60.21,60.21,58.5,18208,1085492.32,07-NOV-2022,78,INF740KA1RE3,
DSPSILVETF,EQ,60.39,62,60.39,61.42,61.25,60.21,13057,796034.38,09-NOV-2022,47,INF740KA1RE3,
DSPSILVETF,EQ,63.9,63.9,60.55,60.99,61.01,61.42,3727,226309.98,10-NOV-2022,51,INF740KA1RE3,
DSPSILVETF,EQ,61.2,62,61.1,61.79,61.8,60.99,8765,540812.7,11-NOV-2022,54,INF740KA1RE3,
DSPSILVETF,EQ,61.6,61.75,60.9,61.74,61.74,61.79,20565,1257352.13,14-NOV-2022,55,INF740KA1RE3,
DSPSILVETF,EQ,61.76,62.5,61.76,62.14,62.15,61.74,1130,70352.36,15-NOV-2022,19,INF740KA1RE3,
DSPSILVETF,EQ,62.1,62.1,61.5,61.8,61.8,62.14,138,8530.6,16-NOV-2022,9,INF740KA1RE3,
DSPSILVETF,EQ,61.8,61.8,60.2,61.04,60.95,61.8,395,24023.78,17-NOV-2022,40,INF740KA1RE3,
DSPSILVETF,EQ,61,61.5,60.5,60.7,60.7,61.04,3987,242780.15,18-NOV-2022,28,INF740KA1RE3,
DSPSILVETF,EQ,60.99,61.01,60.2,60.22,60.2,60.7,51682,3143805.14,21-NOV-2022,52,INF740KA1RE3,
DSPSILVETF,EQ,60.5,61.4,60.5,61.34,61.4,60.22,991,60386.08,22-NOV-2022,21,INF740KA1RE3,
DSPSILVETF,EQ,61.4,61.4,61,61.25,61.25,61.34,1145,70026.85,23-NOV-2022,15,INF740KA1RE3,
DSPSILVETF,EQ,63.08,63.08,60.4,61.95,61.95,61.25,688,42400.94,24-NOV-2022,35,INF740KA1RE3,
DSPSILVETF,EQ,62,62.2,61.55,61.55,61.55,61.95,405,25019.28,25-NOV-2022,14,INF740KA1RE3,
DSPSILVETF,EQ,61.6,62,61.25,61.98,62,61.55,343,21213.02,28-NOV-2022,32,INF740KA1RE3,
DSPSILVETF,EQ,61.8,62.4,60.7,61.56,61.3,61.98,2992,185646.28,29-NOV-2022,53,INF740KA1RE3,
DSPSILVETF,EQ,61.7,62,61.1,61.42,61.4,61.56,1458,89540.18,30-NOV-2022,23,INF740KA1RE3,
DSPSILVETF,EQ,61.7,64,61.7,63.02,63,61.42,3487,220149.64,01-DEC-2022,61,INF740KA1RE3,
DSPSILVETF,EQ,63.1,65,63.1,64.27,64.35,63.02,3090,197906.55,02-DEC-2022,57,INF740KA1RE3,
DSPSILVETF,EQ,65.6,65.9,63.4,65.66,65.15,64.27,2957,193317.19,05-DEC-2022,87,INF740KA1RE3,
DSPSILVETF,EQ,65.4,65.4,64.5,64.62,64.84,65.66,1780,115503.45,06-DEC-2022,24,INF740KA1RE3,
DSPSILVETF,EQ,66,66,63.3,64.58,64.7,64.62,3909,250475.97,07-DEC-2022,60,INF740KA1RE3,
DSPSILVETF,EQ,64.8,65.6,64.8,65.39,65.4,64.58,1667,108691.22,08-DEC-2022,32,INF740KA1RE3,
DSPSILVETF,EQ,66.7,66.7,65.5,65.57,66.25,65.39,2042,135428.74,09-DEC-2022,67,INF740KA1RE3,
DSPSILVETF,EQ,67.53,67.53,65.8,67.24,67,65.57,2320,155425,12-DEC-2022,50,INF740KA1RE3,
DSPSILVETF,EQ,67.2,67.29,66.9,67.2,67.2,67.24,1737,116457.79,13-DEC-2022,29,INF740KA1RE3,
DSPSILVETF,EQ,67.4,68,67,67.33,67.3,67.2,2500,168282.15,14-DEC-2022,40,INF740KA1RE3,
DSPSILVETF,EQ,67.3,67.3,65.8,66.31,66.5,67.33,4443,295311.46,15-DEC-2022,55,INF740KA1RE3,
DSPSILVETF,EQ,68.99,68.99,65,65.84,65.9,66.31,18660,1228066.91,16-DEC-2022,112,INF740KA1RE3,
DSPSILVETF,EQ,65.99,67.6,65.99,66.6,66.55,65.84,2940,196113.74,19-DEC-2022,48,INF740KA1RE3,
