SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DYNPRO,EQ,136.5,136.5,127.2,131.25,130.15,132.85,20693,2762556.4,19-JUL-2017,222,INE256H01015,
DYNPRO,EQ,130.1,132.95,125,128.2,128,131.25,13302,1705904.5,20-JUL-2017,160,INE256H01015,
DYNPRO,EQ,126.65,129.6,123.2,127.15,126.7,128.2,7795,991403,21-JUL-2017,91,INE256H01015,
DYNPRO,EQ,127.15,137,127,131.75,131.95,127.15,34046,4487065.85,24-JUL-2017,239,INE256H01015,
DYNPRO,EQ,132,134,129.55,131.65,131,131.75,11439,1501865.6,25-JUL-2017,94,INE256H01015,
DYNPRO,EQ,129.65,129.65,125.1,125.8,125.5,129.65,11829,1501083.2,27-JUL-2017,125,INE256H01015,
DYNPRO,EQ,125,130,123,128,127,125.8,12208,1555443.45,28-JUL-2017,77,INE256H01015,
DYNPRO,EQ,133,137,129,131.7,130.95,128,84899,11221289.3,31-JUL-2017,1057,INE256H01015,
DYNPRO,EQ,133.7,133.7,128.5,129.95,130,131.7,12689,1653599.1,01-AUG-2017,158,INE256H01015,
DYNPRO,EQ,139.6,139.6,134,134.9,134.5,129.95,92750,12603666.8,02-AUG-2017,1319,INE256H01015,
DYNPRO,EQ,135.4,135.4,129.8,130.8,130.6,134.9,16729,2199562,03-AUG-2017,252,INE256H01015,
DYNPRO,EQ,130.8,132.7,128,128.6,129.5,130.8,19100,2470431.3,04-AUG-2017,237,INE256H01015,
DYNPRO,EQ,129.5,129.8,126,126.7,126,128.6,18961,2415764.1,07-AUG-2017,173,INE256H01015,
DYNPRO,EQ,126.2,128.9,124,125.35,124.4,126.7,14121,1775852.35,08-AUG-2017,140,INE256H01015,
DYNPRO,EQ,124.5,126,122.05,122.7,122.55,125.35,6676,821214.95,09-AUG-2017,128,INE256H01015,
DYNPRO,EQ,124.65,124.65,102,109.85,117,122.7,26066,3005795.75,10-AUG-2017,299,INE256H01015,
DYNPRO,EQ,102.35,119.7,102.35,114.7,114.8,109.85,15655,1775618.1,11-AUG-2017,196,INE256H01015,
DYNPRO,EQ,118,121.75,114.95,117.7,117,114.7,13860,1631519.45,14-AUG-2017,133,INE256H01015,
DYNPRO,EQ,117.15,121.05,117,119.95,120,117.7,5113,604251.3,16-AUG-2017,51,INE256H01015,
DYNPRO,EQ,123.9,124.5,117.05,118.65,120,119.95,10348,1235696,17-AUG-2017,210,INE256H01015,
DYNPRO,EQ,120,120.25,117,119.4,120,118.65,5384,636282.2,18-AUG-2017,66,INE256H01015,
DYNPRO,EQ,123.35,123.35,118.05,118.25,119,119.4,5942,705909.2,21-AUG-2017,72,INE256H01015,
DYNPRO,EQ,118,119,115.15,115.75,117.7,118.25,8394,974978.15,22-AUG-2017,71,INE256H01015,
DYNPRO,EQ,116,120,116,117.25,118,115.75,1449,170573.1,23-AUG-2017,36,INE256H01015,
