SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EGOLD,EQ,64.5,66,61.95,65,65,62.05,240800,14930571.75,10-NOV-2023,169,INF754K01SE6,
EGOLD,EQ,71.75,74.2,61.8,63.55,63,69.95,10002,647295.4,13-NOV-2023,212,INF754K01SE6,
EGOLD,EQ,65.2,65.2,61.4,63.65,64,63.55,3712,235616.15,15-NOV-2023,127,INF754K01SE6,
EGOLD,EQ,65.25,65.25,61.9,62.3,62.3,63.65,887617,55342437.6,16-NOV-2023,238,INF754K01SE6,
EGOLD,EQ,63.95,64.05,62.55,63.25,63.35,62.3,104247,6568300.7,17-NOV-2023,84,INF754K01SE6,
EGOLD,EQ,64.55,64.55,62.55,62.9,63.15,63.25,2666,168581.15,20-NOV-2023,67,INF754K01SE6,
EGOLD,EQ,64.05,64.5,62.65,63.1,63.1,62.9,540879,34130051.1,21-NOV-2023,258,INF754K01SE6,
EGOLD,EQ,63.05,65,61.55,62.75,65,63.1,475708,30135645.7,22-NOV-2023,306,INF754K01SE6,
EGOLD,EQ,64.35,64.35,62.35,63.2,63.2,62.75,484236,30602896.35,23-NOV-2023,263,INF754K01SE6,
EGOLD,EQ,64.35,64.35,62.8,62.8,62.8,63.2,18688,1188390.6,24-NOV-2023,173,INF754K01SE6,
EGOLD,EQ,64,64.25,60.15,60.4,60.15,62.8,1100231,70083658.75,28-NOV-2023,390,INF754K01SE6,
EGOLD,EQ,61,66.5,61,64.55,64.45,60.4,1574718,101727610.8,29-NOV-2023,780,INF754K01SE6,
EGOLD,EQ,63.25,65.55,63.25,64.6,64.6,64.55,1366820,88296391.35,30-NOV-2023,510,INF754K01SE6,
EGOLD,EQ,64.55,64.6,63.25,64.55,64.6,64.6,50919,3285030.55,01-DEC-2023,98,INF754K01SE6,
EGOLD,EQ,66.25,66.25,63,65.25,63,64.55,34172,2231551.9,04-DEC-2023,50,INF754K01SE6,
EGOLD,EQ,65.3,66,63.6,64.35,66,65.25,34483,2218239.3,05-DEC-2023,63,INF754K01SE6,
EGOLD,EQ,64.45,64.45,63.85,63.85,63.85,64.35,753,48290.45,06-DEC-2023,16,INF754K01SE6,
EGOLD,EQ,63.95,64.2,63.95,64.2,64.2,63.85,209,13379.85,07-DEC-2023,8,INF754K01SE6,
EGOLD,EQ,64.2,65,63.5,63.9,64.15,64.2,772,49483.85,08-DEC-2023,31,INF754K01SE6,
EGOLD,EQ,64.5,65,63,63.45,65,63.9,864,54862,11-DEC-2023,25,INF754K01SE6,
EGOLD,EQ,64.55,64.55,62.8,63.05,63.05,63.45,3491,220428.05,12-DEC-2023,33,INF754K01SE6,
EGOLD,EQ,64.55,64.55,62.85,62.85,62.85,63.05,310,19532.1,13-DEC-2023,23,INF754K01SE6,
EGOLD,EQ,65.55,65.55,63.7,64,63.8,62.85,854,54997.3,14-DEC-2023,25,INF754K01SE6,
EGOLD,EQ,64.05,64.6,63.2,64.15,64.15,64,97137,6230593.95,15-DEC-2023,50,INF754K01SE6,
EGOLD,EQ,63,64.75,63,63.6,63.8,64.15,3152,201321.45,18-DEC-2023,73,INF754K01SE6,
EGOLD,EQ,63.65,63.95,63.5,63.9,63.95,63.6,317,20227.8,19-DEC-2023,25,INF754K01SE6,
EGOLD,EQ,62.3,64.25,62.3,64.25,64.25,63.9,32131,2063771.15,20-DEC-2023,69,INF754K01SE6,
EGOLD,EQ,63.6,64.35,63.6,63.8,64.05,64.25,20799,1327039.85,21-DEC-2023,22,INF754K01SE6,
EGOLD,EQ,64,64.45,64,64.45,64.45,63.8,69897,4504838.7,22-DEC-2023,40,INF754K01SE6,
EGOLD,EQ,64.45,64.8,64.4,64.8,64.45,64.45,7045,456204.9,26-DEC-2023,28,INF754K01SE6,
EGOLD,EQ,64.85,65.2,64.55,64.65,64.95,64.8,236,15321.3,27-DEC-2023,19,INF754K01SE6,
