SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EMAMIREAL,EQ,155,155,145,146.35,145.05,149.75,9759,1438483.3,15-NOV-2018,231,INE778K01012,
EMAMIREAL,EQ,144,150.35,144,148,148.4,146.35,2436,361015.15,16-NOV-2018,157,INE778K01012,
EMAMIREAL,EQ,154.8,154.8,147.95,148.2,148.05,148,4729,707307.4,19-NOV-2018,149,INE778K01012,
EMAMIREAL,EQ,148,148.55,145,145.05,145.6,148.2,5039,733464.75,20-NOV-2018,139,INE778K01012,
EMAMIREAL,EQ,150.05,150.05,140.1,145.55,146.5,145.05,13446,1931471.85,21-NOV-2018,253,INE778K01012,
EMAMIREAL,EQ,149.75,149.75,138,140.6,138.5,145.55,8015,1142267.9,22-NOV-2018,266,INE778K01012,
EMAMIREAL,EQ,143.25,143.75,135.1,136.6,136,140.6,20736,2860150.4,26-NOV-2018,313,INE778K01012,
EMAMIREAL,EQ,133.8,141,131,133.85,133.75,136.6,14030,1883785.65,27-NOV-2018,265,INE778K01012,
EMAMIREAL,EQ,136.9,139.15,132.1,133.5,132.15,133.85,6469,872846,28-NOV-2018,256,INE778K01012,
EMAMIREAL,EQ,137.3,137.55,122.1,131.2,132,133.5,15385,2009801.65,29-NOV-2018,377,INE778K01012,
EMAMIREAL,EQ,128.5,137.45,128.5,133.35,134.1,131.2,9859,1320814.7,30-NOV-2018,292,INE778K01012,
EMAMIREAL,EQ,134.45,135.85,132.05,133.1,133.35,133.35,68361,9103385.45,03-DEC-2018,402,INE778K01012,
EMAMIREAL,EQ,136.05,146.4,130.65,140.4,140.15,133.1,28886,4110773.35,04-DEC-2018,625,INE778K01012,
EMAMIREAL,EQ,134.95,145.25,134.95,138.55,138.75,140.4,6247,865540.95,05-DEC-2018,143,INE778K01012,
EMAMIREAL,EQ,141.4,142.8,134.7,137.75,138.95,138.55,10256,1428962.7,06-DEC-2018,296,INE778K01012,
EMAMIREAL,EQ,136.25,141.5,135,136.3,135.55,137.75,5868,802914.95,07-DEC-2018,182,INE778K01012,
EMAMIREAL,EQ,141,141,131,131.7,132,136.3,6371,842075.75,10-DEC-2018,151,INE778K01012,
EMAMIREAL,EQ,128.05,138.5,128,136.7,138.5,131.7,4058,536985.2,11-DEC-2018,166,INE778K01012,
EMAMIREAL,EQ,136.05,152.4,135.6,146,146.4,136.7,34725,5107761.6,12-DEC-2018,753,INE778K01012,
EMAMIREAL,EQ,144.05,154.9,144.05,149.75,148.5,146,24970,3772876.35,13-DEC-2018,425,INE778K01012,
EMAMIREAL,EQ,153,153,144.2,147.1,149.95,149.75,6729,996369.5,14-DEC-2018,391,INE778K01012,
EMAMIREAL,EQ,151.25,151.3,145.65,146.55,147.65,147.1,3497,515480.5,17-DEC-2018,123,INE778K01012,
EMAMIREAL,EQ,150.95,150.95,144.15,145.75,145.1,146.55,12592,1835756.55,18-DEC-2018,462,INE778K01012,
EMAMIREAL,EQ,153.1,174.9,152.05,160.15,159.05,145.75,373316,62959805.5,19-DEC-2018,5406,INE778K01012,
EMAMIREAL,EQ,156.95,157.9,152.25,153.75,152.3,160.15,69411,10757015.9,20-DEC-2018,1901,INE778K01012,
EMAMIREAL,EQ,152.8,157,150,150.6,150,153.75,34283,5251276.15,21-DEC-2018,922,INE778K01012,
EMAMIREAL,EQ,150.05,150.05,144.15,145.45,145.7,150.6,17547,2578771.6,24-DEC-2018,596,INE778K01012,
EMAMIREAL,EQ,145.45,153.15,143,148.9,149.8,145.45,11313,1670338.2,26-DEC-2018,428,INE778K01012,
EMAMIREAL,EQ,151.95,156.25,148,148.2,148,148.9,25402,3850202.65,27-DEC-2018,653,INE778K01012,
EMAMIREAL,EQ,151.15,152.9,146,146.85,146.05,148.2,20013,2978768.4,28-DEC-2018,529,INE778K01012,
EMAMIREAL,EQ,146.25,148.5,146,146.25,146.3,146.85,9250,1358582.75,31-DEC-2018,297,INE778K01012,
EMAMIREAL,EQ,147.75,153.45,146.25,148.65,148.7,146.25,20112,3009944.1,01-JAN-2019,504,INE778K01012,
EMAMIREAL,EQ,147.15,150.85,146.55,147,147,148.65,12083,1789117.05,02-JAN-2019,332,INE778K01012,
EMAMIREAL,EQ,147.3,150,146.05,147,147.5,147,7369,1091180.35,03-JAN-2019,211,INE778K01012,
EMAMIREAL,EQ,144.85,150.8,144.8,146.65,145.9,147,16793,2487076,04-JAN-2019,368,INE778K01012,
EMAMIREAL,EQ,154,155,149.2,150.25,150.1,146.65,34744,5248465.25,07-JAN-2019,905,INE778K01012,
EMAMIREAL,EQ,149.5,156,149.5,152.75,152.9,150.25,37992,5813702.85,08-JAN-2019,1073,INE778K01012,
EMAMIREAL,EQ,152.9,154.5,148.15,149.05,149.95,152.75,17782,2679069.6,09-JAN-2019,694,INE778K01012,
EMAMIREAL,EQ,148.05,155.7,147.5,151.9,152,149.05,37817,5780258.3,10-JAN-2019,1006,INE778K01012,
EMAMIREAL,EQ,153.4,153.4,147.45,148,147.45,151.9,13895,2070964.95,11-JAN-2019,610,INE778K01012,
