SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
EQUIPPP,EQ,92.9,96.95,88.3,88.3,88.3,92.9,27560,2446972.7,30-NOV-2021,618,INE217G01035,
EQUIPPP,EQ,83.9,83.9,83.9,83.9,83.9,88.3,21359,1792020.1,01-DEC-2021,367,INE217G01035,
EQUIPPP,EQ,79.75,88.05,79.75,88.05,88.05,83.9,57023,4880409.9,02-DEC-2021,868,INE217G01035,
EQUIPPP,EQ,91.9,92.45,90.7,92.45,92.45,88.05,18464,1705109.3,03-DEC-2021,323,INE217G01035,
EQUIPPP,EQ,96.8,97.05,95,97.05,97.05,92.45,53086,5146575.45,06-DEC-2021,815,INE217G01035,
EQUIPPP,EQ,104,106.75,102.4,106.75,106.75,97.05,26391,2784977.25,07-DEC-2021,430,INE217G01035,
EQUIPPP,EQ,116,117.4,115,117.4,117.4,106.75,38004,4440413.15,08-DEC-2021,683,INE217G01035,
EQUIPPP,EQ,129.1,129.1,129.1,129.1,129.1,117.4,19335,2496148.5,09-DEC-2021,323,INE217G01035,
EQUIPPP,EQ,135.55,135.55,135.55,135.55,135.55,129.1,18500,2507675,10-DEC-2021,280,INE217G01035,
EQUIPPP,EQ,142.3,142.3,128.8,128.8,128.8,135.55,173267,23016970.2,13-DEC-2021,2254,INE217G01035,
EQUIPPP,EQ,122.4,122.4,122.4,122.4,122.4,128.8,28962,3544948.8,14-DEC-2021,540,INE217G01035,
EQUIPPP,EQ,116.3,128.5,116.3,128.5,128.5,122.4,251019,31313684.05,15-DEC-2021,2195,INE217G01035,
EQUIPPP,EQ,134.7,134.7,122.1,122.1,122.1,128.5,217313,27568156.6,16-DEC-2021,4749,INE217G01035,
EQUIPPP,EQ,117.25,120,116,116.65,116,122.1,92652,10824309.1,17-DEC-2021,2048,INE217G01035,
EQUIPPP,EQ,116,116.65,110.85,110.85,110.85,116.65,23430,2604702.25,20-DEC-2021,467,INE217G01035,
EQUIPPP,EQ,105.4,106.95,105.35,105.35,105.35,110.85,32915,3474662.55,21-DEC-2021,703,INE217G01035,
EQUIPPP,EQ,102,110.6,100.95,110.6,110.6,105.35,37790,4006631.35,22-DEC-2021,684,INE217G01035,
EQUIPPP,EQ,116.1,116.1,116.1,116.1,116.1,110.6,6385,741298.5,23-DEC-2021,92,INE217G01035,
EQUIPPP,EQ,121.9,121.9,110.3,111.65,111.5,116.1,163215,18557924.05,24-DEC-2021,2819,INE217G01035,
EQUIPPP,EQ,107.2,116.85,107.2,112.8,113.7,111.65,77648,8720748.35,27-DEC-2021,2201,INE217G01035,
EQUIPPP,EQ,117,117,111.25,112.45,112,112.8,52318,5958582.05,28-DEC-2021,1530,INE217G01035,
EQUIPPP,EQ,115,115,107,107.55,107.8,112.45,86578,9398567,29-DEC-2021,2096,INE217G01035,
EQUIPPP,EQ,105,107.45,102.75,103.6,104.5,107.55,55647,5807059.3,30-DEC-2021,1694,INE217G01035,
EQUIPPP,EQ,103.65,108.75,103.65,105.65,105.05,103.6,76168,8131696.2,31-DEC-2021,1908,INE217G01035,
EQUIPPP,EQ,106,106.05,101.4,103.65,103.65,105.65,48246,5020206.45,03-JAN-2022,1541,INE217G01035,
EQUIPPP,EQ,102.5,105.5,98.5,99.55,99.9,103.65,76956,7764229.3,04-JAN-2022,2120,INE217G01035,
EQUIPPP,EQ,100,100.7,94.6,95,96.2,99.55,62646,6002492.9,05-JAN-2022,1604,INE217G01035,
EQUIPPP,EQ,95,99.75,90.6,99.75,99.75,95,54252,5070539.7,06-JAN-2022,1242,INE217G01035,
EQUIPPP,EQ,104.5,104.7,101.75,104.7,104.7,99.75,65850,6879953.8,07-JAN-2022,693,INE217G01035,
