SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
FEDDERELEC,EQ,71,71.4,70.3,70.6,70.9,70.85,36886,2615675.65,13-JUN-2017,328,INE249C01011,
FEDDERELEC,EQ,70.4,70.85,69.55,69.8,70,70.6,31864,2238406.6,14-JUN-2017,326,INE249C01011,
FEDDERELEC,EQ,70.95,71.25,69.6,70.3,71,69.8,36475,2565752,15-JUN-2017,442,INE249C01011,
FEDDERELEC,EQ,71.2,73.9,70.5,72.7,72.85,70.3,68747,4984079.7,16-JUN-2017,661,INE249C01011,
FEDDERELEC,EQ,73.25,73.25,71,71.55,71.3,72.7,38084,2730040.85,19-JUN-2017,464,INE249C01011,
FEDDERELEC,EQ,71.9,72.8,70.6,72.6,72.2,71.55,49109,3528296.95,20-JUN-2017,448,INE249C01011,
FEDDERELEC,EQ,72.45,73.5,71.35,72.4,72.5,72.6,51207,3704237.75,21-JUN-2017,427,INE249C01011,
FEDDERELEC,EQ,72.4,76.2,72.1,74.8,73.45,72.4,225809,16773654.2,22-JUN-2017,1814,INE249C01011,
FEDDERELEC,EQ,74.2,74.2,70.6,71.3,70.6,74.8,100175,7208074.9,23-JUN-2017,1035,INE249C01011,
FEDDERELEC,EQ,71.95,71.95,69,69.3,69.35,71.3,51027,3586105.65,27-JUN-2017,514,INE249C01011,
FEDDERELEC,EQ,69.3,69.55,68.45,68.8,68.55,69.3,30147,2074016,28-JUN-2017,404,INE249C01011,
FEDDERELEC,EQ,69,71.65,68.55,69.1,68.8,68.8,80961,5655096.45,29-JUN-2017,677,INE249C01011,
FEDDERELEC,EQ,69.4,70,68.15,68.7,68.75,69.1,60576,4175590.85,30-JUN-2017,585,INE249C01011,
FEDDERELEC,EQ,69.05,71.75,69.05,70.8,70.85,68.7,50642,3583525.9,03-JUL-2017,507,INE249C01011,
FEDDERELEC,EQ,70.5,73.4,70,71.55,71.5,70.8,109215,7859958.6,04-JUL-2017,929,INE249C01011,
FEDDERELEC,EQ,71.5,73.15,71,72.7,72.6,71.55,61926,4482509.35,05-JUL-2017,550,INE249C01011,
FEDDERELEC,EQ,72.7,74.25,72,73.3,73.6,72.7,77217,5669939.35,06-JUL-2017,561,INE249C01011,
FEDDERELEC,EQ,73.3,75,72.25,74.25,74.35,73.3,90653,6729231,07-JUL-2017,848,INE249C01011,
FEDDERELEC,EQ,74,75.45,73.1,73.75,73.35,74.25,17505,1295694.9,10-JUL-2017,148,INE249C01011
FEDDERELEC,EQ,73.15,74.5,73,73.65,74.3,73.75,76578,5627232,11-JUL-2017,416,INE249C01011,
FEDDERELEC,EQ,74,76.2,72.6,75.25,75.05,73.65,96348,7199981.55,12-JUL-2017,721,INE249C01011,
FEDDERELEC,EQ,75.5,76.25,72.7,73,73,75.25,150632,11139192.7,13-JUL-2017,973,INE249C01011,
FEDDERELEC,EQ,73.1,73.85,72,72.6,72.5,73,77939,5683925.45,14-JUL-2017,417,INE249C01011,
FEDDERELEC,EQ,72.65,74,71.7,72.05,72.5,72.6,118562,8575122.4,17-JUL-2017,343,INE249C01011,
FEDDERELEC,EQ,71.9,73.95,71,72.6,73.75,72.05,83615,6067965,18-JUL-2017,757,INE249C01011,
FEDDERELEC,EQ,72.25,74,72,72.45,72.4,72.6,58105,4223185.25,19-JUL-2017,469,INE249C01011,
FEDDERELEC,EQ,73.55,73.55,72,72.6,72.95,72.45,55343,4016127.65,20-JUL-2017,328,INE249C01011,
FEDDERELEC,EQ,72.5,74.25,72.3,72.65,72.55,72.6,73103,5339275.85,21-JUL-2017,477,INE249C01011,
FEDDERELEC,EQ,72.15,72.95,70.5,70.85,70.5,72.65,116163,8322730.3,24-JUL-2017,631,INE249C01011,
FEDDERELEC,EQ,71.25,71.7,69.8,70.15,70.1,70.85,123632,8722119.15,25-JUL-2017,963,INE249C01011,
FEDDERELEC,EQ,70.05,72.25,70.05,70.9,71.2,70.05,71271,5079979.75,27-JUL-2017,676,INE249C01011,
FEDDERELEC,EQ,70.95,71,70.3,70.45,70.7,70.9,35313,2488853,28-JUL-2017,277,INE249C01011,
FEDDERELEC,EQ,70.05,71.3,69.4,69.9,69.5,70.45,39392,2769962.5,31-JUL-2017,353,INE249C01011,
FEDDERELEC,EQ,70,70.6,69.15,69.95,69.85,69.9,42843,3001323.75,01-AUG-2017,412,INE249C01011,
FEDDERELEC,EQ,69.75,70.35,69.15,69.4,69.3,69.95,30591,2131248.6,02-AUG-2017,280,INE249C01011,
FEDDERELEC,EQ,69.25,69.7,68.6,68.75,68.7,69.4,34248,2366076.2,03-AUG-2017,366,INE249C01011,
FEDDERELEC,EQ,68.4,69.2,68,68.2,68.3,68.75,30862,2111036.8,04-AUG-2017,318,INE249C01011,
FEDDERELEC,EQ,67.95,69.15,67.95,68.65,68.55,68.2,20613,1413988.35,07-AUG-2017,323,INE249C01011,
FEDDERELEC,EQ,68.85,68.9,67,67.9,68,68.65,38229,2589681.8,08-AUG-2017,435,INE249C01011,
FEDDERELEC,EQ,67.7,67.7,66.15,66.4,66.15,67.9,29798,1991455.55,09-AUG-2017,337,INE249C01011,
FEDDERELEC,EQ,66.6,66.75,63,63.7,64,66.4,49401,3216298.2,10-AUG-2017,451,INE249C01011,
FEDDERELEC,EQ,63,63.95,61,62.55,62.25,63.7,79169,4955152.4,11-AUG-2017,784,INE249C01011,
FEDDERELEC,EQ,63,65.85,62.7,65.4,65.1,62.55,46748,3014413.15,14-AUG-2017,520,INE249C01011,
FEDDERELEC,EQ,65.9,67.55,65.05,66.9,67,65.4,37335,2484709.7,16-AUG-2017,425,INE249C01011,
FEDDERELEC,EQ,67.8,68.25,64.9,65.15,64.95,66.9,93736,6191622,17-AUG-2017,695,INE249C01011,
FEDDERELEC,EQ,64.6,65.2,63.15,63.65,63.9,65.15,61472,3949445.7,18-AUG-2017,389,INE249C01011,
FEDDERELEC,EQ,63.35,64.7,61.65,61.95,62,63.65,68799,4320492.7,21-AUG-2017,446,INE249C01011,
FEDDERELEC,EQ,62,63.45,59.2,59.6,59.85,61.95,85626,5198447.8,22-AUG-2017,561,INE249C01011,
FEDDERELEC,EQ,60.05,61.25,60,60.85,60.9,59.6,46133,2800178.75,23-AUG-2017,327,INE249C01011,
FEDDERELEC,EQ,60.2,62.95,60.2,62.25,62.55,60.85,23881,1486671.5,24-AUG-2017,326,INE249C01011,
FEDDERELEC,EQ,62.95,64.75,62.05,64.25,64.55,62.25,59513,3786594.9,28-AUG-2017,482,INE249C01011,
FEDDERELEC,EQ,64.95,67.8,64.95,66.05,66.6,64.25,208837,13919030.3,29-AUG-2017,1757,INE249C01011,
FEDDERELEC,EQ,67.85,68.4,66.65,67,67,66.05,64551,4354482.9,30-AUG-2017,668,INE249C01011,
FEDDERELEC,EQ,67,70.95,67,70.25,70.1,67,166804,11614052.2,31-AUG-2017,1653,INE249C01011,
FEDDERELEC,EQ,70,71.8,69,69.2,69.4,70.25,81139,5710351.65,01-SEP-2017,916,INE249C01011,
FEDDERELEC,EQ,69.25,69.75,66.95,68,67.9,69.2,43519,2970378.45,04-SEP-2017,475,INE249C01011,
FEDDERELEC,EQ,68,70.25,68,69.4,69.45,68,68067,4721196.7,05-SEP-2017,511,INE249C01011,
FEDDERELEC,EQ,69.65,73,69,71.45,71.1,69.4,178495,12709558.45,06-SEP-2017,1518,INE249C01011,
FEDDERELEC,EQ,71.45,73.25,71.25,71.85,71.55,71.45,115561,8342171.8,07-SEP-2017,939,INE249C01011,
FEDDERELEC,EQ,72.95,74.25,71.5,71.8,71.6,71.85,69397,5051046.2,08-SEP-2017,675,INE249C01011,
FEDDERELEC,EQ,71.1,73.5,71.1,72.3,72.3,71.8,91782,6654488.6,11-SEP-2017,715,INE249C01011,
FEDDERELEC,EQ,72.5,77,72.5,76.25,76,72.3,534686,40659599.55,12-SEP-2017,3896,INE249C01011,
FEDDERELEC,EQ,76.65,76.65,73,73.25,73.2,76.25,143801,10741799.85,13-SEP-2017,1056,INE249C01011,
FEDDERELEC,EQ,73.2,74.25,72.9,73.2,73.25,73.25,69272,5080936.15,14-SEP-2017,444,INE249C01011,
FEDDERELEC,EQ,72.85,73.5,72.05,72.2,72.1,73.2,35230,2555234.15,15-SEP-2017,321,INE249C01011,
FEDDERELEC,EQ,72.5,76,72.15,73,72.75,72.2,281741,20745362.25,18-SEP-2017,1393,INE249C01011,
FEDDERELEC,EQ,73.5,74.65,71.2,71.55,71.55,73,138300,10032094,19-SEP-2017,928,INE249C01011,
FEDDERELEC,EQ,71.6,72.9,71.5,72.05,72.05,71.55,76751,5540942.7,20-SEP-2017,655,INE249C01011,
FEDDERELEC,EQ,72,73.3,71.6,72.25,72.1,72.05,70122,5086156.65,21-SEP-2017,562,INE249C01011,
FEDDERELEC,EQ,72,72.85,68.1,69.35,70,72.25,116033,8229722.2,22-SEP-2017,951,INE249C01011,
FEDDERELEC,EQ,69.5,69.85,66.2,67.75,67.85,69.35,69515,4707746.6,25-SEP-2017,519,INE249C01011,
FEDDERELEC,EQ,67.95,69.15,67.85,68.75,68.45,67.75,40446,2773624.7,26-SEP-2017,392,INE249C01011,
FEDDERELEC,EQ,68.95,69.55,65.5,66,65.5,68.75,65573,4432432.35,27-SEP-2017,488,INE249C01011,
FEDDERELEC,EQ,66.95,67.15,66,66.2,66,66,44669,2967025.75,28-SEP-2017,364,INE249C01011,
FEDDERELEC,EQ,66.95,69,66.95,67.35,67.5,66.2,73506,4987441.45,29-SEP-2017,697,INE249C01011,
FEDDERELEC,EQ,70,80.8,69.05,80.8,80.8,67.35,2782656,219128871.85,03-OCT-2017,15853,INE249C01011,
FEDDERELEC,EQ,83,84.25,77.15,77.5,77.5,80.8,1123710,90498447.55,04-OCT-2017,9309,INE249C01011,
FEDDERELEC,EQ,77.9,85.75,77.8,82.7,82.7,77.5,1585130,131277323.15,05-OCT-2017,11296,INE249C01011,
FEDDERELEC,EQ,83.35,84.9,81.5,82.7,83.05,82.7,468658,39019499.75,06-OCT-2017,3613,INE249C01011,
FEDDERELEC,EQ,83.2,84.2,81,82.45,82.25,82.7,300970,24825382.7,09-OCT-2017,2254,INE249C01011,
FEDDERELEC,EQ,82.95,87,82,83.95,83.9,82.45,575337,48682756.95,10-OCT-2017,4239,INE249C01011,
FEDDERELEC,EQ,84,86.45,80.7,82.05,82.05,83.95,522722,43828232.6,11-OCT-2017,3836,INE249C01011,
FEDDERELEC,EQ,82.85,84.25,81.45,82.05,81.55,82.05,254008,20976180.35,12-OCT-2017,1590,INE249C01011,
FEDDERELEC,EQ,82.55,84.2,81.6,82.15,82.3,82.05,215791,17941452.1,13-OCT-2017,1523,INE249C01011,
FEDDERELEC,EQ,82.75,83.5,80.1,80.45,80.6,82.15,139988,11410206.15,16-OCT-2017,1139,INE249C01011,
FEDDERELEC,EQ,80.6,83.3,80.6,81.65,81.9,80.45,215844,17674929.25,17-OCT-2017,1502,INE249C01011,
FEDDERELEC,EQ,81.9,96.6,81.4,91.9,92.05,81.65,3885443,355366341.9,18-OCT-2017,24534,INE249C01011,
FEDDERELEC,EQ,93,93.95,88.65,89.15,89.25,92.6,391476,35406426.05,23-OCT-2017,3859,INE249C01011,
FEDDERELEC,EQ,89.15,93.25,88.7,89.2,89,89.15,400335,36450151.7,24-OCT-2017,3330,INE249C01011,
FEDDERELEC,EQ,90.3,91.2,86.55,86.9,86.75,89.2,208305,18364686.9,25-OCT-2017,1790,INE249C01011,
FEDDERELEC,EQ,86.9,91.9,86.5,87.8,87.7,86.9,406909,36282942.3,26-OCT-2017,3426,INE249C01011,
FEDDERELEC,EQ,88.5,90,87.2,87.65,87.4,87.8,173380,15314690.2,27-OCT-2017,1483,INE249C01011,
FEDDERELEC,EQ,88,92.4,88,90.65,91.4,87.65,510744,46482276.45,30-OCT-2017,3935,INE249C01011,
FEDDERELEC,EQ,91.6,93.25,90,90.45,90.1,90.65,408648,37351569.25,31-OCT-2017,2669,INE249C01011,
FEDDERELEC,EQ,91,92.3,88.05,89.45,89.1,90.45,250250,22623315.55,01-NOV-2017,1659,INE249C01011,
FEDDERELEC,EQ,90,91.25,88.5,88.65,88.9,89.45,219471,19651480.95,02-NOV-2017,1658,INE249C01011,
FEDDERELEC,EQ,89.05,92.25,88,88.55,88.5,88.65,383458,34484677.75,03-NOV-2017,2617,INE249C01011,
