SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
FINOPB,EQ,544.35,582.95,511.05,543.9,535.45,577,10113420,5482536177.55,12-NOV-2021,272916,INE02NC01014,
FINOPB,EQ,543.9,548.8,513.3,515.75,514.95,543.9,831926,437249734.35,15-NOV-2021,36583,INE02NC01014,
FINOPB,EQ,516.95,520,506,515.7,513.8,515.75,504339,258667882.95,16-NOV-2021,21449,INE02NC01014,
FINOPB,EQ,517,527,507,510.05,511.3,515.7,312070,160150194.4,17-NOV-2021,17101,INE02NC01014,
FINOPB,EQ,515,515.2,446.5,449.8,446.8,510.05,1086650,504639789.3,18-NOV-2021,50849,INE02NC01014,
FINOPB,EQ,445,445.95,366.15,397.1,392.85,449.8,1841844,734798217.7,22-NOV-2021,83089,INE02NC01014,
FINOPB,EQ,390,476.5,386.8,443.15,448,397.1,2446291,1104093806.9,23-NOV-2021,89269,INE02NC01014,
FINOPB,EQ,451,492,448.8,471.6,469.9,443.15,1041435,496008328.5,24-NOV-2021,49230,INE02NC01014,
FINOPB,EQ,477.4,484.4,455.6,479.7,478,471.6,583124,276945090.2,25-NOV-2021,22787,INE02NC01014,
FINOPB,EQ,470,470.15,440,446.85,444,479.7,498782,227176223.2,26-NOV-2021,18155,INE02NC01014,
FINOPB,EQ,440,444.95,420,439.6,436.5,446.85,153702,67125760.05,29-NOV-2021,10461,INE02NC01014,
FINOPB,EQ,439,453.8,438.5,447,447,439.6,118045,52790108.4,30-NOV-2021,7509,INE02NC01014,
FINOPB,EQ,447,452,429.85,431.2,430.9,447,96465,42212487.25,01-DEC-2021,6092,INE02NC01014,
FINOPB,EQ,432,439,423,425.8,425.6,431.2,115248,49333438.85,02-DEC-2021,6902,INE02NC01014,
FINOPB,EQ,427,436,421,422.9,424.95,425.8,89200,38244596,03-DEC-2021,4488,INE02NC01014,
FINOPB,EQ,425.6,429.9,398.1,399.95,399.2,422.9,254173,103452550.85,06-DEC-2021,13833,INE02NC01014,
