SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
FRETAIL,BE,153.4,161.05,153,161.05,161.05,151.05,558999,89093112.05,29-AUG-2016,941,INE752P01024,
FRETAIL,BE,160.2,160.25,155.05,158.3,156.15,161.05,1141573,181332709.85,30-AUG-2016,4659,INE752P01024,
FRETAIL,BE,157.75,160,150.4,159.6,157.8,158.3,885180,136856557.65,31-AUG-2016,4174,INE752P01024,
FRETAIL,BE,156,160,152,156.95,156,159.6,134374,21116363.85,01-SEP-2016,1211,INE752P01024,
FRETAIL,BE,152,158,152,157.25,157.7,156.95,69713,10836956.9,02-SEP-2016,1566,INE752P01024,
FRETAIL,BE,153,160,153,159.25,158,157.25,98068,15556601.1,06-SEP-2016,2357,INE752P01024,
FRETAIL,BE,159,160.05,157.1,158.9,157.4,159.25,101603,16173242.15,07-SEP-2016,6168,INE752P01024,
FRETAIL,BE,155,160,155,156.85,156.1,158.9,35979,5690822.55,08-SEP-2016,796,INE752P01024,
FRETAIL,BE,155,160,155,158.65,159.25,156.85,128104,20378671.8,09-SEP-2016,1290,INE752P01024,
FRETAIL,BE,153.1,157,151.5,154.25,153,158.65,67961,10450490.2,12-SEP-2016,1168,INE752P01024,
FRETAIL,EQ,155.9,160,150.55,154.25,154.25,154.25,399600,62120483.7,14-SEP-2016,8734,INE752P01024,
FRETAIL,EQ,153.2,155.9,150.5,153.35,154,154.25,184278,28179085.7,15-SEP-2016,7949,INE752P01024,
FRETAIL,EQ,153.9,157.75,142.3,149.35,150,153.35,764664,115583106.25,16-SEP-2016,13038,INE752P01024,
FRETAIL,EQ,151.1,153.75,150,151.05,150.6,149.35,153251,23174164.95,19-SEP-2016,1514,INE752P01024,
FRETAIL,EQ,151,151,148,150.4,150.8,151.05,82420,12351409.4,20-SEP-2016,910,INE752P01024,
FRETAIL,EQ,151.85,153.85,150.25,152,150.9,150.4,297371,45200756.7,21-SEP-2016,1138,INE752P01024,
FRETAIL,EQ,152,153.65,150.25,151.6,152,152,80355,12178385.55,22-SEP-2016,860,INE752P01024,
FRETAIL,EQ,152.1,152.6,147.1,147.45,147.1,151.6,66387,9925729.3,23-SEP-2016,1303,INE752P01024,
FRETAIL,EQ,146.15,147.55,142.25,145.45,145.85,147.45,129825,18820934.9,26-SEP-2016,845,INE752P01024,
FRETAIL,EQ,145.15,149,143,145.2,145,145.45,229601,33652685.3,27-SEP-2016,1515,INE752P01024,
FRETAIL,EQ,142.65,149,142.65,147.6,145.5,145.2,96894,14212856.6,28-SEP-2016,1377,INE752P01024,
FRETAIL,EQ,148.05,150.9,146.95,148.25,148.6,147.6,276417,41066546.85,29-SEP-2016,2663,INE752P01024,
FRETAIL,EQ,137.2,151.5,137.2,150,150,148.25,62566,9351404.2,30-SEP-2016,2153,INE752P01024,
FRETAIL,EQ,150,159.2,150,157.15,158.4,150,119234,18568228.7,03-OCT-2016,3227,INE752P01024,
FRETAIL,EQ,154,159.7,153.9,159.2,159.6,157.15,39962,6311807.3,04-OCT-2016,1563,INE752P01024,
FRETAIL,EQ,157.2,160,154.6,159.2,157.05,159.2,160051,25350549.5,05-OCT-2016,2378,INE752P01024,
FRETAIL,EQ,157.2,159.9,154.75,156.75,157,159.2,303284,47665991.5,06-OCT-2016,2518,INE752P01024,
FRETAIL,EQ,155.35,158.7,153.1,155.4,154,156.75,68887,10687109.15,07-OCT-2016,759,INE752P01024,
FRETAIL,EQ,157.4,158.7,151.9,152.45,151.9,155.4,22973,3532531.45,10-OCT-2016,357,INE752P01024,
FRETAIL,EQ,150.3,153,145.55,147.85,150,152.45,82668,12230871.8,13-OCT-2016,2488,INE752P01024,
FRETAIL,EQ,148.05,159.9,148,156.1,159,147.85,145559,22069702.35,14-OCT-2016,1501,INE752P01024,
FRETAIL,EQ,159.9,159.9,151,153.4,152.7,156.1,164299,25207601,17-OCT-2016,3201,INE752P01024,
FRETAIL,EQ,157,158.1,151.2,155.9,156.3,153.4,222594,34422021.3,18-OCT-2016,1473,INE752P01024,
FRETAIL,EQ,155,160,152,155.25,155,155.9,2121972,329566398.9,19-OCT-2016,3571,INE752P01024,
FRETAIL,EQ,154,159.95,152.5,157.9,157,155.25,232500,36329409.65,20-OCT-2016,1641,INE752P01024,
FRETAIL,EQ,155.05,160,155.05,158.85,159,157.9,175308,27867345.3,21-OCT-2016,1447,INE752P01024,
FRETAIL,EQ,159.8,179.7,155.2,174.6,177,158.85,1721337,298632187,24-OCT-2016,18075,INE752P01024,
FRETAIL,EQ,175,175,165,168.55,169,174.6,228432,38585544.45,25-OCT-2016,4947,INE752P01024,
FRETAIL,EQ,168.2,172.95,165.1,170,170,168.55,466822,79131990.9,26-OCT-2016,4472,INE752P01024,
FRETAIL,EQ,170,171,163.35,168.15,169.35,170,148702,24668512.45,27-OCT-2016,2228,INE752P01024,
FRETAIL,EQ,167,174.35,165.6,166.4,165.6,168.15,285621,48740976.85,28-OCT-2016,3997,INE752P01024,
FRETAIL,EQ,170.65,171,165.5,166.8,166.3,170.15,86487,14484584.15,01-NOV-2016,1138,INE752P01024,
FRETAIL,EQ,164,165.5,158.5,160,158.8,166.8,421503,67571800.25,02-NOV-2016,5861,INE752P01024,
FRETAIL,EQ,160,161,156,157.7,157.05,160,173039,27479935.75,03-NOV-2016,3276,INE752P01024,
FRETAIL,EQ,157.05,158.9,148,150,149.05,157.7,126264,19190963.45,04-NOV-2016,1490,INE752P01024,
FRETAIL,EQ,153.1,157.3,152.8,154.35,154,150,553661,85649978.05,07-NOV-2016,7068,INE752P01024,
FRETAIL,EQ,154,155.05,146.05,147.05,148,154.35,445321,65825748.3,08-NOV-2016,5969,INE752P01024,
FRETAIL,EQ,122.3,144.05,122.3,140.15,142.3,147.05,300152,41372796.45,09-NOV-2016,1903,INE752P01024,
FRETAIL,EQ,142.3,146.05,142,142.45,142,140.15,77149,11129024.3,10-NOV-2016,1127,INE752P01024,
FRETAIL,EQ,140.2,142.45,130.5,134.5,136.25,142.45,366878,49386572,11-NOV-2016,2443,INE752P01024,
FRETAIL,EQ,133,139,124,127.1,127.4,134.5,310128,39739535.5,15-NOV-2016,1815,INE752P01024,
FRETAIL,EQ,129.8,135.9,125.65,134.35,135.4,127.1,492082,65579086,16-NOV-2016,7862,INE752P01024,
FRETAIL,EQ,131.95,133,128.25,129.95,128.8,134.35,200378,26231295.15,17-NOV-2016,2838,INE752P01024,
FRETAIL,EQ,128.8,130.5,126.1,127.3,127,129.95,237260,30517856.85,18-NOV-2016,4408,INE752P01024,
FRETAIL,EQ,128.1,128.15,118.75,123.15,123,127.3,325232,39924219.6,21-NOV-2016,2318,INE752P01024,
FRETAIL,EQ,123.95,129.5,121.1,126.6,125.5,123.15,246577,30852826,22-NOV-2016,4899,INE752P01024,
FRETAIL,EQ,127.35,135.65,127.35,133.45,133.1,126.6,287779,38174773.15,23-NOV-2016,8762,INE752P01024,
FRETAIL,EQ,133,135.95,130.85,133.75,134,133.45,174294,23393407.3,24-NOV-2016,1420,INE752P01024,
FRETAIL,EQ,133.65,138.05,130.1,134.65,135,133.75,349810,47362357.5,25-NOV-2016,11008,INE752P01024,
FRETAIL,EQ,135.95,135.95,127.65,128.35,129,134.65,252789,32990613.45,28-NOV-2016,8251,INE752P01024,
FRETAIL,EQ,129.9,133.4,124,124.65,125.25,128.35,373676,48259194.4,29-NOV-2016,11921,INE752P01024,
FRETAIL,EQ,125,126.9,120,123.1,123.5,124.65,349111,42792751.85,30-NOV-2016,11388,INE752P01024,
FRETAIL,EQ,121.15,125.5,121.15,121.9,121.95,123.1,179766,22119326.25,01-DEC-2016,3101,INE752P01024,
