SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GATECHDVR,BE,10.3,10.3,10.2,10.2,10.2,10.4,14195,145999,08-AUG-2023,24,INE224E01036,
GATECHDVR,BE,10,10,10,10,10,10.2,485,4850,09-AUG-2023,9,INE224E01036,
GATECHDVR,BE,9.8,9.8,9.8,9.8,9.8,10,3570,34986,10-AUG-2023,17,INE224E01036,
GATECHDVR,BE,9.6,9.6,9.6,9.6,9.6,9.8,4911,47145.6,11-AUG-2023,15,INE224E01036,
GATECHDVR,BE,9.5,9.5,9.4,9.4,9.4,9.6,15619,146964.7,14-AUG-2023,20,INE224E01036,
GATECHDVR,BE,9.25,9.4,9.25,9.4,9.4,9.4,203227,1909781.05,16-AUG-2023,52,INE224E01036,
GATECHDVR,BE,9.35,9.5,9.35,9.5,9.5,9.4,56739,532950.3,17-AUG-2023,47,INE224E01036,
GATECHDVR,BE,9.6,9.6,9.35,9.35,9.35,9.5,72591,683400.9,18-AUG-2023,61,INE224E01036,
GATECHDVR,BE,9.45,9.5,9.45,9.5,9.5,9.35,70098,663651.1,21-AUG-2023,34,INE224E01036,
GATECHDVR,BE,9.45,9.55,9.45,9.55,9.55,9.5,89425,847516.25,22-AUG-2023,54,INE224E01036,
GATECHDVR,BE,9.5,9.7,9.35,9.7,9.7,9.55,212439,2016363.55,23-AUG-2023,61,INE224E01036,
GATECHDVR,BE,9.85,9.85,9.85,9.85,9.85,9.7,97077,956208.45,24-AUG-2023,31,INE224E01036,
GATECHDVR,BE,10,10,10,10,10,9.85,176032,1760320,25-AUG-2023,34,INE224E01036,
GATECHDVR,BE,10.2,10.2,10.15,10.15,10.15,10,155518,1584908.6,28-AUG-2023,53,INE224E01036,
GATECHDVR,BE,10.2,10.35,10.15,10.35,10.35,10.15,132902,1358803.45,29-AUG-2023,54,INE224E01036,
GATECHDVR,BE,10.15,10.55,10.15,10.55,10.55,10.35,164786,1729360.75,30-AUG-2023,43,INE224E01036,
GATECHDVR,BE,10.4,10.65,10.4,10.65,10.65,10.55,56223,597190.5,31-AUG-2023,24,INE224E01036,
GATECHDVR,BE,10.65,10.65,10.45,10.65,10.65,10.65,16127,170954.55,01-SEP-2023,31,INE224E01036,
GATECHDVR,BE,10.45,10.45,10.45,10.45,10.45,10.65,26469,276601.05,04-SEP-2023,30,INE224E01036,
GATECHDVR,BE,10.4,10.4,10.25,10.25,10.25,10.45,3540,36396.3,05-SEP-2023,20,INE224E01036,
GATECHDVR,BE,10.05,10.05,10.05,10.05,10.05,10.25,1324,13306.2,06-SEP-2023,11,INE224E01036,
GATECHDVR,BE,9.85,10.25,9.85,10.25,10.25,10.05,222469,2275756.45,07-SEP-2023,41,INE224E01036,
GATECHDVR,BE,10.2,10.25,10.05,10.25,10.25,10.25,85374,873130.2,08-SEP-2023,46,INE224E01036,
