SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GENSOL,EQ,1460,1460,1350,1357.45,1356.1,1349.2,87608,122738113.7,03-JUL-2023,5269,INE06H201014,
GENSOL,EQ,1368.95,1420,1310.25,1385.45,1378,1357.45,42324,58295012.6,04-JUL-2023,2979,INE06H201014,
GENSOL,EQ,1410,1420.7,1372,1406.45,1402,1385.45,35240,49543398.6,05-JUL-2023,3081,INE06H201014,
GENSOL,EQ,1411.05,1430,1375,1385.2,1382.1,1406.45,23272,32815202.1,06-JUL-2023,2524,INE06H201014,
GENSOL,EQ,1399,1410,1388.05,1394.95,1407.9,1385.2,28503,39859935.7,07-JUL-2023,2520,INE06H201014,
GENSOL,EQ,1399.8,1464.65,1396,1436.05,1424.65,1394.95,153832,223740119.6,10-JUL-2023,4607,INE06H201014,
GENSOL,EQ,1434.65,1453.1,1374.05,1377.9,1377.5,1436.05,57171,80363729.6,11-JUL-2023,3359,INE06H201014,
GENSOL,EQ,1399,1423.55,1365,1375.2,1372.1,1377.9,58346,81084065,12-JUL-2023,3294,INE06H201014,
GENSOL,EQ,1375.2,1415,1365,1380.25,1394.8,1375.2,38961,54204623.8,13-JUL-2023,4057,INE06H201014,
GENSOL,EQ,1399.85,1403,1368.3,1374,1375,1380.25,22100,30523715.3,14-JUL-2023,1727,INE06H201014,
GENSOL,EQ,1375,1399.9,1354,1379.65,1375,1374,42417,58471042,17-JUL-2023,4059,INE06H201014,
GENSOL,EQ,1375,1399.9,1356.05,1379.05,1380,1379.65,41054,56696481.65,18-JUL-2023,3502,INE06H201014,
GENSOL,EQ,1388.95,1419.7,1384,1400.65,1399.65,1379.05,45919,64457489.95,19-JUL-2023,4110,INE06H201014,
GENSOL,EQ,1400.65,1442,1400.1,1409,1407,1400.65,39178,55427131.55,20-JUL-2023,4262,INE06H201014,
GENSOL,EQ,1409,1461.3,1389.7,1391.95,1390.05,1409,27038,38047107.45,21-JUL-2023,3420,INE06H201014,
GENSOL,EQ,1419.95,1420.05,1380.55,1385.65,1389.1,1391.95,89469,124227581.1,24-JUL-2023,2892,INE06H201014,
GENSOL,EQ,1424.9,1454.9,1405.05,1454.9,1454.9,1385.65,74805,108237140.55,25-JUL-2023,1960,INE06H201014,
GENSOL,EQ,1510,1527.6,1484.85,1527.6,1527.6,1454.9,42000,63661759.55,26-JUL-2023,819,INE06H201014,
GENSOL,EQ,1540,1603.95,1465.1,1584.7,1570,1527.6,152360,238961726.2,27-JUL-2023,6876,INE06H201014,
GENSOL,EQ,1615,1663.9,1521.3,1579.1,1560,1584.7,117500,191031525.3,28-JUL-2023,7192,INE06H201014,
GENSOL,EQ,1600,1658.05,1590.05,1658.05,1658.05,1579.1,32399,52999580.15,31-JUL-2023,3764,INE06H201014,
