SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GIPCL,EQ,81.15,83.5,81.1,83.15,82.9,81.9,56574,4679652.8,01-JAN-2016,420,INE162A01010,
GIPCL,EQ,82.05,85.2,82.05,84.2,84.4,83.15,105533,8866233.95,04-JAN-2016,875,INE162A01010,
GIPCL,EQ,85.5,85.6,83.1,84.2,83.8,84.2,42827,3613687.2,05-JAN-2016,393,INE162A01010,
GIPCL,EQ,83.05,89.5,83.05,85.9,86,84.2,172613,15002470.55,06-JAN-2016,1325,INE162A01010,
GIPCL,EQ,85,89.95,84.3,85.1,84.65,85.9,167561,14588084.75,07-JAN-2016,1969,INE162A01010,
GIPCL,EQ,85.85,94.5,85.85,90.35,90.25,85.1,358444,32554030.05,08-JAN-2016,3114,INE162A01010,
GIPCL,EQ,89.25,92.4,87.75,90.2,90.3,90.35,120847,10928844.7,11-JAN-2016,1473,INE162A01010,
GIPCL,EQ,90,92,87.45,88.3,88.5,90.2,61205,5498333.25,12-JAN-2016,561,INE162A01010,
GIPCL,EQ,88.65,94.25,83.1,88.35,88,88.3,186735,16729138.4,13-JAN-2016,2373,INE162A01010,
GIPCL,EQ,87.6,90,85.25,86.35,86.9,88.35,63226,5506006.15,14-JAN-2016,810,INE162A01010,
GIPCL,EQ,87,88,83,84.05,84.5,86.35,77256,6624381.45,15-JAN-2016,712,INE162A01010,
GIPCL,EQ,84,84.55,80.1,82.05,82,84.05,62228,5116915.45,18-JAN-2016,343,INE162A01010,
GIPCL,EQ,81.7,83,80.65,81.5,80.95,82.05,48866,4011264.05,19-JAN-2016,294,INE162A01010,
GIPCL,EQ,81,81,77.1,77.55,77.1,81.5,37469,2934784.75,20-JAN-2016,652,INE162A01010,
GIPCL,EQ,78,81,77.1,77.6,78.2,77.55,28847,2260033.95,21-JAN-2016,404,INE162A01010,
GIPCL,EQ,78.1,80.45,78.1,79.8,80,77.6,15009,1198902.9,22-JAN-2016,209,INE162A01010,
