SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GOLDETFADD,EQ,61.18,61.6,61,61.29,61.3,61.17,10032,614913.43,15-FEB-2024,60,INF740KA1SW3,
GOLDETFADD,EQ,61.4,61.51,61,61.49,61.5,61.29,1467,90083.48,16-FEB-2024,64,INF740KA1SW3,
GOLDETFADD,EQ,61.49,61.85,61.4,61.8,61.8,61.49,2092,128898.42,19-FEB-2024,49,INF740KA1SW3,
GOLDETFADD,EQ,61.8,61.8,61.4,61.74,61.74,61.8,200636,12375111.06,20-FEB-2024,106,INF740KA1SW3,
GOLDETFADD,EQ,61.4,61.99,61.4,61.65,61.87,61.74,257108,15908256.49,21-FEB-2024,108,INF740KA1SW3,
GOLDETFADD,EQ,61.8,61.99,61.65,61.97,61.99,61.65,3345,206731.71,22-FEB-2024,58,INF740KA1SW3,
GOLDETFADD,EQ,62,62.19,61.4,61.55,61.55,61.97,301302,18578177.86,23-FEB-2024,106,INF740KA1SW3,
GOLDETFADD,EQ,63.08,63.08,61.55,61.73,61.89,61.55,1528603,94631879.04,26-FEB-2024,75,INF740KA1SW3,
GOLDETFADD,EQ,61.73,62.1,61.49,61.75,61.75,61.73,328050,20293646.84,27-FEB-2024,79,INF740KA1SW3,
GOLDETFADD,EQ,61.8,61.9,61.55,61.55,61.55,61.75,488306,30196243.99,28-FEB-2024,41,INF740KA1SW3,
GOLDETFADD,EQ,63.93,63.93,61.77,61.98,61.78,61.55,171165,10608728.68,29-FEB-2024,56,INF740KA1SW3,
GOLDETFADD,EQ,62.19,62.3,61.88,61.88,61.88,61.98,5985,370749.85,01-MAR-2024,65,INF740KA1SW3,
GOLDETFADD,EQ,63.09,63.15,62.79,63.13,63.14,62.78,6300,396564.35,04-MAR-2024,76,INF740KA1SW3,
GOLDETFADD,EQ,63.13,64.4,62.5,64.09,63.83,63.13,531754,34052002.73,05-MAR-2024,229,INF740KA1SW3,
GOLDETFADD,EQ,64.5,64.5,63.81,64.2,64.25,64.09,609520,39131918.62,06-MAR-2024,171,INF740KA1SW3,
GOLDETFADD,EQ,64.35,65.4,63.8,65.02,65.06,64.2,556038,36137931.27,07-MAR-2024,313,INF740KA1SW3,
GOLDETFADD,EQ,63.8,65.75,63.72,65.58,65.74,65.02,12754,833522.15,11-MAR-2024,128,INF740KA1SW3,
GOLDETFADD,EQ,65.9,66.73,64.02,65.67,65.7,65.58,14859,973222.96,12-MAR-2024,118,INF740KA1SW3,
GOLDETFADD,EQ,66.74,66.74,64.85,65.17,65.2,65.67,3548,231082.52,13-MAR-2024,93,INF740KA1SW3,
GOLDETFADD,EQ,65.17,65.4,64.95,65.19,65.2,65.17,4719,307242.65,14-MAR-2024,70,INF740KA1SW3,
GOLDETFADD,EQ,65.25,65.8,64.21,65.29,65.3,65.19,2711,176812.63,15-MAR-2024,74,INF740KA1SW3,
GOLDETFADD,EQ,66.6,66.6,64.5,65.04,65.05,65.29,3055,198340.29,18-MAR-2024,68,INF740KA1SW3,
GOLDETFADD,EQ,65.04,65.3,64.9,65.08,65.15,65.04,2312,150499.11,19-MAR-2024,35,INF740KA1SW3,
GOLDETFADD,EQ,65.08,65.35,65,65.34,65.35,65.08,3839,250221.42,20-MAR-2024,33,INF740KA1SW3,
GOLDETFADD,EQ,65.34,66.8,65.34,66.54,66.6,65.34,12211,811187.98,21-MAR-2024,67,INF740KA1SW3,
GOLDETFADD,EQ,66.39,66.39,65.06,65.84,65.84,66.54,632539,41393994.56,22-MAR-2024,128,INF740KA1SW3,
GOLDETFADD,EQ,67.2,67.2,65.51,66.2,66.5,65.84,619561,40767709.24,26-MAR-2024,250,INF740KA1SW3,
GOLDETFADD,EQ,67.5,67.5,65.62,65.94,65.73,66.2,25080,1652658.64,27-MAR-2024,74,INF740KA1SW3,
GOLDETFADD,EQ,67.26,67.26,66,66.43,66.01,65.94,420619,27945692.26,28-MAR-2024,104,INF740KA1SW3,
GOLDETFADD,EQ,68.4,68.5,66.61,68.48,68.11,66.43,11650,791864.11,01-APR-2024,90,INF740KA1SW3,
GOLDETFADD,EQ,70.55,70.55,67.9,68.32,68.35,68.48,4673,318836.88,02-APR-2024,75,INF740KA1SW3,
GOLDETFADD,EQ,68.32,69.2,68.03,68.9,68.95,68.32,391073,27026857.5,03-APR-2024,180,INF740KA1SW3,
GOLDETFADD,EQ,72.01,73.99,68.9,69,69.3,68.9,27432,1925236.34,04-APR-2024,950,INF740KA1SW3,
GOLDETFADD,EQ,70.33,70.33,68.3,69.09,69.1,69,5079,350055.38,05-APR-2024,481,INF740KA1SW3,
GOLDETFADD,EQ,72.21,72.21,69.5,70.47,70.49,69.09,480192,33853200.43,08-APR-2024,168,INF740KA1SW3,
GOLDETFADD,EQ,70.79,70.99,70.15,70.98,70.99,70.47,9530,673831.19,09-APR-2024,96,INF740KA1SW3,
GOLDETFADD,EQ,70.98,71.3,70.71,71.04,71.05,70.98,29180,2072227.41,10-APR-2024,125,INF740KA1SW3,
GOLDETFADD,EQ,72.46,72.46,70.46,72.11,72.35,71.04,18730,1352161.45,12-APR-2024,143,INF740KA1SW3,
GOLDETFADD,EQ,74.1,74.1,71.3,71.75,71.75,72.11,22416,1612041.79,15-APR-2024,213,INF740KA1SW3,
GOLDETFADD,EQ,71.12,73.1,71.12,72.39,72.4,71.75,56396,4096699.04,16-APR-2024,138,INF740KA1SW3,
GOLDETFADD,EQ,75.66,75.66,72,72.59,72.6,72.39,25861,1872362.98,18-APR-2024,97,INF740KA1SW3,
GOLDETFADD,EQ,72.99,73.7,72.4,72.74,72.4,72.59,32344,2353189.35,19-APR-2024,146,INF740KA1SW3,
GOLDETFADD,EQ,73.73,73.73,71.8,72.22,72.25,72.74,24154,1745552.81,22-APR-2024,157,INF740KA1SW3,
GOLDETFADD,EQ,72.06,72.07,70.3,70.41,70.89,72.22,502707,35684299.78,23-APR-2024,233,INF740KA1SW3,
GOLDETFADD,EQ,70.89,71.8,70.89,71.09,71.09,70.41,5569,396552.1,24-APR-2024,98,INF740KA1SW3,
GOLDETFADD,EQ,72.51,72.51,70.6,71.39,71.4,71.09,11011,786015.06,25-APR-2024,62,INF740KA1SW3,
GOLDETFADD,EQ,71.4,71.95,71.39,71.87,71.95,71.39,10079,724323.14,26-APR-2024,50,INF740KA1SW3,
GOLDETFADD,EQ,75.11,75.11,71.34,71.79,71.9,71.87,1340267,96043129.79,29-APR-2024,281,INF740KA1SW3,
GOLDETFADD,EQ,75.03,75.03,70.35,71.29,71.3,71.79,165857,11829149.31,30-APR-2024,72,INF740KA1SW3,
GOLDETFADD,EQ,72.98,72.98,70.64,71,70.9,71.29,21467,1525850.57,02-MAY-2024,117,INF740KA1SW3,
GOLDETFADD,EQ,69.58,71.1,69.58,70.75,70.75,71,405798,28729798.87,03-MAY-2024,92,INF740KA1SW3,
GOLDETFADD,EQ,72.25,72.25,70.26,70.94,70.76,70.75,1812,129023.77,06-MAY-2024,82,INF740KA1SW3,
GOLDETFADD,EQ,71,71.25,70.75,70.99,70.75,70.94,167507,11895920.43,07-MAY-2024,107,INF740KA1SW3,
GOLDETFADD,EQ,71.09,71.09,70.4,70.94,70.95,70.99,26211,1859617.89,08-MAY-2024,82,INF740KA1SW3,
GOLDETFADD,EQ,71.94,71.94,70.61,70.83,70.85,70.94,10443,739840.98,09-MAY-2024,77,INF740KA1SW3,
GOLDETFADD,EQ,71.46,72.49,71.45,72.47,72.48,70.83,2740171,198604214.18,10-MAY-2024,319,INF740KA1SW3,
GOLDETFADD,EQ,72.47,73.75,71.55,71.6,71.6,72.47,16844,1206616.05,13-MAY-2024,90,INF740KA1SW3,
GOLDETFADD,EQ,71.6,72.1,71.35,71.79,71.8,71.6,429816,30784634.1,14-MAY-2024,112,INF740KA1SW3,
GOLDETFADD,EQ,71.79,72.4,71.71,72.39,72.4,71.79,3907,281760.4,15-MAY-2024,73,INF740KA1SW3,
GOLDETFADD,EQ,73.75,73.75,72.27,72.84,72.85,72.39,4154,302453.1,16-MAY-2024,77,INF740KA1SW3,
GOLDETFADD,EQ,72.23,73.75,72.2,72.64,72.64,72.84,17419,1266153.76,17-MAY-2024,188,INF740KA1SW3,
GOLDETFADD,EQ,74,74,73.29,73.44,73.45,73.59,14155,1039562.56,21-MAY-2024,114,INF740KA1SW3,
GOLDETFADD,EQ,73.44,73.9,73.11,73.49,73.5,73.44,42063,3091321.31,22-MAY-2024,133,INF740KA1SW3,
GOLDETFADD,EQ,73.3,73.57,71.9,72.04,72.05,73.49,8707,628154.2,23-MAY-2024,307,INF740KA1SW3,
GOLDETFADD,EQ,74,74,70.8,71.24,71.35,72.04,5795,413085.36,24-MAY-2024,179,INF740KA1SW3,
GOLDETFADD,EQ,71.59,71.79,70.7,71.49,71.5,71.24,16826,1202723.5,27-MAY-2024,294,INF740KA1SW3,
GOLDETFADD,EQ,72.6,72.6,71.15,71.59,71.6,71.49,960213,68751140.7,28-MAY-2024,71,INF740KA1SW3,
