SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GSCLCEMENT,EQ,27,27.85,26.45,27.25,27.25,26.7,89021,2431537.65,01-JAN-2016,376,INE542A01039,
GSCLCEMENT,EQ,27.3,27.5,26.05,26.4,26.55,27.25,41008,1097494.8,04-JAN-2016,305,INE542A01039,
GSCLCEMENT,EQ,26.95,27.5,26.6,26.9,26.7,26.4,92641,2504011.6,05-JAN-2016,338,INE542A01039,
GSCLCEMENT,EQ,27.05,27.5,26.05,26.8,26.75,26.9,49136,1322067.5,06-JAN-2016,362,INE542A01039,
GSCLCEMENT,EQ,26.25,26.55,25.5,25.95,25.75,26.8,34746,904214.25,07-JAN-2016,274,INE542A01039,
GSCLCEMENT,EQ,25.85,26.7,25.65,26.55,26.7,25.95,33535,877264.45,08-JAN-2016,174,INE542A01039,
GSCLCEMENT,EQ,26.75,26.75,25.6,25.8,25.7,26.55,30493,789999,11-JAN-2016,161,INE542A01039,
GSCLCEMENT,EQ,26,26.6,25.25,25.45,25.5,25.8,29757,762929.8,12-JAN-2016,185,INE542A01039,
GSCLCEMENT,EQ,25.6,26.2,24,24.9,24.9,25.45,61611,1534864.3,13-JAN-2016,388,INE542A01039,
GSCLCEMENT,EQ,24.95,25.7,24.5,24.85,25,24.9,78893,1987286.25,14-JAN-2016,313,INE542A01039,
GSCLCEMENT,EQ,25,25.5,23.5,23.7,24,24.85,24954,602597.35,15-JAN-2016,164,INE542A01039,
GSCLCEMENT,EQ,23.65,24.4,20.65,22.45,22.05,23.7,79183,1770153.1,18-JAN-2016,415,INE542A01039,
GSCLCEMENT,EQ,22.45,23.6,22.1,23.1,23.1,22.45,31586,720824.8,19-JAN-2016,236,INE542A01039,
GSCLCEMENT,EQ,23.1,23.15,21.9,22.3,22.1,23.1,17804,399520.35,20-JAN-2016,146,INE542A01039,
GSCLCEMENT,EQ,22.35,22.7,22.1,22.3,22.6,22.3,9190,205161.05,21-JAN-2016,131,INE542A01039,
GSCLCEMENT,EQ,22.95,24.25,22.25,23.65,24.05,22.3,20938,492061.85,22-JAN-2016,272,INE542A01039,
GSCLCEMENT,EQ,23.15,24.45,23.15,23.45,23.35,23.65,8630,204473.3,25-JAN-2016,103,INE542A01039,
GSCLCEMENT,EQ,24.3,24.45,23.5,24,23.95,23.45,20190,479864.45,27-JAN-2016,125,INE542A01039,
GSCLCEMENT,EQ,23.95,24.4,23.5,23.7,23.75,24,11667,278300.1,28-JAN-2016,112,INE542A01039,
GSCLCEMENT,EQ,23.8,25.05,23.5,23.7,23.55,23.7,30136,732875.1,29-JAN-2016,300,INE542A01039,
GSCLCEMENT,EQ,24.55,24.9,23.15,24.1,24.35,23.7,21477,518794.7,01-FEB-2016,149,INE542A01039,
GSCLCEMENT,EQ,26,27.9,25.4,26.4,25.5,24.1,639820,16934845.7,02-FEB-2016,4460,INE542A01039,
GSCLCEMENT,EQ,25.7,26.3,24.3,25.65,25.4,26.4,143194,3590366.25,03-FEB-2016,1031,INE542A01039,
GSCLCEMENT,EQ,25.95,26.25,25.1,25.45,25.4,25.65,93060,2388332.25,04-FEB-2016,745,INE542A01039,
GSCLCEMENT,EQ,25.4,26.35,24.85,25.65,26,25.45,72279,1856866.6,05-FEB-2016,564,INE542A01039,
GSCLCEMENT,EQ,25.35,25.65,24.75,25.05,25.1,25.65,30543,771916.25,08-FEB-2016,224,INE542A01039,
