SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GSS,EQ,39.5,40,39,39.45,39,39.25,16378,648182.75,01-JAN-2016,146,INE871H01011,
GSS,EQ,40.1,40.15,36,39.65,40,39.45,12204,472561.05,04-JAN-2016,120,INE871H01011,
GSS,EQ,39.2,40,38.7,39.05,39.25,39.65,21463,846925.55,05-JAN-2016,110,INE871H01011,
GSS,EQ,39.25,41.75,38.8,39.35,39.25,39.05,18323,723015,06-JAN-2016,87,INE871H01011,
GSS,EQ,37.95,39.95,37.15,38.1,38.5,39.35,18981,740873.05,07-JAN-2016,151,INE871H01011,
GSS,EQ,37.75,38.45,37.75,38.3,38.45,38.1,3967,151875.15,08-JAN-2016,90,INE871H01011,
GSS,EQ,38.3,39.35,37.5,38.5,38.5,38.3,5664,215570.95,11-JAN-2016,57,INE871H01011,
GSS,EQ,40.3,41,38.15,39,39,38.5,31801,1271284.5,12-JAN-2016,184,INE871H01011,
GSS,EQ,39.1,40.75,35.5,36.65,36.5,39,19620,733150,13-JAN-2016,172,INE871H01011,
GSS,EQ,36.55,37.65,35.5,35.65,35.6,36.65,9802,355352.5,14-JAN-2016,127,INE871H01011,
GSS,EQ,35.15,36.75,32.55,32.9,33,35.65,10913,376165,15-JAN-2016,100,INE871H01011,
GSS,EQ,30.55,33.55,29.65,29.85,29.8,32.9,11728,354239.85,18-JAN-2016,95,INE871H01011,
GSS,EQ,29.8,31.3,28.5,31.25,31.25,29.85,2804,84411.3,19-JAN-2016,30,INE871H01011,
GSS,EQ,31.7,31.7,29.75,30.05,30,31.25,10421,313589.45,20-JAN-2016,89,INE871H01011,
GSS,EQ,30,31.5,30,31.5,31.5,30.05,1294,39747.5,21-JAN-2016,25,INE871H01011,
GSS,EQ,32.6,33.05,31.8,32.25,32,31.5,4581,150111.8,22-JAN-2016,71,INE871H01011,
GSS,EQ,33.55,33.7,32.05,32.6,32.05,32.25,1194,39285.1,25-JAN-2016,40,INE871H01011,
GSS,EQ,33.4,33.85,32,33.35,33.1,32.6,657,21783.55,27-JAN-2016,22,INE871H01011,
GSS,EQ,33.9,35,33,34.25,33.6,33.35,21473,729969.5,28-JAN-2016,165,INE871H01011,
GSS,EQ,33.25,34.9,33,34.3,34.75,34.25,2569,86688.55,29-JAN-2016,35,INE871H01011,
GSS,EQ,35,35.2,33,33.8,33.8,34.3,5889,199775.1,01-FEB-2016,51,INE871H01011,
GSS,EQ,33.6,35,32.55,33.6,33.15,33.8,6780,230471.95,02-FEB-2016,43,INE871H01011,
GSS,EQ,32.2,32.95,31.95,32.15,31.95,33.6,2389,77047.75,03-FEB-2016,26,INE871H01011,
GSS,EQ,32.2,32.2,30.6,30.8,30.95,32.15,1993,62031.15,04-FEB-2016,34,INE871H01011,
GSS,EQ,30.2,31.8,29.5,30.25,29.5,30.8,1664,50978.4,05-FEB-2016,39,INE871H01011,
GSS,EQ,30.35,31,29.45,30.6,29.5,30.25,1601,49031.8,08-FEB-2016,16,INE871H01011,
GSS,EQ,30.5,30.5,29.65,30.5,30.5,30.6,2048,61437.35,09-FEB-2016,32,INE871H01011,
GSS,EQ,30.5,30.5,29.5,30.05,29.5,30.5,3030,91250.7,10-FEB-2016,24,INE871H01011,
GSS,EQ,31,31,28.5,28.6,28.5,30.05,1569,45343.6,11-FEB-2016,32,INE871H01011,
GSS,EQ,29.35,29.35,25.85,27.4,27,28.6,5783,159575.7,12-FEB-2016,77,INE871H01011,
GSS,EQ,26.3,30.1,25.95,29.75,29.8,27.4,7309,210374.55,15-FEB-2016,44,INE871H01011,
GSS,EQ,29.15,30,27.05,27.5,27.5,29.75,4486,127304.25,16-FEB-2016,33,INE871H01011,
GSS,EQ,27,27,24.75,24.8,24.75,27.5,28576,717747,17-FEB-2016,94,INE871H01011,
GSS,EQ,26.25,26.25,24.05,24.55,24.15,24.8,7610,189798.1,18-FEB-2016,58,INE871H01011,
GSS,EQ,26.35,26.35,24,25.25,25.5,24.55,5773,140156.1,19-FEB-2016,58,INE871H01011,
GSS,EQ,24.15,26.35,24.15,26.35,26.35,25.25,199,5047.35,22-FEB-2016,5,INE871H01011,
GSS,EQ,25,26.05,24.2,24.5,24.2,26.35,1972,49551.3,23-FEB-2016,26,INE871H01011,
GSS,EQ,25.15,25.9,24.5,24.6,24.5,24.5,803,20149.35,24-FEB-2016,16,INE871H01011,
GSS,EQ,23.05,23.9,23,23.25,23.1,24.6,4937,114148.9,25-FEB-2016,27,INE871H01011,
GSS,EQ,23.5,24,21.4,23,23.5,23.25,5099,114002.65,26-FEB-2016,74,INE871H01011,
GSS,EQ,24,24.1,24,24,24.1,23,102,2448.1,29-FEB-2016,4,INE871H01011,
GSS,EQ,23,24,23,23.45,24,24,6585,152832.55,01-MAR-2016,65,INE871H01011,
GSS,EQ,24,24.6,23.65,23.8,23.65,23.45,6749,163871.7,02-MAR-2016,45,INE871H01011,
GSS,EQ,24.95,24.95,24.15,24.95,24.95,23.8,2075,51658.5,03-MAR-2016,12,INE871H01011,
GSS,EQ,24.95,26.15,24.95,26.15,26.15,24.95,1458,37903.1,04-MAR-2016,15,INE871H01011,
GSS,EQ,25.6,25.6,24.85,24.9,24.85,26.15,4216,106439.5,08-MAR-2016,37,INE871H01011,
GSS,EQ,24.2,25.65,23.8,24.75,25.65,24.9,1687,40945.35,09-MAR-2016,31,INE871H01011,
GSS,EQ,24.35,24.75,23.55,23.55,23.55,24.75,4993,119396.75,10-MAR-2016,39,INE871H01011,
GSS,EQ,24.4,24.7,23.7,24.7,24.7,23.55,5311,130735.2,11-MAR-2016,41,INE871H01011,
GSS,EQ,25.85,25.9,24.65,25.8,25.25,24.7,4640,119306.3,14-MAR-2016,56,INE871H01011,
GSS,EQ,25.3,26,24.65,25.45,25.9,25.8,875,22597.8,15-MAR-2016,20,INE871H01011,
GSS,EQ,24.65,26.7,24.4,26.65,26.65,25.45,5474,143517.25,16-MAR-2016,40,INE871H01011,
GSS,EQ,27.6,27.6,25.7,27.1,27.1,26.65,4303,115286.4,17-MAR-2016,37,INE871H01011,
GSS,EQ,26.5,26.5,25.8,25.95,25.85,27.1,6575,172786.3,18-MAR-2016,23,INE871H01011,
GSS,EQ,25.8,26.9,25.1,25.15,25.1,25.95,1935,49780.35,21-MAR-2016,29,INE871H01011,
GSS,EQ,25.55,25.6,24.3,24.9,25.35,25.15,1634,40910.75,22-MAR-2016,47,INE871H01011,
