SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HAPPYFORGE,EQ,1000,1087.4,961.25,1030.8,1030.1,850,14161658,14411316944.15,27-DEC-2023,430089,INE330T01021,
HAPPYFORGE,EQ,1016,1057.55,1004,1019.1,1020.15,1030.8,1884637,1942847199.15,28-DEC-2023,88903,INE330T01021,
HAPPYFORGE,EQ,1024.95,1041.3,976.75,1029.25,1030,1019.1,845242,862391599.25,29-DEC-2023,46812,INE330T01021,
HAPPYFORGE,EQ,1029.25,1039.7,1006.95,1029.7,1030,1029.25,421088,431599571.2,01-JAN-2024,23395,INE330T01021,
HAPPYFORGE,EQ,1028,1032.35,1002.95,1007.05,1006.95,1029.7,234307,237002391.8,02-JAN-2024,15297,INE330T01021,
HAPPYFORGE,EQ,1006,1024.3,997.55,1015.85,1016.8,1007.05,251757,254691834.7,03-JAN-2024,17778,INE330T01021,
HAPPYFORGE,EQ,1021,1030,1008,1015.85,1015,1015.85,247094,250954333.7,04-JAN-2024,24206,INE330T01021,
HAPPYFORGE,EQ,1020,1029.75,997.1,1000.5,999,1015.85,432820,437385430.1,05-JAN-2024,30155,INE330T01021,
HAPPYFORGE,EQ,1000.45,1005,976.4,1000.15,1000,1000.5,353820,352580085.35,08-JAN-2024,23551,INE330T01021,
HAPPYFORGE,EQ,1002.15,1008,975,977.45,976.55,1000.15,141132,139133856.9,09-JAN-2024,15664,INE330T01021,
HAPPYFORGE,EQ,974.7,979,956.25,966.85,967,977.45,184253,177690007.75,10-JAN-2024,17714,INE330T01021,
HAPPYFORGE,EQ,967.75,987,953,956.6,958,966.85,136483,132092352.2,11-JAN-2024,15010,INE330T01021,
HAPPYFORGE,EQ,960.2,974.2,952,954.75,954.1,956.6,100166,96356229.6,12-JAN-2024,10509,INE330T01021,
HAPPYFORGE,EQ,957.05,964.4,945.2,950.9,951,954.75,215059,204452422.7,15-JAN-2024,20917,INE330T01021,
HAPPYFORGE,EQ,951,957,934.5,946.6,947.05,950.9,110776,105022105.8,16-JAN-2024,11797,INE330T01021,
HAPPYFORGE,EQ,936.95,990,934.5,963.85,960.9,946.6,283378,273050504.35,17-JAN-2024,23615,INE330T01021,
HAPPYFORGE,EQ,964,969,936.3,959.95,953.1,963.85,91091,86911261.95,18-JAN-2024,10708,INE330T01021,
HAPPYFORGE,EQ,969.95,970.9,947.7,951.3,952.2,959.95,114917,109486954.05,19-JAN-2024,9026,INE330T01021,
HAPPYFORGE,EQ,945.05,953.65,928.4,934.55,937.2,941.1,173390,162343633.45,23-JAN-2024,17777,INE330T01021,
HAPPYFORGE,EQ,932.8,953.45,917.75,945.95,950,934.55,279815,261872191.8,24-JAN-2024,12021,INE330T01021,
HAPPYFORGE,EQ,946,973.95,941.75,969.5,970.9,945.95,130720,125916393.3,25-JAN-2024,16718,INE330T01021,
HAPPYFORGE,EQ,972,977.8,950.25,959.85,956.5,969.5,126414,121188856.2,29-JAN-2024,12250,INE330T01021,
HAPPYFORGE,EQ,959.9,983,948,979.15,981.3,959.85,131408,127658443.85,30-JAN-2024,12239,INE330T01021,
HAPPYFORGE,EQ,979,1018,973.85,989.75,994.65,979.15,184423,183610111.8,31-JAN-2024,18470,INE330T01021,
HAPPYFORGE,EQ,1000,1003.95,973.1,980.15,986,989.75,80153,79298873.6,01-FEB-2024,10551,INE330T01021,
HAPPYFORGE,EQ,985.05,1002,975.1,981.05,981,980.15,298850,293521482.45,02-FEB-2024,6269,INE330T01021,
