SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HDFCBANK,EQ,1082.4,1090.25,1076.15,1088.75,1088.7,1082.15,798769,867817021.4,01-JAN-2016,11330,INE040A01026,
HDFCBANK,EQ,1084,1084,1068.1,1070.5,1068.5,1088.75,1296884,1391887351,04-JAN-2016,29955,INE040A01026,
HDFCBANK,EQ,1070.2,1074.8,1061.35,1062.4,1062,1070.5,790218,842460349.8,05-JAN-2016,14980,INE040A01026,
HDFCBANK,EQ,1056.65,1076.75,1056.65,1067.1,1067.55,1062.4,1041384,1113135705.65,06-JAN-2016,18189,INE040A01026,
HDFCBANK,EQ,1060.1,1064.9,1049.7,1056.2,1052.55,1067.1,1513857,1601665276.75,07-JAN-2016,27942,INE040A01026,
HDFCBANK,EQ,1061.95,1064.5,1057.25,1062.35,1062,1056.2,872089,925028875.4,08-JAN-2016,14069,INE040A01026,
HDFCBANK,EQ,1052.05,1061,1045.3,1058.6,1058.5,1062.35,822228,867277033.6,11-JAN-2016,15787,INE040A01026,
HDFCBANK,EQ,1063.9,1063.9,1043.5,1046.95,1046,1058.6,1064684,1116490610.05,12-JAN-2016,15184,INE040A01026,
HDFCBANK,EQ,1052,1062.75,1037,1060.15,1056.3,1046.95,1128787,1183847594.75,13-JAN-2016,16816,INE040A01026,
HDFCBANK,EQ,1050.15,1057.4,1039.5,1049.75,1052,1060.15,1569796,1647360498.45,14-JAN-2016,24592,INE040A01026,
HDFCBANK,EQ,1048,1055.45,1038.1,1042.15,1041.3,1049.75,1354315,1418763124.5,15-JAN-2016,21631,INE040A01026,
HDFCBANK,EQ,1035.65,1041.45,1021,1025.85,1023.65,1042.15,1623847,1677289485.25,18-JAN-2016,31177,INE040A01026,
HDFCBANK,EQ,1027.2,1037.55,1026.3,1035.8,1037.25,1025.85,1601303,1654362300.15,19-JAN-2016,55834,INE040A01026,
HDFCBANK,EQ,1025,1108,1007.9,1018.3,1018.5,1035.8,2390897,2428431357.55,20-JAN-2016,54669,INE040A01026,
HDFCBANK,EQ,1021,1033.25,1013.4,1023,1023,1018.3,1575201,1608868739.65,21-JAN-2016,19431,INE040A01026,
HDFCBANK,EQ,1025.7,1044.25,1022.05,1030.3,1035.8,1023,1059071,1094107307.45,22-JAN-2016,20446,INE040A01026,
HDFCBANK,EQ,1039.95,1046.7,1033.05,1041.15,1040,1030.3,2535971,2635374939,25-JAN-2016,55941,INE040A01026,
HDFCBANK,EQ,1048.45,1048.7,1033,1035.65,1034.9,1041.15,1009867,1049741076.05,27-JAN-2016,19069,INE040A01026,
HDFCBANK,EQ,1039,1046.9,1030,1031.7,1034.15,1035.65,2487993,2577496454.25,28-JAN-2016,26572,INE040A01026,
HDFCBANK,EQ,1035.2,1054.95,1035.2,1049.85,1050.65,1031.7,1340046,1400711188.85,29-JAN-2016,15398,INE040A01026,
HDFCBANK,EQ,1058,1067,1053.7,1059.75,1062.9,1049.85,1152371,1222521833.4,01-FEB-2016,27007,INE040A01026,
HDFCBANK,EQ,1065,1065.25,1050.2,1053.8,1050.2,1059.75,1632157,1730930715.1,02-FEB-2016,20075,INE040A01026,
HDFCBANK,EQ,1044.5,1051.4,1042,1043.85,1046.2,1053.8,1212561,1268166933.25,03-FEB-2016,21168,INE040A01026,
HDFCBANK,EQ,1048,1054.9,1045.55,1049.2,1050.5,1043.85,1418998,1491087403.1,04-FEB-2016,18655,INE040A01026,
HDFCBANK,EQ,1052.8,1063.8,1045.6,1055.25,1056,1049.2,1880976,1986331654.85,05-FEB-2016,46152,INE040A01026,
HDFCBANK,EQ,1055,1058,1030.3,1035.85,1031.7,1055.25,870481,912619523.4,08-FEB-2016,17454,INE040A01026,
