SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HDFCNIF100,EQ,178,180.01,177.03,178.06,178.9,177.27,4864,870371.61,11-AUG-2022,93,INF179KC1DB7,
HDFCNIF100,EQ,178,178.79,175.03,175.24,177.89,178.06,2795,492905.91,12-AUG-2022,93,INF179KC1DB7,
HDFCNIF100,EQ,177,182,175.03,181,181.1,175.24,9229,1659019.93,16-AUG-2022,110,INF179KC1DB7,
HDFCNIF100,EQ,181.9,182.85,179.01,182.09,182.75,181,3504,637466.81,17-AUG-2022,48,INF179KC1DB7,
HDFCNIF100,EQ,183.2,183.2,180,182.9,183.2,182.09,3022,548320.23,18-AUG-2022,80,INF179KC1DB7,
HDFCNIF100,EQ,182,183,179.8,181.52,182.45,182.9,6052,1100424.49,19-AUG-2022,98,INF179KC1DB7,
HDFCNIF100,EQ,180.8,181,178.8,179,179,181.52,666,119211.15,22-AUG-2022,27,INF179KC1DB7,
HDFCNIF100,EQ,179.99,179.99,177.05,179,179.05,179,1364,243329.36,23-AUG-2022,38,INF179KC1DB7,
HDFCNIF100,EQ,178.8,179.7,178,178.11,178.12,179,934,166556.7,24-AUG-2022,33,INF179KC1DB7,
HDFCNIF100,EQ,178,181.65,177.2,180,179.75,178.11,2581,466260.39,25-AUG-2022,40,INF179KC1DB7,
HDFCNIF100,EQ,180.7,182.05,177.95,180.04,180.2,180,6569,1175794.93,26-AUG-2022,109,INF179KC1DB7,
HDFCNIF100,EQ,179.98,179.98,176.86,177.2,177.1,180.04,2882,513204.05,29-AUG-2022,49,INF179KC1DB7,
HDFCNIF100,EQ,179.98,181.8,178.2,181.54,181.8,177.2,6549,1184684.06,30-AUG-2022,129,INF179KC1DB7,
HDFCNIF100,EQ,181.5,181.5,179.3,179.3,179.3,181.54,510,91704.92,01-SEP-2022,28,INF179KC1DB7,
HDFCNIF100,EQ,179.7,180.49,178.92,179.53,178.92,179.3,885,159123.37,02-SEP-2022,57,INF179KC1DB7,
HDFCNIF100,EQ,184.91,184.91,178,181.73,181.69,179.53,1428,258913.17,05-SEP-2022,48,INF179KC1DB7,
HDFCNIF100,EQ,181.3,181.7,180.81,181.63,181.7,181.73,1193,216335.61,06-SEP-2022,21,INF179KC1DB7,
HDFCNIF100,EQ,181.3,181.59,179.81,181.44,181.59,181.63,776,139796.74,07-SEP-2022,57,INF179KC1DB7,
HDFCNIF100,EQ,182.2,182.7,181.08,181.7,181.71,181.44,2388,433979.01,08-SEP-2022,34,INF179KC1DB7,
HDFCNIF100,EQ,181.99,183.34,181.92,181.99,181.92,181.7,2036,371185.13,09-SEP-2022,48,INF179KC1DB7,
HDFCNIF100,EQ,182.19,185,181.81,183.37,183.2,181.99,8179,1500606.49,12-SEP-2022,78,INF179KC1DB7,
HDFCNIF100,EQ,183.69,185,182.99,184.48,184.48,183.37,3167,583985.28,13-SEP-2022,54,INF179KC1DB7,
HDFCNIF100,EQ,183.69,185,183.18,183.87,183.82,184.48,1943,358659.79,14-SEP-2022,93,INF179KC1DB7,
HDFCNIF100,EQ,184.19,184.99,182.98,183.14,183,183.87,1787,328774.63,15-SEP-2022,60,INF179KC1DB7,
HDFCNIF100,EQ,182.81,184,180.01,180.68,180.84,183.14,1713,311547.83,16-SEP-2022,74,INF179KC1DB7,
HDFCNIF100,EQ,180.2,182.11,179.5,180.57,180.45,180.68,650,117436.47,19-SEP-2022,48,INF179KC1DB7,
HDFCNIF100,EQ,181,184,181,183.34,182.88,180.57,1215,222337.6,20-SEP-2022,50,INF179KC1DB7,
HDFCNIF100,EQ,183.3,183.69,181.31,182.2,182.34,183.34,281,51207.38,21-SEP-2022,25,INF179KC1DB7,
HDFCNIF100,EQ,182.7,183,178.8,181.83,181.82,182.2,1470,265543.96,22-SEP-2022,79,INF179KC1DB7,
HDFCNIF100,EQ,182.19,182.19,178.3,178.61,178.54,181.83,846,151918.39,23-SEP-2022,60,INF179KC1DB7,
HDFCNIF100,EQ,179,180,174.7,174.93,175.21,178.61,3144,551964.61,26-SEP-2022,72,INF179KC1DB7,
HDFCNIF100,EQ,175.2,178,174,175.23,175.4,174.93,7295,1282572.61,27-SEP-2022,73,INF179KC1DB7,
HDFCNIF100,EQ,175.01,200,172.25,174.8,200,175.23,1161,202565.06,28-SEP-2022,92,INF179KC1DB7,
HDFCNIF100,EQ,175.19,175.2,171.3,172.64,171.5,174.8,2509,437016.34,29-SEP-2022,80,INF179KC1DB7,
HDFCNIF100,EQ,173.19,176.19,172,175.91,176.19,172.64,329,57524.45,30-SEP-2022,39,INF179KC1DB7,
HDFCNIF100,EQ,176,176,172.5,173.47,176,175.91,745,129852.3,03-OCT-2022,44,INF179KC1DB7,
HDFCNIF100,EQ,174,177.16,174,176.03,176.12,173.47,378,66544.13,04-OCT-2022,32,INF179KC1DB7,
HDFCNIF100,EQ,177.5,178.2,175.3,176.18,175.3,176.03,336,59615.87,06-OCT-2022,38,INF179KC1DB7,
HDFCNIF100,EQ,176.2,178,175,176.95,176.5,176.18,710,126053.83,07-OCT-2022,36,INF179KC1DB7,
HDFCNIF100,EQ,175.8,176.8,175,175.59,176.8,176.95,1348,236522.23,10-OCT-2022,28,INF179KC1DB7,
HDFCNIF100,EQ,175.99,175.99,171.36,172.13,171.36,175.59,402,69827.62,11-OCT-2022,47,INF179KC1DB7,
HDFCNIF100,EQ,173,175.93,173,175.06,173.81,172.13,165,28765.03,12-OCT-2022,48,INF179KC1DB7,
HDFCNIF100,EQ,175.2,175.52,174,174.57,174.61,175.06,206,35924.95,13-OCT-2022,19,INF179KC1DB7,
HDFCNIF100,EQ,175,177.44,175,175.65,175.45,174.57,46,8112.53,14-OCT-2022,27,INF179KC1DB7,
HDFCNIF100,EQ,175,177.32,173.3,177.01,177.32,175.65,10562,1845863.87,17-OCT-2022,85,INF179KC1DB7,
HDFCNIF100,EQ,175,178.49,175,177.6,177.6,177.01,967,171885.95,18-OCT-2022,41,INF179KC1DB7,
HDFCNIF100,EQ,178,180.2,178,179.06,179.24,177.6,398,71502.44,19-OCT-2022,47,INF179KC1DB7,
HDFCNIF100,EQ,179,181,177.57,178.84,178.84,179.06,494,88574.41,20-OCT-2022,28,INF179KC1DB7,
HDFCNIF100,EQ,177.57,180,177.57,178.26,178.3,178.84,153,27342.33,21-OCT-2022,27,INF179KC1DB7,
HDFCNIF100,EQ,180,182.5,177.3,181.24,178.3,188.16,965,172931.63,25-OCT-2022,90,INF179KC1DB7,
HDFCNIF100,EQ,180.3,184,178.3,181.31,180.35,181.24,570,102317.27,27-OCT-2022,89,INF179KC1DB7,
HDFCNIF100,EQ,180.8,181.95,178.8,180.55,180.38,181.31,771,139123.02,28-OCT-2022,74,INF179KC1DB7,
HDFCNIF100,EQ,181,182.95,180,180.59,180,180.55,6327,1152645.67,31-OCT-2022,50,INF179KC1DB7,
HDFCNIF100,EQ,181.5,184.45,181.5,184.41,184.03,180.59,4280,787949.68,01-NOV-2022,54,INF179KC1DB7,
HDFCNIF100,EQ,184.5,184.65,183.22,183.44,183.33,184.41,866,159099.68,02-NOV-2022,35,INF179KC1DB7,
HDFCNIF100,EQ,182.8,185,182.3,184.45,184.45,183.44,654,119978.52,03-NOV-2022,32,INF179KC1DB7,
HDFCNIF100,EQ,183.8,184.09,181.8,184.03,183.97,184.45,2747,504955.29,04-NOV-2022,29,INF179KC1DB7,
HDFCNIF100,EQ,184.2,185,183.8,184.88,184.9,184.03,2208,408154.04,07-NOV-2022,31,INF179KC1DB7,
HDFCNIF100,EQ,184.8,187.5,184.8,185.52,185.48,184.88,766,142156.3,09-NOV-2022,56,INF179KC1DB7,
HDFCNIF100,EQ,185.3,185.3,182.5,183,183.01,185.52,780,142972.63,10-NOV-2022,78,INF179KC1DB7,
HDFCNIF100,EQ,179.03,186.5,179.03,186.38,186.03,183,1386,257590.02,11-NOV-2022,44,INF179KC1DB7,
HDFCNIF100,EQ,186.24,186.99,185.87,186.01,185.87,186.38,423,78798.29,14-NOV-2022,17,INF179KC1DB7,
HDFCNIF100,EQ,186.01,187,185.56,186.44,187,186.01,2427,451665.29,15-NOV-2022,32,INF179KC1DB7,
HDFCNIF100,EQ,186.7,187,186.34,186.34,186.34,186.44,444,82977.84,16-NOV-2022,16,INF179KC1DB7,
HDFCNIF100,EQ,186.7,187,185.8,186.1,186.1,186.34,278,51799.43,17-NOV-2022,18,INF179KC1DB7,
HDFCNIF100,EQ,185.8,186,184.32,184.93,186,186.1,619,114246.51,18-NOV-2022,28,INF179KC1DB7,
HDFCNIF100,EQ,185.2,185.29,184,184,184,184.93,106,19557.09,21-NOV-2022,16,INF179KC1DB7,
HDFCNIF100,EQ,184.96,185.53,182.8,185.53,185.53,184,620,113776.21,22-NOV-2022,30,INF179KC1DB7,
HDFCNIF100,EQ,185.2,186.5,184.54,186.25,186.08,185.53,620,115228.63,23-NOV-2022,22,INF179KC1DB7,
