SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HDFCSENSEX,EQ,694.98,695.35,680.58,690.69,688.78,689.84,11380,7873186.58,16-JUN-2023,145,INF179KC1973,
HDFCSENSEX,EQ,695.97,696.98,689.27,693.08,694.5,690.69,2552,1770030.01,19-JUN-2023,188,INF179KC1973,
HDFCSENSEX,EQ,696.98,696.98,687.04,693.41,695.65,693.08,1563,1079083.64,20-JUN-2023,155,INF179KC1973,
HDFCSENSEX,EQ,695.65,697.23,685,692.39,695.96,693.41,2586,1797418.07,21-JUN-2023,143,INF179KC1973,
HDFCSENSEX,EQ,692,696.17,691.14,693.74,694.02,692.39,13002,9000710.82,22-JUN-2023,157,INF179KC1973,
HDFCSENSEX,EQ,692.25,693,687,690.22,693,693.74,2667,1841935.37,23-JUN-2023,129,INF179KC1973,
HDFCSENSEX,EQ,693.73,693.73,678.83,688.37,678.83,690.22,1610,1111295.6,26-JUN-2023,156,INF179KC1973,
HDFCSENSEX,EQ,690.25,695,689.58,693.01,695,688.37,1999,1382976.37,27-JUN-2023,122,INF179KC1973,
HDFCSENSEX,EQ,694.91,702.41,694.91,700.42,701.1,693.01,3628,2539827.1,28-JUN-2023,161,INF179KC1973,
HDFCSENSEX,EQ,704.97,710,690.12,709.04,706.4,700.42,2289,1612219.77,30-JUN-2023,254,INF179KC1973,
HDFCSENSEX,EQ,709.99,729.8,709.04,718.35,714.01,709.04,3736,2667993.24,03-JUL-2023,305,INF179KC1973,
HDFCSENSEX,EQ,724.97,724.97,712.94,716.95,718.78,718.35,2235,1602077.56,04-JUL-2023,163,INF179KC1973,
HDFCSENSEX,EQ,726.35,731.3,706.16,718.62,720,716.95,1164,836072.29,05-JUL-2023,133,INF179KC1973,
HDFCSENSEX,EQ,718.35,720.5,706.01,715.51,718.5,718.62,20365,14583870.51,06-JUL-2023,320,INF179KC1973,
HDFCSENSEX,EQ,719.99,723.11,714.1,717.54,718,715.51,15009,10783622.36,07-JUL-2023,308,INF179KC1973,
HDFCSENSEX,EQ,719.99,719.99,715.11,715.85,715.11,717.54,2071,1486201.77,10-JUL-2023,269,INF179KC1973,
HDFCSENSEX,EQ,719.98,722.31,715.97,719.56,720.25,715.85,1450,1043138.96,11-JUL-2023,226,INF179KC1973,
HDFCSENSEX,EQ,719.57,723.99,715,718.51,721.5,719.56,1585,1140508.81,12-JUL-2023,163,INF179KC1973,
HDFCSENSEX,EQ,720,724.81,718.52,719.14,721.5,718.51,2493,1801346.31,13-JUL-2023,224,INF179KC1973,
HDFCSENSEX,EQ,722.56,723.03,719,722.96,723.03,719.14,2031,1464918.52,14-JUL-2023,150,INF179KC1973,
HDFCSENSEX,EQ,722.97,730,722,729.07,730,722.96,7171,5211582.65,17-JUL-2023,238,INF179KC1973,
HDFCSENSEX,EQ,735.97,735.98,729,733.69,730,729.07,4388,3212251.14,18-JUL-2023,169,INF179KC1973,
HDFCSENSEX,EQ,740,740,730.23,734.3,734.95,733.69,2467,1809376.25,19-JUL-2023,172,INF179KC1973,
HDFCSENSEX,EQ,734,744,732,739.34,739.98,734.3,1598,1181074.31,20-JUL-2023,308,INF179KC1973,
HDFCSENSEX,EQ,739.4,739.97,729.3,734.91,735,739.34,3751,2750874.49,21-JUL-2023,254,INF179KC1973,
HDFCSENSEX,EQ,738.97,738.97,725,727.93,730,734.91,2571,1879949.73,24-JUL-2023,355,INF179KC1973,
HDFCSENSEX,EQ,733.99,734,725.11,726.16,729.7,727.93,8640,6286054.71,25-JUL-2023,237,INF179KC1973,
HDFCSENSEX,EQ,730.97,734.5,727.56,732.19,731.5,726.16,1634,1197001.69,26-JUL-2023,131,INF179KC1973,
HDFCSENSEX,EQ,732.56,735,725.71,726.56,728,732.19,3366,2452194.24,27-JUL-2023,189,INF179KC1973,
HDFCSENSEX,EQ,728.51,728.51,723,724.94,726,726.56,3153,2287444.65,28-JUL-2023,114,INF179KC1973,
HDFCSENSEX,EQ,729.97,732,720,728.94,728.99,724.94,7090,5151820.28,31-JUL-2023,241,INF179KC1973,
HDFCSENSEX,EQ,718.03,734.97,718.03,727.56,729.99,728.94,3142,2294724.68,01-AUG-2023,245,INF179KC1973,
HDFCSENSEX,EQ,732.97,732.97,717.55,722.16,720.5,727.56,6736,4865777.8,02-AUG-2023,290,INF179KC1973,
HDFCSENSEX,EQ,722.35,722.35,714.4,716.97,719,722.16,2660,1910558.79,03-AUG-2023,253,INF179KC1973,
HDFCSENSEX,EQ,718.25,724.5,715,722.79,724.5,716.97,5008,3607756.44,04-AUG-2023,179,INF179KC1973,
HDFCSENSEX,EQ,725.25,735,722.8,727.52,735,722.79,2300,1668683.84,07-AUG-2023,269,INF179KC1973,
HDFCSENSEX,EQ,727.52,727.52,723.03,724.15,724.22,727.52,1477,1069826.83,08-AUG-2023,145,INF179KC1973,
HDFCSENSEX,EQ,727,728.48,721.01,724.77,728.48,724.15,1770,1280811.57,09-AUG-2023,117,INF179KC1973,
HDFCSENSEX,EQ,724.68,725.55,720.1,722.08,724,724.77,4465,3228471.85,10-AUG-2023,162,INF179KC1973,
HDFCSENSEX,EQ,722.08,722.5,717.92,719.97,722.5,722.08,2299,1655861.48,11-AUG-2023,158,INF179KC1973,
HDFCSENSEX,EQ,719.01,720.47,712.3,718.74,717,719.97,2493,1785424.18,14-AUG-2023,252,INF179KC1973,
HDFCSENSEX,EQ,718.74,735,715.01,721.89,717.5,718.74,3281,2359983.39,16-AUG-2023,230,INF179KC1973,
HDFCSENSEX,EQ,721.99,721.99,716,717.29,717,721.89,3088,2216573.37,17-AUG-2023,164,INF179KC1973,
HDFCSENSEX,EQ,716.01,716.15,708.3,714.51,714,717.29,7631,5459092.62,18-AUG-2023,258,INF179KC1973,
HDFCSENSEX,EQ,719.97,738,712,721.72,719,714.51,2782,2007689.8,21-AUG-2023,302,INF179KC1973,
HDFCSENSEX,EQ,721.72,722,714.9,716.75,716.01,721.72,1133,814377.45,22-AUG-2023,139,INF179KC1973,
HDFCSENSEX,EQ,722.97,722.97,716.31,717.79,717.17,716.75,1128,810470.71,23-AUG-2023,83,INF179KC1973,
HDFCSENSEX,EQ,723,725.14,716.21,716.53,716.51,717.79,1742,1254855.69,24-AUG-2023,133,INF179KC1973,
