SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HDFCSILVER,EQ,52.7,55.1,51.6,52.89,52.9,52.52,89225,4681092.1,07-SEP-2022,164,INF179KC1DI2,
HDFCSILVER,EQ,52.89,54.17,52.79,53.96,53.81,52.89,84476,4535117.8,08-SEP-2022,255,INF179KC1DI2,
HDFCSILVER,EQ,53.82,54.99,53.82,54.52,54.65,53.96,93242,5074561.65,09-SEP-2022,221,INF179KC1DI2,
HDFCSILVER,EQ,54.53,55.9,54.2,55.35,55.33,54.52,41471,2284418.32,12-SEP-2022,185,INF179KC1DI2,
HDFCSILVER,EQ,56.59,56.9,55.76,56.49,56.9,55.35,86849,4888640.14,13-SEP-2022,214,INF179KC1DI2,
HDFCSILVER,EQ,56.18,56.19,55.63,56.04,56,56.49,51052,2856169.93,14-SEP-2022,150,INF179KC1DI2,
HDFCSILVER,EQ,56.29,56.9,55.66,56.17,56.24,56.04,24714,1387450.95,15-SEP-2022,125,INF179KC1DI2,
HDFCSILVER,EQ,56.17,56.25,54.62,55.15,54.63,56.17,55368,3056161.22,16-SEP-2022,226,INF179KC1DI2,
HDFCSILVER,EQ,56.81,58.49,55.2,55.93,55.9,55.15,20293,1136425.56,19-SEP-2022,141,INF179KC1DI2,
HDFCSILVER,EQ,56.12,56.29,55.91,56.02,55.91,55.93,23790,1333798.1,20-SEP-2022,106,INF179KC1DI2,
HDFCSILVER,EQ,55.01,56.33,55.01,56.16,56.3,56.02,42492,2374709.73,21-SEP-2022,106,INF179KC1DI2,
HDFCSILVER,EQ,56.69,57.47,56.17,56.76,56.72,56.16,41544,2352329.35,22-SEP-2022,144,INF179KC1DI2,
HDFCSILVER,EQ,57.91,57.91,56.21,56.54,56.8,56.76,38913,2205360.32,23-SEP-2022,131,INF179KC1DI2,
HDFCSILVER,EQ,55.98,55.98,54.8,55.29,55.2,56.54,63625,3503985.27,26-SEP-2022,181,INF179KC1DI2,
HDFCSILVER,EQ,55.69,55.69,54.61,55.1,55.1,55.29,33573,1849398.66,27-SEP-2022,117,INF179KC1DI2,
HDFCSILVER,EQ,54.88,54.88,53.8,53.94,53.8,55.1,48586,2625833.27,28-SEP-2022,207,INF179KC1DI2,
HDFCSILVER,EQ,54.82,55.51,54.82,55.34,55.45,53.94,15583,861487.63,29-SEP-2022,95,INF179KC1DI2,
HDFCSILVER,EQ,55.77,57.5,55.07,56.63,57.5,55.34,56926,3215738.93,30-SEP-2022,161,INF179KC1DI2,
HDFCSILVER,EQ,57.09,58.1,56.5,57.1,57.08,56.63,68339,3901506.67,03-OCT-2022,196,INF179KC1DI2,
HDFCSILVER,EQ,62.2,62.2,59.66,60.28,60.22,57.1,138776,8371119.81,04-OCT-2022,373,INF179KC1DI2,
HDFCSILVER,EQ,60.97,60.97,59.65,60.35,60.37,60.28,129973,7816037.17,06-OCT-2022,279,INF179KC1DI2,
HDFCSILVER,EQ,61.39,61.39,60.1,60.45,60.44,60.35,76097,4591049.35,07-OCT-2022,161,INF179KC1DI2,
HDFCSILVER,EQ,59.43,59.44,58.06,58.19,58.33,60.45,64454,3763939.14,10-OCT-2022,303,INF179KC1DI2,
HDFCSILVER,EQ,58.17,58.17,57,57.11,57,58.19,77984,4480795.14,11-OCT-2022,272,INF179KC1DI2,
HDFCSILVER,EQ,57.47,57.47,56,57.05,56.8,57.11,77354,4405125.52,12-OCT-2022,193,INF179KC1DI2,
HDFCSILVER,EQ,56.98,57.29,56.21,57.01,56.71,57.05,104531,5931560.15,13-OCT-2022,189,INF179KC1DI2,
HDFCSILVER,EQ,56.03,57,55.66,55.74,55.86,57.01,61130,3442596.81,14-OCT-2022,281,INF179KC1DI2,
HDFCSILVER,EQ,55.54,55.79,54.01,55.58,55.55,55.74,99945,5531440.07,17-OCT-2022,256,INF179KC1DI2,
HDFCSILVER,EQ,56.27,56.27,55.45,55.85,55.85,55.58,96317,5368053.22,18-OCT-2022,251,INF179KC1DI2,
HDFCSILVER,EQ,56.48,56.48,55.45,55.66,55.8,55.85,62950,3505152.57,19-OCT-2022,185,INF179KC1DI2,
HDFCSILVER,EQ,55.66,55.98,55.01,55.8,55.84,55.66,25640,1427824.37,20-OCT-2022,109,INF179KC1DI2,
HDFCSILVER,EQ,55.8,55.8,55.25,55.4,55.43,55.8,101878,5660279.59,21-OCT-2022,244,INF179KC1DI2,
HDFCSILVER,EQ,57.48,57.49,56.56,56.84,56.96,57.06,47817,2731022.9,25-OCT-2022,159,INF179KC1DI2,
HDFCSILVER,EQ,57.98,58.19,57.03,57.42,57.67,56.84,51848,2991686.16,27-OCT-2022,177,INF179KC1DI2,
HDFCSILVER,EQ,57.98,57.98,57,57.14,57.2,57.42,50568,2900289.34,28-OCT-2022,175,INF179KC1DI2,
HDFCSILVER,EQ,57.15,57.4,56.5,56.94,56.83,57.14,61437,3494291.25,31-OCT-2022,239,INF179KC1DI2,
