SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HINDCOPPER,EQ,59,60.95,58.65,59.35,59.15,58.75,169450,10088785.9,01-JAN-2016,1359,INE531E01026,
HINDCOPPER,EQ,59.35,61.2,58.15,58.6,58.45,59.35,200976,11977020.45,04-JAN-2016,1731,INE531E01026,
HINDCOPPER,EQ,58.5,60.5,58.35,59.5,59.35,58.6,219305,13067439.45,05-JAN-2016,2061,INE531E01026,
HINDCOPPER,EQ,59.15,61.3,59,59.3,59.2,59.5,275142,16624666.85,06-JAN-2016,2500,INE531E01026,
HINDCOPPER,EQ,58.5,58.85,56.05,56.6,56.3,59.3,96482,5544815.8,07-JAN-2016,1050,INE531E01026,
HINDCOPPER,EQ,56.5,58,56.4,56.7,56.45,56.6,92342,5263774.95,08-JAN-2016,1019,INE531E01026,
HINDCOPPER,EQ,56,57.7,55.6,56.6,56.9,56.7,140613,7941831.05,11-JAN-2016,1532,INE531E01026,
HINDCOPPER,EQ,57.1,57.7,55.4,55.65,55.5,56.6,80013,4516166,12-JAN-2016,955,INE531E01026,
HINDCOPPER,EQ,56,57,50,54.15,53.55,55.65,171972,9326920.2,13-JAN-2016,1856,INE531E01026,
HINDCOPPER,EQ,54,54,50.6,52.95,53.5,54.15,76476,4037754.1,14-JAN-2016,988,INE531E01026,
HINDCOPPER,EQ,53.55,54.15,51,51.5,51.2,52.95,69580,3637929.4,15-JAN-2016,925,INE531E01026,
HINDCOPPER,EQ,51.5,52.95,47.75,49.1,48.7,51.5,125654,6323164.65,18-JAN-2016,1365,INE531E01026,
HINDCOPPER,EQ,49.9,51,49.1,50.15,50.15,49.1,108074,5402056.15,19-JAN-2016,1082,INE531E01026,
HINDCOPPER,EQ,49.8,50.15,48.45,49.1,49.15,50.15,89445,4393556.4,20-JAN-2016,1039,INE531E01026,
HINDCOPPER,EQ,49.5,50.25,48.2,49.3,49.4,49.1,101572,5008451.95,21-JAN-2016,1079,INE531E01026,
HINDCOPPER,EQ,49.65,50.4,49,49.35,49.2,49.3,119357,5934576.35,22-JAN-2016,1526,INE531E01026,
HINDCOPPER,EQ,49.85,50.75,49.4,49.6,49.6,49.35,76027,3804654.65,25-JAN-2016,783,INE531E01026,
HINDCOPPER,EQ,49.6,50.35,49.25,49.35,49.4,49.6,76724,3808158.75,27-JAN-2016,631,INE531E01026,
