SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
HINDWAREAP,EQ,277.85,295,270.05,283.3,295,269.65,48060,13443293.6,21-JUN-2022,846,INE05AN01011,
HINDWAREAP,EQ,289.8,294.4,276,280,280.7,283.3,13851,3878498.9,22-JUN-2022,824,INE05AN01011,
HINDWAREAP,EQ,284.2,292.4,279.65,288.7,291.5,280,24435,6990266.4,23-JUN-2022,1687,INE05AN01011,
HINDWAREAP,EQ,289.8,297,287.5,290.2,291,288.7,40393,11749057.8,24-JUN-2022,1792,INE05AN01011,
HINDWAREAP,EQ,292.1,298.8,273.95,283.15,282,290.2,72419,21075598.8,27-JUN-2022,2094,INE05AN01011,
HINDWAREAP,EQ,278,284,275.35,281.7,283.95,283.15,41355,11612483.7,28-JUN-2022,1968,INE05AN01011,
HINDWAREAP,EQ,283.9,283.9,278.25,279.4,278.55,281.7,29782,8347742.85,29-JUN-2022,1273,INE05AN01011,
HINDWAREAP,EQ,286.9,303.8,280.9,298.8,294.4,279.4,112159,33033335.85,30-JUN-2022,3601,INE05AN01011,
HINDWAREAP,EQ,299.9,310,295,308.65,307.75,298.8,38352,11633817.1,01-JUL-2022,1669,INE05AN01011,
HINDWAREAP,EQ,307.95,313.25,302.7,311.1,310,308.65,50147,15446438.6,04-JUL-2022,2068,INE05AN01011,
HINDWAREAP,EQ,312.65,313.65,301.05,311.1,311.9,311.1,35621,10902939.15,05-JUL-2022,1859,INE05AN01011,
HINDWAREAP,EQ,311.95,311.95,302.2,308.45,302.2,311.1,21930,6751356.3,06-JUL-2022,1496,INE05AN01011,
HINDWAREAP,EQ,312.9,318,309.1,315.15,315.5,308.45,23925,7501824.25,07-JUL-2022,1684,INE05AN01011,
HINDWAREAP,EQ,319.9,328.7,312.95,318.9,317,315.15,77992,25048931.6,08-JUL-2022,4334,INE05AN01011,
HINDWAREAP,EQ,315.7,320.3,307.25,309.55,309,318.9,40621,12655574.6,11-JUL-2022,2663,INE05AN01011,
HINDWAREAP,EQ,309.55,314.35,299.2,299.85,299.35,309.55,46366,13993174.5,12-JUL-2022,1951,INE05AN01011,
HINDWAREAP,EQ,304,306.5,299.6,304.05,305.75,299.85,27238,8246413.15,13-JUL-2022,1555,INE05AN01011,
HINDWAREAP,EQ,308,308,302.25,303.6,303.05,304.05,16336,4962053.7,14-JUL-2022,1104,INE05AN01011,
HINDWAREAP,EQ,306.65,309.5,304.7,307.85,306,303.6,19259,5908442.95,15-JUL-2022,1210,INE05AN01011,
HINDWAREAP,EQ,309.1,327.9,309.1,324.95,322,307.85,86767,27769725.15,18-JUL-2022,3572,INE05AN01011,
HINDWAREAP,EQ,325.9,329,319,321.25,323,324.95,56690,18283439.55,19-JUL-2022,3194,INE05AN01011,
HINDWAREAP,EQ,328,336.05,321,333.45,332,321.25,77367,25561806.5,20-JUL-2022,2882,INE05AN01011,
HINDWAREAP,EQ,332,342.25,328,330.5,329,333.45,49464,16590110.35,21-JUL-2022,3358,INE05AN01011,
HINDWAREAP,EQ,332,337.35,326.7,329.7,327.8,330.5,37006,12258155.05,22-JUL-2022,3237,INE05AN01011,
HINDWAREAP,EQ,332,334.55,321.1,323.65,324,329.7,42336,13867310.85,25-JUL-2022,3297,INE05AN01011,
HINDWAREAP,EQ,325,325,315.15,319.25,321,323.65,37634,12021211,26-JUL-2022,3381,INE05AN01011,
HINDWAREAP,EQ,317.95,324.9,316.7,323.3,324.9,319.25,25622,8232420.65,27-JUL-2022,2693,INE05AN01011,
HINDWAREAP,EQ,324.7,329.75,320.15,328.45,328.9,323.3,26420,8555498,28-JUL-2022,1938,INE05AN01011,
HINDWAREAP,EQ,335,348.7,328.2,346.3,345,328.45,111550,38176108,29-JUL-2022,4434,INE05AN01011,
HINDWAREAP,EQ,347,358.7,345.1,350.1,351,346.3,58820,20734879.2,01-AUG-2022,3627,INE05AN01011,
HINDWAREAP,EQ,352,352.8,339.1,341.8,342.5,350.1,55484,19112880.95,02-AUG-2022,2800,INE05AN01011,
HINDWAREAP,EQ,354,354,328.4,338.95,339.9,341.8,54165,18270829.3,03-AUG-2022,3187,INE05AN01011,
HINDWAREAP,EQ,344,344,331.45,333.3,333,338.95,21905,7352650.15,04-AUG-2022,1730,INE05AN01011,
HINDWAREAP,EQ,336.95,336.95,322.05,331.85,333,333.3,75528,24891127.1,05-AUG-2022,4461,INE05AN01011,
HINDWAREAP,EQ,339.95,339.95,328.65,332.75,332.05,331.85,36590,12230231.8,08-AUG-2022,2509,INE05AN01011,
HINDWAREAP,EQ,332.75,341.4,329.1,337.75,339.9,332.75,36013,12097253.05,10-AUG-2022,2376,INE05AN01011,
HINDWAREAP,EQ,344,344,331,336.15,335.1,337.75,29097,9749399.35,11-AUG-2022,1541,INE05AN01011,
HINDWAREAP,EQ,339.5,344.25,305.4,310.85,310.85,336.15,187162,60259457.95,12-AUG-2022,8002,INE05AN01011,
HINDWAREAP,EQ,309.5,322.65,306.05,318,321,310.85,140185,44061751.25,16-AUG-2022,5963,INE05AN01011,
HINDWAREAP,EQ,323.95,325,312,315.25,320,318,101123,32228214.05,17-AUG-2022,4709,INE05AN01011,
HINDWAREAP,EQ,323,323,310.15,312.8,312.95,315.25,45658,14375587.75,18-AUG-2022,2112,INE05AN01011,
HINDWAREAP,EQ,315,322.6,311.05,315.55,315.75,312.8,48662,15323207.35,19-AUG-2022,3651,INE05AN01011,
HINDWAREAP,EQ,315.55,315.55,305,306.85,305.15,315.55,49497,15238619.65,22-AUG-2022,2731,INE05AN01011,
HINDWAREAP,EQ,301.15,313.55,301.15,312.25,313,306.85,31380,9711578.65,23-AUG-2022,2324,INE05AN01011,
HINDWAREAP,EQ,313,321.85,312,318.6,320,312.25,39003,12378778.7,24-AUG-2022,2243,INE05AN01011,
HINDWAREAP,EQ,323.4,335.4,318.7,321.05,320,318.6,95669,31361651.95,25-AUG-2022,4367,INE05AN01011,
HINDWAREAP,EQ,324.9,328.65,317.05,322.8,323.8,321.05,75258,24330938.2,26-AUG-2022,3190,INE05AN01011,
HINDWAREAP,EQ,313.1,322,313.05,315.45,315,322.8,65035,20646486.55,29-AUG-2022,2932,INE05AN01011,
HINDWAREAP,EQ,316,334.9,315,325.4,324,315.45,194832,63897852.8,30-AUG-2022,5114,INE05AN01011,
HINDWAREAP,EQ,320,367.8,319.1,361.25,357.3,325.4,506640,178928748.3,01-SEP-2022,14810,INE05AN01011,
HINDWAREAP,EQ,360,377.75,355.05,372.4,373.5,361.25,255067,94349065.5,02-SEP-2022,8033,INE05AN01011,
HINDWAREAP,EQ,372.4,382.2,356,363.9,363,372.4,129122,47658629.4,05-SEP-2022,5272,INE05AN01011,
HINDWAREAP,EQ,363.9,374.95,359.15,373.3,372,363.9,83055,30561855.55,06-SEP-2022,3969,INE05AN01011,
HINDWAREAP,EQ,375,385.7,368.6,384.65,382.7,373.3,126049,47854153.2,07-SEP-2022,5534,INE05AN01011,
HINDWAREAP,EQ,390,391.6,375.5,388.15,381.3,384.65,103576,39740911.4,08-SEP-2022,3854,INE05AN01011,
HINDWAREAP,EQ,392.5,392.5,380,384.9,385,388.15,44583,17135447.1,09-SEP-2022,3031,INE05AN01011,
HINDWAREAP,EQ,391,396,385.2,388.65,386.8,384.9,160647,62785251.8,12-SEP-2022,5016,INE05AN01011,
HINDWAREAP,EQ,396,403,391.35,396.45,396,388.65,154332,61544110.8,13-SEP-2022,7479,INE05AN01011,
HINDWAREAP,EQ,388.5,407.95,388.5,397.7,398,396.45,130323,52101656.85,14-SEP-2022,5868,INE05AN01011,
HINDWAREAP,EQ,398,404,395.1,399.1,398.05,397.7,78535,31283223.9,15-SEP-2022,3926,INE05AN01011,
HINDWAREAP,EQ,398.05,398.7,378.5,390.6,391.9,399.1,117757,45647726.3,16-SEP-2022,6952,INE05AN01011,
HINDWAREAP,EQ,383.5,395,379.5,384.35,382.5,390.6,70668,27320479.95,19-SEP-2022,5269,INE05AN01011,
HINDWAREAP,EQ,385.1,404,385.1,398.95,397.95,384.35,168193,66814059.3,20-SEP-2022,7563,INE05AN01011,
HINDWAREAP,EQ,402,407.5,390.3,391.8,392,398.95,86206,34428297.55,21-SEP-2022,4272,INE05AN01011,
HINDWAREAP,EQ,390.4,408,384.1,405.6,403.55,391.8,94880,37859377.9,22-SEP-2022,4459,INE05AN01011,
HINDWAREAP,EQ,409.8,412,387.2,390.45,391,405.6,52995,21061293.85,23-SEP-2022,3562,INE05AN01011,
HINDWAREAP,EQ,394.9,394.9,366.25,369.2,368.95,390.45,101658,38142104.3,26-SEP-2022,6009,INE05AN01011,
HINDWAREAP,EQ,371.6,376.25,360,361.3,362.15,369.2,61592,22564715.3,27-SEP-2022,4169,INE05AN01011,
HINDWAREAP,EQ,350,370.75,350,359.05,356.9,361.3,50792,18418272.15,28-SEP-2022,3932,INE05AN01011,
HINDWAREAP,EQ,361.4,366,350.95,358.3,361.9,359.05,50611,18161571.4,29-SEP-2022,3821,INE05AN01011,
HINDWAREAP,EQ,363.65,388.9,352.15,385.55,381.6,358.3,105729,39587611.45,30-SEP-2022,5609,INE05AN01011,
HINDWAREAP,EQ,382,386.8,370.2,374.3,370.4,385.55,62383,23626202.7,03-OCT-2022,4698,INE05AN01011,
HINDWAREAP,EQ,376.75,383.7,370.1,372.15,373,374.3,48379,18155270,04-OCT-2022,3507,INE05AN01011,
HINDWAREAP,EQ,368.5,380.95,368.5,375.05,375.5,372.15,40718,15306643.25,06-OCT-2022,2564,INE05AN01011,
HINDWAREAP,EQ,377,377,352.5,369.4,372.25,375.05,40491,14966145.4,07-OCT-2022,3150,INE05AN01011,
HINDWAREAP,EQ,365,367.95,355.95,358.85,358.5,369.4,57947,20927852.85,10-OCT-2022,2835,INE05AN01011,
HINDWAREAP,EQ,358.85,364.65,350,351.6,352.15,358.85,51648,18353096.55,11-OCT-2022,2946,INE05AN01011,
HINDWAREAP,EQ,349,361.4,344.95,350.05,349,351.6,31823,11134466.55,12-OCT-2022,2562,INE05AN01011,
HINDWAREAP,EQ,357.95,357.95,345.05,346.75,346.8,350.05,26759,9332374.7,13-OCT-2022,2058,INE05AN01011,
HINDWAREAP,EQ,350,364.3,350,355.05,355,346.75,51981,18549804.4,14-OCT-2022,2745,INE05AN01011,
HINDWAREAP,EQ,350.8,377.4,347.9,373.05,373,355.05,82950,30431246.45,17-OCT-2022,4608,INE05AN01011,
HINDWAREAP,EQ,373.05,377.25,364.5,375.2,375.05,373.05,67169,25040263.75,18-OCT-2022,5669,INE05AN01011,
HINDWAREAP,EQ,377,377.15,364,367.3,364.95,375.2,45168,16715025.6,19-OCT-2022,3960,INE05AN01011,
HINDWAREAP,EQ,368.9,368.9,354.7,358.15,358.55,367.3,33041,11894560.8,20-OCT-2022,2362,INE05AN01011,
HINDWAREAP,EQ,358.15,362.35,348.5,349.85,349.9,358.15,36576,12952419.6,21-OCT-2022,1974,INE05AN01011,
HINDWAREAP,EQ,358,379,355.85,375.5,377.1,361.7,115595,42869376.25,25-OCT-2022,4623,INE05AN01011,
HINDWAREAP,EQ,375.3,379.7,365.85,368.55,368.6,375.5,55246,20421844.65,27-OCT-2022,3763,INE05AN01011,
HINDWAREAP,EQ,374,375.55,368.3,370.5,371.35,368.55,77326,28685102.3,28-OCT-2022,3817,INE05AN01011,
HINDWAREAP,EQ,366.35,375.8,366.35,368.85,373.05,370.5,45667,17000997.75,31-OCT-2022,3233,INE05AN01011,
HINDWAREAP,EQ,371.25,374.35,358,360.05,361.5,368.85,39006,14235165.75,01-NOV-2022,2928,INE05AN01011,
HINDWAREAP,EQ,362.4,363,348.7,351.5,353,360.05,53315,18984454.15,02-NOV-2022,3884,INE05AN01011,
