SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
INDHOTEL,EQ,117.35,122,115.75,120.45,121,116.75,3602977,428142450.9,01-JAN-2016,7533,INE053A01029,
INDHOTEL,EQ,119.9,122.5,117.5,119.75,119.6,120.45,786763,95003471.8,04-JAN-2016,4357,INE053A01029,
INDHOTEL,EQ,120.1,121.9,117.2,119.05,118.25,119.75,1012751,121553763.4,05-JAN-2016,5231,INE053A01029,
INDHOTEL,EQ,119.6,119.9,117.4,118.15,118.7,119.05,412322,48854535.2,06-JAN-2016,4019,INE053A01029,
INDHOTEL,EQ,117.8,121,115.6,118.05,117.75,118.15,1148207,136089672.55,07-JAN-2016,14487,INE053A01029,
INDHOTEL,EQ,117.8,120.5,117.8,119,118.9,118.05,882484,105392739.1,08-JAN-2016,6794,INE053A01029,
INDHOTEL,EQ,117.5,123.75,117,122.85,123.5,119,915778,110664555.4,11-JAN-2016,6014,INE053A01029,
INDHOTEL,EQ,124.35,124.65,117.2,121,122.15,122.85,711815,86073957.4,12-JAN-2016,6208,INE053A01029,
INDHOTEL,EQ,121.15,122.15,115.6,119.55,118,121,1191489,140494929.6,13-JAN-2016,8135,INE053A01029,
INDHOTEL,EQ,117.7,118.8,115.65,116.95,116.5,119.55,585307,68640755.15,14-JAN-2016,6383,INE053A01029,
INDHOTEL,EQ,118.05,119.7,110.5,113.1,114.1,116.95,2238562,261738297.4,15-JAN-2016,19562,INE053A01029,
INDHOTEL,EQ,111,111,104.1,108,107.6,113.1,1379024,148202628,18-JAN-2016,25733,INE053A01029,
INDHOTEL,EQ,107,108.3,105,107.35,107.25,108,573384,60995310.85,19-JAN-2016,15833,INE053A01029,
INDHOTEL,EQ,107.35,110.75,104.55,109.5,108.5,107.35,571551,61160806.75,20-JAN-2016,13775,INE053A01029,
INDHOTEL,EQ,109,109.95,105,107.4,107.15,109.5,650538,69296356.55,21-JAN-2016,13847,INE053A01029,
INDHOTEL,EQ,106.75,111,105.2,109.65,110.9,107.4,1463711,157670817.35,22-JAN-2016,7315,INE053A01029,
INDHOTEL,EQ,110.05,113.4,109,111.65,111.35,109.65,676754,75028965.1,25-JAN-2016,8840,INE053A01029,
INDHOTEL,EQ,111.65,112.95,108.1,110.4,110.75,111.65,507208,55877564.2,27-JAN-2016,10665,INE053A01029,
INDHOTEL,EQ,110.4,112,110,111.55,111.5,110.4,643336,71784366.25,28-JAN-2016,1531,INE053A01029,
INDHOTEL,EQ,112.45,112.45,109.25,111.95,112,111.55,521195,58114407.95,29-JAN-2016,4534,INE053A01029,
