SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JSL,EQ,28.85,28.95,28.45,28.5,28.5,28.75,170465,4883297.65,01-JAN-2016,692,INE220G01021,
JSL,EQ,28.9,28.9,27.9,28.05,28.3,28.5,161268,4569733.65,04-JAN-2016,724,INE220G01021,
JSL,EQ,28.2,29.5,27.8,28.55,28.55,28.05,393902,11277322.15,05-JAN-2016,1434,INE220G01021,
JSL,EQ,28.9,29.1,27.95,28.15,28,28.55,230994,6603919.7,06-JAN-2016,1045,INE220G01021,
JSL,EQ,28.1,28.1,26.9,27,27,28.15,233851,6378809.05,07-JAN-2016,1015,INE220G01021,
JSL,EQ,27,27.5,26.95,27.15,27.05,27,102701,2798991.2,08-JAN-2016,444,INE220G01021,
JSL,EQ,27.05,27.4,26.5,27.05,27.1,27.15,75096,2020712.3,11-JAN-2016,467,INE220G01021,
JSL,EQ,27.4,27.5,26.5,26.6,26.7,27.05,63516,1709892.7,12-JAN-2016,329,INE220G01021,
JSL,EQ,26.95,27.3,25,25.55,25.7,26.6,105597,2761375.25,13-JAN-2016,804,INE220G01021,
JSL,EQ,24.8,25.2,23.85,24.95,25.1,25.55,173858,4269758.9,14-JAN-2016,776,INE220G01021,
JSL,EQ,24.9,26.8,24,24.1,24.4,24.95,139517,3459748.6,15-JAN-2016,879,INE220G01021,
JSL,EQ,24.05,24.45,22.35,22.65,22.5,24.1,211606,4872297.2,18-JAN-2016,1072,INE220G01021,
JSL,EQ,23.25,23.5,22.7,23,23.1,22.65,106747,2458443.1,19-JAN-2016,531,INE220G01021,
JSL,EQ,22.8,23.8,22,22.85,23.05,23,109596,2462895.55,20-JAN-2016,552,INE220G01021,
JSL,EQ,23.5,23.9,22.75,22.95,23.1,22.85,260713,5981615.15,21-JAN-2016,344,INE220G01021,
JSL,EQ,23.7,25.6,22.7,24.85,25,22.95,261525,6391988.2,22-JAN-2016,1680,INE220G01021,
JSL,EQ,24.8,26.9,23.95,24.15,24.15,24.85,385199,9666424.4,25-JAN-2016,1710,INE220G01021,
JSL,EQ,24.75,25,24.1,24.5,24.45,24.15,87954,2162963.2,27-JAN-2016,464,INE220G01021,
JSL,EQ,24.55,25.45,22.65,22.8,22.8,24.5,468124,11001529.4,28-JAN-2016,2376,INE220G01021,
JSL,EQ,22.8,23.25,22.5,22.9,23,22.8,110962,2539941.65,29-JAN-2016,772,INE220G01021,
JSL,EQ,22.95,23.35,22.6,22.7,22.95,22.9,111028,2540851.65,01-FEB-2016,388,INE220G01021,
JSL,EQ,22.95,23,21.5,21.85,21.5,22.7,115025,2568835.4,02-FEB-2016,613,INE220G01021,
JSL,EQ,21.35,22.05,20.5,20.85,20.9,21.85,355054,7484258.25,03-FEB-2016,1068,INE220G01021,
JSL,EQ,21.35,21.5,20.05,20.5,20.85,20.85,142409,2960762.85,04-FEB-2016,1004,INE220G01021,
JSL,EQ,21.05,21.8,20.7,21.45,21.4,20.5,318941,6808137.2,05-FEB-2016,1252,INE220G01021,
JSL,EQ,22,24,21.3,21.5,21.85,21.45,803398,18061323.35,08-FEB-2016,3383,INE220G01021,
JSL,EQ,21.35,21.8,21.05,21.5,21.6,21.5,140020,3000441.05,09-FEB-2016,586,INE220G01021,
JSL,EQ,21.75,22.1,20.7,20.95,20.9,21.5,138847,2950481.05,10-FEB-2016,768,INE220G01021,
JSL,EQ,20.65,21.2,19.7,20.55,20.3,20.95,166339,3405961.85,11-FEB-2016,778,INE220G01021,
JSL,EQ,20.5,22,19,20.55,20.95,20.55,200308,4046155.15,12-FEB-2016,1149,INE220G01021,
JSL,EQ,20.7,21.7,19.65,19.9,20,20.55,652833,13172567.85,15-FEB-2016,1956,INE220G01021,
JSL,EQ,20.35,20.35,19.25,19.45,19.3,19.9,82619,1633761,16-FEB-2016,634,INE220G01021,
JSL,EQ,19.45,20,18.7,19,19.1,19.45,169909,3276958.35,17-FEB-2016,584,INE220G01021,
JSL,EQ,19.3,19.95,18.8,18.9,18.9,19,105107,2020896.05,18-FEB-2016,586,INE220G01021,
JSL,EQ,19,20.3,18.7,19.9,20.1,18.9,205107,4055946.15,19-FEB-2016,709,INE220G01021,
JSL,EQ,20.1,20.2,19.65,19.75,19.75,19.9,88295,1758888.75,22-FEB-2016,495,INE220G01021,
JSL,EQ,20,20,19.2,19.3,19.55,19.75,74732,1459676.8,23-FEB-2016,358,INE220G01021,
JSL,EQ,19.1,19.5,18.85,18.9,18.9,19.3,128562,2457184.2,24-FEB-2016,356,INE220G01021,
JSL,EQ,19.2,19.3,18.25,18.35,18.35,18.9,65137,1217781.85,25-FEB-2016,470,INE220G01021,
JSL,EQ,18.8,18.9,17.9,18.2,18.45,18.35,305301,5604202.8,26-FEB-2016,800,INE220G01021,
JSL,EQ,18.7,18.7,17.45,18,18,18.2,126407,2274923.35,29-FEB-2016,573,INE220G01021,
JSL,EQ,18.25,18.9,17.85,18,18,18,494518,9051201.75,01-MAR-2016,964,INE220G01021,
JSL,EQ,18.3,18.8,18.3,18.35,18.4,18,116727,2159943.15,02-MAR-2016,503,INE220G01021,
JSL,EQ,18.55,19.5,18.3,18.65,18.5,18.35,655448,12365820.45,03-MAR-2016,1911,INE220G01021,
JSL,EQ,18.7,19.35,18.7,18.95,19,18.65,499169,9470859.5,04-MAR-2016,1381,INE220G01021,
JSL,EQ,19.35,19.35,18.35,18.45,18.5,18.95,291002,5445506.05,08-MAR-2016,1010,INE220G01021,
JSL,EQ,18.5,18.7,18.05,18.55,18.55,18.45,111018,2053831.25,09-MAR-2016,501,INE220G01021,
JSL,EQ,18.65,19,18.5,18.85,18.95,18.55,160836,3016106.35,10-MAR-2016,449,INE220G01021,
JSL,EQ,18.9,19.1,18.4,18.6,18.5,18.85,270638,5084795.4,11-MAR-2016,624,INE220G01021,
JSL,EQ,18.7,18.75,18.25,18.5,18.5,18.6,171541,3170756.85,14-MAR-2016,410,INE220G01021,
JSL,EQ,18.5,18.6,18,18.1,18.05,18.5,90962,1659628.15,15-MAR-2016,354,INE220G01021,
JSL,EQ,18.3,18.45,17.5,17.75,17.75,18.1,110814,1984107.95,16-MAR-2016,434,INE220G01021,
