SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JSWENERGY,EQ,85,87,83.8,86.65,86.8,85.05,995432,85342587.5,01-JAN-2016,4744,INE121E01018,
JSWENERGY,EQ,86.8,88.15,84,85.1,84.95,86.65,1847644,158821679.4,04-JAN-2016,11897,INE121E01018,
JSWENERGY,EQ,84.05,85.85,80.6,85,84.85,85.1,6809533,570862571.95,05-JAN-2016,24153,INE121E01018,
JSWENERGY,EQ,85.7,87.1,83,84.05,84,85,2711033,231304442,06-JAN-2016,13824,INE121E01018,
JSWENERGY,EQ,82.95,83,79,79.6,79.2,84.05,2436655,196914932.3,07-JAN-2016,11988,INE121E01018,
JSWENERGY,EQ,81,83.4,80.05,82.9,83.15,79.6,1967291,161627205.5,08-JAN-2016,8974,INE121E01018,
JSWENERGY,EQ,82.9,84.4,74.9,82.95,83.25,82.9,2521759,208763092.6,11-JAN-2016,10714,INE121E01018,
JSWENERGY,EQ,83.55,84.5,81.5,83.7,84.1,82.95,1897819,157932007.85,12-JAN-2016,8065,INE121E01018,
JSWENERGY,EQ,85.15,85.15,77.3,80,79.8,83.7,3519012,283098793.55,13-JAN-2016,14039,INE121E01018,
JSWENERGY,EQ,78.2,80,77,77.9,77.5,80,1580635,123658244.5,14-JAN-2016,8167,INE121E01018,
JSWENERGY,EQ,78,78.7,70.95,72.3,73.35,77.9,2001971,150833020.15,15-JAN-2016,7045,INE121E01018,
JSWENERGY,EQ,74.65,76.7,69.6,70.25,70.5,72.3,1614358,115837400.15,18-JAN-2016,7303,INE121E01018,
JSWENERGY,EQ,70.9,74.9,66.4,74.5,74.5,70.25,2402072,170952629.6,19-JAN-2016,12718,INE121E01018,
JSWENERGY,EQ,73.1,73.15,66.65,69.6,69.65,74.5,4700368,327092861.8,20-JAN-2016,19948,INE121E01018,
JSWENERGY,EQ,71.45,73.9,70,73.45,73.55,69.6,3775850,272851261,21-JAN-2016,32910,INE121E01018,
JSWENERGY,EQ,74.45,75.6,73.35,74.3,74.1,73.45,1647559,122809869.4,22-JAN-2016,8797,INE121E01018,
JSWENERGY,EQ,75,77.2,72.7,73.65,74.15,74.3,3869863,290951170.55,25-JAN-2016,12858,INE121E01018,
JSWENERGY,EQ,74.05,74.8,72.2,73.95,74.3,73.65,1450928,106644757.95,27-JAN-2016,8207,INE121E01018,
JSWENERGY,EQ,74.4,76.55,73.3,74.5,75.5,73.95,2004392,149716345.8,28-JAN-2016,6845,INE121E01018,
JSWENERGY,EQ,75,77.3,73.9,76.65,76.8,74.5,1621495,123291708.55,29-JAN-2016,5786,INE121E01018,
JSWENERGY,EQ,72.9,77.7,72.9,75.15,74.9,76.65,976013,73691856.65,01-FEB-2016,6638,INE121E01018,
JSWENERGY,EQ,75,76.7,74,74.4,74,75.15,1138000,85923239.95,02-FEB-2016,9872,INE121E01018,
JSWENERGY,EQ,72.5,73.4,68.6,69.15,69.25,74.4,3492001,245793814.2,03-FEB-2016,14866,INE121E01018,
JSWENERGY,EQ,71,72.05,68.5,70,69.65,69.15,1858690,131169665.6,04-FEB-2016,7990,INE121E01018,
JSWENERGY,EQ,71.2,71.35,68.7,70.75,70.75,70,1394302,98173025.4,05-FEB-2016,5658,INE121E01018,
JSWENERGY,EQ,70.8,72.8,69.8,70.25,70.4,70.75,1611321,114962568.05,08-FEB-2016,7882,INE121E01018,
JSWENERGY,EQ,69.65,70.5,68.25,69.35,69.9,70.25,1123034,77954411.3,09-FEB-2016,4485,INE121E01018,
JSWENERGY,EQ,69.9,69.9,67.6,68.15,68.15,69.35,1226649,83948014.8,10-FEB-2016,4951,INE121E01018,
JSWENERGY,EQ,67.8,68.1,62.05,62.6,63.4,68.15,2512270,163620961.05,11-FEB-2016,12250,INE121E01018,
JSWENERGY,EQ,63.05,64.8,59,62.75,62.95,62.6,2638363,162652305.1,12-FEB-2016,10777,INE121E01018,
JSWENERGY,EQ,64.4,67.35,63.95,65.8,66.05,62.75,1645825,108476964.75,15-FEB-2016,6242,INE121E01018,
JSWENERGY,EQ,66.7,67.95,63.3,63.6,63.4,65.8,1543599,100652526.3,16-FEB-2016,5194,INE121E01018,
JSWENERGY,EQ,64.15,65.95,63,64.8,64.9,63.6,3667269,236448623.3,17-FEB-2016,8641,INE121E01018,
