SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KEERTI,EQ,32.35,32.35,29.4,29.45,29.5,30.9,2006,60581.7,13-NOV-2020,59,INE586X01012,
KEERTI,EQ,30,30,28.9,28.9,28.9,30.4,1170,34097,17-NOV-2020,8,INE586X01012,
KEERTI,EQ,28.9,28.9,27.5,27.5,27.5,28.9,1673,46145.75,18-NOV-2020,33,INE586X01012,
KEERTI,EQ,26.8,28.85,26.15,26.6,26.5,27.5,21354,582737.3,19-NOV-2020,136,INE586X01012,
KEERTI,EQ,27.5,27.5,25.55,26.75,26.75,26.6,2442,65024.5,20-NOV-2020,22,INE586X01012,
KEERTI,EQ,27.75,27.75,26.05,26.85,27,26.75,1842,50104.05,23-NOV-2020,21,INE586X01012,
KEERTI,EQ,26.1,27,26.1,26.95,26.95,26.85,214,5766.25,24-NOV-2020,5,INE586X01012,
KEERTI,EQ,27,27,25.65,26.05,25.65,26.95,15335,409404.4,25-NOV-2020,72,INE586X01012,
KEERTI,EQ,26.95,27,24.75,24.95,24.75,26.05,5834,145915.15,26-NOV-2020,32,INE586X01012,
KEERTI,EQ,24.95,26,23.75,24,24,24.95,11091,266602.05,27-NOV-2020,70,INE586X01012,
KEERTI,EQ,24.6,25.2,23.55,25.2,25.2,24,7958,198472.9,01-DEC-2020,61,INE586X01012,
KEERTI,EQ,26.25,26.45,25.2,26.45,26.45,25.2,138866,3652860.65,02-DEC-2020,134,INE586X01012,
KEERTI,EQ,27.5,27.75,26.75,27.75,27.75,26.45,116082,3164554.05,03-DEC-2020,219,INE586X01012,
KEERTI,EQ,28,28,26.85,27.25,27.05,27.75,106072,2863236.55,04-DEC-2020,102,INE586X01012,
KEERTI,EQ,27.65,28.6,27,27.25,27.3,27.25,150147,4144433.45,07-DEC-2020,414,INE586X01012,
KEERTI,EQ,27.9,27.9,26,26.15,26.05,27.25,35038,941459.4,08-DEC-2020,122,INE586X01012,
KEERTI,EQ,26.05,28.75,25.2,27.4,27.4,26.15,121330,3332914.8,09-DEC-2020,213,INE586X01012,
KEERTI,EQ,27,28,26.25,27.45,28,27.4,33189,896532.6,10-DEC-2020,127,INE586X01012,
KEERTI,EQ,28.45,28.45,27,28.25,28.1,27.45,21374,599911.5,11-DEC-2020,48,INE586X01012,
KEERTI,EQ,28.5,28.5,26.35,27.1,26.8,28.25,26441,727504.5,14-DEC-2020,62,INE586X01012,
KEERTI,EQ,27.5,28.35,26.2,26.75,26.2,27.1,36320,981171.05,15-DEC-2020,120,INE586X01012,
KEERTI,EQ,27.65,27.65,26.2,26.25,26.25,26.75,15709,418599.85,16-DEC-2020,58,INE586X01012,
KEERTI,EQ,25.25,27,25.25,26.5,26.3,26.25,3571,95038.3,17-DEC-2020,54,INE586X01012,
KEERTI,EQ,27.05,27.05,26.05,26.7,26.55,26.5,5738,153439.05,18-DEC-2020,23,INE586X01012,
KEERTI,EQ,26.95,26.95,24.1,24.2,24.2,26.7,9223,239175.45,21-DEC-2020,39,INE586X01012,
KEERTI,EQ,25.2,26.2,24,26.1,26.1,24.2,2602,65864.1,22-DEC-2020,20,INE586X01012,
KEERTI,EQ,27.45,27.45,25.55,25.95,25.95,26.1,980,25667.55,23-DEC-2020,11,INE586X01012,
KEERTI,EQ,26,26.9,26,26.9,26.9,25.95,706,18401,24-DEC-2020,5,INE586X01012,
