SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KHANDSE,EQ,18.05,19.7,18.05,18.05,18.05,19,1149,20956.95,01-JAN-2016,10,INE060B01014,
KHANDSE,EQ,18.65,18.65,17.25,17.25,17.25,18.05,200,3597.5,04-JAN-2016,4,INE060B01014,
KHANDSE,EQ,16.9,17.9,16.9,17.85,17.85,17.25,104,1761.5,05-JAN-2016,4,INE060B01014,
KHANDSE,EQ,17.5,17.5,17.5,17.5,17.5,17.85,500,8750,11-JAN-2016,1,INE060B01014,
KHANDSE,EQ,16.65,16.65,16.65,16.65,16.65,17.5,5000,83250,25-JAN-2016,2,INE060B01014,
KHANDSE,EQ,15.85,15.85,15.85,15.85,15.85,16.65,2700,42795,29-JAN-2016,5,INE060B01014,
KHANDSE,EQ,15.25,16.5,15.25,16.5,16.5,15.85,1025,15662.5,01-FEB-2016,2,INE060B01014,
KHANDSE,EQ,16.9,16.9,16.9,16.9,16.9,16.5,1,16.9,02-FEB-2016,1,INE060B01014,
KHANDSE,EQ,16.1,16.1,16.1,16.1,16.1,16.9,3000,48300,02-MAR-2016,4,INE060B01014,
KHANDSE,EQ,15.3,15.3,15.3,15.3,15.3,16.1,3150,48195,03-MAR-2016,3,INE060B01014,
KHANDSE,EQ,15.3,15.3,15.3,15.3,15.3,15.3,380,5814,04-MAR-2016,2,INE060B01014,
KHANDSE,EQ,15.25,15.95,15,15.95,15.95,15.3,3100,46852.5,11-MAR-2016,6,INE060B01014,
KHANDSE,EQ,16.7,16.7,16.7,16.7,16.7,15.95,200,3340,15-MAR-2016,1,INE060B01014,
KHANDSE,EQ,17.5,17.5,17.5,17.5,17.5,16.7,1,17.5,21-MAR-2016,1,INE060B01014,
KHANDSE,EQ,17,17,17,17,17,17.5,50,850,23-MAR-2016,1,INE060B01014,
KHANDSE,EQ,16.15,16.15,16.15,16.15,16.15,17,2,32.3,31-MAR-2016,1,INE060B01014,
KHANDSE,EQ,16,16.25,16,16.25,16.25,16.15,597,9688.25,04-APR-2016,4,INE060B01014,
KHANDSE,EQ,17.05,17.05,16.5,17,17,16.25,818,13653.3,11-APR-2016,6,INE060B01014,
