SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KOTAKCONS,EQ,75.53,77.4,75.53,76.76,76.76,74,498,38224.09,04-AUG-2022,28,INF174KA1JE5,
KOTAKCONS,EQ,76.8,77.5,75.41,77.3,77.3,76.76,2025,155164.29,05-AUG-2022,43,INF174KA1JE5,
KOTAKCONS,EQ,77.4,78.91,76.6,76.75,76.75,77.3,99,7614.43,08-AUG-2022,16,INF174KA1JE5,
KOTAKCONS,EQ,79.05,79.05,76.5,76.5,76.5,76.75,408,31219.06,10-AUG-2022,12,INF174KA1JE5,
KOTAKCONS,EQ,80,80,76.11,77.06,77.1,76.5,46,3564.12,11-AUG-2022,15,INF174KA1JE5,
KOTAKCONS,EQ,77.4,78.27,75.61,78.19,78.2,77.06,80,6222.47,12-AUG-2022,24,INF174KA1JE5,
KOTAKCONS,EQ,77.4,80,77.1,78.53,78.5,78.19,118,9141.55,16-AUG-2022,7,INF174KA1JE5,
KOTAKCONS,EQ,78.5,80.4,77.1,79,79,78.53,337,26464.8,17-AUG-2022,29,INF174KA1JE5,
KOTAKCONS,EQ,88.88,88.88,78.25,79.1,79.55,79,12753,1030500.67,18-AUG-2022,82,INF174KA1JE5,
KOTAKCONS,EQ,79.5,81,77.65,78.05,77.71,79.1,6584,514445.81,19-AUG-2022,29,INF174KA1JE5,
KOTAKCONS,EQ,78,78,76.85,76.85,76.85,78.05,51,3956.92,22-AUG-2022,20,INF174KA1JE5,
KOTAKCONS,EQ,77.1,77.25,77,77.25,77.25,76.85,116,8935.94,23-AUG-2022,4,INF174KA1JE5,
KOTAKCONS,EQ,77.4,77.7,76.05,77,77,77.25,50,3841.56,24-AUG-2022,17,INF174KA1JE5,
KOTAKCONS,EQ,77.4,78.5,77.4,78.49,78.49,77,413,32416.81,25-AUG-2022,10,INF174KA1JE5,
KOTAKCONS,EQ,78.5,78.5,77.75,77.92,78.1,78.49,208,16224.76,26-AUG-2022,9,INF174KA1JE5,
KOTAKCONS,EQ,80.25,80.25,76.1,78.1,78.1,77.92,5195,402142.02,29-AUG-2022,28,INF174KA1JE5,
KOTAKCONS,EQ,80.44,80.44,78,78.89,78.89,78.1,88,6960.12,30-AUG-2022,21,INF174KA1JE5,
KOTAKCONS,EQ,79.2,79.5,79.2,79.3,79.3,78.89,161,12772.74,01-SEP-2022,8,INF174KA1JE5,
KOTAKCONS,EQ,79.5,79.9,79.49,79.6,79.9,79.3,290,23087.52,02-SEP-2022,6,INF174KA1JE5,
