SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KOTAKLIQ,EQ,1000.01,1000.01,999.99,999.99,999.99,1000,2534,2533974.68,01-FEB-2023,4,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.01,999.99,999.99,999.99,999.99,677,676993.47,02-FEB-2023,9,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.02,999,999.99,999.99,999.99,228,227998.06,03-FEB-2023,34,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,999.99,999.99,999.99,999.99,55,54999.75,06-FEB-2023,17,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.01,999.99,1000.01,1000.01,999.99,2,2000,07-FEB-2023,2,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,999.99,999.99,999.99,1000.01,22,21999.8,13-FEB-2023,5,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,10,10000.1,14-FEB-2023,1,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,50,50000,22-FEB-2023,2,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,1000,1000,1000,1000.01,1021,1021008.21,24-FEB-2023,28,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,999.99,999.99,999.99,1000,35,35000.16,27-FEB-2023,3,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.01,999.99,1000.01,1000.01,999.99,216,216001.8,28-FEB-2023,12,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,999.99,999.99,999.99,1000.01,35,34999.75,01-MAR-2023,4,INF174KA1LV5,
KOTAKLIQ,EQ,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,133,133001.33,02-MAR-2023,7,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,999.99,999.99,999.99,999.99,1000.01,2,1999.98,03-MAR-2023,2,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,999.99,999.99,999.99,999.99,999.99,697,696993.03,13-MAR-2023,54,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,1000.01,999.99,1000.01,1000.01,999.99,1694,1694016.84,15-MAR-2023,111,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,999.99,999.99,999.99,999.99,1000.01,132,131998.68,16-MAR-2023,7,INF174KA1LV5,
KOTAKLIQ,EQ,1000,1000,1000,1000,1000,999.99,1,1000,20-MAR-2023,1,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,999.99,999.99,999.99,999.99,1000,2495,2494975.05,23-MAR-2023,145,INF174KA1LV5,
KOTAKLIQ,EQ,999.99,999.99,999.99,999.99,999.99,999.99,1829,1828981.71,24-MAR-2023,117,INF174KA1LV5,
KOTAKLIQ,EQ,1000,1000,1000,1000,1000,999.99,2500,2500000,28-MAR-2023,135,INF174KA1LV5,
