SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KREBSBIO,BE,101.5,101.5,101.5,101.5,101.5,106.75,3,304.5,27-OCT-2016,2,INE268B01013,
KREBSBIO,BE,101.5,101.5,101,101,101,101.5,185,18735,28-OCT-2016,3,INE268B01013,
KREBSBIO,BE,97.1,103,97.1,102.4,103,101,60,5878.8,01-NOV-2016,4,INE268B01013,
KREBSBIO,BE,98,99,98,98,98,102.4,200,19750,02-NOV-2016,8,INE268B01013,
KREBSBIO,BE,101.8,101.8,101.8,101.8,101.8,98,50,5090,03-NOV-2016,1,INE268B01013,
KREBSBIO,BE,96.8,96.8,96.8,96.8,96.8,101.8,110,10648,04-NOV-2016,2,INE268B01013,
KREBSBIO,BE,95,95,94.5,94.5,94.5,96.8,575,54400,07-NOV-2016,4,INE268B01013,
KREBSBIO,BE,91,97,91,97,97,94.5,635,58508.25,08-NOV-2016,5,INE268B01013,
KREBSBIO,BE,92.15,92.15,92.15,92.15,92.15,97,220,20273,09-NOV-2016,2,INE268B01013,
KREBSBIO,BE,87.55,94.5,87.55,94.5,94.5,92.15,201,17604.5,10-NOV-2016,2,INE268B01013,
KREBSBIO,BE,89.8,89.8,89.8,89.8,89.8,94.5,400,35920,15-NOV-2016,3,INE268B01013,
KREBSBIO,BE,86.1,86.1,85.35,85.35,85.35,89.8,1352,115579.45,16-NOV-2016,9,INE268B01013,
KREBSBIO,BE,81.2,81.2,81.2,81.2,81.2,85.35,200,16240,21-NOV-2016,1,INE268B01013,
KREBSBIO,BE,80,80,80,80,80,81.2,75,6000,22-NOV-2016,3,INE268B01013,
KREBSBIO,BE,76,79,76,79,79,80,366,28524,24-NOV-2016,4,INE268B01013,
KREBSBIO,BE,77,77,77,77,77,79,331,25487,25-NOV-2016,6,INE268B01013,
KREBSBIO,BE,80.85,80.85,80.85,80.85,80.85,77,98,7923.3,28-NOV-2016,4,INE268B01013,
KREBSBIO,BE,82.5,82.5,78.1,78.1,78.1,80.85,251,20363.1,29-NOV-2016,4,INE268B01013,
KREBSBIO,BE,82,82,82,82,82,78.1,240,19680,01-DEC-2016,2,INE268B01013,
KREBSBIO,BE,80.05,83,80.05,80.5,80.5,82,66,5345,05-DEC-2016,4,INE268B01013,
KREBSBIO,BE,84,84.5,84,84.5,84.5,80.5,30,2522.5,06-DEC-2016,2,INE268B01013,
KREBSBIO,BE,88.7,88.7,88.65,88.65,88.65,84.5,197,17472.8,07-DEC-2016,6,INE268B01013,
KREBSBIO,BE,90.9,90.9,90.9,90.9,90.9,88.65,2,181.8,08-DEC-2016,1,INE268B01013,
KREBSBIO,BE,88,88,88,88,88,90.9,2,176,09-DEC-2016,1,INE268B01013,
KREBSBIO,BE,92,92,92,92,92,88,50,4600,12-DEC-2016,1,INE268B01013,
KREBSBIO,BE,87.4,87.4,87.4,87.4,87.4,92,210,18354,21-DEC-2016,2,INE268B01013,
KREBSBIO,BE,87,87,87,87,87,87.4,5,435,22-DEC-2016,1,INE268B01013,
KREBSBIO,BE,86,86,83.7,84.85,83.7,87,2,169.7,27-DEC-2016,2,INE268B01013,
KREBSBIO,BE,80.65,80.65,80.65,80.65,80.65,84.85,2,161.3,28-DEC-2016,2,INE268B01013,
KREBSBIO,BE,79,79,79,79,79,80.65,1,79,30-DEC-2016,1,INE268B01013,
KREBSBIO,BE,77.6,77.6,77.6,77.6,77.6,79,25,1940,05-JAN-2017,1,INE268B01013,
KREBSBIO,BE,80,80,80,80,80,77.6,50,4000,06-JAN-2017,1,INE268B01013,
KREBSBIO,BE,84,84,84,84,84,80,300,25200,09-JAN-2017,1,INE268B01013,
KREBSBIO,BE,84,84,84,84,84,84,140,11760,10-JAN-2017,2,INE268B01013,
KREBSBIO,BE,84,88.2,80,82,82,84,2250,189479.9,11-JAN-2017,15,INE268B01013,
KREBSBIO,BE,82,82.5,82,82.5,82.5,82,1109,91442.5,12-JAN-2017,14,INE268B01013,
KREBSBIO,BE,83.5,83.5,83.5,83.5,83.5,82.5,200,16700,13-JAN-2017,1,INE268B01013,
KREBSBIO,BE,83,83,83,83,83,83.5,993,82419,17-JAN-2017,7,INE268B01013,
KREBSBIO,BE,80.5,82.5,80.5,82.5,82.5,83,502,40415,19-JAN-2017,3,INE268B01013,
KREBSBIO,BE,82.5,82.5,80,80,80,82.5,490,39225,20-JAN-2017,4,INE268B01013,
KREBSBIO,BE,78,84,78,81.1,81.1,80,932,76122.7,23-JAN-2017,4,INE268B01013,
KREBSBIO,BE,82,85.15,82,85.15,85.15,81.1,2000,169290,24-JAN-2017,12,INE268B01013,
KREBSBIO,BE,83,83,82.25,82.25,82.25,85.15,818,67304,27-JAN-2017,4,INE268B01013,
KREBSBIO,BE,82.05,82.05,82.05,82.05,82.05,82.25,8,656.4,30-JAN-2017,1,INE268B01013,
KREBSBIO,BE,82.1,82.1,82,82,82,82.05,350,28710,31-JAN-2017,2,INE268B01013,
KREBSBIO,BE,82,82,82,82,82,82,100,8200,01-FEB-2017,2,INE268B01013,
KREBSBIO,BE,80,80,80,80,80,82,300,24000,02-FEB-2017,1,INE268B01013,
KREBSBIO,BE,77.1,79.5,77.1,79.5,79.5,80,35,2722.5,08-FEB-2017,2,INE268B01013,
KREBSBIO,BE,80.5,81.1,80.5,81.1,81.1,79.5,70,5640.2,09-FEB-2017,3,INE268B01013,
KREBSBIO,BE,81.3,85,81.3,85,85,81.1,101,8581.3,10-FEB-2017,2,INE268B01013,
KREBSBIO,BE,81,83,81,83,83,85,220,17860,13-FEB-2017,2,INE268B01013,
KREBSBIO,BE,87,87,87,87,87,83,250,21750,14-FEB-2017,1,INE268B01013,
KREBSBIO,BE,82.65,82.65,82.65,82.65,82.65,87,11,909.15,16-FEB-2017,2,INE268B01013,
KREBSBIO,BE,81.25,84,81,81.05,81,82.65,145,11768,17-FEB-2017,3,INE268B01013,
KREBSBIO,BE,80.05,85,80.05,85,85,81.05,101,8090,20-FEB-2017,2,INE268B01013,
KREBSBIO,BE,84.5,84.5,84.45,84.45,84.45,85,318,26860.1,22-FEB-2017,2,INE268B01013,
KREBSBIO,BE,88.65,88.65,84.95,85,85,84.45,636,54223.75,23-FEB-2017,6,INE268B01013,
KREBSBIO,BE,81,84.5,81,84.5,84.5,85,2,165.5,01-MAR-2017,2,INE268B01013,
KREBSBIO,BE,80.3,80.3,80.3,80.3,80.3,84.5,300,24090,02-MAR-2017,1,INE268B01013,
KREBSBIO,BE,83.8,83.8,83.8,83.8,83.8,80.3,10,838,03-MAR-2017,1,INE268B01013,
KREBSBIO,BE,84,84,84,84,84,83.8,35,2940,07-MAR-2017,1,INE268B01013,
KREBSBIO,BE,79.8,79.8,79.8,79.8,79.8,84,527,42054.6,15-MAR-2017,8,INE268B01013,
KREBSBIO,BE,75.85,82,75.85,80.95,80.95,79.8,676,51963.5,16-MAR-2017,8,INE268B01013,
KREBSBIO,BE,80,80,76.95,76.95,76.95,80.95,1417,109871.65,17-MAR-2017,11,INE268B01013,
KREBSBIO,BE,80,80.2,74,80.2,80.2,76.95,2464,187829.65,20-MAR-2017,14,INE268B01013,
KREBSBIO,BE,77,80,76.95,77,80,80.2,2503,192724,21-MAR-2017,12,INE268B01013,
KREBSBIO,BE,73.5,80.6,73.5,80.55,80.6,77,1226,95507.1,22-MAR-2017,10,INE268B01013,
KREBSBIO,BE,83,83,82,82,82,80.55,12,986,23-MAR-2017,2,INE268B01013,
KREBSBIO,BE,79.5,79.5,79.5,79.5,79.5,82,14,1113,27-MAR-2017,1,INE268B01013,
KREBSBIO,BE,76.1,83.45,76.1,83.45,83.45,79.5,462,37135.95,28-MAR-2017,7,INE268B01013,
KREBSBIO,BE,87.6,87.6,81.7,81.7,81.7,83.45,320,27904,29-MAR-2017,5,INE268B01013,
KREBSBIO,BE,85.75,85.75,85.75,85.75,85.75,81.7,270,23152.5,30-MAR-2017,3,INE268B01013,
KREBSBIO,BE,90,90,90,90,90,85.75,50,4500,31-MAR-2017,1,INE268B01013,
KREBSBIO,BE,94.5,94.5,94.5,94.5,94.5,90,49,4630.5,03-APR-2017,2,INE268B01013,
KREBSBIO,BE,99.2,99.2,99.2,99.2,99.2,94.5,125,12400,05-APR-2017,3,INE268B01013,
KREBSBIO,BE,102,102.5,95.6,96.85,95.6,99.2,1071,107739.95,06-APR-2017,15,INE268B01013,
KREBSBIO,BE,95.6,96,92.05,92.05,92.05,96.85,845,79393.5,07-APR-2017,11,INE268B01013,
KREBSBIO,BE,96.65,96.65,94.1,96.65,96.65,92.05,430,41301.75,10-APR-2017,7,INE268B01013,
KREBSBIO,BE,96,96,96,96,96,96.65,300,28800,11-APR-2017,2,INE268B01013,
KREBSBIO,BE,91.3,98.5,91.3,92,92,96,487,45118.1,13-APR-2017,6,INE268B01013,
KREBSBIO,BE,92.15,93.35,92.15,93.35,93.35,92,410,37901.5,17-APR-2017,6,INE268B01013,
KREBSBIO,BE,95.9,95.9,95.9,95.9,95.9,93.35,100,9590,19-APR-2017,1,INE268B01013,
KREBSBIO,BE,91.15,91.15,91.15,91.15,91.15,95.9,250,22787.5,20-APR-2017,3,INE268B01013,
KREBSBIO,BE,90,90,90,90,90,91.15,1643,147870,21-APR-2017,6,INE268B01013,
KREBSBIO,BE,86.2,92.9,86.2,92.9,92.9,90,202,17805.8,24-APR-2017,4,INE268B01013,
KREBSBIO,BE,90,90,90,90,90,92.9,78,7020,25-APR-2017,1,INE268B01013,
KREBSBIO,BE,90,93.9,85.5,85.5,85.5,90,2675,234570.5,26-APR-2017,21,INE268B01013,
KREBSBIO,BE,85.6,89.75,84.1,84.1,84.1,85.5,216,18880.6,27-APR-2017,4,INE268B01013,
KREBSBIO,BE,82.1,82.1,82.1,82.1,82.1,84.1,100,8210,28-APR-2017,1,INE268B01013,
KREBSBIO,BE,82.5,82.5,82.5,82.5,82.5,82.1,100,8250,03-MAY-2017,1,INE268B01013,
KREBSBIO,BE,86.6,86.6,86.6,86.6,86.6,82.5,264,22862.4,04-MAY-2017,3,INE268B01013,
KREBSBIO,BE,90.9,90.9,90.9,90.9,90.9,86.6,510,46359,05-MAY-2017,5,INE268B01013,
KREBSBIO,BE,87.2,87.2,87.2,87.2,87.2,90.9,3,261.6,08-MAY-2017,1,INE268B01013,
KREBSBIO,BE,90,91.55,89.2,90.95,91.55,87.2,203,18463.35,09-MAY-2017,4,INE268B01013,
KREBSBIO,BE,92.95,95.45,92.95,95.4,95.4,90.95,5601,528523,10-MAY-2017,23,INE268B01013,
KREBSBIO,BE,99.9,99.9,95,99.65,99.7,95.4,3833,381799.05,11-MAY-2017,19,INE268B01013,
KREBSBIO,BE,95.6,101.95,95,97.9,97.9,99.65,2772,274560.6,12-MAY-2017,39,INE268B01013,
KREBSBIO,BE,95,98,95,97,97,97.9,1151,111845,15-MAY-2017,7,INE268B01013,
KREBSBIO,BE,93.25,99.75,93.25,99.75,99.75,97,5,479.25,16-MAY-2017,2,INE268B01013,
KREBSBIO,BE,95.35,99,95.3,95.3,99,99.75,842,80257,17-MAY-2017,4,INE268B01013,
KREBSBIO,BE,91,97.85,91,96.55,96.55,95.3,244,23388.55,18-MAY-2017,5,INE268B01013,
KREBSBIO,BE,93,98,91.75,93.15,91.75,96.55,4948,469085,19-MAY-2017,31,INE268B01013,
KREBSBIO,BE,97.35,97.35,89.3,91.15,92,93.15,2916,266351.7,22-MAY-2017,28,INE268B01013,
KREBSBIO,BE,95.7,95.7,90,95.7,95.7,91.15,3767,351560.8,23-MAY-2017,26,INE268B01013,
KREBSBIO,BE,93.3,93.3,93.3,93.3,93.3,95.7,245,22858.5,24-MAY-2017,1,INE268B01013,
KREBSBIO,BE,95.5,95.5,92.05,92.25,92.25,93.3,1295,119444.25,25-MAY-2017,5,INE268B01013,
KREBSBIO,BE,96.85,96.85,93,96.85,96.85,92.25,857,81438.85,26-MAY-2017,9,INE268B01013,
KREBSBIO,BE,101.4,101.65,94.5,100.9,100.9,96.85,1219,118492.5,29-MAY-2017,14,INE268B01013,
KREBSBIO,BE,101.95,105.7,100,100.5,100,100.9,7954,831161.5,30-MAY-2017,35,INE268B01013,
KREBSBIO,BE,100,104.4,96.05,103.1,104.4,100.5,1712,168012.45,31-MAY-2017,13,INE268B01013,
KREBSBIO,BE,98.05,99.25,98.05,99.25,99.25,103.1,459,45229.45,01-JUN-2017,4,INE268B01013,
KREBSBIO,BE,104.2,104.2,96.15,100,100,99.25,405,40534.75,02-JUN-2017,5,INE268B01013,
KREBSBIO,BE,100,100.9,95,100.9,100.9,100,599,57565.55,06-JUN-2017,8,INE268B01013,
KREBSBIO,BE,105,105,98.95,100,100,100.9,1257,125410,07-JUN-2017,28,INE268B01013,
KREBSBIO,BE,99,100,97,100,100,100,1623,158916,08-JUN-2017,16,INE268B01013,
KREBSBIO,BE,97,97,96,96.2,96.2,100,1320,127442.1,09-JUN-2017,13,INE268B01013,
KREBSBIO,BE,97.05,101,97,97.95,97.3,96.2,712,69103.4,12-JUN-2017,9,INE268B01013,
KREBSBIO,BE,99.5,102.7,99.5,102.5,102.5,97.95,7106,727999,13-JUN-2017,26,INE268B01013,
KREBSBIO,BE,102.35,106.5,102.35,104,104,102.5,2140,220305.5,14-JUN-2017,17,INE268B01013,
KREBSBIO,BE,100.5,105,100.5,104,105,104,2922,299082.5,15-JUN-2017,12,INE268B01013,
KREBSBIO,BE,103.6,109.2,103.5,109.2,109.2,104,4165,446656.5,16-JUN-2017,11,INE268B01013,
KREBSBIO,BE,109,114.65,109,114.65,114.65,109.2,3770,420644.15,19-JUN-2017,38,INE268B01013,
KREBSBIO,BE,120,120,111,117.95,119,114.65,1422,169389,20-JUN-2017,15,INE268B01013,
KREBSBIO,BE,115,117,113,117,117,117.95,724,82689.5,21-JUN-2017,17,INE268B01013,
KREBSBIO,BE,117.25,119,112,118.65,119,117,1444,165999.95,22-JUN-2017,20,INE268B01013,
KREBSBIO,BE,120,120,112.75,113,112.75,118.65,1301,147952.4,23-JUN-2017,12,INE268B01013,
KREBSBIO,BE,110,110,108,110,110,113,9121,993310,27-JUN-2017,28,INE268B01013,
KREBSBIO,BE,104.5,109.5,104.5,109,109,110,1175,123805.5,28-JUN-2017,16,INE268B01013,
KREBSBIO,BE,110,113.75,106.05,109,109,109,998,108822.75,29-JUN-2017,10,INE268B01013,
KREBSBIO,BE,104.3,109,103.75,104.35,103.75,109,11616,1213492.75,30-JUN-2017,23,INE268B01013,
KREBSBIO,BE,105,109.55,105,109.55,109.55,104.35,160,16845.5,03-JUL-2017,3,INE268B01013,
KREBSBIO,BE,114,114,110.5,110.5,110.5,109.55,12,1361,04-JUL-2017,2,INE268B01013,
KREBSBIO,BE,111,111,105,109.95,109.95,110.5,101,11102.25,05-JUL-2017,4,INE268B01013,
KREBSBIO,BE,105.1,109.9,105.1,109.9,109.9,109.95,677,71245,06-JUL-2017,7,INE268B01013,
KREBSBIO,BE,104.5,109.95,104.45,108.9,108.9,109.9,849,89123.75,07-JUL-2017,12,INE268B01013,
KREBSBIO,BE,108.85,108.85,108.85,108.85,108.85,108.9,5,544.25,10-JUL-2017,1,INE268B01013
KREBSBIO,BE,103.45,103.45,103.45,103.45,103.45,108.85,250,25862.5,11-JUL-2017,5,INE268B01013,
KREBSBIO,BE,100.1,107.3,98.55,99.25,106.5,103.45,832,83847.95,12-JUL-2017,21,INE268B01013,
KREBSBIO,BE,96.1,103.9,96.05,99.1,99,99.25,1150,111420.4,13-JUL-2017,11,INE268B01013,
KREBSBIO,BE,95.5,103,95.5,98.3,98.1,99.1,604,59868.3,14-JUL-2017,11,INE268B01013,
KREBSBIO,BE,93.55,102,93.55,99.5,99.5,98.3,643,63839.75,17-JUL-2017,7,INE268B01013,
KREBSBIO,BE,95.05,104,95.05,103.9,103.9,99.5,3225,327620.5,18-JUL-2017,28,INE268B01013,
KREBSBIO,BE,99.1,102.5,99,102.5,102.5,103.9,1557,155060.55,19-JUL-2017,16,INE268B01013,
KREBSBIO,BE,102.5,104,98.1,102.5,101,102.5,1804,181440,20-JUL-2017,6,INE268B01013,
KREBSBIO,BE,98.5,104.95,98.5,104.25,104.95,102.5,442,45985.75,21-JUL-2017,4,INE268B01013,
KREBSBIO,BE,99.1,103.45,99.1,102.45,102.45,104.25,400,39842.75,24-JUL-2017,9,INE268B01013,
KREBSBIO,BE,98.1,99.5,98.1,99.5,99.5,102.45,258,25321,25-JUL-2017,3,INE268B01013,
KREBSBIO,BE,105.7,105.7,99,101.9,99.5,102.05,3658,368373.5,27-JUL-2017,27,INE268B01013,
KREBSBIO,BE,97.25,102.9,97.25,101.85,99.6,101.9,194,19329,28-JUL-2017,5,INE268B01013,
KREBSBIO,BE,99.6,103.95,99.6,103.95,103.95,101.85,502,50007.9,31-JUL-2017,2,INE268B01013,
KREBSBIO,BE,100,104.9,100,102.25,100.25,103.95,1723,178435.6,01-AUG-2017,19,INE268B01013,
KREBSBIO,BE,103,103,103,103,103,102.25,40,4120,02-AUG-2017,1,INE268B01013,
KREBSBIO,BE,99.1,102,98.5,99.1,102,103,1712,171268.5,03-AUG-2017,11,INE268B01013,
KREBSBIO,BE,100,100,100,100,100,99.1,7872,787200,04-AUG-2017,1,INE268B01013,
