SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KTIL,EQ,435.4,435.4,427.35,431.6,430.1,429,2774,1195189.1,01-JAN-2016,80,INE096L01017,
KTIL,EQ,431.6,447,429,444.7,447,431.6,3623,1586704.6,04-JAN-2016,222,INE096L01017,
KTIL,EQ,445.05,456,439,449.95,450,444.7,6782,3036218.1,05-JAN-2016,229,INE096L01017,
KTIL,EQ,450,450.5,441,441.65,441.25,449.95,10488,4671309,06-JAN-2016,243,INE096L01017,
KTIL,EQ,433.1,439,425.05,430.25,429.5,441.65,2439,1051161.9,07-JAN-2016,173,INE096L01017,
KTIL,EQ,423.05,457,423.05,444.7,445,430.25,6429,2856346.2,08-JAN-2016,506,INE096L01017,
KTIL,EQ,435,453,428.25,442.15,437.2,444.7,3163,1390779.35,11-JAN-2016,246,INE096L01017,
KTIL,EQ,432.5,450.8,425,436.45,433.5,442.15,11489,4980386.35,12-JAN-2016,1022,INE096L01017,
KTIL,EQ,438,447.95,407.5,422,416.4,436.45,6683,2819252.4,13-JAN-2016,308,INE096L01017,
KTIL,EQ,403.25,414.95,397,408.9,407,422,4580,1866878.9,14-JAN-2016,261,INE096L01017,
KTIL,EQ,406,425,392,398.85,405,408.9,2406,972402.85,15-JAN-2016,177,INE096L01017,
KTIL,EQ,380,408,351.5,356.25,364.85,398.85,7037,2571754.3,18-JAN-2016,450,INE096L01017,
KTIL,EQ,360,385.1,350,373.15,379.65,356.25,6124,2272242,19-JAN-2016,392,INE096L01017,
KTIL,EQ,384.95,384.95,345.05,363.8,364,373.15,6549,2350890,20-JAN-2016,548,INE096L01017,
KTIL,EQ,377,378,348,362.4,355,363.8,10261,3641501.15,21-JAN-2016,401,INE096L01017,
KTIL,EQ,374.6,385,372,377.65,382,362.4,1176,444764.9,22-JAN-2016,110,INE096L01017,
KTIL,EQ,400.3,400.3,370,384.85,384.8,377.65,1501,579032.55,25-JAN-2016,70,INE096L01017,
KTIL,EQ,385,389.2,375.15,379.65,379.9,384.85,1176,451283.9,27-JAN-2016,162,INE096L01017,
KTIL,EQ,379.9,394,373.5,376.35,374.8,379.65,3116,1189546.05,28-JAN-2016,163,INE096L01017,
KTIL,EQ,376,399,368,374.95,375,376.35,11242,4272589.65,29-JAN-2016,504,INE096L01017,
KTIL,EQ,385,449.9,385,437.25,443,374.95,46704,20313091.95,01-FEB-2016,1897,INE096L01017,
KTIL,EQ,447.9,449.5,421,432.35,434,437.25,10053,4380848.9,02-FEB-2016,611,INE096L01017,
