SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LASA,BE,140.2,147.2,136,147.2,147.2,196,817526,118300902.75,21-SEP-2017,2440,INE670X01014,
LASA,BE,154.55,154.55,154.55,154.55,154.55,147.2,284848,44023258.4,22-SEP-2017,585,INE670X01014,
LASA,BE,154.8,156,146.85,146.85,146.85,154.55,196515,29398194.25,25-SEP-2017,662,INE670X01014,
LASA,BE,139.55,139.55,139.55,139.55,139.55,146.85,31019,4328701.45,26-SEP-2017,188,INE670X01014,
LASA,BE,132.6,132.6,132.6,132.6,132.6,139.55,27352,3626875.2,27-SEP-2017,178,INE670X01014,
LASA,BE,126,134.8,126,132.35,132,132.6,351393,45653397.95,28-SEP-2017,3020,INE670X01014,
LASA,BE,129.9,132.8,126.05,129.4,129.05,132.35,119307,15535244.55,29-SEP-2017,1043,INE670X01014,
LASA,BE,129.1,132.5,127.1,128.1,127.1,129.4,73950,9568162.9,03-OCT-2017,580,INE670X01014,
LASA,BE,128.05,134.5,128.05,134.5,134.5,128.1,146694,19355081.6,04-OCT-2017,677,INE670X01014,
LASA,BE,138.9,141.2,135.5,141.2,141.2,134.5,44550,6243131.15,05-OCT-2017,233,INE670X01014,
LASA,BE,148.25,148.25,148.25,148.25,148.25,141.2,23675,3509818.75,06-OCT-2017,118,INE670X01014,
LASA,BE,155.65,155.65,148.1,149.85,149.1,148.25,375021,57659720.3,09-OCT-2017,1480,INE670X01014,
LASA,BE,149.8,152.95,142.4,150.55,150,149.85,112799,16574755.75,10-OCT-2017,748,INE670X01014,
LASA,BE,150,152,143.05,144.85,145,150.55,89349,13137412.45,11-OCT-2017,535,INE670X01014,
LASA,BE,143.9,145,137.7,138.9,139,144.85,130163,18300086.35,12-OCT-2017,669,INE670X01014,
LASA,BE,138.95,145.8,135.1,145.65,145,138.9,123157,17553650.85,13-OCT-2017,522,INE670X01014,
LASA,BE,146.1,150,145.15,147.15,146,145.65,126457,18785353.8,16-OCT-2017,596,INE670X01014,
LASA,BE,147,149.2,142,144.35,143.2,147.15,45808,6633098.35,17-OCT-2017,291,INE670X01014,
LASA,BE,144,145.5,140.6,144,142.2,144.35,31586,4521880.45,18-OCT-2017,241,INE670X01014,
LASA,BE,144,147.4,140.6,143.7,144,144.15,64455,9274504.15,23-OCT-2017,371,INE670X01014,
LASA,BE,141.15,146.9,141.15,145.65,146.85,143.7,57209,8293728.75,24-OCT-2017,858,INE670X01014,
LASA,BE,145,148,140.6,142.8,143,145.65,54979,7850473.35,25-OCT-2017,969,INE670X01014,
LASA,BE,144.95,144.95,138.8,140.7,140.1,142.8,101014,14150732.45,26-OCT-2017,480,INE670X01014,
LASA,BE,144,144,139.1,140.25,140.35,140.7,34470,4824077.85,27-OCT-2017,220,INE670X01014,
LASA,BE,140.7,141.35,139.6,140,140.4,140.25,30203,4234042.3,30-OCT-2017,170,INE670X01014,
LASA,BE,140,140,137,139.25,139,140,48250,6703950.25,31-OCT-2017,235,INE670X01014,
LASA,BE,137.05,139.8,136,137.15,136.8,139.25,22471,3089927.6,01-NOV-2017,248,INE670X01014,
LASA,BE,137,139,135,136.95,137.8,137.15,32814,4489340.75,02-NOV-2017,245,INE670X01014,
LASA,BE,141.9,143.75,135,143.75,143.75,136.95,143038,20434324.6,03-NOV-2017,379,INE670X01014,
LASA,BE,143.65,145,138.1,143.65,141,143.75,66520,9464672.6,06-NOV-2017,325,INE670X01014,
LASA,BE,143,143,136.5,136.95,138,143.65,97787,13480580.95,07-NOV-2017,398,INE670X01014,
LASA,BE,141.9,141.9,135.5,137.5,137.9,136.95,31679,4359203,08-NOV-2017,235,INE670X01014,
LASA,BE,137.5,140,136,138.25,138.5,137.5,22678,3111209.2,09-NOV-2017,135,INE670X01014,
LASA,BE,135.1,139.8,135,137.2,137.9,138.25,27233,3716746.5,10-NOV-2017,198,INE670X01014,
LASA,BE,138.75,139.8,135.6,137.5,139,137.2,23426,3219926.6,13-NOV-2017,207,INE670X01014,
LASA,BE,138.9,139.8,136,138.65,139.75,137.5,38434,5276116.9,14-NOV-2017,242,INE670X01014,
LASA,BE,137.1,138.5,136,136.8,138,138.65,31601,4323919.9,15-NOV-2017,170,INE670X01014,
LASA,BE,136,140,133.05,136.05,136.6,136.8,83478,11399170.6,16-NOV-2017,444,INE670X01014,
LASA,BE,136.65,139.5,134.4,135.5,136,136.05,27074,3665455.45,17-NOV-2017,183,INE670X01014,
LASA,BE,133.05,134.95,130.95,132.3,133.5,135.5,83066,10943947.8,20-NOV-2017,519,INE670X01014,
LASA,BE,131,138.8,131,133.3,131.8,132.3,25661,3429666.65,21-NOV-2017,241,INE670X01014,
LASA,BE,136.7,136.7,128.2,131.95,132,133.3,23233,3062029.1,22-NOV-2017,188,INE670X01014,
LASA,BE,136.55,138.5,132.1,133.3,133,131.95,67079,9090246.65,23-NOV-2017,393,INE670X01014,
LASA,BE,132.25,136.9,130.3,132.55,133.9,133.3,31809,4222641.45,24-NOV-2017,257,INE670X01014,
LASA,BE,132,139.15,131.7,139.15,139.15,132.55,61661,8439089.75,27-NOV-2017,359,INE670X01014,
LASA,BE,144,144,139.2,139.7,140,139.15,54791,7791765.7,28-NOV-2017,283,INE670X01014,
LASA,BE,143.5,143.5,137.1,140.1,140,139.7,41987,5908204.95,29-NOV-2017,229,INE670X01014,
LASA,BE,140.5,141.6,137,138.3,138,140.1,20934,2899902.2,30-NOV-2017,162,INE670X01014,
LASA,BE,139.9,139.9,134.1,136.4,134.1,138.3,20598,2822665.8,01-DEC-2017,248,INE670X01014,
LASA,BE,143,143,134,136.3,137,136.4,25427,3484553.4,04-DEC-2017,176,INE670X01014,
LASA,BE,137,137,130.3,135.35,134,136.3,25639,3430214.45,05-DEC-2017,227,INE670X01014,
LASA,BE,135,136.5,131.9,133.2,132.5,135.35,19350,2579590.5,06-DEC-2017,225,INE670X01014,
LASA,BE,134,137.5,132,135.1,135,133.2,18268,2460929.1,07-DEC-2017,478,INE670X01014,
LASA,BE,136,140.5,135.15,138.25,138.6,135.1,30950,4241633.8,08-DEC-2017,634,INE670X01014,
