SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LATTEYS,EQ,40.5,40.95,37.05,40.95,40.95,39,98984,3991842.3,23-MAY-2023,249,INE262Z01023,
LATTEYS,EQ,42.9,42.95,42.8,42.95,42.95,40.95,78997,3391683.9,24-MAY-2023,153,INE262Z01023,
LATTEYS,EQ,45.05,45.05,45.05,45.05,45.05,42.95,146399,6595274.95,25-MAY-2023,32,INE262Z01023,
LATTEYS,EQ,47.3,47.3,43,47.3,47.3,45.05,696476,32596354.6,26-MAY-2023,1009,INE262Z01023,
LATTEYS,EQ,48.5,49.65,48,49.65,49.65,47.3,495349,24497616.9,29-MAY-2023,875,INE262Z01023,
LATTEYS,EQ,49.65,51.9,47.2,49.05,48.45,49.65,266188,13042526.65,30-MAY-2023,662,INE262Z01023,
LATTEYS,EQ,46.6,48.75,46.6,46.6,46.6,49.05,34448,1608508.7,31-MAY-2023,165,INE262Z01023,
LATTEYS,EQ,44.3,46.45,44.3,45.55,44.3,46.6,128441,5832454.8,01-JUN-2023,327,INE262Z01023,
LATTEYS,EQ,43.85,46.3,43.3,46.2,45,45.55,204021,9290344.35,02-JUN-2023,411,INE262Z01023,
LATTEYS,EQ,47.8,47.8,43.9,43.9,43.9,46.2,44276,1985505.9,05-JUN-2023,272,INE262Z01023,
LATTEYS,EQ,43.9,46,41.7,41.8,42.4,43.9,56590,2446561.25,06-JUN-2023,246,INE262Z01023,
LATTEYS,BE,43.85,43.85,39.75,39.75,39.75,41.8,35276,1403907.05,07-JUN-2023,89,INE262Z01023,
LATTEYS,BE,40.7,41.7,37.8,41.5,41.7,39.75,68782,2670562.55,08-JUN-2023,147,INE262Z01023,
LATTEYS,BE,41.9,43.5,39.45,41.45,41.3,41.5,26478,1127633.1,09-JUN-2023,88,INE262Z01023,
LATTEYS,BE,41.45,41.45,39.4,40.6,39.4,41.45,58183,2379100.95,12-JUN-2023,51,INE262Z01023,
LATTEYS,BE,40.6,41.8,38.6,41.4,41.2,40.6,41416,1636214.85,13-JUN-2023,127,INE262Z01023,
LATTEYS,BE,43.45,43.45,39.35,43.45,43.45,41.4,32317,1363945.05,14-JUN-2023,153,INE262Z01023,
LATTEYS,BE,43.45,45.55,42,43,43.9,43.45,23899,1049977.15,15-JUN-2023,75,INE262Z01023,
LATTEYS,BE,43.9,43.9,42.15,42.55,43.4,43,19647,841971.2,16-JUN-2023,44,INE262Z01023,
LATTEYS,BE,42,43.75,40.5,41.8,43.4,42.55,14075,587329.4,19-JUN-2023,64,INE262Z01023,
LATTEYS,BE,39.8,43.85,39.75,40.45,40,41.8,128007,5170762.6,20-JUN-2023,83,INE262Z01023,
LATTEYS,BE,41.8,42,38.45,42,42,40.45,183663,7566780,21-JUN-2023,191,INE262Z01023,
LATTEYS,BE,43.4,43.4,39.9,39.9,39.9,42,259003,10337953.15,22-JUN-2023,191,INE262Z01023,
LATTEYS,BE,37.9,39.85,37.9,37.9,37.9,39.9,35655,1364463.15,23-JUN-2023,232,INE262Z01023,
LATTEYS,BE,38.9,38.9,37.1,38.35,38.7,37.9,17258,664497.15,26-JUN-2023,53,INE262Z01023,
LATTEYS,BE,39.3,39.5,36.5,37.85,37.9,38.35,4035,152929.85,27-JUN-2023,40,INE262Z01023,
LATTEYS,BE,39.7,39.7,35.95,36.05,35.95,37.85,14593,549991.95,28-JUN-2023,40,INE262Z01023,
LATTEYS,BE,34.25,36,34.25,34.25,34.25,36.05,37336,1280539.65,30-JUN-2023,197,INE262Z01023,
LATTEYS,BE,32.55,35.95,32.55,35.8,35.8,34.25,55669,1830568.85,03-JUL-2023,176,INE262Z01023,
LATTEYS,BE,35.8,35.8,34.05,35.4,35.4,35.8,18470,644771.55,04-JUL-2023,87,INE262Z01023,
LATTEYS,BE,34.5,35.25,33.65,34.05,35,35.4,97585,3290767.95,05-JUL-2023,69,INE262Z01023,
LATTEYS,BE,35.6,35.6,32.45,33.7,32.45,34.05,46599,1573086.65,06-JUL-2023,56,INE262Z01023,
LATTEYS,BE,32.05,35.2,32.05,33.85,35.1,33.7,252633,8199438.95,07-JUL-2023,150,INE262Z01023,
LATTEYS,BE,35,35,32.15,34.75,34.85,33.85,82510,2680226.8,10-JUL-2023,168,INE262Z01023,
LATTEYS,BE,33.2,34.75,33.05,33.85,33.55,34.75,122844,4112183.85,11-JUL-2023,139,INE262Z01023,
LATTEYS,BE,33.85,33.95,32.15,32.65,33.95,33.85,141896,4596587.1,12-JUL-2023,110,INE262Z01023,
LATTEYS,BE,31.8,34.25,31.05,33.2,34.25,32.65,73872,2419494.6,13-JUL-2023,137,INE262Z01023,
LATTEYS,BE,33.55,34.25,31.55,34.1,34.1,33.2,39490,1297990.55,14-JUL-2023,84,INE262Z01023,
LATTEYS,BE,34.7,34.7,32.4,33.65,33.75,34.1,170500,5687314.6,17-JUL-2023,124,INE262Z01023,
LATTEYS,BE,34.45,34.45,32.3,34,34.15,33.65,81189,2757738.25,18-JUL-2023,81,INE262Z01023,
LATTEYS,BE,33.5,34.3,32.4,33.5,34.1,34,84873,2842788.4,19-JUL-2023,147,INE262Z01023,
LATTEYS,BE,33.5,34.5,32.5,33.9,33.95,33.5,117568,3982154.95,20-JUL-2023,213,INE262Z01023,
LATTEYS,BE,34.3,35,32.2,33.5,33.5,33.9,86322,2877583.9,21-JUL-2023,144,INE262Z01023,
LATTEYS,BE,34,34,31.85,32.85,32.85,33.5,65238,2139236,24-JUL-2023,76,INE262Z01023,
LATTEYS,BE,32.85,34.45,31.2,34.05,33.55,32.85,80196,2691768.05,25-JUL-2023,261,INE262Z01023,
LATTEYS,BE,32.6,34,32.6,33.95,33.95,34.05,84695,2867638.55,26-JUL-2023,178,INE262Z01023,
LATTEYS,BE,33,34.3,33,34.15,34.15,33.95,112277,3833669,27-JUL-2023,216,INE262Z01023,
LATTEYS,BE,34.85,34.85,33.95,34.2,34.2,34.15,121251,4140472.5,28-JUL-2023,207,INE262Z01023,
LATTEYS,BE,35.5,35.7,33.05,34.85,34.9,34.2,131765,4612292.65,31-JUL-2023,161,INE262Z01023,
LATTEYS,BE,35.55,35.55,35,35.4,35.4,34.85,166832,5909034.95,01-AUG-2023,196,INE262Z01023,
LATTEYS,BE,35.2,35.2,33.7,35,35.1,35.4,64381,2252862.55,02-AUG-2023,194,INE262Z01023,
LATTEYS,BE,34.95,35.4,33.8,34,34,35,132482,4573561.45,03-AUG-2023,234,INE262Z01023,
LATTEYS,BE,34.4,35.05,33.55,34.55,35,34,142985,4894843.7,04-AUG-2023,61,INE262Z01023,
LATTEYS,BE,34.95,36.25,32.9,34.15,35,34.55,80991,2768866.45,07-AUG-2023,320,INE262Z01023,
LATTEYS,BE,34.15,34.65,33.25,33.8,34.2,34.15,16654,567873.8,08-AUG-2023,90,INE262Z01023,
LATTEYS,BE,33.8,34.8,33.3,34.15,33.5,33.8,171011,5820937.3,09-AUG-2023,201,INE262Z01023,
LATTEYS,BE,34.15,35,34,34.25,34,34.15,76722,2673562.55,10-AUG-2023,44,INE262Z01023,
LATTEYS,BE,34.9,35.65,33.6,33.85,34,34.25,43324,1505784.3,11-AUG-2023,58,INE262Z01023,
