SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LGBBROSLTD,EQ,518.8,521,516.2,519.2,521,519,4724,2452095.05,01-JAN-2016,141,INE337A01034,
LGBBROSLTD,EQ,519.2,520,507.95,510,509.4,519.2,8884,4576546.1,04-JAN-2016,231,INE337A01034,
LGBBROSLTD,EQ,511.3,511.3,491.5,504.95,507,510,18875,9480277.95,05-JAN-2016,421,INE337A01034,
LGBBROSLTD,EQ,504.05,509.3,499,504.8,507.9,504.95,4210,2121801.5,06-JAN-2016,324,INE337A01034,
LGBBROSLTD,EQ,485.55,502.75,485,489.2,490,504.8,4112,2017527,07-JAN-2016,564,INE337A01034,
LGBBROSLTD,EQ,494.95,495,489,491.95,492.4,489.2,2995,1471078.45,08-JAN-2016,379,INE337A01034,
LGBBROSLTD,EQ,471.25,497.8,471.25,491.3,494,491.95,6139,2983780.1,11-JAN-2016,520,INE337A01034,
LGBBROSLTD,EQ,497.15,497.8,485,488.2,485,491.3,3073,1508231.75,12-JAN-2016,243,INE337A01034,
LGBBROSLTD,EQ,488.3,497,473.1,481.1,478.5,488.2,8102,3912675.2,13-JAN-2016,438,INE337A01034,
LGBBROSLTD,EQ,473.1,480,459.25,465.6,463,481.1,7527,3511649.1,14-JAN-2016,680,INE337A01034,
LGBBROSLTD,EQ,469.5,472.8,459,460.6,459,465.6,4168,1940748.65,15-JAN-2016,275,INE337A01034,
LGBBROSLTD,EQ,459.1,460.6,422.25,451.4,457.6,460.6,10371,4585579.85,18-JAN-2016,605,INE337A01034,
LGBBROSLTD,EQ,449.95,467,445.15,460.2,460,451.4,5032,2291552.3,19-JAN-2016,646,INE337A01034,
LGBBROSLTD,EQ,460.05,465,460,461.85,462,460.2,4200,1935897.8,20-JAN-2016,344,INE337A01034,
LGBBROSLTD,EQ,461.85,464,456,461.55,462,461.85,4705,2164389.8,21-JAN-2016,281,INE337A01034,
LGBBROSLTD,EQ,465,469.9,460.05,469.4,465,461.55,3204,1491101.7,22-JAN-2016,120,INE337A01034,
LGBBROSLTD,EQ,469.75,480.05,468.95,471,471.5,469.4,5571,2623875.6,25-JAN-2016,299,INE337A01034,
LGBBROSLTD,EQ,460.25,480,460.25,473.25,480,471,23387,11008970,27-JAN-2016,1029,INE337A01034,
LGBBROSLTD,EQ,488.95,488.95,470.5,478.85,475.9,473.25,4887,2329120.55,28-JAN-2016,468,INE337A01034,
LGBBROSLTD,EQ,477.65,488.9,470.5,472.7,471.05,478.85,3191,1509599.7,29-JAN-2016,250,INE337A01034,
LGBBROSLTD,EQ,475.05,483.75,462.8,465.75,467,472.7,1883,883275.7,01-FEB-2016,143,INE337A01034,
LGBBROSLTD,EQ,462.5,473.45,450,454.25,455.95,465.75,1458,672073.6,02-FEB-2016,108,INE337A01034,
LGBBROSLTD,EQ,454,499.5,449.2,461.75,479,454.25,4009,1816370.1,03-FEB-2016,201,INE337A01034,
LGBBROSLTD,EQ,466,473.75,450,453.15,450,461.75,649,297171.85,04-FEB-2016,102,INE337A01034,
LGBBROSLTD,EQ,452.5,460,445,447.35,448,453.15,2179,979141.65,05-FEB-2016,123,INE337A01034,
LGBBROSLTD,EQ,452,468.95,443,449.1,450.75,447.35,1100,495000.35,08-FEB-2016,118,INE337A01034,
LGBBROSLTD,EQ,441.05,448.95,425.1,428.25,425.1,449.1,8449,3648534.4,09-FEB-2016,373,INE337A01034,
LGBBROSLTD,EQ,430,437,426.4,429.8,430,428.25,6388,2769263.75,10-FEB-2016,383,INE337A01034,
