SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LTFOODS,EQ,190.05,191.8,183.25,186.85,187.35,187.95,1218329,227229564.6,06-NOV-2023,9297,INE818H01020,
LTFOODS,EQ,187.8,202,184.7,199.65,201.1,186.85,5452984,1076648600.75,07-NOV-2023,65631,INE818H01020,
LTFOODS,EQ,201.1,205,197.5,199.7,199,199.65,1949387,392316601.9,08-NOV-2023,17582,INE818H01020,
LTFOODS,EQ,199.7,201.5,193.15,195.05,195,199.7,2140628,422540770.95,09-NOV-2023,19606,INE818H01020,
LTFOODS,EQ,195,196.2,192.25,195.05,194.25,195.05,906904,176287187,10-NOV-2023,10951,INE818H01020,
LTFOODS,EQ,199,199.5,195.45,197.2,196.8,199.15,626576,123827226,13-NOV-2023,8497,INE818H01020,
LTFOODS,EQ,199.4,199.9,193.3,193.9,194,197.2,1342146,262539322.9,15-NOV-2023,15073,INE818H01020,
LTFOODS,EQ,196.05,205,196.05,199.6,199.5,193.9,2030787,408453075.3,16-NOV-2023,24712,INE818H01020,
LTFOODS,EQ,201,207.4,200.45,202.6,201.9,199.6,1911427,389925376.2,17-NOV-2023,25925,INE818H01020,
LTFOODS,EQ,202.6,215.8,202.6,214.5,214,202.6,3862266,818787993.75,20-NOV-2023,35762,INE818H01020,
LTFOODS,EQ,216.1,220.2,211.75,219.2,219.15,214.5,2537820,550666000.45,21-NOV-2023,25502,INE818H01020,
LTFOODS,EQ,219,219.7,204.9,207.5,207.8,219.2,2571910,540806212.6,22-NOV-2023,33588,INE818H01020,
LTFOODS,EQ,208.5,217.2,208.05,210.8,211.7,207.5,2099632,448054999.95,23-NOV-2023,22074,INE818H01020,
LTFOODS,EQ,211.9,216.4,211.3,212.05,211.8,210.8,948612,202528750.05,24-NOV-2023,12589,INE818H01020,
LTFOODS,EQ,213,217.35,206.75,210,209.7,212.05,949653,201846979.55,28-NOV-2023,17321,INE818H01020,
LTFOODS,EQ,211,216.3,209.4,212.15,212.5,210,1172119,250137474.75,29-NOV-2023,17081,INE818H01020,
LTFOODS,EQ,213.55,219,210.4,217.45,217.4,212.15,2644969,569061309.85,30-NOV-2023,39889,INE818H01020,
LTFOODS,EQ,218.4,219.2,212.55,216,215.9,217.45,1153453,249086363.05,01-DEC-2023,16697,INE818H01020,
LTFOODS,EQ,218.45,223.6,218,220.45,221.05,216,2124498,470185245.75,04-DEC-2023,33196,INE818H01020,
LTFOODS,EQ,224,234.6,221.9,228.2,228.65,220.45,3005660,689971785,05-DEC-2023,45414,INE818H01020,
LTFOODS,EQ,228.65,231.25,224.2,228.8,228.8,228.2,943404,215203783.4,06-DEC-2023,17581,INE818H01020,
LTFOODS,EQ,229.1,230.4,220.5,224.05,223.7,228.8,1550904,350637471.2,07-DEC-2023,25033,INE818H01020,
LTFOODS,EQ,225.6,226.95,211.6,214.3,215,224.05,1801164,390965065.7,08-DEC-2023,29054,INE818H01020,
LTFOODS,EQ,216,219.4,210.1,214.85,216,214.3,798207,172522067.65,11-DEC-2023,18232,INE818H01020,
LTFOODS,EQ,216,217.9,212,214.05,213.3,214.85,436000,93757426.1,12-DEC-2023,14543,INE818H01020,
LTFOODS,EQ,215.4,215.9,213.05,215.5,215.75,214.05,397845,85479124.75,13-DEC-2023,10933,INE818H01020,
LTFOODS,EQ,215.9,217.45,213.1,213.5,213.4,215.5,673807,144773779.6,14-DEC-2023,16155,INE818H01020,
LTFOODS,EQ,214.2,218.95,211.4,213.35,213.8,213.5,921657,197615325.35,15-DEC-2023,17010,INE818H01020,
LTFOODS,EQ,213.8,215,209.1,210.5,210.5,213.35,775072,163514069.2,18-DEC-2023,16540,INE818H01020,
LTFOODS,EQ,208,210.5,197.25,201,201.8,210.5,4496910,909009988.15,19-DEC-2023,58197,INE818H01020,
LTFOODS,EQ,203.35,207.1,195.3,196.25,195.9,201,1594311,322243528,20-DEC-2023,29889,INE818H01020,
LTFOODS,EQ,196.2,204.4,193,203.35,203.75,196.25,1284590,258229576.75,21-DEC-2023,26947,INE818H01020,
LTFOODS,EQ,206,208.8,198.65,200.65,201.35,203.35,1408500,285964803.4,22-DEC-2023,28988,INE818H01020,
LTFOODS,EQ,210,216,200.4,203.45,203.8,200.65,3503672,721126240.7,26-DEC-2023,42095,INE818H01020,
LTFOODS,EQ,205,206.1,200.5,201.35,201.5,203.45,836589,169733264.55,27-DEC-2023,15150,INE818H01020,
LTFOODS,EQ,203,203.9,198.9,200.1,200,201.35,750507,150434033.45,28-DEC-2023,15569,INE818H01020,
LTFOODS,EQ,199.85,204.75,198.75,203.2,202.6,200.1,661709,134380719.5,29-DEC-2023,13406,INE818H01020,
LTFOODS,EQ,204,204.9,201.55,203.25,204.05,203.2,627392,127251985.65,01-JAN-2024,12310,INE818H01020,
LTFOODS,EQ,204.05,204.6,200.2,202.55,202.5,203.25,637201,128875648.25,02-JAN-2024,12891,INE818H01020,
LTFOODS,EQ,202.9,202.9,200.8,201.35,201.25,202.55,420015,84767802.4,03-JAN-2024,8721,INE818H01020,
LTFOODS,EQ,201.35,204.3,201.35,201.9,202.1,201.35,612474,124125688.55,04-JAN-2024,9848,INE818H01020,
LTFOODS,EQ,202.45,205.25,200.95,202.05,202.8,201.9,716677,145383804.45,05-JAN-2024,11971,INE818H01020,
LTFOODS,EQ,202.4,204,200.5,201.3,202.6,202.05,608048,123004509.15,08-JAN-2024,17398,INE818H01020,
